target_sum_log_mean,ReturnMean,TimestepsSoFar,IWLastEpisode,IWMean,ReturnLastEpisode,ReturnStepMax,Bound,TimeElapsed,DenMISEMeanLog,DenMISELogLast,Iteration,LQGmu,ReturnMax,SqrtESSClassic,DenMISELogFirst,IWMin,IWFirstEpisode,IWNorm2,IWMax,URet,IWNorm1,ReturnAbsMax,ReturnMin,MISE,LQGsigma
17.249325,14.783361,260,1.0,1.0,13.994622,0.93208736,23.410688,1.7172026634216309,17.249325,11.24715,13,[[-2.7]],15.553135,3.6055512,18.60218,,1.0,3.6055512,1.0,15.369480985392018,13.0,15.553135,,14.783361,[[0.11]]
17.261108,14.742545,280,1.0,1.0,14.211929,0.93208736,23.056046,1.7781074047088623,17.261108,17.414305,14,[[-2.7]],15.553135,3.7416573,18.60218,,1.0,3.7416575,1.0,15.634797285346355,14.0,15.553135,,14.742545,[[0.11]]
17.331339,14.776839,300,1.0,1.0,15.256962,0.93208736,22.808443,1.8329877853393555,17.331339,18.31459,15,[[-2.7]],15.553135,3.8729832,18.60218,,1.0,3.8729835,1.0,16.84258281984644,15.0,15.553135,,14.776839,[[0.11]]
17.285133,14.780345,320,1.0,1.0,14.832943,0.93208736,22.556911,1.8865044116973877,17.285133,16.592031,16,[[-2.7]],15.553135,4.0,18.60218,,1.0,4.0,1.0,16.329788051009302,16.0,15.553135,,14.780345,[[0.11]]
17.328156,14.735049,340,1.0,1.0,14.010311,0.93208736,22.279428,1.9440937042236328,17.328156,18.01651,17,[[-2.7]],15.553135,4.1231055,18.60218,,1.0,4.1231055,1.0,15.389619397295778,17.0,15.553135,,14.735049,[[0.11]]
17.379482,14.706011,360,1.0,1.0,14.212365,0.93208736,22.037828,2.030256509780884,17.379482,18.252035,18,[[-2.7]],15.553135,4.242641,18.60218,,1.0,4.2426405,1.0,15.637057360423263,18.0,15.553135,,14.706011,[[0.11]]
17.410105,14.701001,380,1.0,1.0,14.610851,0.93208736,21.837269,2.1618118286132812,17.410105,17.961304,19,[[-2.7]],15.553135,4.3588986,18.60218,,1.0,4.358899,1.0,16.08713962065979,19.0,15.553135,,14.701001,[[0.11]]
17.387753,14.643526,400,1.0,1.0,13.551468,0.93208736,21.599098,2.2559754848480225,17.387753,16.963097,20,[[-2.7]],15.553135,4.472136,18.60218,,1.0,4.472136,1.0,14.902155886526266,20.0,15.553135,,14.643526,[[0.11]]
17.367609,14.633071,420,1.0,1.0,14.423983,0.93208736,21.421015,2.3580660820007324,17.367609,16.964718,21,[[-2.7]],15.553135,4.582576,18.60218,,1.0,4.582576,1.0,15.879520299947234,21.0,15.553135,,14.633071,[[0.11]]
17.191362,14.668023,440,1.0,1.0,15.402007,0.93208736,21.299902,2.481882333755493,17.191362,13.49018,22,[[-2.7]],15.553135,4.690416,18.60218,,1.0,4.690416,1.0,16.99783907917684,22.0,15.553135,,14.668023,[[0.11]]
16.793316,14.684975,460,1.0,1.0,15.057901,0.93208736,21.171082,2.592299699783325,16.793316,8.036285,23,[[-2.7]],15.553135,4.795831,18.60218,,1.0,4.7958317,1.0,16.59542909985289,23.0,15.553135,,14.684975,[[0.11]]
16.832594,14.65195,480,1.0,1.0,13.892348,0.93208736,21.001492,2.7139339447021484,16.832594,17.735983,24,[[-2.7]],15.553135,4.898979,18.60218,,1.0,4.8989797,1.0,15.280530386541754,24.0,15.553135,,14.65195,[[0.11]]
16.907276,14.670891,500,1.0,1.0,15.125507,0.93208736,20.892145,2.841951370239258,16.907276,18.699642,25,[[-2.7]],15.553135,5.0,18.60218,,1.0,5.0,1.0,16.68928245594004,25.0,15.553135,,14.670891,[[0.11]]
16.907839,14.655806,520,1.0,1.0,14.27865,0.93208736,20.756247,3.0548717975616455,16.907839,16.921925,26,[[-2.7]],15.553135,5.0990195,18.60218,,1.0,5.0990195,1.0,15.710267371666662,26.0,15.553135,,14.655806,[[0.11]]
17.040096,14.650599,540,1.0,1.0,14.515224,0.93208736,20.637003,3.3042995929718018,17.040096,20.478786,27,[[-2.7]],15.553135,5.1961527,18.60218,,1.0,5.196152,1.0,15.978830542610172,27.0,15.553135,,14.650599,[[0.11]]
17.009745,14.654073,560,1.0,1.0,14.747875,0.93208736,20.532604,3.531399726867676,17.009745,16.190237,28,[[-2.7]],15.553135,5.291503,18.60218,,1.0,5.2915025,1.0,16.248269917842393,28.0,15.553135,,14.654073,[[0.11]]
17.080498,14.652375,580,1.0,1.0,14.604858,0.93208736,20.428665,3.6509625911712646,17.080498,19.061567,29,[[-2.7]],15.553135,5.3851647,18.60218,,1.0,5.3851647,1.0,16.08546755103193,29.0,15.553135,,14.652375,[[0.11]]
16.876608,14.634448,600,1.0,1.0,14.114573,0.93208736,20.31365,3.7349891662597656,16.876608,10.963816,30,[[-2.7]],15.553135,5.4772253,18.60218,,1.0,5.477226,1.0,15.478948471937498,30.0,15.553135,,14.634448,[[0.11]]
16.673872,14.6127205,620,1.0,1.0,13.9608555,0.93208736,20.199572,3.827028751373291,16.673872,10.591843,31,[[-2.7]],15.553135,5.5677643,18.60218,,1.0,5.5677643,1.0,15.346215305270789,31.0,15.553135,,14.6127205,[[0.11]]
16.624043,14.622402,640,1.0,1.0,14.922585,0.93208736,20.121265,3.916769504547119,16.624043,15.079361,32,[[-2.7]],15.553135,5.656854,18.60218,,1.0,5.656854,1.0,16.450765127658627,32.0,15.553135,,14.622402,[[0.11]]
16.648823,14.638691,660,1.0,1.0,15.15994,0.93208736,20.053596,4.008112668991089,16.648823,17.441761,33,[[-2.7]],15.553135,5.7445626,18.60218,,1.0,5.7445626,1.0,16.699170865697287,33.0,15.553135,,14.638691,[[0.11]]
16.706354,14.643498,680,1.0,1.0,14.802113,0.93208736,19.97818,4.0952982902526855,16.706354,18.604906,34,[[-2.7]],15.553135,5.830952,18.60218,,1.0,5.8309517,1.0,16.295184131788705,34.0,15.553135,,14.643498,[[0.11]]
16.765982,14.657944,700,1.0,1.0,15.149078,0.93208736,19.915863,4.184022426605225,16.765982,18.793255,35,[[-2.7]],15.553135,5.9160795,18.60218,,1.0,5.91608,1.0,16.70228166904893,35.0,15.553135,,14.657944,[[0.11]]
16.70264,14.662391,720,0.99999905,1.0,14.818069,0.93208736,19.84677,4.279206037521362,16.70264,14.485692,36,[[-2.7]],15.553135,6.0,18.60218,,1.0,6.0,1.0,16.332014901089284,36.0,15.553135,,14.662391,[[0.11]]
16.615595,14.614837,740,1.0,1.0,12.902849,0.93208736,19.728674,4.399122714996338,16.615595,13.481956,37,[[-2.7]],15.553135,6.0827622,18.60218,,1.0,6.0827627,1.0,14.163702469664011,37.0,15.553135,,14.614835,[[0.11]]
16.617718,14.62287,760,1.0,1.0,14.920128,0.93208736,19.668974,4.50268292427063,16.617718,16.69631,38,[[-2.7]],15.553135,6.164414,18.60218,,1.0,6.164414,1.0,16.460222426532603,38.0,15.553135,,14.62287,[[0.11]]
16.643621,14.627156,780,1.0,1.0,14.790011,0.93208736,19.608147,4.604145050048828,16.643621,17.627974,39,[[-2.7]],15.553135,6.244998,18.60218,,1.0,6.244998,1.000001,16.257904736555904,39.0,15.553135,,14.627156,[[0.11]]
