Bound,TimeElapsed,SqrtESSClassic,DenMISEMeanLog,LQGsigma,DenMISELogLast,ReturnMin,ReturnMean,ReturnLastEpisode,IWNorm2,ReturnAbsMax,URet,MISE,IWMax,Iteration,DenMISELogFirst,IWMin,IWFirstEpisode,IWMean,IWLastEpisode,ReturnStepMax,target_sum_log_mean,TimestepsSoFar,IWNorm1,ReturnMax,LQGmu
20.493042,2.245518445968628,5.0,16.907276,[[0.11]],18.699642,,14.392913,14.842706,5.0,15.250321,16.36398958776696,14.392913,1.0,25,18.60218,,1.0,1.0,1.0,0.93345404,16.907276,500,25.0,15.250321,[[-2.6]]
20.357788,2.326181173324585,5.0990195,16.907839,[[0.11]],16.921925,,14.376121,13.956308,5.0990195,15.250321,15.339498366454205,14.376121,1.0,26,18.60218,,1.0,1.0,1.0,0.93345404,16.907839,520,26.0,15.250321,[[-2.6]]
20.241226,2.4127633571624756,5.1961527,17.040096,[[0.11]],20.478786,,14.371374,14.247979,5.196152,15.250321,15.668037281685317,14.371374,1.0,27,18.60218,,1.0,1.0,1.0,0.93345404,17.040096,540,27.0,15.250321,[[-2.6]]
20.13908,2.6262047290802,5.291503,17.009745,[[0.11]],16.190237,,14.375,14.472896,5.2915025,15.250321,15.928428309470918,14.375,1.0,28,18.60218,,1.0,1.0,1.0,0.93345404,17.009745,560,28.0,15.250321,[[-2.6]]
20.036346,2.73112154006958,5.3851647,17.080498,[[0.11]],19.061567,,14.372519,14.303008,5.3851647,15.250321,15.736486681324177,14.372519,1.0,29,18.60218,,1.0,1.0,1.0,0.93345404,17.080498,580,29.0,15.250321,[[-2.6]]
19.92012,2.8448357582092285,5.4772253,16.876608,[[0.11]],10.963816,,14.351491,13.741702,5.477226,15.250321,15.047993888542832,14.351491,1.0,30,18.60218,,1.0,1.0,1.0,0.93345404,16.876608,600,30.0,15.250321,[[-2.6]]
19.807617,2.937227487564087,5.5677643,16.673872,[[0.11]],10.591843,,14.32954,13.671049,5.5677643,15.250321,15.011017430248543,14.32954,1.0,31,18.60218,,1.0,1.0,1.0,0.93345404,16.673872,620,31.0,15.250321,[[-2.6]]
19.73139,3.025677442550659,5.656854,16.624043,[[0.11]],15.079361,,14.339587,14.651021,5.656854,15.250321,16.135333813907923,14.339587,1.0,32,18.60218,,1.0,1.0,1.0,0.93345404,16.624043,640,32.0,15.250321,[[-2.6]]
19.66351,3.1163933277130127,5.7445626,16.648823,[[0.11]],17.441761,,14.354028,14.816151,5.7445626,15.250321,16.30236908552573,14.354028,1.0,33,18.60218,,1.0,1.0,1.0,0.93345404,16.648823,660,33.0,15.250321,[[-2.6]]
19.589073,3.2092885971069336,5.830952,16.706354,[[0.11]],18.604906,,14.358255,14.497751,5.8309517,15.250321,15.941253386530626,14.358255,1.0,34,18.60218,,1.0,1.0,1.0,0.93345404,16.706354,680,34.0,15.250321,[[-2.6]]
19.527807,3.303124189376831,5.9160795,16.765982,[[0.11]],18.793255,,14.372257,14.848291,5.91608,15.250321,16.354665981494303,14.372257,1.0,35,18.60218,,1.0,1.0,1.0,0.93345404,16.765982,700,35.0,15.250321,[[-2.6]]
19.461044,3.3987650871276855,6.0,16.70264,[[0.11]],14.485692,,14.3776045,14.564768,6.0,15.250321,16.03497689613938,14.3776045,1.0,36,18.60218,,1.0,1.0,0.99999905,0.93345404,16.70264,720,36.0,15.250321,[[-2.6]]
19.349005,3.496138572692871,6.0827622,16.615595,[[0.11]],13.481956,,14.33473,12.79126,6.0827627,15.250321,14.029843711510868,14.33473,1.0,37,18.60218,,1.0,1.0,1.0,0.93345404,16.615595,740,37.0,15.250321,[[-2.6]]
19.292206,3.5956382751464844,6.164414,16.617718,[[0.11]],16.69631,,14.344348,14.700165,6.164414,15.250321,16.202853983350867,14.344348,1.0,38,18.60218,,1.0,1.0,1.0,0.93345404,16.617718,760,38.0,15.250321,[[-2.6]]
19.230482,3.6975111961364746,6.244998,16.643621,[[0.11]],17.627974,,14.346468,14.427109,6.244998,15.250321,15.837211024439913,14.34647,1.000001,39,18.60218,,1.0,1.0,1.0,0.93345404,16.643621,780,39.0,15.250321,[[-2.6]]
