LQGsigma,IWNorm1,ReturnAbsMax,URet,TimeElapsed,SqrtESSClassic,IWMax,Iteration,ReturnStepMax,IWNorm2,ReturnMin,ReturnMean,Bound,IWMin,target_sum_log_mean,DenMISEMeanLog,IWFirstEpisode,IWLastEpisode,ReturnMax,DenMISELogLast,ReturnLastEpisode,DenMISELogFirst,LQGmu,MISE,IWMean,TimestepsSoFar
[[0.11]],11.0,10.641584,11.451306578957915,1.3293571472167969,3.3166246,1.0,11,0.94569385,3.3166249,,10.416287,16.833405,,17.704332,17.704332,1.0,1.0,10.641584,17.162804,10.51296,18.60218,[[-1.9]],10.416287,1.0,220
[[0.11]],12.0,10.641584,11.33899628701634,1.3837554454803467,3.4641018,1.0,12,0.94569385,3.4641016,,10.415341,16.559263,,17.749504,17.749504,1.0,1.0,10.641584,18.246395,10.40494,18.60218,[[-1.9]],10.415341,1.0,240
[[0.11]],13.0,10.641584,11.224322997159097,1.4393746852874756,3.6055512,1.0,13,0.94569385,3.6055512,,10.406107,16.308996,,17.249323,17.249323,1.0,1.0,10.641584,11.2471485,10.29529,18.60218,[[-1.9]],10.406107,1.0,260
[[0.11]],14.0,10.641584,11.162601617774687,1.4979135990142822,3.7416573,1.0,14,0.94569385,3.7416575,,10.394052,16.082218,,17.261106,17.261106,1.0,1.0,10.641584,17.414305,10.237331,18.60218,[[-1.9]],10.394052,1.0,280
[[0.11]],15.0,10.641584,11.23207390343796,1.5575506687164307,3.8729832,1.0,15,0.94569385,3.8729835,,10.387834,15.883123,,17.331339,17.331339,1.0,1.0,10.641584,18.314592,10.300769,18.60218,[[-1.9]],10.387834,1.0,300
[[0.11]],16.0,10.641584,11.381296165202297,1.6195635795593262,4.0,1.0,16,0.94569385,4.0,,10.391417,15.712209,,17.285133,17.285133,1.0,1.0,10.641584,16.592031,10.445162,18.60218,[[-1.9]],10.391417,1.0,320
[[0.11]],17.0,10.641584,11.223671466993189,1.6845815181732178,4.1231055,1.0,17,0.94569385,4.1231055,,10.385708,15.547634,,17.328156,17.328156,1.0,1.0,10.641584,18.01651,10.294379,18.60218,[[-1.9]],10.385708,1.0,340
[[0.11]],18.0,10.641584,11.158505583567443,1.7524893283843994,4.242641,1.0,18,0.94569385,4.2426405,,10.377117,15.393608,,17.379482,17.379482,1.0,1.0,10.641584,18.252035,10.231087,18.60218,[[-1.9]],10.377117,1.0,360
[[0.11]],19.0,10.641584,11.263484530999742,1.8200874328613281,4.3588986,1.0,19,0.94569385,4.358899,,10.374662,15.257357,,17.410105,17.410105,1.0,1.0,10.641584,17.961304,10.330463,18.60218,[[-1.9]],10.374662,1.0,380
[[0.11]],20.0,10.641584,11.17637841343603,1.8917546272277832,4.472136,1.0,20,0.9467273,4.472136,,10.36841,15.127472,,17.387753,17.387753,1.0,1.0,10.641584,16.963099,10.249615,18.60218,[[-1.9]],10.36841,1.0,400
[[0.11]],21.0,10.641584,11.227691946919794,1.9656035900115967,4.582576,1.0,21,0.9467273,4.582576,,10.365,15.009368,,17.367609,17.367609,1.0,1.0,10.641584,16.964718,10.296789,18.60218,[[-1.9]],10.365,1.0,420
[[0.11]],22.0,10.641584,11.473723716294428,2.039247751235962,4.690416,1.0,22,0.951987,4.690416,,10.372471,14.910057,,17.191362,17.191362,1.0,1.0,10.641584,13.49018,10.529349,18.60218,[[-1.9]],10.372471,1.0,440
[[0.11]],23.0,10.641584,11.465226948266737,2.117950201034546,4.795831,1.0,23,0.951987,4.7958317,,10.379045,14.816893,,16.793316,16.793316,1.0,1.0,10.641584,8.036284,10.523668,18.60218,[[-1.9]],10.379045,1.0,460
[[0.11]],24.0,10.641584,11.284063954597304,2.256112575531006,4.898979,1.0,24,0.951987,4.8989797,,10.377854,14.722263,,16.832594,16.832594,1.0,1.0,10.641584,17.735985,10.350492,18.60218,[[-1.9]],10.377854,1.0,480
[[0.11]],25.0,10.641584,11.22189550784839,2.387937545776367,5.0,1.0,25,0.951987,5.0,,10.374446,14.63108,,16.907276,16.907276,1.0,1.0,10.641584,18.699642,10.292632,18.60218,[[-1.9]],10.374446,1.0,500
[[0.11]],26.0,10.641584,11.353572425470981,2.580591917037964,5.0990195,1.0,26,0.951987,5.0990195,,10.376092,14.550064,,16.907839,16.907839,1.0,1.0,10.641584,16.921925,10.417238,18.60218,[[-1.9]],10.376092,1.0,520
[[0.11]],27.0,10.641584,11.229462098738026,2.6646056175231934,5.1961527,1.0,27,0.951987,5.196152,,10.373293,14.46924,,17.040096,17.040096,1.0,1.0,10.641584,20.478788,10.300539,18.60218,[[-1.9]],10.373293,1.0,540
[[0.11]],28.0,10.641584,11.335324897437204,2.7507035732269287,5.291503,1.0,28,0.951987,5.2915025,,10.374238,14.3963785,,17.009745,17.009745,1.0,1.0,10.641584,16.190237,10.399758,18.60218,[[-1.9]],10.374238,1.0,560
[[0.11]],29.0,10.641584,11.217146892227387,2.8374598026275635,5.3851647,1.0,29,0.951987,5.3851647,,10.371206,14.323391,,17.080498,17.080498,1.0,1.0,10.641584,19.061567,10.286324,18.60218,[[-1.9]],10.371206,1.0,580
[[0.11]],30.0,10.641584,11.386388262092185,2.930562973022461,5.4772253,1.0,30,0.951987,5.477226,,10.373874,14.259631,,16.876608,16.876608,1.0,1.0,10.641584,10.963816,10.451228,18.60218,[[-1.9]],10.373874,1.0,600
[[0.11]],31.0,10.641584,11.327175245512027,3.0273728370666504,5.5677643,1.0,31,0.951987,5.5677643,,10.374508,14.197078,,16.673872,16.673872,1.0,1.0,10.641584,10.591843,10.393502,18.60218,[[-1.9]],10.374508,1.0,620
[[0.11]],32.0,10.641584,11.248098299856466,3.119635820388794,5.656854,1.0,32,0.951987,5.656854,,10.372723,14.135091,,16.624044,16.624044,1.0,1.0,10.641584,15.079363,10.317419,18.60218,[[-1.9]],10.372723,1.0,640
[[0.11]],33.0,10.641584,11.45914416260132,3.2535488605499268,5.7445626,1.0,33,0.951987,5.7445626,,10.3771105,14.082035,,16.648823,16.648823,1.0,1.0,10.641584,17.441761,10.517493,18.60218,[[-1.9]],10.3771105,1.0,660
[[0.11]],34.0,10.641584,11.404546984674717,3.3441271781921387,5.830952,1.0,34,0.951987,5.8309517,,10.379738,14.029771,,16.706356,16.706356,1.0,1.0,10.641584,18.604906,10.466411,18.60218,[[-1.9]],10.379738,1.0,680
[[0.11]],35.0,10.641584,11.356885121296665,3.441469192504883,5.9160795,1.0,35,0.951987,5.91608,,10.380903,13.9784155,,16.765982,16.765982,1.0,1.0,10.641584,18.793255,10.420543,18.60218,[[-1.9]],10.380903,1.0,700
[[0.11]],36.0,10.641584,11.427301150293088,3.542274236679077,6.0,1.0,36,0.951987,6.0,,10.383794,13.930988,,16.70264,16.70264,1.0,1.0,10.641584,14.485689,10.485006,18.60218,[[-1.9]],10.383794,1.0,720
[[0.11]],37.0,10.641584,11.040891454476158,3.6382205486297607,6.0827622,1.0,37,0.951987,6.0827627,,10.376633,13.875565,,16.615595,16.615595,1.0,1.0,10.641584,13.481952,10.118822,18.60218,[[-1.9]],10.376633,1.0,740
[[0.11]],38.0,10.641584,11.198789497207136,3.747108221054077,6.164414,1.0,38,0.951987,6.164414,,10.373835,13.82642,,16.617718,16.617718,1.0,1.0,10.641584,16.69631,10.270279,18.60218,[[-1.9]],10.373835,1.0,760
[[0.11]],39.0,10.641584,11.421114278303069,3.850003242492676,6.244998,1.0,39,0.951987,6.244998,,10.3766365,13.784672,,16.643621,16.643621,1.0,1.0,10.641584,17.627974,10.483092,18.60218,[[-1.9]],10.3766365,1.0,780
