MISE,SqrtESSClassic,IWMax,ReturnMax,ReturnStepMax,IWNorm2,IWFirstEpisode,Bound,DenMISELogFirst,DenMISELogLast,IWLastEpisode,LQGmu,ReturnLastEpisode,ReturnAbsMax,ReturnMean,LQGsigma,DenMISEMeanLog,Iteration,ReturnMin,target_sum_log_mean,TimeElapsed,TimestepsSoFar,IWNorm1,IWMin,IWMean,URet
14.897236,3.3166246,1.0,15.995437,0.97585267,3.3166249,1.0,24.542847,18.60218,17.162804,1.0,[[-3.]],15.703112,15.995437,14.897236,[[0.11]],17.704332,11,,17.704332,1.4247019290924072,220,11.0,,1.0,17.34339768660617
14.837825,3.4641018,1.0,15.995437,0.97585267,3.4641016,1.0,24.072794,18.60218,18.246395,1.0,[[-3.]],14.184309,15.995437,14.837825,[[0.11]],17.749504,12,,17.749504,1.5113272666931152,240,12.0,,1.0,15.620596914731935
14.74061,3.6055512,1.0,15.995437,0.97585267,3.6055512,1.0,23.613281,18.60218,11.24715,1.0,[[-3.]],13.574023,15.995437,14.74061,[[0.11]],17.249325,13,,17.249325,1.5663058757781982,260,13.0,,1.0,14.920630439603586
14.682901,3.7416573,1.0,15.995437,0.97585267,3.7416575,1.0,23.232822,18.60218,17.414305,1.0,[[-3.]],13.932702,15.995437,14.682901,[[0.11]],17.261108,14,,17.261108,1.6397621631622314,280,14.0,,1.0,15.342515552080084
14.719954,3.8729832,1.0,15.995437,0.97585267,3.8729835,1.0,22.979961,18.60218,18.31459,1.0,[[-3.]],15.23868,15.995437,14.719954,[[0.11]],17.331339,15,,17.331339,1.7144336700439453,300,15.0,,1.0,16.84917101727678
14.736823,4.0,1.0,15.995437,0.97585267,4.0,1.0,22.73454,18.60218,16.592031,1.0,[[-3.]],14.989866,15.995437,14.736823,[[0.11]],17.285133,16,,17.285133,1.7853507995605469,320,16.0,,1.0,16.52907669082273
14.674109,4.1231055,1.0,15.995437,0.97585267,4.1231055,1.0,22.433037,18.60218,18.01651,1.0,[[-3.]],13.670684,15.995437,14.674109,[[0.11]],17.328156,17,,17.328156,1.8463919162750244,340,17.0,,1.0,15.030534466743987
14.650389,4.242641,1.0,15.995437,0.97585267,4.2426405,1.0,22.19071,18.60218,18.252035,1.0,[[-3.]],14.247156,15.995437,14.650389,[[0.11]],17.379482,18,,17.379482,1.9102563858032227,360,18.0,,1.0,15.692048241126848
14.640816,4.3588986,1.0,15.995437,0.97585267,4.358899,1.0,21.980026,18.60218,17.961304,1.0,[[-3.]],14.4685135,15.995437,14.640816,[[0.11]],17.410105,19,,17.410105,1.9763479232788086,380,19.0,,1.0,15.952666984452042
14.552646,4.472136,1.0,15.995437,0.97585267,4.472136,1.0,21.706022,18.60218,16.963097,1.0,[[-3.]],12.877423,15.995437,14.552646,[[0.11]],17.387753,20,,17.387753,2.0456156730651855,400,20.0,,1.0,14.165310232777408
14.53463,4.582576,1.0,15.995437,0.97585267,4.582576,1.0,21.51561,18.60218,16.964718,1.0,[[-3.]],14.17429,15.995437,14.53463,[[0.11]],17.367609,21,,17.367609,2.1282501220703125,420,21.0,,1.0,15.622419338036387
14.5789795,4.690416,1.0,15.995437,0.97585267,4.690416,1.0,21.399456,18.60218,13.49018,1.0,[[-3.]],15.510336,15.995437,14.5789795,[[0.11]],17.191362,22,,17.191362,2.201627731323242,440,22.0,,1.0,17.148620305045664
14.601491,4.795831,1.0,15.995437,0.97585267,4.7958317,1.0,21.272049,18.60218,8.036285,1.0,[[-3.]],15.0967245,15.995437,14.601491,[[0.11]],16.793316,23,,16.793316,2.2753241062164307,460,23.0,,1.0,16.66737563146361
14.556249,4.898979,1.0,15.995437,0.97585267,4.8989797,1.0,21.086359,18.60218,17.735983,1.0,[[-3.]],13.5156975,15.995437,14.556249,[[0.11]],16.832594,24,,16.832594,2.351280450820923,480,24.0,,1.0,14.877549784576823
14.584077,5.0,1.0,15.995437,0.97585267,5.0,1.0,20.982252,18.60218,18.699642,1.0,[[-3.]],15.251922,15.995437,14.584077,[[0.11]],16.907276,25,,16.907276,2.4298510551452637,500,25.0,,1.0,16.85373614894706
14.573633,5.0990195,1.0,15.995437,0.97585267,5.0990195,1.0,20.847559,18.60218,16.921925,1.0,[[-3.]],14.312544,15.995437,14.573633,[[0.11]],16.907839,26,,16.907839,2.5107898712158203,520,26.0,,1.0,15.766413813809933
14.566181,5.1961527,1.0,15.995437,0.97585267,5.196152,1.0,20.722828,18.60218,20.478785,1.0,[[-3.]],14.372444,15.995437,14.566181,[[0.11]],17.040096,27,,17.040096,2.5938169956207275,540,27.0,,1.0,15.840526924245209
14.560823,5.291503,1.0,15.995437,0.97585267,5.2915025,1.0,20.60653,18.60218,16.190237,1.0,[[-3.]],14.416161,15.995437,14.560823,[[0.11]],17.009745,28,,17.009745,2.6790835857391357,560,28.0,,1.0,15.90516563738046
14.56563,5.3851647,1.0,15.995437,0.97585267,5.3851647,1.0,20.506186,18.60218,19.061567,1.0,[[-3.]],14.700204,15.995437,14.56563,[[0.11]],17.080498,29,,17.080498,2.766345739364624,580,29.0,,1.0,16.212367651567455
14.536436,5.4772253,1.0,15.995437,0.97585267,5.477226,1.0,20.377144,18.60218,10.963816,1.0,[[-3.]],13.68981,15.995437,14.536436,[[0.11]],16.876608,30,,16.876608,2.8519492149353027,600,30.0,,1.0,15.030685000199105
14.516111,5.5677643,1.0,15.995437,0.97585267,5.5677643,1.0,20.26184,18.60218,10.591843,1.0,[[-3.]],13.906412,15.995437,14.516111,[[0.11]],16.673872,31,,16.673872,2.941361427307129,620,31.0,,1.0,15.302902529614006
14.52729,5.656854,1.0,15.995437,0.97585267,5.656854,1.0,20.182531,18.60218,15.079361,1.0,[[-3.]],14.873833,15.995437,14.52729,[[0.11]],16.624043,32,,16.624043,3.0362794399261475,640,32.0,,1.0,16.422671502888377
14.556609,5.7445626,1.0,15.995437,0.97585267,5.7445626,1.0,20.125505,18.60218,17.441761,1.0,[[-3.]],15.494794,15.995437,14.556609,[[0.11]],16.648823,33,,16.648823,3.134164810180664,660,33.0,,1.0,17.104946644900096
14.565437,5.830952,1.0,15.995437,0.97585267,5.8309517,1.0,20.051826,18.60218,18.604906,1.0,[[-3.]],14.856779,15.995437,14.565437,[[0.11]],16.706354,34,,16.706354,3.24463152885437,680,34.0,,1.0,16.384256043356224
14.580525,5.9160795,1.0,15.995437,0.97585267,5.91608,1.0,19.98797,18.60218,18.793255,1.0,[[-3.]],15.093484,15.995437,14.580525,[[0.11]],16.765982,35,,16.765982,3.349919557571411,700,35.0,,1.0,16.670261074350467
14.5767975,6.0,1.0,15.995437,0.97585267,6.0,1.0,19.90861,18.60218,14.485692,0.99999905,[[-3.]],14.446337,15.995437,14.5767975,[[0.11]],16.70264,36,,16.70264,3.5131475925445557,720,36.0,,1.0,15.949108799534411
14.508694,6.0827622,1.0,15.995437,0.97585267,6.0827627,1.0,19.767962,18.60218,13.48195,1.0,[[-3.]],12.056942,15.995437,14.508694,[[0.11]],16.615595,37,,16.615595,3.653557300567627,740,37.0,,1.0,13.232407888162166
14.51124,6.164414,1.0,15.995437,0.97585267,6.164414,1.0,19.700844,18.60218,16.69631,1.0,[[-3.]],14.605478,15.995437,14.51124,[[0.11]],16.617718,38,,16.617718,3.7582337856292725,760,38.0,,1.0,16.1365032176813
14.523287,6.244998,1.0,15.995437,0.97585267,6.244998,1.0,19.645927,18.60218,17.627972,1.0,[[-3.]],14.981113,15.995437,14.523287,[[0.11]],16.643621,39,,16.643621,3.8662612438201904,780,39.0,,1.0,16.506330153916114
