ReturnLastEpisode,ReturnMean,IWMean,TimeElapsed,DenMISEMeanLog,DenMISELogFirst,URet,ReturnAbsMax,IWMax,IWLastEpisode,LQGmu,TimestepsSoFar,IWNorm1,IWMin,ReturnMax,SqrtESSClassic,LQGsigma,Iteration,ReturnStepMax,DenMISELogLast,MISE,IWFirstEpisode,Bound,target_sum_log_mean,ReturnMin,IWNorm2
9.966682,10.02612,1.0,2.654967784881592,17.387753,18.60218,10.861777277566752,10.185423,1.0,1.0,[[-1.7]],400,20.0,,10.185423,4.472136,[[0.11]],20,0.94646096,16.963097,10.02612,1.0,14.58118,17.387753,,4.472136
9.912934,10.02073,1.0,2.726454734802246,17.367609,18.60218,10.804269642382625,10.185423,1.0,1.0,[[-1.7]],420,21.0,,10.185423,4.582576,[[0.11]],21,0.94646096,16.964718,10.02073,1.0,14.466013,17.367609,,4.582576
10.11637,10.025077,1.0,2.799187421798706,17.191362,18.60218,11.019639012297745,10.185423,1.0,1.0,[[-1.7]],440,22.0,,10.185423,4.690416,[[0.11]],22,0.94826025,13.490178,10.025077,1.0,14.368156,17.191362,,4.690416
10.146873,10.030373,1.0,2.8716790676116943,16.793316,18.60218,11.049828163754983,10.185423,1.0,1.0,[[-1.7]],460,23.0,,10.185423,4.795831,[[0.11]],23,0.94826025,8.036286,10.030373,1.0,14.277988,16.793316,,4.7958317
9.980191,10.028282,1.0,2.946817636489868,16.832594,18.60218,10.87646474307366,10.185423,1.0,1.0,[[-1.7]],480,24.0,,10.185423,4.898979,[[0.11]],24,0.94826025,17.735983,10.028282,1.0,14.186464,16.832594,,4.8989797
10.021671,10.028018,1.0,3.023939609527588,16.907276,18.60218,10.918957678046624,10.185423,1.0,1.0,[[-1.7]],500,25.0,,10.185423,5.0,[[0.11]],25,0.94826025,18.699644,10.028018,1.0,14.102187,16.907276,,5.0
10.0922165,10.030487,1.0,3.102198839187622,16.907839,18.60218,10.994463753495328,10.185423,1.0,1.0,[[-1.7]],520,26.0,,10.185423,5.0990195,[[0.11]],26,0.94826025,16.921925,10.030487,1.0,14.025538,16.907839,,5.0990195
10.014113,10.029881,1.0,3.1819422245025635,17.040096,18.60218,10.910248054112712,10.185423,1.0,1.0,[[-1.7]],540,27.0,,10.185423,5.1961527,[[0.11]],27,0.94826025,20.478786,10.029881,1.0,13.950252,17.040096,,5.196152
10.05665,10.030836,1.0,3.2695019245147705,17.009745,18.60218,10.95531381719343,10.185423,1.0,1.0,[[-1.7]],560,28.0,,10.185423,5.291503,[[0.11]],28,0.94826025,16.190237,10.030836,1.0,13.880564,17.009745,,5.2915025
9.992823,10.029525,1.0,3.433567762374878,17.080498,18.60218,10.891315739821152,10.185423,1.0,1.0,[[-1.7]],580,29.0,,10.185423,5.3851647,[[0.11]],29,0.94826025,19.06157,10.029525,1.0,13.812296,17.080498,,5.3851647
10.045207,10.030048,1.0,3.6213366985321045,16.876608,18.60218,10.939179858799205,10.185423,1.0,1.0,[[-1.7]],600,30.0,,10.185423,5.4772253,[[0.11]],30,0.94826025,10.963818,10.030048,1.0,13.749239,16.876608,,5.477226
10.040404,10.030383,1.0,3.8187386989593506,16.673872,18.60218,10.937019245952289,10.185423,1.0,1.0,[[-1.7]],620,31.0,,10.185423,5.5677643,[[0.11]],31,0.94826025,10.591845,10.030383,1.0,13.689095,16.673872,,5.5677643
10.008905,10.029711,1.0,4.003944635391235,16.624043,18.60218,10.90502717352817,10.185423,1.0,1.0,[[-1.7]],640,32.0,,10.185423,5.656854,[[0.11]],32,0.94826025,15.079361,10.029711,1.0,13.630801,16.624043,,5.656854
10.119635,10.032435,1.0,4.1851806640625,16.648823,18.60218,11.021350465593834,10.185423,1.0,1.0,[[-1.7]],660,33.0,,10.185423,5.7445626,[[0.11]],33,0.94826025,17.441761,10.032435,1.0,13.578545,16.648823,,5.7445626
10.086527,10.034027,1.0,4.5271642208099365,16.706354,18.60218,10.985245716255115,10.185423,1.0,1.0,[[-1.7]],680,34.0,,10.185423,5.830952,[[0.11]],34,0.94826025,18.604906,10.034027,1.0,13.527598,16.706354,,5.8309517
10.117475,10.036412,1.0,4.608086347579956,16.765982,18.60218,11.020865096572036,10.185423,1.0,1.0,[[-1.7]],700,35.0,,10.185423,5.9160795,[[0.11]],35,0.94826025,18.793257,10.036412,1.0,13.479713,16.765982,,5.91608
9.989709,10.035114,1.0,4.723697662353516,16.70264,18.60218,10.885387729650883,10.185423,1.0,0.99999905,[[-1.7]],720,36.0,,10.185423,6.0,[[0.11]],36,0.94826025,14.485692,10.035114,1.0,13.430256,16.70264,,6.0
9.868193,10.030602,1.0,4.835294008255005,16.615595,18.60218,10.758995086223033,10.185423,1.0,1.0,[[-1.7]],740,37.0,,10.185423,6.0827622,[[0.11]],37,0.94826025,13.48195,10.0306015,1.0,13.379548,16.615595,,6.0827627
9.952892,10.028558,1.0,4.932235240936279,16.617718,18.60218,10.847392840334873,10.185423,1.0,1.0,[[-1.7]],760,38.0,,10.185423,6.164414,[[0.11]],38,0.94826025,16.69631,10.028557,1.0,13.333144,16.617718,,6.164414
10.106547,10.030558,1.0,5.063651084899902,16.643621,18.60218,11.004687284880188,10.185423,1.0,1.0,[[-1.7]],780,39.0,,10.185423,6.244998,[[0.11]],39,0.94826025,17.627972,10.030557,1.0,13.292502,16.643621,,6.244998
