ReturnMean,MISE,LQGsigma,TimeElapsed,TimestepsSoFar,SqrtESSClassic,IWLastEpisode,Bound,Iteration,DenMISEMeanLog,ReturnMax,ReturnMin,URet,IWMax,target_sum_log_mean,DenMISELogFirst,IWNorm1,IWMin,IWMean,ReturnAbsMax,LQGmu,DenMISELogLast,ReturnLastEpisode,ReturnStepMax,IWNorm2,IWFirstEpisode
9.115773,9.115773,[[0.11]],2.5156664848327637,540,5.1961527,1.0,12.683415,27,17.040096,9.269008,,9.86319543226197,1.0,17.040096,18.60218,27.0,,1.0,9.269008,[[-1.4]],20.478786,9.110322,0.9466503,5.196152,1.0
9.116905,9.116905,[[0.11]],2.6105735301971436,560,5.291503,1.0,12.62026,28,17.009745,9.269008,,9.90033639385181,1.0,17.009745,18.60218,28.0,,1.0,9.269008,[[-1.4]],16.19024,9.1474695,0.9466503,5.2915025,1.0
9.11684,9.11684,[[0.11]],2.7009341716766357,580,5.3851647,1.0,12.559263,29,17.080498,9.269008,,9.874894037777992,1.0,17.080498,18.60218,29.0,,1.0,9.269008,[[-1.4]],19.061567,9.115026,0.9466503,5.3851647,1.0
9.116157,9.116157,[[0.11]],2.8283705711364746,600,5.4772253,1.0,12.50072,30,16.876608,9.269008,,9.841119138509946,1.0,16.876608,18.60218,30.0,,1.0,9.269008,[[-1.4]],10.963816,9.096351,0.9466503,5.477226,1.0
9.116103,9.116103,[[0.11]],2.958322763442993,620,5.5677643,1.0,12.445629,31,16.673874,9.269008,,9.866505810839726,1.0,16.673874,18.60218,31.0,,1.0,9.269008,[[-1.4]],10.591841,9.114497,0.9466503,5.5677643,1.0
9.116196,9.116196,[[0.11]],3.1334352493286133,640,5.656854,1.0,12.393285,32,16.624044,9.269008,,9.871673162705337,1.0,16.624044,18.60218,32.0,,1.0,9.269008,[[-1.4]],15.079359,9.11905,0.9466503,5.656854,1.0
9.119315,9.119315,[[0.11]],3.3012263774871826,660,5.7445626,1.0,12.34637,33,16.648823,9.269008,,9.979775383638946,1.0,16.648823,18.60218,33.0,,1.0,9.269008,[[-1.4]],17.441761,9.219167,0.9466503,5.7445626,1.0
9.121399,9.121399,[[0.11]],3.4877450466156006,680,5.830952,1.0,12.300642,34,16.706356,9.269008,,9.944906976202653,1.0,16.706356,18.60218,34.0,,1.0,9.269008,[[-1.4]],18.604908,9.190161,0.9466503,5.8309517,1.0
9.12469,9.12469,[[0.11]],3.6655972003936768,700,5.9160795,1.0,12.258186,35,16.765982,9.269008,,10.000366151138286,1.0,16.765982,18.60218,35.0,,1.0,9.269008,[[-1.4]],18.793257,9.236545,0.9466503,5.91608,1.0
9.122789,9.122789,[[0.11]],3.7799856662750244,720,6.0,1.000001,12.212459,36,16.70264,9.269008,,9.804124597671803,1.000001,16.70264,18.60218,36.0,,1.0,9.269008,[[-1.4]],14.485692,9.05627,0.9466503,6.0,1.0
9.115759,9.115759,[[0.11]],3.9162137508392334,740,6.0827622,1.0,12.16339,37,16.615595,9.269008,,9.602683475318365,1.000001,16.615595,18.60218,37.0,,1.0,9.269008,[[-1.4]],13.481949,8.86267,0.9466503,6.0827627,1.0
9.114556,9.114556,[[0.11]],4.0370941162109375,760,6.164414,1.0,12.1218195,38,16.617718,9.269008,,9.822715429203756,1.000001,16.617718,18.60218,38.0,,1.0,9.269008,[[-1.4]],16.696306,9.070087,0.9466503,6.164414,1.0
9.115913,9.115913,[[0.11]],4.145808458328247,780,6.244998,1.0,12.084372,39,16.643621,9.269008,,9.917778491041796,1.000001,16.643621,18.60218,39.0,,1.0,9.269008,[[-1.4]],17.627974,9.167479,0.9466503,6.244998,1.0
