IWNorm1,ReturnMean,ReturnAbsMax,IWMin,URet,IWMax,SqrtESSClassic,MISE,DenMISELogFirst,DenMISELogLast,LQGmu,DenMISEMeanLog,ReturnMin,TimeElapsed,IWNorm2,IWMean,IWLastEpisode,ReturnLastEpisode,TimestepsSoFar,Iteration,ReturnStepMax,Bound,target_sum_log_mean,IWFirstEpisode,LQGsigma,ReturnMax
14.0,11.126844,12.2935295,,11.248804916143008,1.0,3.7416573,11.126844,18.60218,17.4143,[[-0.9]],17.261108,,1.6039488315582275,3.7416575,1.0,1.0,10.394652,280,14,0.95279497,17.698013,17.261108,1.0,[[0.11]],12.2935295
15.0,11.150225,12.2935295,,12.524283884356903,1.0,3.8729832,11.150225,18.60218,18.31459,[[-0.9]],17.331339,,1.6614139080047607,3.8729835,1.0,1.0,11.477567,300,15,0.95279497,17.498577,17.331339,1.0,[[0.11]],12.2935295
16.0,11.15554,12.2935295,,12.293100142840384,1.0,4.0,11.15554,18.60218,16.59203,[[-0.9]],17.285133,,1.7195544242858887,4.0,1.0,1.0,11.235286,320,16,0.96001065,17.302305,17.285133,1.0,[[0.11]],12.2935295
17.0,11.117646,12.2935295,,11.385738754674207,1.0,4.1231055,11.117646,18.60218,18.01651,[[-0.9]],17.328156,,1.7793643474578857,4.1231055,1.0,1.0,10.511333,340,17,0.96001065,17.080883,17.328156,1.0,[[0.11]],12.2935295
18.0,11.084789,12.2935295,,11.419287593527484,1.0,4.242641,11.084789,18.60218,18.252037,[[-0.9]],17.379482,,1.8410632610321045,4.2426405,1.0,1.0,10.526224,360,18,0.96001065,16.880014,17.379482,1.0,[[0.11]],12.2935295
19.0,11.075339,12.2935295,,11.857417982598262,1.0,4.3588986,11.075339,18.60218,17.961308,[[-0.9]],17.410105,,1.9055240154266357,4.358899,1.0,1.0,10.905226,380,19,0.96001065,16.715998,17.410105,1.0,[[0.11]],12.2935295
20.0,10.997499,12.2935295,,10.257721113142205,1.0,4.472136,10.997499,18.60218,16.963099,[[-0.9]],17.387753,,1.9753596782684326,4.472136,1.0,1.0,9.518543,400,20,0.96001065,16.495333,17.387753,1.0,[[0.11]],12.2935295
21.0,10.981595,12.2935295,,11.558171926575426,1.0,4.582576,10.981595,18.60218,16.96472,[[-0.9]],17.367609,,2.0685536861419678,4.582576,1.0,1.0,10.663508,420,21,0.96001065,16.346931,17.367609,1.0,[[0.11]],12.2935295
22.0,11.0263605,12.2935295,,13.14759110031642,1.0,4.690416,11.0263605,18.60218,13.49018,[[-0.9]],17.191362,,2.195697546005249,4.690416,1.0,1.0,11.966438,440,22,0.96001065,16.26834,17.191362,1.0,[[0.11]],12.2935295
23.0,11.036424,12.2935295,,12.301065389361398,1.0,4.795831,11.036424,18.60218,8.036284,[[-0.9]],16.793316,,2.3655805587768555,4.7958317,1.0,1.0,11.257795,460,23,0.96001065,16.16318,16.793316,1.0,[[0.11]],12.2935295
24.0,10.999851,12.2935295,,10.989897019202285,1.0,4.898979,10.999851,18.60218,17.735985,[[-0.9]],16.832594,,2.4496257305145264,4.8989797,1.0,1.0,10.158705,480,24,0.96001065,16.018663,16.832594,1.0,[[0.11]],12.2935295
25.0,11.01409,12.2935295,,12.407246233601839,1.0,5.0,11.01409,18.60218,18.699646,[[-0.9]],16.907276,,2.677981376647949,5.0,1.0,1.0,11.355785,500,25,0.96001065,15.931501,16.907276,1.0,[[0.11]],12.2935295
26.0,10.994506,12.2935295,,11.430651432815548,1.0,5.0990195,10.994506,18.60218,16.92192,[[-0.9]],16.907839,,2.9062695503234863,5.0990195,1.0,1.0,10.504923,520,26,0.96001065,15.816425,16.907839,1.0,[[0.11]],12.2935295
27.0,10.984828,12.2935295,,11.653116752377944,1.0,5.1961527,10.984828,18.60218,20.478785,[[-0.9]],17.040096,,3.077000856399536,5.196152,1.0,1.0,10.733215,540,27,0.96001065,15.71661,17.040096,1.0,[[0.11]],12.2935295
28.0,10.9774885,12.2935295,,11.691811670288553,1.0,5.291503,10.9774885,18.60218,16.19024,[[-0.9]],17.009745,,3.239112377166748,5.2915025,1.0,1.0,10.779327,560,28,0.9613732,15.624005,17.009745,1.0,[[0.11]],12.2935295
29.0,10.978767,12.2935295,,12.013593807303266,1.0,5.3851647,10.978767,18.60218,19.061565,[[-0.9]],17.080498,,3.397165536880493,5.3851647,1.0,1.0,11.01457,580,29,0.9613732,15.54447,17.080498,1.0,[[0.11]],12.2935295
30.0,10.962894,12.2935295,,11.387404701659852,1.0,5.4772253,10.962894,18.60218,10.963816,[[-0.9]],16.876608,,3.5696370601654053,5.477226,1.0,1.0,10.502608,600,30,0.9613732,15.451857,16.876608,1.0,[[0.11]],12.2935295
31.0,10.939126,12.2935295,,11.097820825670505,1.0,5.5677643,10.939126,18.60218,10.591842,[[-0.9]],16.673874,,3.715407133102417,5.5677643,1.0,1.0,10.226063,620,31,0.9613732,15.355092,16.673874,1.0,[[0.11]],12.2935295
32.0,10.945866,12.2935295,,12.1478509132607,1.0,5.656854,10.945866,18.60218,15.079357,[[-0.9]],16.624044,,3.8299832344055176,5.656854,1.0,1.0,11.15481,640,32,0.9613732,15.292284,16.624044,1.0,[[0.11]],12.2935295
33.0,10.974469,12.2935295,,13.126518589782632,1.0,5.7445626,10.974469,18.60218,17.441761,[[-0.9]],16.648823,,3.9584991931915283,5.7445626,1.0,1.0,11.889767,660,33,0.9613732,15.254527,16.648823,1.0,[[0.11]],12.2935295
34.0,10.98262,12.2935295,,12.2820350651233,1.0,5.830952,10.98262,18.60218,18.604906,[[-0.9]],16.706356,,4.061086416244507,5.8309517,1.0,1.0,11.251593,680,34,0.9613732,15.199266,16.706356,1.0,[[0.11]],12.2935295
35.0,10.996323,12.2935295,,12.522035220947956,1.0,5.9160795,10.996323,18.60218,18.793257,[[-0.9]],16.765982,,4.157366514205933,5.91608,1.0,1.0,11.462178,700,35,0.9613732,15.152294,16.765982,1.0,[[0.11]],12.2935295
36.0,10.99389,12.2935295,,11.820991410627268,1.0,6.0,10.99389,18.60218,14.485692,[[-0.9]],16.70264,,4.259329557418823,6.0,1.0,0.99999905,10.908761,720,36,0.9613732,15.091733,16.70264,1.0,[[0.11]],12.2935295
37.0,10.952472,12.2935295,,10.179476851116554,1.0,6.0827622,10.952472,18.60218,13.481955,[[-0.9]],16.615595,,4.369896411895752,6.0827627,1.0,1.0,9.461423,740,37,0.9613732,14.99456,16.615595,1.0,[[0.11]],12.2935295
38.0,10.946318,12.2935295,,11.608748635915468,1.0,6.164414,10.946318,18.60218,16.69631,[[-0.9]],16.617718,,4.476335287094116,6.164414,1.0,1.0,10.718637,760,38,0.9613732,14.934865,16.617718,1.0,[[0.11]],12.2935295
39.0,10.959989,12.2935295,,12.58831976405095,1.0,6.2449985,10.959988,18.60218,17.627975,[[-0.9]],16.643621,,4.64687180519104,6.2449975,1.0,1.0,11.47946,780,39,0.9613732,14.897068,16.643621,1.0,[[0.11]],12.2935295
