TimestepsSoFar,LQGsigma_higher,TimeElapsed,ReturnMin,IWLastEpisode,DenMISEMeanLog,ReturnLastEpisode,ReturnMax,Regret/t,Delta,IWFirstEpisode,IWMin,Iteration,IWMean,LQGmu1_actor,ReturnMean,Regret,Bound,LQGmu1_higher,DenMISELogFirst,ReturnAbsMax,ReturnStepMax,DenMISELogLast,IWMax
760,0.019873515,431.36130714416504,,1.0044366e-19,-0.47477576,8.761265,17.399172,7.6449337,8.4200434e-07,,,38,2.3781931,0.4129661,9.755066,290.5075,505.18594,0.3877551,-4.5360518,17.399172,19.18809,-0.6806927,85.80824
780,0.01831564,443.13928270339966,,,-0.4656469,7.5519366,17.399172,7.7014236,7.993782e-07,,,39,0.00023236555,-0.32357627,9.698576,300.35553,505.92252,-0.30612245,-4.5620275,17.399172,19.18809,-0.42624834,0.009062257
800,0.01831564,454.38655161857605,,,-0.503783,17.111355,17.399172,7.5161047,7.599088e-07,,,40,3.593376e-06,0.100055635,9.883895,300.6442,506.61896,0.10204082,-4.587345,17.399172,19.18809,-1.003928,0.00014373504
820,0.01831564,465.97219252586365,,,-0.53029007,9.013505,17.399172,7.5373335,7.2329226e-07,,,41,6.556711e-07,-0.17996468,9.862666,309.03064,504.30276,-0.2244898,-4.6120377,17.399172,19.18809,-0.60287535,2.6882515e-05
840,0.019873515,477.35248136520386,,429.33594,-0.61452657,16.817066,17.399172,7.371752,6.8925965e-07,,,42,10.222284,-0.17747815,10.028248,309.6136,528.95593,-0.18367347,-4.636135,17.399172,19.18809,-3.0802245,429.33594
860,0.01831564,488.7922966480255,,2.0284631e-24,-0.58396107,16.578554,17.399172,7.2194195,6.5757393e-07,,,43,7.5997e-05,0.014642116,10.18058,310.43506,505.87283,0.020408163,-4.6596656,17.399172,19.18809,-0.7298304,0.003267871
880,0.01831564,500.47845673561096,,0.00837413,-0.60940784,9.2890625,17.399172,7.2396812,6.280238e-07,,,44,0.00019032379,-0.056347426,10.160318,318.54596,505.04663,-0.06122449,-4.6826553,17.399172,19.18809,-0.71514404,0.00837413
900,0.027547687,511.9124619960785,,,-0.63391656,14.3086605,17.399172,7.147496,6.0042186e-07,,,45,0.8930142,-0.87840796,10.252503,321.63733,502.06787,-0.9183673,-4.705128,17.399172,19.18809,-0.723684,17.64161
920,0.027547687,523.3637902736664,,,-0.6331168,17.297138,17.399172,6.9943523,5.7460034e-07,1.2690411e-31,,46,0.5882017,0.75414747,10.405647,321.74017,497.0731,0.75510204,-4.727107,17.399172,19.18809,-0.3873543,22.999731
940,0.019873515,535.1549179553986,,,-0.6320544,3.9264872,17.399172,7.132206,5.5040925e-07,,,47,0.34497845,-0.5226161,10.267794,335.21368,492.17426,-0.5102041,-4.7486134,17.399172,19.18809,-0.08597348,16.179794
960,0.019873515,546.6311576366425,,,-0.64762807,17.37856,17.399172,6.984065,5.277145e-07,,,48,0.65445346,0.2983815,10.415935,335.2351,492.00195,0.30612245,-4.7696667,17.399172,19.18809,-0.6866443,31.326674
980,0.019873515,558.20814037323,,,-0.6586677,8.294052,17.399172,7.0273695,5.063948e-07,,,49,0.90113753,-0.35523435,10.37263,344.3411,491.16602,-0.3469388,-4.790286,17.399172,19.18809,-0.7030277,33.62688
1000,0.027547687,569.697550535202,,,-0.6654033,17.27154,17.399172,6.889392,4.8634166e-07,,,50,1.1066842,0.70923775,10.510608,344.4696,486.8818,0.67346936,-4.8104887,17.399172,19.18809,-0.7226728,25.032078
1020,0.019873515,581.3082137107849,,,-0.6623007,4.524847,17.399172,7.0067587,4.6745637e-07,,,51,0.33943027,0.23030172,10.393241,357.34467,484.88242,0.2244898,-4.8302913,17.399172,19.18809,-0.44587806,16.664593
1040,0.019873515,592.7827122211456,,,-0.6775097,8.621753,17.399172,7.040827,4.496502e-07,,,52,0.07259725,-0.42781967,10.359173,366.123,484.10635,-0.42857143,-4.8497095,17.399172,19.18809,-0.7581902,2.358807
1060,0.027547687,604.3587901592255,,1.0343209e-22,-0.69664997,17.321363,17.399172,6.909464,4.3284237e-07,,,53,1.48888,-0.7356307,10.490536,366.20154,483.98578,-0.71428573,-4.8687577,17.399172,19.18809,-0.7726955,27.336948
1080,0.019873515,615.9167053699493,,,-0.68737996,17.36618,17.399172,6.782136,4.1695958e-07,,,54,0.06657783,-0.093724936,10.617864,366.23535,482.5538,-0.10204082,-4.8874497,17.399172,19.18809,-0.4342383,3.5333617
1100,0.019873515,627.4603199958801,,7.857812e-30,-0.7070296,15.894966,17.399172,6.6861906,4.0193527e-07,,,55,0.11596899,0.16183282,10.713809,367.74048,480.30923,0.14285715,-4.905799,17.399172,19.18809,-0.84178257,4.8393736
1120,0.019873515,639.1116616725922,,2.5286359e-17,-0.7249083,8.866203,17.399172,6.719183,3.8770855e-07,,,56,0.36612344,0.014876401,10.680817,376.27423,478.32254,-0.020408163,-4.923817,17.399172,19.18809,-0.82914984,11.026289
1140,0.019873515,650.4927654266357,,2.9278402,-0.73761654,9.343961,17.399172,6.7426357,3.7422413e-07,,,57,0.22322455,0.06563593,10.657364,384.33026,478.83783,0.06122449,-4.941517,17.399172,19.18809,-0.7943062,6.948226
1160,0.019873515,662.0658905506134,,,-0.7532046,9.06543,17.399172,6.7700834,3.6143112e-07,,,58,0.011213923,-0.27769044,10.629916,392.6648,477.69348,-0.26530612,-4.9589086,17.399172,19.18809,-0.8642654,0.6401471
1180,0.027547687,673.6473979949951,,,-0.7721501,17.087238,17.399172,6.660637,3.4928303e-07,,,59,0.7953903,0.59227794,10.739363,392.9776,477.24017,0.59183675,-4.976003,17.399172,19.18809,-0.8906594,28.620934
1200,0.035191916,685.2763166427612,,3.9184482e-23,-0.76991975,5.910803,17.399172,6.7411127,3.377373e-07,0.53454065,,60,0.96924615,0.9239435,10.658887,404.4668,476.91537,0.9591837,-4.9928102,17.399172,19.18809,-0.3274398,21.014973
1220,0.029890813,696.8845229148865,,,-0.7628464,1.3322691,17.399172,6.8940086,3.2675467e-07,,,61,0.85820556,-0.8032383,10.505991,420.53455,470.31778,-0.79591835,-5.00047,17.399172,19.18809,-0.21014467,26.555258
1240,0.027547687,708.3659698963165,,,-0.7611002,17.34344,17.399172,6.7837267,3.162992e-07,,,62,1.1345899,0.5176381,10.616273,420.591,469.35892,0.5102041,-5.0167303,17.399172,19.18809,-0.40299034,31.038092
1260,0.027547687,719.9914655685425,,,-0.755918,6.6650686,17.399172,6.846445,3.0633765e-07,,,63,0.8380352,-0.5960109,10.553555,431.326,466.98755,-0.63265306,-5.032731,17.399172,19.18809,-0.4014412,23.403429
1280,0.027547687,731.5054218769073,,,-0.75971234,17.397417,17.399172,6.7395096,2.968394e-07,,,64,1.2743849,0.4254085,10.66049,431.3286,461.7525,0.42857143,-5.048479,17.399172,19.18809,-0.74626434,32.955406
1300,0.02339806,743.1646630764008,,,-0.7534557,7.456962,17.399172,6.7887945,2.8777617e-07,,,65,0.5787634,-0.13205738,10.611205,441.27167,462.0301,-0.14285715,-5.0639834,17.399172,19.18809,-0.42918223,17.880669
1320,0.027547687,754.7299599647522,,,-0.76498234,16.026245,17.399172,6.706749,2.791217e-07,,,66,0.8470655,-0.54553866,10.693251,442.6455,459.53607,-0.5510204,-5.079251,17.399172,19.18809,-1.0437058,23.247559
1340,0.03818524,766.2397818565369,,,-0.76427823,17.391914,17.399172,6.6067686,2.708519e-07,6.885363e-05,,67,1.083837,0.93485945,10.793231,442.65344,454.61426,0.877551,-5.094289,17.399172,19.18809,-0.4835204,19.12739
1360,0.035191916,777.8852596282959,,,-0.7572239,1.1475304,17.399172,6.748617,2.6294424e-07,,,68,0.89883375,-0.94734544,10.651382,458.90594,454.26263,-0.9591837,-5.1091027,17.399172,19.18809,-0.29372582,23.819336
1380,0.027547687,789.479124546051,,,-0.7551604,17.246733,17.399172,6.6530323,2.553779e-07,,,69,0.7705206,-0.46401182,10.746967,459.0592,452.09827,-0.46938777,-5.1237016,17.399172,19.18809,-0.43943924,34.59559
1400,0.027547687,800.8050746917725,,0.5313363,-0.7566821,17.388538,17.399172,6.558152,2.4813352e-07,,,70,1.0384434,-0.44038865,10.841847,459.07068,451.22644,-0.3877551,-5.13809,17.399172,19.18809,-0.5261284,36.491203
1420,0.027547687,811.914603471756,,,-0.7575602,17.342201,17.399172,6.4665985,2.4119305e-07,,,71,0.5133679,0.33433965,10.933401,459.12854,450.63123,0.3469388,-5.152275,17.399172,19.18809,-0.71173155,22.543324
1440,0.027547687,823.6688611507416,,1.1605549,-0.76294994,8.086907,17.399172,6.506133,2.3453978e-07,,,72,1.0208756,0.2516196,10.893867,468.44153,448.22046,0.26530612,-5.166261,17.399172,19.18809,-0.6159299,33.238953
1460,0.027547687,835.4163346290588,,,-0.7628258,8.528215,17.399172,6.538539,2.2815804e-07,,,73,0.91012293,-0.3377565,10.861461,477.31335,445.72226,-0.30612245,-5.1800547,17.399172,19.18809,-0.64089495,33.331562
1480,0.027547687,847.0775785446167,,,-0.7657552,17.247871,17.399172,6.452236,2.2203328e-07,,,74,1.0718249,0.17620878,10.947763,477.46545,444.0417,0.18367347,-5.1936603,17.399172,19.18809,-0.7616674,37.231354
1500,0.035191916,858.6974415779114,,,-0.76493937,8.821958,17.399172,6.4805803,2.1615185e-07,,,75,1.2507823,-0.91394246,10.919419,486.04358,442.42743,-0.877551,-5.207083,17.399172,19.18809,-0.60839826,26.284504
1520,0.027547687,870.1838648319244,,,-0.7578979,17.267254,17.399172,6.3970566,2.1050109e-07,,,76,1.2209388,0.009023179,11.002943,486.17633,440.08444,0.020408163,-5.2203283,17.399172,19.18809,-0.3488297,39.83057
1540,0.027547687,881.7372736930847,,1.0958862,-0.7566093,9.270678,17.399172,6.4195538,2.0506903e-07,,,77,0.8536286,-0.0882349,10.980446,494.3056,439.79727,-0.06122449,-5.2334003,17.399172,19.18809,-0.6700143,39.94629
1560,0.035191916,893.0412175655365,,,-0.7610593,15.529443,17.399172,6.3612328,1.9984455e-07,1.5771983e-23,,78,1.0497876,0.6594574,11.038767,496.17615,439.62665,0.71428573,-5.246304,17.399172,19.18809,-0.8289119,26.800062
1580,0.027547687,904.5977931022644,,,-0.7597594,5.145185,17.399172,6.435835,1.948172e-07,,,79,0.79069376,0.074081115,10.964165,508.43097,438.87585,0.10204082,-5.2590427,17.399172,19.18809,-0.60845256,41.113705
1600,0.048781306,916.2454080581665,,,-0.76464987,9.054687,17.399172,6.4597034,1.899772e-07,191.8125,,80,3.1275046,1.0233334,10.940296,516.7763,436.4585,1.0,-5.2716217,17.399172,19.18809,-0.8255747,191.8125
1620,0.027547687,927.7276926040649,,,-0.75634927,,17.399172,6.5947685,1.8531539e-07,,,81,0.3470113,-0.21963818,10.805231,534.17633,435.97092,-0.2244898,-4.0609584,17.399172,19.18809,-0.9965285,11.980816
1640,0.041433174,939.2954757213593,,,-0.7635302,16.771093,17.399172,6.5220146,1.8082306e-07,1.067511e-09,,82,0.79560155,0.87749153,10.877985,534.8052,420.04312,0.79591835,-4.0732284,17.399172,19.18809,-0.6785897,16.189228
1660,0.035191916,950.7732708454132,,,-0.76456845,2.0941486,17.399172,6.627845,1.7649211e-07,,,83,0.9182138,-0.6179105,10.772155,550.1111,419.26282,-0.67346936,-4.0853496,17.399172,19.18809,-0.60607207,23.913734
1680,0.03818524,962.2900822162628,,,-0.765599,17.35985,17.399172,6.5494194,1.7231491e-07,1.6622103e-30,,84,1.0004218,0.62783694,10.85058,550.15125,419.53604,0.63265306,-4.097326,17.399172,19.18809,-0.6937828,26.240166
1700,0.048781306,974.0572249889374,,,-0.76534855,5.515788,17.399172,6.6121817,1.6828433e-07,,,85,0.9063727,-0.9883262,10.787818,562.03546,411.66806,-1.0,-4.1091604,17.399172,19.18809,-0.66778356,18.817097
1720,0.035191916,985.5800044536591,,,-0.76332533,17.214205,17.399172,6.5374565,1.6439348e-07,,,86,1.023328,0.5470956,10.862543,562.2213,411.02762,0.46938777,-4.1208563,17.399172,19.18809,-0.43543977,29.990997
1740,0.035191916,997.330394744873,,,-0.7658566,6.3795066,17.399172,6.5889854,1.6063603e-07,,,87,1.370771,-0.58387107,10.811014,573.2417,410.4836,-0.59183675,-4.132417,17.399172,19.18809,-0.92589796,27.84821
1760,0.03818524,1008.7412147521973,,0.0008620016,-0.76200694,17.396997,17.399172,6.514144,1.5700596e-07,,,88,0.86023617,-0.73019093,10.885856,573.2447,408.719,-0.75510204,-4.143846,17.399172,19.18809,-0.651489,20.633171
1780,0.035191916,1020.5410602092743,,2.2373115e-15,-0.7619901,17.37471,17.399172,6.4412365,1.5349757e-07,,,89,1.0715907,-0.433823,10.958763,573.27,402.80292,-0.42857143,-4.1551456,17.399172,19.18809,-0.56698626,29.54274
1800,0.035191916,1031.9016976356506,,3.2134943e-14,-0.76144844,17.307411,17.399172,6.370694,1.5010546e-07,,,90,1.1706331,-0.12996809,11.029305,573.36255,401.23618,-0.14285715,-4.166319,17.399172,19.18809,-0.68286085,40.853577
1820,0.035191916,1043.4703018665314,,1.3434607e-32,-0.76322216,16.19938,17.399172,6.313881,1.4682455e-07,,,91,0.93881375,0.25856584,11.086119,574.56323,397.83966,0.30612245,-4.1773686,17.399172,19.18809,-0.9626525,29.281258
1840,0.03818524,1055.08398270607,,,-0.7640784,8.49595,17.399172,6.3420353,1.4365008e-07,,,92,0.897348,-0.51203364,11.057964,583.4672,393.3319,-0.5102041,-4.1882977,17.399172,19.18809,-0.69492376,24.727783
1860,0.041433174,1066.7666504383087,,,-0.76512146,17.37796,17.399172,6.2740784,1.4057744e-07,4.3140313e-36,,93,1.1854262,0.5967677,11.125921,583.48926,391.93738,0.5510204,-4.1991086,17.399172,19.18809,-0.70147395,25.863628
1880,0.035191916,1078.4224202632904,,,-0.7616785,5.8621974,17.399172,6.3300753,1.3760231e-07,,,94,1.0987977,-0.34141937,11.069924,595.0271,391.7179,-0.3469388,-4.209804,17.399172,19.18809,-0.5380568,29.461323
1900,0.03818524,1089.9361181259155,,,-0.76142955,17.281555,17.399172,6.2646894,1.3472066e-07,,,95,0.8629518,0.35582358,11.13531,595.1455,391.57767,0.3877551,-4.220386,17.399172,19.18809,-0.7249401,25.677803
1920,0.048781306,1101.5614941120148,,,-0.76189786,7.951909,17.399172,6.2978497,1.3192863e-07,,,96,0.98924416,-0.87189245,11.10215,604.5935,390.41693,-0.8367347,-4.2308574,17.399172,19.18809,-0.6062417,22.023024
1940,0.035191916,1113.163414478302,,,-0.7618703,17.30338,17.399172,6.23392,1.2922246e-07,,,97,1.106917,0.080055885,11.1660795,604.6902,388.90396,0.06122449,-4.24122,17.399172,19.18809,-0.68987393,31.85297
1960,0.035191916,1124.5440526008606,,0.0052889856,-0.76173526,9.046302,17.399172,6.2555504,1.265987e-07,,,98,1.1246887,0.25816187,11.144449,613.04395,387.2968,0.2244898,-4.251477,17.399172,19.18809,-0.75201285,30.959368
1980,0.057432614,1136.285447359085,,7.2031363e-25,-0.76001775,8.49785,17.399172,6.2822847,1.2405411e-07,0.26560372,,99,1.0804476,0.96779454,11.117715,621.94617,384.43906,0.877551,-4.261629,17.399172,19.18809,-0.6257426,15.18875
2000,0.035191916,1147.6507546901703,,,-0.7583879,0.57699585,17.399172,6.3876915,1.2158542e-07,,,100,0.5607068,-0.315004,11.012308,638.76917,380.905,-0.26530612,-4.269,17.399172,19.18809,-0.6311201,29.107767
2020,0.035191916,1159.5716416835785,,1.3223493e-14,-0.7620856,17.115402,17.399172,6.327265,1.1918971e-07,,,101,0.7489937,-0.07422465,11.072735,639.0537,378.11264,-0.020408163,-4.27895,17.399172,19.18809,-0.6530634,18.43298
2040,0.03818524,1171.445425748825,,2.3119774e-06,-0.7656913,14.97304,17.399172,6.2890253,1.1686409e-07,,,102,0.7548872,0.16970348,11.110974,641.4806,376.9367,0.14285715,-4.2888026,17.399172,19.18809,-0.8356455,24.201254
2060,0.0529305,1183.1095101833344,,1.5801018e-22,-0.7679404,8.842445,17.399172,6.3110504,1.14605925e-07,1.5523663e-09,,103,0.8564862,0.7632426,11.088949,650.0382,373.406,0.71428573,-4.2985587,17.399172,19.18809,-0.7087194,16.635544
2080,0.048781306,1194.7466127872467,,,-0.76769245,3.8008351,17.399172,6.3811293,1.1241255e-07,,,104,1.0145739,-0.6634552,11.01887,663.63745,369.28467,-0.63265306,-4.308221,17.399172,19.18809,-0.56185365,15.995019
2100,0.07336965,1206.23326587677,,,-0.76700205,17.38399,17.399172,6.320509,1.10281555e-07,160.04579,,105,2.3723137,1.0493765,11.079491,663.65344,362.6285,1.0,-4.31779,17.399172,19.18809,-0.6618755,160.04579
2120,0.062317666,1217.8597283363342,,,-0.77214754,,17.399172,6.4250317,1.0821059e-07,,,106,1.0842113,-0.85324234,10.974968,681.05334,360.8704,-0.9183673,-3.4013267,17.399172,19.18809,-2.050753,12.126472
2140,0.048781306,1229.4580523967743,,3.1061102e-19,-0.7721075,17.324383,17.399172,6.365692,1.0619741e-07,,,107,1.0499996,-0.45138305,11.0343075,681.129,353.12653,-0.3877551,-3.4107165,17.399172,19.18809,-0.8108034,16.314568
2160,0.048781306,1240.8709230422974,,,-0.7714164,17.34145,17.399172,6.307292,1.04239895e-07,,,108,1.1106039,0.2909862,11.092708,681.1875,348.86142,0.26530612,-3.420019,17.399172,19.18809,-0.70016897,16.589167
2180,0.0529305,1252.4008793830872,,0.05079993,-0.770109,8.333735,17.399172,6.3326035,1.0233602e-07,3.2233284e-29,,109,0.87777865,0.44776452,11.067396,690.2538,348.19046,0.46938777,-3.4292355,17.399172,19.18809,-0.6803943,17.747122
2200,0.048781306,1263.959379196167,,4.1067093e-27,-0.77051264,7.2792335,17.399172,6.3670416,1.0048382e-07,,,110,1.2359936,-0.12732103,11.032958,700.37463,347.93924,-0.10204082,-3.438368,17.399172,19.18809,-0.6570557,23.088732
2220,0.057432614,1275.8506488800049,,1.6376804e-33,-0.7709469,15.727225,17.399172,6.324752,9.868145e-08,2.0638538e-15,,111,1.0806981,0.5940765,11.075248,702.04736,344.20126,0.59183675,-3.4474177,17.399172,19.18809,-0.9670977,14.25874
2240,0.048781306,1287.435720205307,,,-0.768851,5.891376,17.399172,6.3710365,9.692714e-08,,,112,0.6980625,-0.20836532,11.028963,713.556,339.78683,-0.2244898,-3.4563866,17.399172,19.18809,-0.5717717,18.98043
2260,0.057432614,1298.7545847892761,,3.204941e-19,-0.77197295,16.689316,17.399172,6.320945,9.521922e-08,,,113,0.93494624,-0.7691933,11.079055,714.2667,339.39395,-0.75510204,-3.4652755,17.399172,19.18809,-0.78896356,14.75603
