Iteration,LQGsigma_higher,Delta,ReturnMin,ReturnMax,IWLastEpisode,IWFirstEpisode,ReturnAbsMax,Regret,TimestepsSoFar,IWMax,TimeElapsed,LQGmu1_higher,Regret/t,ReturnStepMax,DenMISEMeanLog,ReturnMean,IWMean,LQGmu1_actor,DenMISELogLast,DenMISELogFirst,IWMin,Bound,ReturnLastEpisode
39,0.01831564,7.993782e-07,,17.398708,,,17.398708,280.89386,780,0.35612056,447.2454414367676,-0.18367347,7.202407,19.185827,-0.69942695,10.197593,0.009131297,-0.19984029,-0.5504839,-5.66869,,709.294,17.375475
40,0.01831564,7.599088e-07,,17.398708,2.0945565e-11,,17.398708,281.426,800,0.07710087,458.8231346607208,-0.06122449,7.0356493,19.185827,-0.73060924,10.36435,0.0019275218,-0.06698101,-0.9684139,-5.694008,,709.4575,16.86786
41,0.021563897,7.2329226e-07,,17.398708,,,17.398708,283.855,820,82.4827,470.6264338493347,-0.46938777,6.923293,19.185827,-0.75299966,10.4767065,2.0242717,-0.4561907,-0.66283983,-5.7187004,,705.9532,14.9709425
42,0.021563897,6.8925965e-07,,17.398708,,,17.398708,283.91107,840,15.078027,482.1728515625,0.46938777,6.7597876,19.185827,-0.74640113,10.640212,0.41938853,0.49029517,-0.60281146,-5.742798,,706.5013,17.34394
43,0.021563897,6.5757393e-07,,17.398708,,,17.398708,294.3951,860,22.140774,493.6183385848999,-0.63265306,6.8463974,19.185827,-0.7567151,10.553602,0.54475063,-0.6302838,-0.56711376,-5.7663283,,707.27374,6.9159913
44,0.021563897,6.280238e-07,,17.402256,,,17.402256,294.39282,880,77.93094,505.33687567710876,0.3877551,6.6907463,19.190826,-0.76709074,10.709253,2.112296,0.37292668,-0.6696036,-5.789318,,707.7242,17.402256
45,0.027547687,6.0042186e-07,,17.402256,,,17.402256,303.95444,900,22.936905,516.9304029941559,-0.9183673,6.7545424,19.190826,-0.75762624,10.645457,0.833827,-0.93509597,-0.6651725,-5.811791,,700.95294,7.83843
46,0.021563897,5.7460034e-07,,17.402256,,,17.402256,304.09222,920,157.77058,528.7369346618652,0.2244898,6.6107006,19.190826,-0.7513169,10.789299,3.4628785,0.232934,-0.18946308,-5.83377,,701.10583,17.262192
47,0.027547687,5.5040925e-07,,17.402256,,,17.402256,312.8816,940,22.40101,540.0286047458649,0.75510204,6.657055,19.190826,-0.73953724,10.742945,0.61685985,0.74698925,-0.7292879,-5.855276,,701.4839,8.610651
48,0.021563897,5.277145e-07,,17.402256,,,17.402256,326.2572,960,52.89338,551.5899622440338,-0.2244898,6.7970257,19.190826,-0.7369318,10.602974,1.7357603,-0.23442778,-0.15182038,-5.8763294,,688.12787,4.024321
49,0.021563897,5.063948e-07,,17.402256,4.1862497e-10,,17.402256,326.67224,980,48.374855,563.168582201004,-0.3877551,6.6667805,19.190826,-0.7325616,10.733219,0.99768674,-0.41824716,-0.76684994,-5.896949,,687.7034,16.985
50,0.027547687,4.8634166e-07,,17.402256,,,17.402256,326.76215,1000,25.481815,574.5892460346222,-0.8367347,6.535242,19.190826,-0.73617005,10.864758,0.9874655,-0.84775585,-0.6202149,-5.9171515,,687.26324,17.310127
51,0.021563897,4.6745637e-07,,17.402256,,,17.402256,326.83685,1020,0.3360262,586.3316431045532,0.30612245,6.4085665,19.190826,-0.72893137,10.991433,0.017543588,0.33455014,-0.22927853,-5.936954,,686.15045,17.32522
52,0.027547687,4.496502e-07,,17.402256,3.8710954e-32,,17.402256,336.1513,1040,25.844797,597.9844906330109,0.67346936,6.464448,19.190826,-0.7466954,10.935552,1.0239825,0.66017425,-0.67983663,-5.9563723,,686.2351,8.085626
53,0.021563897,4.3284237e-07,,17.402256,,,17.402256,348.41467,1060,88.72214,609.7423183917999,0.06122449,6.573862,19.190826,-0.7412022,10.826138,1.7138656,0.07740562,-0.307446,-5.9754205,,680.3098,5.136572
54,0.021563897,4.1695958e-07,,17.402256,0.4275186,,17.402256,356.76465,1080,38.59786,621.3320732116699,0.14285715,6.6067524,19.190826,-0.7424168,10.793247,0.72974026,0.15046465,-0.8387778,-5.9941125,,677.49335,9.050101
55,0.019873515,4.0193527e-07,,17.402256,4.2887016e-34,,17.402256,365.2661,1100,11.022312,633.0020890235901,-0.10204082,6.641202,19.190826,-0.7529512,10.758798,0.20041072,-0.09970394,-0.88514507,-6.0124617,,671.76013,8.898527
56,0.027547687,3.8770855e-07,,17.402256,,,17.402256,367.12183,1120,28.52481,644.5279405117035,0.59183675,6.555747,19.190826,-0.77004,10.844253,1.1477734,0.5925952,-0.901571,-6.03048,,671.476,15.544251
57,0.021563897,3.7422413e-07,,17.402256,,,17.402256,378.61444,1140,0.7648802,656.1229312419891,-0.30612245,6.642359,19.190826,-0.76212335,10.757641,0.028344639,-0.33268028,-0.2835028,-6.0481796,,671.2611,5.90738
58,0.021563897,3.6143112e-07,,17.402256,,,17.402256,378.83594,1160,32.220776,667.9322421550751,-0.020408163,6.5316544,19.190826,-0.7795054,10.868345,0.6273356,0.018322634,-0.8071303,-6.0655713,,671.8973,17.178503
59,0.027547687,3.4928303e-07,,17.402256,,,17.402256,387.0874,1180,21.980183,679.6053318977356,-0.75510204,6.5608034,19.190826,-0.7868955,10.839196,0.73849684,-0.7869186,-0.7352776,-6.082666,,671.7141,9.148591
60,0.03818524,3.377373e-07,,17.402256,,,17.402256,387.1421,1200,18.446665,691.3352143764496,0.9591837,6.452368,19.190826,-0.78939706,10.947632,1.1216143,0.9701672,-0.59930205,-6.099473,,669.74164,17.345293
61,0.027547687,3.2675467e-07,,17.402256,,,17.402256,404.00696,1220,29.82659,702.8818080425262,-0.67346936,6.623064,19.190826,-0.78185475,10.776936,0.88877624,-0.7113205,-0.34481138,-6.116002,,659.588,0.53513116
62,0.027547687,3.162992e-07,,17.402256,,,17.402256,404.03552,1240,31.037374,714.3227944374084,0.5102041,6.5167027,19.190826,-0.7834841,10.883297,1.2247331,0.4995504,-0.65373784,-6.1322627,,660.1256,17.371399
63,0.027547687,3.0633765e-07,,17.402256,,,17.402256,414.6029,1260,30.37399,725.9522988796234,-0.59183675,6.5809984,19.190826,-0.7776882,10.819001,1.140203,-0.60804266,-0.44788906,-6.148263,,651.5609,6.8325815
64,0.027547687,2.968394e-07,,17.409307,,,17.409307,414.59363,1280,32.092396,737.311172246933,0.42857143,6.4780254,19.198174,-0.77382386,10.921974,0.7264575,0.42369378,-0.5117629,-6.1640115,,644.04736,17.409307
65,0.02339806,2.8777617e-07,,17.409307,,,17.409307,424.52344,1300,8.891483,749.1852748394012,-0.14285715,6.53113,19.198174,-0.7741851,10.86887,0.17588867,-0.19138952,-0.4294015,-6.179516,,642.98517,7.4702187
66,0.027547687,2.791217e-07,,17.409307,,,17.409307,425.29456,1320,32.733562,761.2470943927765,0.3469388,6.4438562,19.198174,-0.7879487,10.956143,1.2488317,0.34720215,-0.856886,-6.194783,,637.25397,16.628931
67,0.027547687,2.708519e-07,,17.409307,,,17.409307,434.68732,1340,33.6345,773.0821483135223,-0.42857143,6.487871,19.198174,-0.78200084,10.912128,1.3129988,-0.46768016,-0.44398868,-6.209821,,637.84393,8.007093
68,0.027547687,2.6294424e-07,,17.409307,10.748888,,17.409307,434.75653,1360,28.778297,784.5282871723175,-0.5102041,6.3934784,19.198174,-0.78204054,11.006521,0.80475163,-0.5359279,-0.89332825,-6.224636,,636.35114,17.330832
69,0.03818524,2.553779e-07,,17.409307,4.3693375e-26,,17.409307,434.79504,1380,21.296743,796.2756638526917,-0.9591837,6.3013773,19.198174,-0.7847326,11.098622,0.98346233,-0.90975755,-0.6916425,-6.239235,,630.62195,17.361565
70,0.03818524,2.4813352e-07,,17.409307,,,17.409307,434.9209,1400,20.620071,807.9706110954285,0.79591835,6.2131557,19.198174,-0.7809146,11.186844,1.036684,0.71991366,-0.41958913,-6.2536235,,627.58545,17.274166
71,0.027547687,2.4119305e-07,,17.409307,,,17.409307,447.93494,1420,22.678774,819.6612493991852,0.26530612,6.308942,19.198174,-0.78102016,11.091058,0.6431691,0.28010288,-0.74022466,-6.2678084,,625.6099,4.385933
72,0.027547687,2.3453978e-07,,17.409307,,,17.409307,456.94458,1440,35.198105,831.4085032939911,-0.3469388,6.3464527,19.198174,-0.78466177,11.053547,0.9316616,-0.343903,-0.61273646,-6.2817945,,625.6125,8.390324
73,0.027547687,2.2815804e-07,,17.409307,,,17.409307,457.1068,1460,34.41635,842.9303476810455,0.18367347,6.261738,19.198174,-0.7843263,11.138262,0.9867361,0.21690954,-0.5357034,-6.295588,,621.7881,17.237741
74,0.027547687,2.2203328e-07,,17.409307,,,17.409307,465.83057,1480,32.663063,854.6962418556213,-0.26530612,6.2950077,19.198174,-0.7866399,11.104992,0.85228276,-0.23423089,-0.81434846,-6.3091936,,620.11285,8.676282
75,0.027547687,2.1615185e-07,,17.409307,1.5664351e-31,,17.409307,466.16907,1500,30.939775,866.4114961624146,0.10204082,6.2155876,19.198174,-0.79167706,11.184412,0.94923663,0.08009554,-0.8998923,-6.3226166,,616.71985,17.061506
76,0.027547687,2.1050109e-07,,17.409307,6.142212e-05,,17.409307,474.52283,1520,39.51723,877.9379532337189,-0.06122449,6.243721,19.198174,-0.79399794,11.156279,0.76981986,-0.08876929,-0.78788316,-6.3358617,,615.7215,9.046244
77,0.027547687,2.0506903e-07,,17.409307,0.01289849,,17.409307,475.9698,1540,38.81035,889.2775278091431,0.020408163,6.181426,19.198174,-0.798946,11.218574,1.1246107,0.014612327,-0.8299988,-6.3489337,,614.4041,15.952967
78,0.03818524,1.9984455e-07,,17.409307,,,17.409307,484.10168,1560,25.34996,901.101589679718,-0.79591835,6.2064323,19.198174,-0.7971869,11.193567,1.2547877,-0.81622875,-0.6085668,-6.3618374,,602.29706,9.268159
79,0.029890813,1.948172e-07,,17.409307,,,17.409307,484.15118,1580,35.89477,912.6547386646271,-0.18367347,6.128496,19.198174,-0.7924391,11.271503,1.1589499,-0.14753383,-0.5509877,-6.374576,,600.68494,17.3505
80,0.044957362,1.899772e-07,,17.409307,,,17.409307,484.99573,1600,19.209606,924.1516871452332,0.877551,6.0624466,19.198174,-0.795541,11.337553,0.7414821,0.8956721,-1.0409759,-6.387155,,596.55005,16.555445
81,0.03818524,1.8531539e-07,,17.409307,9.0414287e-10,,17.409307,500.5951,1620,17.788246,935.8241672515869,0.63265306,6.1801853,19.198174,-0.7961831,11.219814,0.9380456,0.66078895,-0.55170906,-6.3995776,,594.7544,1.8006411
82,0.0529305,1.8082306e-07,,17.409307,1.5576495e-08,,17.409307,512.86584,1640,22.852962,947.6348145008087,1.0,6.2544622,19.198174,-0.7945114,11.145537,0.90528756,1.0840026,-0.5378142,-6.4118476,,593.763,5.129179
83,0.03818524,1.7649211e-07,,17.409307,,,17.409307,530.26587,1660,26.850754,959.1975111961365,-0.63265306,6.3887453,19.198174,-0.82890815,11.011254,1.0028945,-0.5654831,-3.4919512,-6.4239693,,571.78375,
84,0.03818524,1.7231491e-07,,17.409307,,,17.409307,530.2761,1680,20.559097,970.6851532459259,0.46938777,6.312811,19.198174,-0.8299186,11.087189,0.91989064,0.4554225,-0.8315442,-6.435945,,566.8728,17.389706
85,0.044957362,1.6828433e-07,,17.409307,,,17.409307,540.45996,1700,22.020058,982.2580852508545,-0.877551,6.3583517,19.198174,-0.8296124,11.041648,1.0956411,-0.8396955,-0.6595418,-6.4477797,,567.1999,7.2162604
86,0.044957362,1.6439348e-07,,17.409307,,,17.409307,540.5283,1720,21.85005,993.837628364563,0.71428573,6.2852125,19.198174,-0.8249022,11.114787,1.0493275,0.73740613,-0.4540231,-6.4594755,,561.29224,17.331636
87,0.035191916,1.6063603e-07,,17.409307,,,17.409307,553.7744,1740,30.561357,1005.6240005493164,-0.46938777,6.365224,19.198174,-0.822233,11.034776,1.2132918,-0.50789016,-0.57478124,-6.4710364,,556.7935,4.153836
88,0.0529305,1.5700596e-07,,17.409307,2.2833593e-18,1.4610542e-22,17.409307,553.7947,1760,18.078156,1017.4759707450867,-1.0,6.2931213,19.198174,-0.81855506,11.106878,0.66529584,-1.0564389,-0.57901764,-6.4824653,,550.708,17.379774
89,0.03818524,1.5349757e-07,,17.409307,,,17.409307,553.99457,1780,18.880074,1029.0826456546783,0.30612245,6.224658,19.198174,-0.8422732,11.175342,0.7984545,0.311351,-2.557449,-6.493765,,547.0579,17.200117
90,0.035191916,1.5010546e-07,,17.409307,2.5918554e-29,,17.409307,563.17255,1800,32.23124,1040.8653342723846,-0.10204082,6.257472,19.198174,-0.8439236,11.142528,1.0344898,-0.13673295,-0.74287695,-6.504938,,546.41046,8.222054
91,0.03818524,1.4682455e-07,,17.409307,1.1801612e-08,,17.409307,564.4483,1820,22.524158,1052.507265329361,-0.3877551,6.2027283,19.198174,-0.8465728,11.197271,0.75950885,-0.3983423,-1.0060308,-6.515988,,536.2644,16.124275
92,0.044957362,1.4365008e-07,,17.409307,3.431988e-10,,17.409307,564.5458,1840,23.688105,1064.1046297550201,-0.71428573,6.136368,19.198174,-0.84830743,11.263632,0.8370644,-0.7131169,-0.7179311,-6.526917,,535.715,17.302473
93,0.035191916,1.4057744e-07,,17.409307,,,17.409307,564.593,1860,31.406588,1075.5073082447052,0.14285715,6.0708923,19.198174,-0.84983104,11.329107,0.8202842,0.18749495,-0.76706743,-6.537728,,535.7962,17.352667
94,0.044957362,1.3760231e-07,,17.409307,1.1019163e-13,,17.409307,573.2085,1880,23.749071,1087.2993240356445,0.5510204,6.0979624,19.198174,-0.8506234,11.302037,0.89963764,0.559582,-0.67208266,-6.5484233,,533.5716,8.784585
95,0.041433174,1.3472066e-07,,17.409307,,,17.409307,584.35486,1900,23.848026,1099.3212385177612,-0.5510204,6.151103,19.198174,-0.8513818,11.248897,1.4459202,-0.633457,-0.7711381,-6.5590053,,532.6014,6.253695
96,0.03818524,1.3192863e-07,,17.409307,,,17.409307,584.3805,1920,25.474691,1110.8879964351654,0.06122449,6.0872974,19.198174,-0.8468568,11.312702,1.1248225,0.026767973,-0.74174166,-6.5694766,,527.95544,17.37422
97,0.041433174,1.2922246e-07,,17.409307,1.958772e-07,,17.409307,592.39795,1940,26.957516,1122.6588366031647,-0.2244898,6.107196,19.198174,-0.8448105,11.292804,1.2673736,-0.22974867,-0.6765574,-6.579839,,524.05365,9.382616
98,0.057432614,1.265987e-07,,17.409307,,,17.409307,592.9934,1960,14.066216,1134.3375945091248,0.79591835,6.050953,19.198174,-0.8431774,11.349047,0.90762985,0.86377066,-0.83381677,-6.590096,,522.47766,16.804506
99,0.044957362,1.2405411e-07,,17.409307,8.136114e-24,,17.409307,608.0818,1980,22.528429,1145.7145137786865,0.3877551,6.1422405,19.198174,-0.8430793,11.257759,1.1096156,0.42956582,-0.70568883,-6.6002483,,514.5796,2.3116736
100,0.041433174,1.2158542e-07,,17.409307,8.35011e-05,,17.409307,618.0571,2000,27.287102,1157.4838457107544,0.2244898,6.1805706,19.198174,-0.8402195,11.219429,1.1835876,0.21883366,-0.59369224,-6.6102986,,507.82755,7.4246006
101,0.06761824,1.1918971e-07,,17.409307,7.796214e-23,,17.409307,626.78845,2020,11.7396965,1169.2857205867767,0.9183673,6.2058268,19.198174,-0.83935714,11.194173,1.0422492,0.811216,-0.8322694,-6.620249,,503.2822,8.668648
102,0.057432614,1.1686409e-07,,17.409307,,7.516765e-37,17.409307,641.0753,2040,15.3983345,1181.17666721344,-0.79591835,6.2850523,19.198174,-0.8368908,11.114947,1.1308607,-0.9167769,-0.5921224,-6.630101,,500.5508,3.1131413
103,0.041433174,1.14605925e-07,,17.409307,,,17.409307,641.1957,2060,19.262081,1193.2597906589508,-0.020408163,6.2252007,19.198174,-0.8336108,11.174799,0.8012722,-0.007982473,-0.57871395,-6.6398573,,495.83182,17.279741
104,0.057432614,1.1241255e-07,,17.409307,1.5270096e-26,,17.409307,648.2594,2080,12.769241,1204.6640038490295,0.63265306,6.233263,19.198174,-0.8358711,11.166737,0.96536404,0.6257671,-0.8299992,-6.6495194,,491.88702,10.336264
105,0.06761824,1.10281555e-07,,17.409307,,1.7955148e-17,17.409307,660.12,2100,11.20849,1216.486480474472,-0.9183673,6.2868567,19.198174,-0.83502525,11.113143,1.0690362,-0.9280229,-0.67661405,-6.6590886,,478.5399,5.5394125
106,0.0529305,1.0821059e-07,,17.409307,6.3394847e-16,,17.409307,660.2612,2120,17.359743,1228.3236093521118,-0.46938777,6.22888,19.198174,-0.8318073,11.17112,1.0238947,-0.46778253,-0.52546346,-6.6685677,,478.66974,17.258713
107,0.057432614,1.0619741e-07,,17.409307,0.22546235,,17.409307,660.303,2140,16.18667,1240.1897141933441,-0.63265306,6.171056,19.198174,-0.8307271,11.228944,1.0422691,-0.6836317,-0.69258887,-6.677957,,476.2231,17.358276
108,0.048781306,1.04239895e-07,,17.409307,3.1277987e-26,,17.409307,660.32825,2160,25.411537,1251.889247894287,-0.14285715,6.11415,19.198174,-0.82877475,11.28585,1.0574484,-0.18969898,-0.61794525,-6.6872597,,476.48892,17.374714
109,0.048781306,1.0233602e-07,,17.409307,0.9528729,,17.409307,661.13806,2180,17.632072,1263.7456815242767,-0.30612245,6.065487,19.198174,-0.8276553,11.334513,0.6986085,-0.2681673,-0.69828486,-6.6964765,,475.20798,16.590246
110,0.057432614,1.0048382e-07,,17.409307,2.1403073e-35,,17.409307,661.5072,2200,15.519197,1275.1314806938171,0.46938777,6.0137014,19.198174,-0.82939774,11.386298,1.0195748,0.4361604,-0.6919474,-6.705609,,470.4701,17.03086
111,0.0529305,9.868145e-08,,17.409307,2.9831483e-06,,17.409307,671.5344,2220,17.806143,1286.833500623703,0.14285715,6.04986,19.198174,-0.8276194,11.35014,0.867336,0.09619659,-0.6105777,-6.7146587,,461.05356,7.3726215
112,0.09372906,9.692714e-08,,17.409307,5.1742244e-20,,17.409307,679.91406,2240,113.1184,1298.7101418972015,1.0,6.0706615,19.198174,-0.8273806,11.329338,1.6186057,1.0567981,-0.6346384,-6.723627,,456.13416,9.020401
113,0.057432614,9.521922e-08,,17.409307,5.6940547e-36,,17.409307,697.3141,2260,16.924835,1310.5250298976898,0.30612245,6.1709213,19.198174,-0.83807886,11.229078,0.93611765,0.2496683,-2.3277624,-6.7325163,,453.9489,
114,0.057432614,9.355603e-08,,17.409307,0.004932677,,17.409307,706.177,2280,15.348886,1322.380070924759,0.020408163,6.1945353,19.198174,-0.8378864,11.205464,1.0418043,-0.015518485,-0.717199,-6.741327,,437.56302,8.537122
