MaxIWNorm,StdIW,TimeElapsed,MeanIW,LQGsigma,EpRewMean,InitialBound,StdIWNorm,EmpiricalD2,ReturnStepMaxmin,J_sample_variance,Bound,MinIWNorm,InitialReturnMax,ESSClassic,ESSRenyi,ReturnStepMax,EpLenMean,MeanIWNorm,EpisodesSoFar,InitialReturnMean,EpThisIter,Iteration,ReturnMeanIW,TimestepsSoFar,MinIW,MeanEntropy,InitialReturnStd,LQGmu,InitialReturnMin,MaxIW
0.04592065,0.9376686,31.07203245162964,0.71928704,[[0.096]],-7.729925137806259,-7.9288974,0.0062511247,35.620518,17.439537,109.40818,-5.381657,2.0752666e-05,-0.26707557,55.568012,4.211056,17.439537,20.0,0.004795247,4050,-7.729925,150,27,-4.1941357,81000,0.0031128998,-0.9257287,7.0880923,[[-0.543]],-24.246809,6.8880973
0.122239076,1.6184548,31.974493741989136,0.8373654,[[0.096]],-7.827074190436057,-8.026039,0.010789698,18.250137,19.056158,286.87958,-5.9430833,1.9090166e-05,-0.20269154,31.67435,8.219116,19.056158,20.0,0.005582436,4200,-7.8270745,150,28,-5.0931005,84000,0.002863525,-0.9258012,6.7266994,[[-0.612]],-24.246008,18.335861
0.06490378,1.2849802,32.892911434173584,0.89264566,[[0.096]],-8.29805495007082,-8.496123,0.008566534,19.018078,17.72285,313.59628,-6.6005993,1.2775115e-05,-0.4284099,48.82473,7.8872323,17.72285,20.0,0.0059509715,4350,-8.298055,150,29,-5.7368255,87000,0.0019162671,-0.9257528,6.9157977,[[-0.544]],-24.136806,9.735567
0.016475625,0.41761696,33.73354697227478,0.9769632,[[0.096]],-8.054441627849673,-8.247017,0.0027841134,1.1459819,19.270279,72.48818,-7.837988,0.0020581502,-0.31539384,126.82566,130.89212,19.270279,20.0,0.0065130885,4500,-8.054441,150,30,-7.6318345,90000,0.30872253,-0.9491355,6.980574,[[-0.608]],-23.46737,2.4713438
0.045576535,0.88775516,34.96492671966553,0.705723,[[0.094]],-7.542123997592222,-7.737283,0.0059183678,79.5021,18.80061,66.517006,-5.528558,4.1130957e-06,-0.2287339,58.085373,1.8867427,18.80061,20.0,0.0047048205,4650,-7.542124,150,31,-3.7884405,93000,0.0006169643,-0.9622504,6.934538,[[-0.629]],-23.782227,6.83648
0.006666667,,36.246354818344116,1.0,[[0.092]],-7.854056685144349,-8.0522995,4.656613e-10,1.0,18.062403,50.85552,-8.0522995,0.006666667,-0.20347069,150.0,150.0,18.062403,20.0,0.0066666673,4800,-7.854058,150,32,-7.854057,96000,1.0,-0.9622504,7.1074953,[[-0.546]],-24.157965,1.0
0.10859896,1.6554897,36.893640756607056,0.7185346,[[0.092]],-7.819491157077667,-8.018453,0.011036598,25.374388,17.540462,70.789085,-4.513857,1.1764762e-05,-0.23052257,23.778095,5.911473,17.540462,20.0,0.0047902307,4950,-7.8194914,150,33,-3.5116258,99000,0.0017647143,-0.9610289,6.6947145,[[-0.546]],-24.245623,16.289845
0.07529649,1.200668,37.584094762802124,0.7322694,[[0.093]],-9.964836889264294,-10.176875,0.008004454,26.709127,17.268051,163.33006,-6.39889,1.5030184e-06,-0.27825862,40.667343,5.616058,17.268051,20.0,0.004881796,5100,-9.964836,150,34,-5.3030524,102000,0.00022545276,-0.9605016,7.718084,[[-0.481]],-25.83923,11.294474
0.006666667,,38.48627710342407,1.0,[[0.093]],-9.410962195183092,-9.608005,4.656613e-10,1.0,18.014389,50.271206,-9.608005,0.006666667,-0.28798753,150.0,150.0,18.014389,20.0,0.0066666673,5250,-9.410963,150,35,-9.410962,105000,1.0,-0.9605016,7.0665455,[[-0.54]],-24.011726,1.0
0.1081614,1.6523495,39.827221155166626,0.82741404,[[0.093]],-7.884717967560462,-8.081967,0.011015664,32.303413,18.156265,243.61372,-6.4078565,8.022278e-06,-0.22164106,30.072006,4.643472,18.156265,20.0,0.005516094,5400,-7.8847184,150,36,-5.286769,108000,0.0012033416,-0.9714362,7.073892,[[-0.54]],-24.036905,16.224209
0.100590736,1.7498105,40.91960406303406,0.819504,[[0.092]],-8.62917215697386,-8.823601,0.011665404,36.56704,18.295969,324.7222,-6.9424014,9.38292e-07,-0.18611184,26.982754,4.1020546,18.295969,20.0,0.005463361,5550,-8.629173,150,37,-5.76668,111000,0.0001407438,-0.9954222,7.406188,[[-0.61]],-23.693151,15.08861
0.07504766,1.167025,42.1957802772522,0.73402995,[[0.089]],-7.777206644764295,-7.9713535,0.007780167,15.394269,18.719013,95.263466,-4.8363857,7.4187426e-07,-0.32517138,42.52011,9.743886,18.719013,20.0,0.004893533,5700,-7.7772064,150,38,-4.074639,114000,0.00011128114,-0.9943134,6.6519976,[[-0.691]],-23.658895,11.257149
0.0066667255,3.8103424e-06,43.313040018081665,0.9999998,[[0.09]],-8.161337998134032,-8.354013,2.5393929e-08,1.0,20.311728,47.189476,-8.354011,0.0066665467,-0.26861346,150.0,150.0,20.311728,20.0,0.006666665,5850,-8.161338,150,39,-8.161335,117000,0.999982,-0.9943134,6.8465285,[[-0.757]],-23.479578,1.0000088
0.033869587,0.57436275,44.163334131240845,0.9755004,[[0.09]],-9.781331887361938,-9.973227,0.0038290855,1.2859478,19.271057,157.01254,-9.704425,0.0017300883,-0.23689999,111.38575,116.645485,19.271057,20.0,0.0065033366,6000,-9.781332,150,40,-9.486816,120000,0.25951323,-0.9938255,7.620785,[[-0.757]],-23.384417,5.0804377
0.0066690566,8.639465e-05,45.09414982795715,1.0000024,[[0.09]],-8.448115226652462,-8.64069,5.7597697e-07,1.0,19.39554,49.85297,-8.640669,0.0066649895,-0.17655018,150.0,150.0,19.39554,20.0,0.0066666827,6150,-8.448115,150,41,-8.448094,123000,0.9997484,-0.99382514,7.037163,[[-0.734]],-23.467262,1.0003585
0.15074702,1.9250474,46.14754939079285,0.79198694,[[0.09]],-8.286821883442832,-8.479163,0.012833649,26.54437,19.893427,178.01956,-5.8372808,1.1945552e-05,-0.19046044,21.713682,5.6509156,19.893427,20.0,0.005279913,6300,-8.286821,150,42,-4.8463154,126000,0.0017918327,-0.9941204,7.0585384,[[-0.734]],-23.4388,22.612053
0.08457353,1.5873035,47.34793758392334,0.8333853,[[0.09]],-8.50799774430457,-8.704006,0.010582023,43.592426,20.695902,279.74615,-6.3744097,1.0176766e-07,-0.23888753,32.413685,3.4409647,20.695902,20.0,0.005555902,6450,-8.507998,150,43,-5.08027,129000,1.5265148e-05,-1.0839466,7.474066,[[-0.806]],-23.885748,12.686029
0.10372107,1.6474584,49.05477833747864,0.80653447,[[0.082]],-7.948788826184262,-8.14025,0.010983057,28.485056,18.823395,130.42662,-5.639044,1.16264455e-05,-0.20748697,29.00023,5.265919,18.823395,20.0,0.0053768964,6600,-7.948788,150,44,-4.6171846,132000,0.0017439667,-1.0841365,7.215093,[[-0.73]],-23.331663,15.55816
0.112684,1.7228909,50.743683099746704,0.84260243,[[0.082]],-7.504524366345225,-7.694537,0.011485939,30.064093,19.239803,342.93005,-6.536338,6.85561e-06,-0.25858602,28.952484,4.989341,19.239803,20.0,0.0056173494,6750,-7.5045238,150,45,-5.494486,135000,0.0010283415,-1.0791835,7.018382,[[-0.797]],-23.15503,16.9026
0.006666667,,52.272074699401855,1.0,[[0.082]],-7.48030920352912,-7.6629634,4.656613e-10,1.0,18.38037,48.407726,-7.6629634,0.006666667,-0.10473227,150.0,150.0,18.38037,20.0,0.0066666673,6900,-7.480309,150,46,-7.4803095,138000,1.0,-1.0791835,6.9343357,[[-0.726]],-22.258327,1.0
0.025760569,0.6985382,53.83298206329346,0.61766106,[[0.082]],-8.174265214277279,-8.369016,0.0046569207,25.106253,19.419748,38.377586,-5.3108706,0.00011458739,-0.12415542,65.81756,5.9746075,19.419748,20.0,0.00411774,7050,-8.174265,150,47,-4.335051,141000,0.017188108,-0.9351224,6.8754144,[[-0.726]],-23.73241,3.8640852
0.060040876,1.1603742,55.31755256652832,0.70844537,[[0.095]],-8.463929057938026,-8.660558,0.0077358284,34.55396,19.069256,310.73547,-6.5605016,5.2567198e-06,-0.30025238,40.730213,4.341037,19.069256,20.0,0.0047229696,7200,-8.463929,150,48,-5.404667,144000,0.0007885079,-0.93749106,6.7502074,[[-0.791]],-23.961285,9.006131
0.049596198,1.0211517,56.375909090042114,0.65574664,[[0.095]],-9.379666229773871,-9.576522,0.0068076784,42.562977,19.669405,108.46437,-5.9882927,1.8192353e-06,-0.27109715,43.79585,3.5241897,19.669405,20.0,0.0043716445,7350,-9.379666,150,49,-4.703993,147000,0.00027288529,-0.94490534,7.079916,[[-0.873]],-23.98908,7.4394298
0.09113531,1.4821616,57.53153896331787,0.8888024,[[0.094]],-7.866292887644616,-8.067132,0.009881078,11.692069,20.42627,675.767,-7.134177,4.640904e-05,-0.34561628,39.673405,12.829209,20.42627,20.0,0.0059253494,7500,-7.866293,150,50,-6.4474335,150000,0.006961356,-0.9422912,6.9047284,[[-0.96]],-24.474415,13.670296
0.072344236,1.2171109,58.67778182029724,0.6822117,[[0.094]],-7.8433728058192935,-8.035421,0.0081140725,25.299013,19.159004,38.590492,-4.0438924,4.2489886e-05,-0.2986913,35.860363,5.9290853,19.159004,20.0,0.0045480775,7650,-7.8433733,150,51,-3.0779226,153000,0.0063734828,-0.93859804,6.8345633,[[-0.882]],-23.40319,10.851635
0.05605835,1.099864,59.640071630477905,0.7716573,[[0.095]],-7.840744446374729,-8.037523,0.007332427,25.042408,19.22897,142.02498,-5.700016,2.3082013e-05,-0.27202818,49.479523,5.9898396,19.22897,20.0,0.005144383,7800,-7.8407445,150,52,-4.715287,156000,0.003462302,-0.9383746,6.660884,[[-0.801]],-23.979597,8.408752
