TimestepsSoFar,Regret,IWMean,MinEpLen,Delta,ReturnMean,DenMISEMeanLog,ReturnStepMax,BoundBonus,NumTrainableParams,MountainCar_mu1_higher,DenMISELogLast,TimeElapsed,IWMax,DenMISELogFirst,ReturnMin,AvgEpLen,IWLastEpisode,ActionIn1,IWMin,MountainCar_std1_higher,ReturnAbsMax,GridSize,NumTrajectories,Iteration,IWFirstEpisode,MountainCar_std0_higher,MountainCar_mu0_higher,Bound,BoundMISE,Regret/t,ReturnLastEpisode,ReturnMax
14961,-518.006,1.0005642,157,2.2984013e-05,27.522,-3.725787,109.75007,361.88712,,10.0,-4.5490847,7.525388717651367,7.6666665,-3.8257668,-109.75007,650.4782608695652,1.9614208e-07,9.885302,,1.5,109.75007,9,23,23,3.7002883e-11,0.14999999,,460.26807,98.38094,-22.522,93.56914,98.48671
15280,-611.572,1.0000595,157,2.110858e-05,30.482168,-3.6689494,109.75007,363.32626,,20.0,-2.2464259,7.704570770263672,8.0,-3.8683264,-109.75007,636.6666666666666,5.9648253e-10,19.389128,,1.5,109.75007,9,24,24,6.716502e-38,0.14999999,,458.00717,94.680916,-25.482168,98.56609,98.56609
15619,-700.76685,0.9999521,157,1.9453666e-05,33.030674,-3.626232,109.75007,364.70132,,10.0,-2.4843962,7.892318964004517,8.333334,-3.9091485,-109.75007,624.76,1.10816e-19,10.387262,,1.5,109.75007,9,25,25,8.473225e-08,0.14999999,-1.0,456.40225,91.700935,-28.030674,94.19484,98.56609
15804,-790.051,0.9999182,157,1.7986009e-05,35.386578,-3.5930116,109.75007,366.01758,,20.0,-2.6450005,8.022685527801514,8.666668,-3.9483693,-109.75007,607.8461538461538,6.876412e-07,20.18409,,1.5,109.75007,9,26,26,1.5328747e-34,0.14999999,-1.0,455.9166,89.89902,-30.386578,94.28418,98.56609
16062,-867.93933,0.9989268,157,1.6678383e-05,37.1459,-3.5593624,109.75007,449.82397,,,-2.5662203,8.180748224258423,13.488586,-3.9861095,-109.75007,594.8888888888889,,1.0239015,,1.5,109.75007,9,27,27,0.0012458517,0.14999999,,449.15732,-0.6666712,-32.1459,82.88828,98.56609
17061,-862.3533,0.44054696,157,9.122555e-06,35.798332,-3.5526967,109.75007,45581.234,,6.6666665,-3.2010365,8.65381145477295,5.470892,-4.022431,-109.75007,609.3214285714286,6.748203e-05,5.1950727,,1.5,109.75007,16,28,28,0.003441172,0.14999999,-0.33333334,45601.043,19.809143,-30.798332,-0.5861285,98.56609
17553,-953.8557,0.094894044,157,8.504261e-06,37.891575,-3.5923846,109.75007,45718.52,,13.333333,-4.127189,9.22929310798645,2.3068383,-4.0573993,-109.75007,605.2758620689655,6.609293e-05,15.100201,,1.5,109.75007,16,29,29,1.4001333e-14,0.14999999,-0.33333334,45727.793,9.271807,-32.891575,96.50247,98.56609
17865,-1043.5874,0.16027118,157,7.94676e-06,39.786247,-3.6987467,109.75007,45851.086,,13.333333,-5.8919253,9.429525375366211,4.20039,-4.091301,-109.75007,595.5,4.20039,11.951795,,1.5,109.75007,16,30,30,3.2446313e-23,0.14999999,0.33333334,45866.34,15.255603,-34.786247,94.73167,98.56609
18313,-1133.5253,0.047135126,157,7.4423347e-06,41.56533,-3.7543776,109.75007,45978.69,,6.6666665,-4.59078,9.679758071899414,0.6874505,-4.1240907,-109.75007,590.741935483871,0.30364096,7.365621,,1.5,109.75007,16,31,31,8.533541e-12,0.14999999,0.33333334,45980.906,2.2157788,-36.56533,94.937805,98.56609
19312,-1116.0876,0.024888974,157,6.984457e-06,39.87774,-3.7943208,109.75007,5519.619,,13.333333,-4.0951605,10.15750527381897,0.5954026,-4.1558394,-109.75007,603.5,4.8638244e-06,12.504988,,1.5,109.75007,16,32,32,,0.14999999,1.0,5517.9995,-1.619785,-34.87774,-12.4375925,98.56609
20311,-1031.6039,0.42025083,157,6.5675695e-06,36.260723,-3.8131704,109.75007,5533.912,,6.6666665,-3.4563622,10.648529529571533,10.575893,-4.186611,-109.75007,615.4848484848485,0.1262569,7.9974737,,1.5,109.75007,16,33,33,5.369062e-29,0.14999999,1.0,5503.1943,-30.71766,-31.260723,-79.48373,98.56609
21310,-976.047,0.25389522,157,6.186923e-06,33.707264,-3.834908,109.75007,4529.7104,,,-3.9406528,11.122680187225342,7.8687677,-4.216464,-109.75007,626.7647058823529,5.8787793e-07,1.2404308,,1.5,109.75007,16,34,34,6.2851115e-09,0.14999999,0.33333334,4529.5576,-0.15284264,-28.707264,-50.556858,98.56609
22309,-962.72314,0.34406042,157,5.8384353e-06,32.506374,-3.8747113,109.75007,4538.2607,,,-4.47291,11.608490943908691,7.7705903,-4.245452,-109.75007,637.4,2.2313821e-05,0.5785032,,1.5,109.75007,16,35,35,2.8882103,0.14999999,-0.33333334,4537.3413,-0.919497,-27.506374,-8.323901,98.56609
23308,-957.6002,1.9921502,157,5.5185833e-06,31.600006,-3.8673537,109.75007,3941.4922,,13.333333,-2.9425685,12.088340044021606,58.73018,-4.1943307,-109.75007,647.4444444444445,1.6176893e-23,11.825262,,1.5,109.75007,16,36,36,1.8910734e-14,0.14999999,-1.0,4126.841,185.34854,-26.600006,-0.12293545,98.56609
23489,-1043.6149,0.23494364,157,5.224312e-06,33.205807,-3.8545012,109.75007,3950.4053,,20.0,-3.7145042,12.22820520401001,4.0760603,-4.2217298,-109.75007,634.8378378378378,1.0346276e-09,19.615765,,1.5,109.75007,16,37,37,1.7106325e-34,0.14999999,-0.33333334,3972.6326,22.227402,-28.205807,91.01468,98.56609
23669,-1130.2957,0.14559503,157,4.9529667e-06,34.74462,-3.9024236,109.75007,3959.058,,20.0,-4.9148784,12.372113704681396,3.2077577,-4.248398,-109.75007,622.8684210526316,2.6188443e-06,19.691929,,1.5,109.75007,16,38,38,,0.14999999,0.33333334,3972.8137,13.755552,-29.744621,91.68073,98.56609
23947,-1218.908,0.01856007,157,4.7022245e-06,36.25405,-3.931895,109.75007,3967.4666,,6.6666665,-4.2061725,12.570051431655884,0.4043823,-4.2743735,-109.75007,614.025641025641,7.3751296e-34,7.482173,,1.5,109.75007,16,39,39,0.0052142623,0.14999999,-1.0,3969.088,1.6214414,-31.254051,93.61226,98.56609
24201,-1306.476,1.5603551,157,4.4700523e-06,37.6619,-3.9323075,109.75007,663.6943,,13.333333,-2.979511,12.751420974731445,24.796356,-4.2995577,-109.75007,605.025,0.07352249,11.943017,,1.5,109.75007,16,40,40,2.100911e-14,0.14999999,-1.0,807.1343,143.44003,-32.6619,92.56795,98.56609
24453,-1391.239,1.33771,157,4.2546603e-06,38.93266,-3.9063046,109.75007,674.4191,,6.6666665,-3.1503,12.930758237838745,40.845432,-4.32425,-109.75007,596.4146341463414,6.646487e-08,6.4142065,,1.5,109.75007,16,41,41,0.004653555,0.14999999,-0.33333334,767.1712,92.75208,-33.93266,89.76308,98.56609
24858,-1480.2953,1.034884,157,4.0544687e-06,40.245125,-3.9387062,109.75007,675.73193,,13.333333,-5.2912197,13.186604022979736,37.492207,-4.348234,-109.75007,591.8571428571429,6.7390984e-12,14.286712,,1.5,109.75007,16,42,42,4.1951825e-23,0.14999999,0.33333334,764.09033,88.35839,-35.245125,94.05634,98.56609
25100,-1571.0437,1.0871844,157,3.868082e-06,41.5359,-3.9333708,109.75007,667.5796,,20.0,-3.494223,13.370627880096436,37.494175,-4.3717647,-109.75007,583.7209302325581,3.78033e-07,18.366636,,1.5,109.75007,16,43,43,1.987535e-34,0.14999999,-0.33333334,759.1943,91.61467,-36.5359,95.74835,98.56609
25282,-1658.231,1.0489494,157,3.6942577e-06,42.68707,-3.9363105,109.75007,668.80994,,20.0,-3.9089737,13.517481803894043,40.172165,-4.3947544,-109.75007,574.5909090909091,6.874019e-05,20.87127,,1.5,109.75007,16,44,44,,0.14999999,0.33333334,754.4087,85.598785,-37.68707,92.18736,98.56609
25436,-1747.2048,0.6543411,154,3.5318933e-06,43.826775,-3.9236014,109.75007,679.47656,,13.333333,-3.156643,13.653794050216675,25.622244,-4.4172273,-109.75007,565.2444444444444,1.8865481e-07,11.331219,,1.5,109.75007,16,45,45,2.0065052e-14,0.14999999,-0.33333334,741.7161,62.239544,-38.826775,93.97383,98.56609
25805,-1838.7866,0.43471402,154,3.3800018e-06,44.97362,-3.9327314,109.75007,671.1824,,6.6666665,-3.8876956,13.881676197052002,11.505436,-4.439206,-109.75007,560.9782608695652,2.7079498e-06,7.578158,,1.5,109.75007,16,46,46,0.0061486354,0.14999999,-1.0,711.69763,40.515263,-39.97362,96.58172,98.56609
26136,-1921.4832,0.34407023,154,3.2377015e-06,45.88262,-3.9264283,109.75007,674.6742,,,-3.0423157,14.095502614974976,7.535423,-4.4605784,-109.75007,556.0851063829788,5.5875057e-12,2.2253907,,1.5,109.75007,16,47,47,3.5814347,0.14999999,-0.33333334,673.81085,-0.86336344,-40.88262,87.696594,98.56609
27135,-1915.6943,1.0303799,154,3.1042032e-06,44.910297,-3.9515111,109.75007,682.9609,,6.6666665,-4.4676433,14.600049257278442,47.5256,-4.408195,-109.75007,565.3125,0.004231515,6.0351024,,1.5,109.75007,16,48,48,1.1337431e-11,0.14999999,0.33333334,674.8308,-8.130065,-39.910297,-0.7887831,98.56609
28134,-1905.708,1.1800643,154,2.9787932e-06,43.892,-3.9530141,109.75007,676.9022,,,-3.7636757,15.132285118103027,47.2163,-4.4288144,-109.75007,574.1632653061224,0.019334888,0.54085684,,1.5,109.75007,16,49,49,7.772039e-09,0.14999999,0.33333334,670.2815,-6.620745,-38.892,-4.986348,98.56609
29133,-1892.8896,0.27835488,154,2.8608335e-06,42.85779,-3.9568589,109.75007,680.3672,,13.333333,-4.030822,15.642829656600952,12.845959,-4.449017,-109.75007,582.66,9.894572e-19,16.784376,,1.5,109.75007,16,50,50,,0.14999999,1.0,658.5232,-21.843996,-37.85779,-7.818336,98.56609
30132,-1727.4509,1.080581,154,2.7497433e-06,38.871586,-4.0959325,160.43874,996.1402,,6.6666665,-10.3094425,16.134204149246216,38.259716,-4.4688196,-160.43874,590.8235294117648,4.150307e-06,8.875799,,1.5,160.43874,16,51,51,7.1196376e-29,0.14999999,1.0,934.10876,-62.031433,-33.871586,-160.43874,98.56609
31131,-1633.2039,1.4465542,154,2.6450014e-06,36.40777,-4.097459,160.43874,705.4448,,13.333333,-4.046474,16.64769220352173,20.11264,-4.4882374,-160.43874,598.6730769230769,,12.711055,,1.5,160.43874,16,52,52,2.5371762e-14,0.14999999,-1.0,837.4124,131.96759,-31.407768,-89.24712,98.56609
31312,-1719.218,1.0534903,154,2.5461316e-06,37.438076,-4.077151,160.43874,711.49927,,13.333333,-3.2884257,16.805015802383423,26.332262,-4.5072856,-160.43874,590.7924528301887,2.9715595e-18,14.057981,,1.5,160.43874,16,53,53,4.9184174e-23,0.14999999,0.33333334,811.9608,100.46155,-32.438076,91.01425,98.56609
31555,-1809.9155,1.1410517,154,2.4527033e-06,38.516953,-4.0668902,160.43874,707.51495,,20.0,-3.4055896,16.990423440933228,25.808899,-4.525978,-160.43874,584.3518518518518,1.9021252e-06,16.885735,,1.5,160.43874,16,54,54,2.3189354e-34,0.14999999,-0.33333334,812.94556,105.430626,-33.516953,95.697426,98.56609
31815,-1900.269,1.0336863,154,2.3643252e-06,39.550346,-4.0814304,160.43874,713.54236,,6.6666665,-4.8398547,17.17925715446472,27.422771,-4.5443273,-160.43874,578.4545454545455,2.0094593e-09,7.2751436,,1.5,160.43874,16,55,55,0.0057991333,0.14999999,-0.33333334,798.7466,85.204216,-34.550346,95.35364,98.56609
32252,-1989.4409,0.84831893,154,2.2806387e-06,40.52573,-4.1029706,160.43874,714.5341,,13.333333,-5.197585,17.441848039627075,21.476368,-4.56224,-160.43874,575.9285714285714,0.025172383,13.361907,,1.5,160.43874,16,56,56,2.3196314e-14,0.14999999,-0.33333334,795.869,81.334915,-35.52573,94.17172,98.56609
32596,-2078.7593,0.82990634,154,2.2013185e-06,41.46946,-4.093533,160.43874,710.4699,,20.0,-3.3131752,17.656019926071167,27.1981,-4.57994,-160.43874,571.859649122807,1.7052159e-07,19.491076,,1.5,160.43874,16,57,57,,0.14999999,0.33333334,788.3524,77.88249,-36.46946,94.31844,98.56609
32755,-2166.9111,0.520513,154,2.1260653e-06,42.36054,-4.0867066,160.43874,711.41785,,6.6666665,-3.423894,17.80286169052124,9.375202,-4.5973315,-160.43874,564.7413793103449,2.7281478e-32,9.747843,,1.5,160.43874,16,58,58,0.007201977,0.14999999,-1.0,759.2954,47.877567,-37.36054,93.151726,98.56609
33013,-2243.3933,1.5069976,154,2.0546058e-06,43.023617,-4.152041,160.43874,583.0047,,13.333333,-7.4395876,17.988069534301758,18.568718,-4.6143017,-160.43874,559.542372881356,5.2902217,14.223135,,1.5,160.43874,16,59,59,2.8780587e-14,0.14999999,-1.0,719.47473,136.47005,-38.023617,81.48237,98.56609
33435,-2324.8027,0.48439613,154,1.98669e-06,43.74671,-4.141518,160.43874,714.5213,,,-3.8835752,18.24269962310791,11.395977,-4.6311088,-160.43874,557.25,8.916462e-25,-2.4263947,,1.5,160.43874,16,60,60,4.247344,0.14999999,-0.33333334,713.57697,-0.94431347,-38.74671,86.40923,98.56609
34434,-2317.0735,1.0287621,154,1.9220863e-06,42.98481,-4.152085,160.43874,719.2226,,6.6666665,-4.2505574,18.73291516304016,30.325277,-4.579242,-160.43874,564.4918032786885,9.291778e-11,5.7221966,,1.5,160.43874,16,61,61,1.3452392e-11,0.14999999,0.33333334,712.08405,-7.138535,-37.98481,-2.729203,98.56609
35433,-2307.894,1.1660028,154,1.8605837e-06,42.2241,-4.148281,160.43874,716.30756,,,-3.7661278,19.242493152618408,30.438711,-4.595503,-160.43874,571.5,0.039722804,-1.3271692,,1.5,160.43874,16,62,62,9.181783e-09,0.14999999,0.33333334,708.27313,-8.034447,-37.2241,-4.1794868,98.56609
36432,-2302.7725,1.0440263,154,1.8019862e-06,41.551945,-4.1413283,160.43874,588.6905,,13.333333,-3.6899323,19.77104949951172,20.908512,-4.611503,-160.43874,578.2857142857143,6.789643e-21,13.937417,,1.5,160.43874,16,63,63,5.4586657e-23,0.14999999,0.33333334,688.3712,99.680756,-36.551945,-0.121661596,98.56609
36877,-2394.2285,0.9684685,154,1.7461142e-06,42.40982,-4.1268225,160.43874,589.391,,13.333333,-3.13205,20.046049118041992,21.195904,-4.6272516,-160.43874,576.203125,0.0005962765,9.376247,,1.5,160.43874,16,64,64,2.4754406e-14,0.14999999,-0.33333334,681.7552,92.36421,-37.40982,96.45625,98.56609
37213,-2485.8047,2.6732426,154,1.1068314e-06,43.24315,-4.1399474,160.43874,9243.59,,5.0,-4.850589,20.275994777679443,107.92613,-4.6427555,-160.43874,572.5076923076923,0.023267908,7.5877953,,1.5,160.43874,25,65,65,0.00011603609,0.14999999,,9244.981,1.3918405,-38.24315,96.5762,98.56609
37617,-2579.7651,2.29879,154,1.073545e-06,44.08735,-4.1246023,160.43874,8568.144,,10.0,-3.9441326,21.66077947616577,66.3093,-4.6580215,-160.43874,569.9545454545455,0.0028135905,11.658148,,1.5,160.43874,25,66,66,1.0097815e-06,0.14999999,-0.5,8787.206,219.06287,-39.08735,98.96017,98.96017
37953,-2668.85,0.40254393,154,1.0417382e-06,44.833584,-4.1083345,160.43874,8586.33,,10.0,-3.8259284,21.90954613685608,21.228378,-4.6730595,-160.43874,566.4626865671642,3.843668e-09,12.060563,,1.5,160.43874,25,67,67,1.0868424e-19,0.14999999,0.5,8617.89,31.559198,-39.833584,94.085335,98.96017
38212,-2759.4937,2.5141444,154,1.011324e-06,45.580788,-4.110808,160.43874,8036.295,,15.0,-3.6435392,22.133687019348145,141.23776,-4.6878743,-160.43874,561.9411764705883,0.0795908,14.914854,,1.5,160.43874,25,68,68,9.453741e-22,0.14999999,,8274.972,238.67667,-40.580788,95.64326,98.96017
38460,-2849.3467,0.981188,154,9.822227e-07,46.29488,-4.0990653,160.43874,2068.9944,,5.0,-3.8416104,22.354694604873657,27.387598,-4.702473,-160.43874,557.3913043478261,6.762478e-13,3.0669756,,1.5,160.43874,25,69,69,1.4624346,0.14999999,-0.5,2153.7012,84.70689,-41.29488,94.85325,98.96017
39265,-2939.3027,0.4847727,154,9.543596e-07,46.99004,-4.108284,160.43874,2071.17,,5.0,-4.6101637,22.808194637298584,12.172846,-4.6958885,-160.43874,560.9285714285714,1.4507063e-07,6.1275487,,1.5,160.43874,25,70,70,1.5403707e-13,0.14999999,0.5,2067.5806,-3.5894003,-41.99004,94.956116,98.96017
40264,-2927.3076,0.37791,154,9.276656e-07,46.229683,-4.1071362,160.43874,1795.5665,,15.0,-3.486746,23.33939528465271,7.858486,-4.7100735,-160.43874,567.0985915492957,9.151226e-08,12.408559,,1.5,160.43874,25,71,71,1.2167487e-30,0.14999999,0.5,1831.7091,36.14253,-41.229683,-6.9952183,98.96017
40613,-3019.4326,0.2929412,154,9.020761e-07,46.936565,-4.110937,160.43874,1797.3506,,15.0,-3.752328,23.599867582321167,6.349219,-4.7240596,-160.43874,564.0694444444445,0.0005381505,14.562223,,1.5,160.43874,25,72,72,1.1637732e-17,0.14999999,-0.5,1824.9349,27.584393,-41.936565,97.12481,98.96017
40837,-3111.4126,0.28230852,154,8.775309e-07,47.62209,-4.113008,160.43874,1372.4779,,5.0,-3.553052,23.796295881271362,11.945738,-4.737853,-160.43874,559.4109589041096,8.609847e-26,5.2584267,,1.5,160.43874,25,73,73,3.0221315e-27,0.14999999,1.0,1354.1287,-18.349281,-42.62209,96.98011,98.96017
41836,-3046.3867,1.8829205,154,8.539741e-07,46.16739,-4.1247725,160.43874,1121.7019,,20.0,-4.2566423,24.32917284965515,63.895412,-4.7514586,-160.43874,565.3513513513514,,21.877926,,1.5,160.43874,25,74,74,1.9285405e-33,0.14999999,-0.5,1294.502,172.80005,-41.16739,-60.02582,98.96017
42052,-3132.2327,1.1371375,154,8.3135325e-07,46.763103,-4.1243134,160.43874,1375.1357,,15.0,-4.5432334,24.544047594070435,83.10184,-4.7648816,-160.43874,560.6933333333334,4.2489755e-23,14.8056755,,1.5,160.43874,25,75,75,,0.14999999,1.0,1207.0085,-168.12715,-41.763103,90.845894,98.96017
43051,-3062.25,1.505805,154,8.096195e-07,45.292763,-4.122755,160.43874,1042.406,,10.0,-3.7870107,25.106584310531616,37.917797,-4.7781267,-160.43874,566.4605263157895,2.0533962e-20,8.472955,,1.5,160.43874,25,76,76,1.1386447e-06,0.14999999,-0.5,1185.592,143.1861,-40.292763,-64.98273,98.96017
43597,-3152.2144,0.5826805,154,7.88727e-07,45.937847,-4.1154413,160.43874,1124.907,,20.0,-3.8772745,25.448363065719604,25.425438,-4.7911987,-160.43874,566.1948051948052,4.4616177e-20,21.461864,,1.5,160.43874,25,77,77,,0.14999999,0.5,1179.3254,54.4184,-40.937847,94.96425,98.96017
43800,-3243.8716,1.3166953,154,7.6863284e-07,46.588097,-4.1160707,160.43874,1043.2633,,15.0,-3.6893492,25.64938974380493,52.13338,-4.8041024,-160.43874,561.5384615384615,0.0013346996,14.039368,,1.5,160.43874,25,78,78,1.0618955e-21,0.14999999,,1168.6554,125.39207,-41.588097,96.657295,98.96017
44033,-3336.7212,0.09769066,154,7.49297e-07,47.236977,-4.11104,160.43874,1126.9321,,5.0,-3.8481128,25.85611128807068,2.5548263,-4.816841,-160.43874,557.379746835443,3.9567045e-16,3.2161608,,1.5,160.43874,25,79,79,0.29093695,0.14999999,-1.0,1132.9766,6.044373,-42.236977,97.84972,98.96017
44953,-3412.9927,0.71892196,154,7.306816e-07,47.662407,-4.1244383,160.43874,1122.2179,,,-4.2858815,26.35972785949707,34.25019,-4.825744,-160.43874,561.9125,0.015657257,0.08225632,,1.5,160.43874,25,80,80,34.25019,0.14999999,-0.5,1123.0531,0.83526576,-42.662407,81.27155,98.96017
