ReturnLastEpisode,LQGsigma_higher,IWMean,MinEpLen,IWLastEpisode,DenMISEMeanLog,LQGmu1_actor,Bound,ReturnMean,AvgEpLen,NumTrajectories,DenMISELogLast,Iteration,TimeElapsed,IWMax,TimestepsSoFar,IWFirstEpisode,GridSize,Regret,LQGmu1_higher,IWMin,BoundMISE,ReturnStepMax,Delta,ReturnAbsMax,ReturnMax,DenMISELogFirst,BoundBonus,NumTrainableParams,ReturnMin,Regret/t
7.6463118,0.14999999,0.90373486,20,2.6554503e-07,-0.79035294,-0.2468107,81.32952,14.713607,20.0,28,-1.3369942,28,0.9915428161621094,5.044945,560,4.8814517e-13,6,-271.981,-0.2,,16.33222,19.98662,2.2154774e-05,18.196562,18.196562,-1.249322,64.9973,,,-9.713607
18.19684,0.14999999,1.018476,20,0.054075032,-0.7859848,0.16032264,75.27418,14.833718,20.0,29,-0.54087687,29,1.0249862670898438,5.649375,580,1.6445227e-05,6,-285.17783,0.2,,15.895967,19.986897,2.0653208e-05,18.19684,18.19684,-1.2844135,59.37821,,,-9.833718
17.085537,0.14999999,0.6396679,20,1.3064634e-05,-0.78172076,-0.5401322,74.9403,14.908779,20.0,30,-0.6226749,30,1.0593092441558838,5.0623326,600,1.31203014e-23,6,-297.26337,-0.6,,11.635905,19.986897,1.9299276e-05,18.19684,18.19684,-1.3183144,63.304394,,,-9.908779
18.19471,0.14999999,0.9495014,20,0.3671021,-0.7875393,0.15187268,72.81511,15.014776,20.0,31,-0.5905909,31,1.0999696254730225,4.631494,620,5.4044594e-13,6,-310.45807,-0.2,,17.172274,19.986897,1.8074239e-05,18.19684,18.19684,-1.3511043,55.642838,,,-10.014776
16.045925,0.14999999,1.1825552,20,4.9805746,-0.78656423,0.49358732,70.786224,15.047001,20.0,32,-0.6788358,32,1.1451709270477295,5.184972,640,1.8146442e-05,6,-321.50403,0.2,,18.703035,19.986897,1.696225e-05,18.19684,18.19684,-1.3828529,52.08319,,,-10.047001
9.9757395,0.14999999,1.2449284,20,4.3196406,-0.7812775,0.7893282,71.30143,14.893326,20.0,33,-0.73662776,33,1.1800799369812012,10.099975,660,0.49669516,6,-326.47974,0.6,,10.840245,19.986897,1.5949812e-05,18.19684,18.19684,-1.413624,60.461185,,,-9.893326
6.232,0.14999999,0.7078278,20,3.1746201e-18,-0.80181175,-0.4281597,67.67383,14.63858,20.0,34,-1.6245468,34,1.2211179733276367,4.8526697,680,1.464921e-23,6,-327.71173,-0.6,,12.876381,19.986897,1.5025385e-05,18.19684,18.19684,-1.4285377,54.797443,,,-9.63858
18.188517,0.14999999,1.1531374,20,8.4333e-20,-0.7999194,0.8465094,66.47431,14.740007,20.0,35,-0.42765144,35,1.2698898315429688,11.633042,700,11.240175,6,-340.90027,1.0,,5.147868,19.986897,1.4179057e-05,18.19684,18.19684,-1.4575253,61.326447,,,-9.740007
5.540525,0.14999999,0.8786178,20,3.1235795e-10,-0.8175686,-0.14243124,65.71197,14.484467,20.0,36,-1.4723264,36,1.3055875301361084,4.6026525,720,4.680079e-13,6,-341.4408,-0.2,,15.877106,19.986897,1.3402273e-05,18.19684,18.19684,-1.2071953,49.83486,,,-9.484467
18.189117,0.14999999,1.4204495,20,2.3385699e-06,-0.8156004,0.9994619,77.76916,14.584592,20.0,37,-0.60339385,37,1.34297776222229,10.466799,740,1.1360763,7,-354.62988,0.6666667,,10.701175,19.986897,1.1101663e-05,18.19684,18.19684,-1.2345942,67.067986,,,-9.584592
2.822498,0.14999999,0.53304493,20,1.4798818e-26,-0.81842107,-0.45014054,73.24504,14.275063,20.0,38,-1.2351199,38,1.5162012577056885,3.5832677,760,1.03043625e-25,7,-352.4524,-0.6666667,,9.696407,19.986897,1.0525054e-05,18.19684,18.19684,-1.2310196,63.548637,,,-9.275063
18.19244,0.14999999,1.2136854,20,3.9317586e-12,-0.8216878,0.7117525,66.22424,14.375508,20.0,39,-0.4767411,39,1.560504674911499,8.599804,780,1.1618128,7,-365.64484,0.6666667,,9.074015,19.986897,9.992227e-06,18.19684,18.19684,-1.2569952,57.15023,,,-9.375508
7.4085917,0.14999999,0.94707805,20,3.976639e-28,-0.82364666,-0.9521943,65.54489,14.201337,20.0,40,-1.0431343,40,1.6029548645019531,7.906846,800,2.515823e-37,7,-368.05347,-1.0,,17.226131,19.986897,9.498861e-06,18.19684,18.19684,-1.2529579,48.31876,,,-9.201337
