DenMISELogLast,MountainCar_mu1_higher,NumTrajectories,IWLastEpisode,AvgEpLen,Regret/t,NumTrainableParams,ActionIn1,MountainCar_std0_higher,ReturnMin,ReturnStepMax,ReturnLastEpisode,Regret,IWMean,Bound,DenMISELogFirst,MinEpLen,MountainCar_std1_higher,IWMin,ReturnMax,TimeElapsed,IWFirstEpisode,GridSize,ReturnAbsMax,Iteration,ReturnMean,TimestepsSoFar,IWMax,Delta,MountainCar_mu0_higher,DenMISEMeanLog
1.7449328,-10.0,40,0.11063297,999.0,6.6519804,,-12.021577,0.14999999,-2.8000343,28.00704,-1.6453811,266.07922,9.395162e+23,inf,-28.571205,999,1.5,,,17.13387155532837,9.664802e-06,16,2.8000343,40,-1.6519802,39960,1.0142815e+25,4.4700523e-06,-1.0,-26.426579
-18.672241,-10.0,41,68286770.0,999.0,6.6616745,,-12.6156435,0.14999999,-2.8000343,28.00704,-2.0494537,273.12866,9.3900146e+23,inf,-28.595898,999,1.5,,,17.554250717163086,9.906421e-06,16,2.8000343,41,-1.6616747,40959,1.0396384e+25,4.2546603e-06,-1.0,-26.243689
-41.178593,-10.0,42,9.445706e+16,999.0,6.686653,,-9.621309,0.14999999,-2.8000343,28.00704,-2.7107697,280.83942,9.385095e+23,inf,-28.619995,999,1.5,,,17.985616207122803,1.014804e-05,16,2.8000343,42,-1.6866531,41958,1.0649954e+25,4.0544687e-06,-1.0,-26.605219
-44.771652,-10.0,43,1.1089258e+19,999.0,6.696501,,-8.2986555,0.14999999,-2.8000343,28.00704,-2.1100965,287.94952,9.3804136e+23,inf,-28.643526,999,1.5,,,18.416056632995605,1.0389665e-05,16,2.8000343,43,-1.6965005,42957,1.090355e+25,3.868082e-06,-1.0,-27.033356
-59.04623,-10.0,44,3.9556682e+24,999.0,6.7093067,,-13.336052,0.14999999,-2.8000343,28.00704,-2.259979,295.2095,1.0274905e+24,inf,-28.666515,999,1.5,,,18.849119901657104,1.0631282e-05,16,2.8000343,44,-1.7093068,43956,1.1157097e+25,3.6942577e-06,-1.0,-27.766325
-59.068707,-10.0,45,7.3935167e+24,999.0,6.723228,,-12.2259655,0.14999999,-2.8000343,28.00704,-2.335756,302.54526,1.1913625e+24,inf,-28.688988,999,1.5,,,19.268600463867188,1.0872897e-05,16,2.8000343,45,-1.7232281,44955,1.1410706e+25,3.5318933e-06,-1.0,-28.467602
-36.018314,-10.0,46,1855433400000000.0,999.0,6.720836,,-9.97858,0.14999999,-2.8000343,28.00704,-1.6132072,309.15848,1.1909454e+24,inf,-28.710968,999,1.5,,,19.70089626312256,1.1114533e-05,16,2.8000343,46,-1.7208363,45954,1.1664249e+25,3.3800018e-06,-1.0,-28.637655
-12.446486,-10.0,47,35136.08,999.0,6.7088623,,-11.028003,0.14999999,-2.8000343,28.00704,-1.1580563,315.31653,1.190549e+24,inf,-28.732473,999,1.5,,,20.12121891975403,1.1356144e-05,16,2.8000343,47,-1.7088623,46953,1.1917831e+25,3.2377015e-06,-1.0,-28.298819
1.5678967,-10.0,48,0.115902394,999.0,6.719739,,-9.315145,0.14999999,-2.8000343,28.00704,-2.2309365,322.5475,1.19016685e+24,inf,-28.753527,999,1.5,,,20.558152437210083,1.1597762e-05,16,2.8000343,48,-1.719739,47952,1.2171402e+25,3.1042032e-06,-1.0,-27.682013
-56.588974,-10.0,49,1.3632096e+24,999.0,6.719051,,-9.740002,0.14999999,-2.8000343,28.00704,-1.6860242,329.2335,1.217619e+24,inf,-28.774147,999,1.5,,,20.980525493621826,1.1839395e-05,16,2.8000343,49,-1.7190508,48951,1.2424961e+25,2.9787932e-06,-1.0,-28.277145
