ReturnMean,Iteration,NatGrad2Norm,J,BatchSize,TimestepsSoFar,AvgEpLen,NatGradInftyNorm,NumTrajectories,ReturnMax,VarJ,MinEpLen,AvgRet,StepSize
-94.34120037012993,24,1.7445382,-93.24475370479318,100,4069,40.69,1.2062681,2400,-7.39207885946104,0.24434763502132498,11,-128.59604008845403,0.01
-94.28157957484795,25,1.3516749,-92.85068048808041,100,4030,40.3,1.0092928,2500,-7.39207885946104,0.9165584577296797,11,-128.02983344387786,0.01
-94.25725883477813,26,1.3225638,-93.64924033303248,100,4127,41.27,0.88218236,2600,-7.39207885946104,0.9519614536066875,12,-129.2880983624343,0.01
-94.18822470835507,27,4.053845,-92.39333742135564,100,4380,43.8,3.4750733,2700,-7.39207885946104,0.7276652669735378,12,-129.5442858290207,0.01
-94.20931649479762,28,2.0873628,-94.77879472874648,100,3302,33.02,1.7373399,2800,-7.39207885946104,0.22430557430212258,12,-124.92797709410884,0.01
-94.19014868674222,29,3.7522018,-93.65345006119068,100,3748,37.48,3.0520492,2900,-7.39207885946104,0.4586537611620352,11,-126.85938156343545,0.01
-94.1977898136632,30,2.2988675,-94.41938249437194,100,4533,45.33,1.7637503,3000,-7.39207885946104,0.22789469624420344,12,-134.35572043695794,0.01
-94.19542991956621,31,2.5413246,-94.12463309665611,100,3382,33.82,1.9941024,3100,-7.39207885946104,0.393032768793932,11,-125.60033434616943,0.01
-94.16473393019976,32,3.678264,-93.21315825984033,100,5731,57.31,3.4375408,3200,-7.39207885946104,0.9793208048412285,11,-136.11777955374598,0.01
-94.13607172713319,33,2.2735696,-93.21888122900262,100,5859,58.59,1.7236844,3300,-7.39207885946104,0.7824726304373386,12,-138.1820739277882,0.01
-94.11281842772773,34,1.6031028,-93.34545954734799,100,5000,50.0,1.3953416,3400,-7.39207885946104,0.6343120114861894,12,-133.84543326912402,0.01
-94.0969424518845,35,3.0291066,-93.5571592732143,100,5190,51.9,2.786477,3500,-7.39207885946104,1.1822956640189666,13,-132.97403614359942,0.01
-94.088030396692,36,3.705065,-93.77610846495475,100,4595,45.95,3.5444887,3600,-7.39207885946104,0.728539160271759,11,-131.93614566581985,0.01
-94.04777252054562,37,1.1705047,-92.5984889792763,100,3940,39.4,0.84052324,3700,-7.39207885946104,0.6829508743931538,11,-124.95854403340698,0.01
-93.9746516884646,38,4.849185,-91.26918090146641,100,4612,46.12,4.3782735,3800,-7.39207885946104,1.450971635750939,12,-122.88771430578674,0.01
-93.92625420963591,39,2.468428,-92.08715001414608,100,2975,29.75,1.7394536,3900,-7.39207885946104,0.8016180209595373,11,-117.68552555091102,0.01
-93.88178528946874,40,3.8840284,-92.14749740294843,100,2761,27.61,3.6698728,4000,-7.39207885946104,0.3964845756276755,10,-116.70890645965504,0.01
-93.82360299133066,41,1.5427579,-91.49631106580719,100,3863,38.63,1.1722554,4100,-7.39207885946104,1.0387248912614861,13,-122.86209795818758,0.01
-93.78156416145038,42,2.7927332,-92.05797213635924,100,4476,44.76,2.4205072,4200,-7.39207885946104,0.8998234616678836,12,-126.62638750105498,0.01
-93.75046124743501,43,1.4871196,-92.44413885878957,100,3239,32.39,0.9509384,4300,-7.39207885946104,0.5776765483259702,12,-121.17308484055273,0.01
-93.70902414072688,44,0.5613017,-91.92722855227805,100,4353,43.53,0.54693997,4400,-7.39207885946104,0.8720322424088158,13,-129.36913934179273,0.01
-93.68718511302663,45,1.1522101,-92.7262678942152,100,4379,43.79,0.81219476,4500,-7.39207885946104,0.3831666462424144,14,-129.9079223957812,0.01
-93.62892645666886,46,4.2111053,-91.0072869205697,100,3712,37.12,2.901017,4600,-7.39207885946104,1.1664236932994556,13,-123.34782263683935,0.01
-93.56876774591106,47,1.1171291,-90.80146705105186,100,4522,45.22,0.7385021,4700,-7.39207885946104,1.2354666889269865,12,-122.49552646077805,0.01
-93.54169639572285,48,4.0564528,-92.26934293687667,100,2544,25.44,3.0818908,4800,-7.39207885946104,0.47056357175368596,11,-115.12585481647474,0.01
-93.4883118409404,49,4.370994,-90.92585321138309,100,5515,55.15,3.7554862,4900,-7.39207885946104,1.1268789547158644,11,-130.764640258696,0.01
-93.41612606953426,50,3.457973,-89.87902327063276,100,4156,41.56,2.1135452,5000,-7.39207885946104,0.9883371981944872,11,-122.68467866836222,0.01
