BatchSize,NatGradInftyNorm,NumTrajectories,ReturnMean,AvgRet,VarJ,TimestepsSoFar,Iteration,AvgEpLen,NatGrad2Norm,J,StepSize,MinEpLen,ReturnMax
100,3.2902691,3600,-94.53520522474629,-122.60840134477301,0.13171813855360173,2933,36,29.33,3.4189963,-95.04542499377696,0.0001,11,-8.245278847898332
100,0.6903661,3700,-94.53182698063605,-124.46082439592134,0.22695346617717368,3294,37,32.94,1.2686366,-94.4102101926678,0.0001,11,-8.245278847898332
100,4.651336,3800,-94.56082837855314,-133.07846143900522,0.10267581012116578,4520,38,45.2,4.9356184,-95.63388010148499,0.0001,11,-8.245278847898332
100,1.6092807,3900,-94.5502946446158,-127.24032154212604,0.385099470667608,3665,39,36.65,2.5791926,-94.15001275499688,0.0001,12,-8.245278847898332
100,3.5856159,4000,-94.565317439137,-119.3367954757196,0.08210357645306963,2590,40,25.9,3.7585533,-95.151206425463,0.0001,11,-8.245278847898332
100,1.4416027,4100,-94.55354596894473,-126.29470841577539,0.6457840779895219,3659,41,36.59,1.9029477,-94.08268716125409,0.0001,11,-8.245278847898332
100,2.5621502,4200,-94.57669660916632,-118.83914979423378,0.08571482288799383,2485,42,24.85,2.8936062,-95.5258728582519,0.0001,12,-8.245278847898332
100,1.0422561,4300,-94.57214120718832,-117.65040837929871,0.15448288764132345,2512,43,25.12,1.5789194,-94.38081432411224,0.0001,11,-8.245278847898332
100,0.6587963,4400,-94.59981103055256,-122.92241005954,0.10034490258882864,2876,44,28.76,0.8737713,-95.78961343521479,0.0001,12,-8.245278847898332
100,0.647911,4500,-94.60532730933556,-124.76346817861369,0.1160855735384002,3263,45,32.63,0.9677834,-94.84804357578814,0.0001,11,-8.245278847898332
100,3.2029762,4600,-94.61242970965577,-122.9644583347798,0.2628311171417819,3462,46,34.62,4.15162,-94.93203772406525,0.0001,13,-8.245278847898332
100,0.43405178,4700,-94.61126000674726,-123.18850102449746,0.23852513316728885,3178,47,31.78,0.59701616,-94.55745367295535,0.0001,12,-8.245278847898332
100,3.1133258,4800,-94.61689620932177,-117.29642804033796,0.1614793328777445,2418,48,24.18,4.0808654,-94.88179773032289,0.0001,11,-8.245278847898332
100,3.9398763,4900,-94.62445379050936,-120.0673691985356,0.10368352417177647,2671,49,26.71,4.3520546,-94.98721768751511,0.0001,11,-8.245278847898332
100,2.5635047,5000,-94.61128289088336,-127.14215994285942,0.375903178507601,3836,50,38.36,3.3878815,-93.9659088092082,0.0001,12,-8.245278847898332
