ReturnMean,J,NatGradInftyNorm,TimestepsSoFar,MinEpLen,VarJ,AvgEpLen,Iteration,NumTrajectories,AvgRet,BatchSize,StepSize,ReturnMax,NatGrad2Norm
-94.73584882775678,-93.43240982255968,3.9994328,3579,11,0.9254781992682554,35.79,41,4100,-124.67642752709322,100,0.001,-25.93298452173805,5.1702304
-94.72550505418218,-94.30141033762338,1.2560239,4092,11,0.4321185795208645,40.92,42,4200,-130.74644044425156,100,0.001,-25.93298452173805,1.7634089
-94.69897510244452,-93.58471712946258,2.540444,3741,11,0.5447681176104517,37.41,43,4300,-126.09435790597992,100,0.001,-25.93298452173805,3.190256
-94.69915677360878,-94.70696863367274,1.0642804,3124,11,0.18776641043024006,31.24,44,4400,-123.16486884204059,100,0.001,-25.93298452173805,1.1027873
-94.69975942511773,-94.72627609151174,2.1072671,3484,11,0.1473069341284864,34.84,45,4500,-125.84120681002534,100,0.001,-25.93298452173805,2.466438
-94.68659042566107,-94.09398545011005,4.163902,4085,13,0.2832314771870374,40.85,46,4600,-128.9224915607158,100,0.001,-25.93298452173805,4.3630605
-94.69490302043293,-95.07728237993965,1.6310829,2805,12,0.09829656555922249,28.05,47,4700,-120.55362210358032,100,0.001,-25.93298452173805,2.1654227
-94.69244347948683,-94.57684505501965,1.0011044,3176,12,0.25286291183215004,31.76,48,4800,-123.36048360765125,100,0.001,-25.93298452173805,1.3459898
-94.70496039640474,-95.30577240846468,1.3687965,3122,11,0.17458663500271643,31.22,49,4900,-123.71794371649561,100,0.001,-25.93298452173805,2.3008595
-94.72648491669356,-95.78118641084592,2.283663,3052,13,0.07497843564977008,30.52,50,5000,-124.70374946928352,100,0.001,-25.93298452173805,2.5759137
