NumTrajectories,AvgRet,StepSize,J,ReturnMax,NatGrad2Norm,NatGradInftyNorm,TimestepsSoFar,ReturnMean,BatchSize,MinEpLen,VarJ,AvgEpLen,Iteration
2200,-156.88017482035474,0.01,-92.18551451014417,-23.31474155626848,1.2251471,1.182623,8522,-93.84244807408591,100,12,1.021995056470126,85.22,22
2300,-137.79514129285596,0.01,-92.73889748427037,-23.31474155626848,2.058426,1.6916752,6031,-93.79446761365914,100,13,0.788354153889149,60.31,23
2400,-155.44588157069384,0.01,-93.18053675129141,-23.31474155626848,3.664638,2.6267066,7959,-93.76888716106049,100,14,0.6528234481298476,79.59,24
2500,-143.1398456316011,0.01,-94.04264608462559,-23.31474155626848,1.7598301,1.6122208,6066,-93.77983751800309,100,12,0.24786881623513982,60.66,25
2600,-145.3069930399327,0.01,-92.89880830540962,-23.31474155626848,1.4183477,0.95240206,6521,-93.7459517790572,100,12,0.9232103718617766,65.21,26
2700,-140.66366945286035,0.01,-92.57390811048475,-15.403105117639608,3.6120877,2.5296094,6242,-93.70254275429525,100,13,1.0762762033460265,62.42,27
2800,-137.32796862771175,0.01,-92.07724267307704,0.41350025989862116,2.8897777,2.0932953,6093,-93.64449632282314,100,12,1.719363971295162,60.93,28
2900,-156.7770767112474,0.01,-92.58059119175934,0.41350025989862116,5.598454,3.8359182,8418,-93.60780993899338,100,11,0.912726690203766,84.18,29
3000,-127.02588469570011,0.01,-92.41308688957842,0.41350025989862116,4.166676,2.5539746,3882,-93.56798583734621,100,11,0.3762470701786102,38.82,30
3100,-132.215664357254,0.01,-93.38559245877732,0.41350025989862116,3.1736388,3.1720622,4444,-93.56210217997304,100,14,0.972972789249705,44.44,31
3200,-140.3399619977131,0.01,-91.22767260863428,0.41350025989862116,5.8261814,4.1854944,6522,-93.4891512558687,100,12,1.7135700382281303,65.22,32
3300,-134.0961509117385,0.01,-93.51089167363425,0.41350025989862116,1.4760076,1.3718503,4809,-93.48981005640704,100,12,0.8096062046839867,48.09,33
3400,-135.24797316585284,0.01,-91.55117860563563,0.41350025989862116,3.1549249,1.9843903,5014,-93.43279148432553,100,11,0.8486148576699364,50.14,34
3500,-138.8107719722987,0.01,-91.24588323505237,0.41350025989862116,2.0655067,1.4462636,5640,-93.37030839148916,100,13,1.0096306268806083,56.4,35
3600,-131.8302962918426,0.01,-93.60530685631113,0.41350025989862116,1.9887646,1.8145043,4562,-93.37683612662309,100,11,0.6336923466517458,45.62,36
3700,-139.1395665325232,0.01,-93.57837222093117,0.41350025989862116,3.8367424,2.873027,5302,-93.38228304809088,100,13,0.4321679054897168,53.02,37
3800,-145.3683934081578,0.01,-92.98398831416287,0.41350025989862116,3.3207452,2.7597952,6257,-93.37180160772435,100,13,0.6348064152600856,62.57,38
3900,-130.65884295613034,0.01,-93.18431408320636,0.41350025989862116,2.4797554,1.9632094,4217,-93.36699423530082,100,13,0.5148765658421584,42.17,39
4000,-126.7595653422713,0.01,-89.78261839399097,0.41350025989862116,2.2729511,1.5116454,5199,-93.27738483926808,100,12,1.3885478136241216,51.99,40
4100,-128.94147352407205,0.01,-88.45646941473166,0.41350025989862116,4.5906444,3.9933357,5174,-93.1598015362306,100,13,2.419153565429032,51.74,41
4200,-130.6092532179175,0.01,-91.68917997167657,0.41350025989862116,1.7856477,1.1753147,4494,-93.12478673707456,100,11,0.5328120174414608,44.94,42
4300,-124.12537234097435,0.01,-90.3828368819341,0.41350025989862116,3.0723784,2.4733613,4025,-93.06102046137362,100,12,1.4087857092811893,40.25,43
4400,-123.33573645543858,0.01,-93.19121552687825,0.41350025989862116,1.307383,1.3069135,3593,-93.06397944013509,100,11,0.6219654725790198,35.93,44
4500,-128.97916224872168,0.01,-93.53925295276613,0.41350025989862116,2.493978,2.1179078,4047,-93.0745410737491,100,10,0.36785943087953776,40.47,45
4600,-126.40753702734564,0.01,-91.66231400994309,0.41350025989862116,4.650219,4.440155,4310,-93.04384048540548,100,12,0.749190965408135,43.1,46
4700,-131.48906297631353,0.01,-92.44704634770812,0.41350025989862116,2.5044034,1.8371699,4410,-93.03114273779491,100,12,0.9329863918650623,44.1,47
4800,-136.64525929380915,0.01,-90.11675292483194,0.41350025989862116,1.0548099,0.7504566,6095,-92.97042628335818,100,12,1.65114994186229,60.95,48
4900,-132.2831727871357,0.01,-89.70226872715901,0.41350025989862116,1.9349585,1.3476317,4972,-92.90372919037452,100,12,2.0903295368183894,49.72,49
5000,-154.2599718149919,0.01,-89.9190487457303,0.41350025989862116,3.0828776,3.0288084,7892,-92.84403558148165,100,13,2.090303257902824,78.92,50
