ReturnMax,Iteration,NatGrad2Norm,BatchSize,StepSize,NumTrajectories,AvgRet,J,AvgEpLen,VarJ,TimestepsSoFar,NatGradInftyNorm,MinEpLen,ReturnMean
-10.061135392292874,30,4.1798067,100,0.1,3000,-114.88292372688451,-94.52853459035701,22.07,0.04372734477836453,2207,3.97001,11,-96.23719675901191
-10.061135392292874,31,3.481573,100,0.1,3100,-116.72236949802227,-95.46722350494798,22.87,0.023424744663715837,2287,2.6638544,13,-96.21235891210662
-10.061135392292874,32,1.5030295,100,0.1,3200,-118.07113306450603,-96.25145408256998,23.27,0.015449911783285529,2327,1.0534314,12,-96.2135806361836
-10.061135392292874,33,2.9301217,100,0.1,3300,-116.48794923855314,-95.54413622621072,22.48,0.011849162274523664,2248,2.5390165,11,-96.193294441942
-10.061135392292874,34,2.3888102,100,0.1,3400,-117.21391399090949,-95.9448153981279,22.8,0.013834008051199309,2280,1.9110621,12,-96.185986234771
-10.061135392292874,35,3.1151943,100,0.1,3500,-114.60134955438143,-95.4619793434833,20.67,0.01543105718434687,2067,2.9395447,11,-96.16530032359137
-10.061135392292874,36,1.812021,100,0.1,3600,-113.68202457517015,-95.56816980778689,19.61,0.015894417804968503,1961,1.4695787,11,-96.14871336481902
-10.061135392292874,37,3.6420193,100,0.1,3700,-114.93135060066444,-94.81983163649667,21.78,0.020289427473549834,2178,2.5833614,11,-96.11279764243191
-10.061135392292874,38,2.506112,100,0.1,3800,-111.6410180978662,-94.05305055063178,19.32,0.03833561376186627,1932,1.5935956,11,-96.05859377159507
-10.061135392292874,39,2.1493692,100,0.1,3900,-111.16268623599436,-94.25263034296984,18.61,0.03330165083262545,1861,2.023165,11,-96.01228701701494
-10.061135392292874,40,1.4613701,100,0.1,4000,-113.59878353966732,-94.59573740325088,20.73,0.024904970369573457,2073,0.9503557,11,-95.97687327667084
-10.061135392292874,41,2.4111323,100,0.1,4100,-112.2793711877652,-94.63898629825553,19.27,0.02394639547484667,1927,1.6086143,11,-95.94424188695338
-10.061135392292874,42,3.5662036,100,0.1,4200,-114.20806950253429,-95.13093455044378,20.69,0.01855106109916912,2069,2.4276416,11,-95.9248774265603
-10.061135392292874,43,3.2426283,100,0.1,4300,-111.50481350685479,-94.07295393089845,19.13,0.037155307810555614,1913,2.398768,11,-95.8818094382891
-10.061135392292874,44,1.2629384,100,0.1,4400,-110.94726949725458,-93.85645375173631,18.81,0.05003001277229707,1881,0.9637096,10,-95.83577862723108
-10.061135392292874,45,2.837424,100,0.1,4500,-110.76313214005009,-93.88667453261579,18.61,0.048270588636327466,1861,2.1657333,11,-95.7924652029063
-10.061135392292874,46,3.3401568,100,0.1,4600,-109.89280981124071,-93.52444940357758,18.13,0.05915376083007491,1813,2.6406171,11,-95.74316051161654
-10.061135392292874,47,3.4650455,100,0.1,4700,-111.40617342247543,-94.04233596766107,19.07,0.033191919310050215,1907,2.900684,11,-95.70697275536216
-10.061135392292874,48,3.992116,100,0.1,4800,-110.80578005314304,-93.87734848445596,18.66,0.043562199180054814,1866,2.8927019,11,-95.66885558305162
-10.061135392292874,49,2.5900497,100,0.1,4900,-110.48868913829482,-93.73817698294762,18.49,0.04413693689556965,1849,1.7029419,10,-95.62945397896786
-10.061135392292874,50,2.6021888,100,0.1,5000,-111.79914530474007,-93.80989904705972,19.78,0.058420571882280774,1978,1.8598045,11,-95.5930628803297
