MinEpLen,TimestepsSoFar,NumTrajectories,J,AvgEpLen,ReturnMean,Iteration,AvgRet,BatchSize,NatGradInftyNorm,NatGrad2Norm,VarJ,ReturnMax,StepSize
11,4630,1700,-94.47661339894263,46.3,-94.77729962305679,17,-132.25304981245273,100,2.142375,3.0008776,0.39148971570460717,-40.439578226190996,0.0001
11,4109,1800,-94.6853872420364,41.09,-94.77219337966677,18,-129.33660804916104,100,2.7193422,2.7463691,0.1540602358556896,-40.439578226190996,0.0001
11,2646,1900,-95.18301036122726,26.46,-94.79381532606467,19,-119.93304666381,100,2.2816646,2.7002647,0.10110063680960346,-40.439578226190996,0.0001
12,3007,2000,-94.900575286247,30.07,-94.7991533240738,20,-122.24236247724774,100,1.9110379,2.4928284,0.14485717643611787,-40.439578226190996,0.0001
12,3048,2100,-94.50780518568503,30.48,-94.78527960319815,21,-122.92818767501316,100,1.0043364,1.6803722,0.2858392183077542,-40.439578226190996,0.0001
13,4000,2200,-94.91077555496602,40.0,-94.79098396464214,22,-130.2359797568317,100,1.8561771,2.8182752,0.11562709136008625,-40.439578226190996,0.0001
12,4415,2300,-94.13741798876788,44.15,-94.76256805264761,23,-132.88610624707997,100,1.6950208,2.1949236,0.49132854922120034,-36.82468137703752,0.0001
12,3360,2400,-94.1904216389034,33.6,-94.73872861874159,24,-123.830036382815,100,1.3651133,1.839003,0.24751596635696546,-36.82468137703752,0.0001
13,3137,2500,-94.30923372622003,31.37,-94.72154882304073,25,-123.52680148791742,100,3.979896,4.614477,0.30640542266932963,-36.82468137703752,0.0001
11,2829,2600,-94.5836728984085,28.29,-94.71624590286257,26,-120.90724104564619,100,0.7208432,0.9280939,0.3282496420729709,-36.82468137703752,0.0001
11,3048,2700,-94.2732987187425,30.48,-94.69984045159886,27,-119.63437823468685,100,2.4441838,3.0776944,0.3610519156010657,-36.82468137703752,0.0001
12,2867,2800,-95.42066683691263,28.67,-94.72558425107437,28,-122.42104709109994,100,1.3169526,1.7930683,0.1241420491453566,-36.82468137703752,0.0001
12,3830,2900,-94.8042336354155,38.3,-94.72829629881025,29,-129.28673022198035,100,2.912185,3.784449,0.2976805944343461,-36.82468137703752,0.0001
11,2994,3000,-95.14960977383276,29.94,-94.74234008131103,30,-123.45872287962858,100,2.7202876,3.88297,0.11485475548155546,-36.82468137703752,0.0001
12,4343,3100,-95.29885861826881,43.43,-94.76029229218061,31,-132.76782519913115,100,1.4571228,2.0232995,0.12861740681180056,-36.82468137703752,0.0001
11,3014,3200,-94.55187126115086,30.14,-94.75377913496094,32,-122.38280969233787,100,3.295647,4.310427,0.45173735830220785,-36.63463199956962,0.0001
12,2662,3300,-95.18406393828535,26.62,-94.76681806839501,33,-119.96868803447249,100,1.6530173,2.0587184,0.13586874067995558,-36.63463199956962,0.0001
11,3027,3400,-94.22306896793992,30.27,-94.7508254477934,34,-121.51804154185302,100,1.612841,2.8119204,0.24869687130258897,-36.63463199956962,0.0001
11,3918,3500,-94.85415863527948,39.18,-94.7537778245787,35,-130.2393244780403,100,2.436349,2.6713204,0.14937123636057478,-36.63463199956962,0.0001
11,3038,3600,-93.60018508623276,30.38,-94.72173358184688,36,-120.40629455133694,100,2.435732,3.3483877,0.5843416576364695,-36.63463199956962,0.0001
13,2994,3700,-94.8427697697017,29.94,-94.72500483016728,37,-121.8805998837052,100,2.1160736,2.933374,0.12716192583008165,-36.63463199956962,0.0001
11,3514,3800,-94.88892631290145,35.14,-94.72931855339714,38,-126.33977022568715,100,3.6040177,4.170445,0.09793622400250274,-36.63463199956962,0.0001
11,2940,3900,-94.88016505425739,29.4,-94.73318641239354,39,-122.36360873628735,100,1.6354074,2.1541078,0.1048366285269167,-36.63463199956962,0.0001
12,2419,4000,-94.9215553147265,24.19,-94.73789563495185,40,-117.45558937065815,100,0.64316255,0.87268764,0.07889951756537264,-36.63463199956962,0.0001
11,3828,4100,-94.14494315108021,38.28,-94.72343337924768,41,-128.04010068618481,100,2.1372726,2.8751683,0.6217608159221019,-27.999765074013876,0.0001
14,2504,4200,-95.01003833802685,25.04,-94.73025730683766,42,-118.41901261622156,100,2.6689517,3.177093,0.07758468576964521,-27.999765074013876,0.0001
14,2783,4300,-94.93292194468103,27.83,-94.73497043795028,43,-120.8980015650831,100,1.4310403,2.0551405,0.2540470500838672,-27.999765074013876,0.0001
11,3956,4400,-95.25907520655113,39.56,-94.74688190996395,44,-129.567044708726,100,1.9538527,2.2051802,0.09651512088176858,-27.999765074013876,0.0001
11,3228,4500,-94.73690980662948,32.28,-94.74666030766763,45,-121.39426753348953,100,2.0532122,2.2487292,0.2824194785908862,-27.999765074013876,0.0001
11,4386,4600,-94.71806008596442,43.86,-94.74603856371756,46,-133.439768963011,100,1.8863933,2.1457286,0.40328581499925564,-27.999765074013876,0.0001
12,3062,4700,-94.2399833824122,30.62,-94.73527143220042,47,-121.28108489653185,100,2.146735,2.7022927,0.2251974938335562,-27.999765074013876,0.0001
12,2734,4800,-94.85867282959116,27.34,-94.73784229464606,48,-120.08422351202985,100,1.6403272,1.923211,0.22677175031364816,-27.999765074013876,0.0001
12,2735,4900,-95.14770847176253,27.35,-94.74620691050559,49,-120.82601731691766,100,1.5339957,2.211176,0.08380770925650814,-27.999765074013876,0.0001
11,4782,5000,-93.77164176572697,47.82,-94.72671560761,50,-132.9845750006064,100,2.0019474,3.31266,0.5727996056724269,-27.999765074013876,0.0001
