MinEpLen,StepSize,BatchSize,AvgRet,Iteration,ReturnMax,AvgEpLen,J,ReturnMean,NatGrad2Norm,NatGradInftyNorm,VarJ,NumTrajectories,TimestepsSoFar
37,0.1,100,-173.62111271078393,37,22.132403720337397,406.93,-41.2431613299508,-58.60034100618638,1.7455045,1.35496,5.305707647862395,3700,40693
19,0.1,100,-144.6628312515257,38,22.132403720337397,317.01,-41.24369158809534,-58.143587074131354,1.4562917,1.1481451,7.650383046059514,3800,31701
33,0.1,100,-168.57801191036302,39,22.132403720337397,371.17,-43.57744694781303,-57.77009630166166,1.9184424,1.592458,7.104301851332203,3900,37117
24,0.1,100,-105.84852854172414,40,22.132403720337397,296.59,-33.509526431779314,-57.16358205491459,1.3073944,1.1687524,5.539679321170166,4000,29659
35,0.1,100,-128.9512202574043,41,22.132403720337397,349.58,-37.986981639355946,-56.69586009355951,1.4920052,1.2543727,4.8811199871133235,4100,34958
36,0.1,100,-136.83522481294543,42,22.132403720337397,358.2,-36.95370487556168,-56.22580877884528,2.325952,2.1170983,4.601784660704371,4200,35820
31,0.1,100,-101.8091973928521,43,22.132403720337397,283.88,-36.41822674959185,-55.7651673363045,1.7129798,1.2131959,5.422601656060258,4300,28388
62,0.1,100,-137.6033970910301,44,22.132403720337397,412.78,-31.23690617631837,-55.20770685539571,2.2472892,1.5602144,4.70499176304063,4400,41278
18,0.1,100,-94.91011774541376,45,22.132403720337397,191.25,-40.59184059671649,-54.882909827425074,1.9270645,1.4282335,6.845786702779066,4500,19125
36,0.1,100,-117.27402119613089,46,22.132403720337397,337.8,-35.08446813497198,-54.4525089210674,1.4547509,1.4036983,5.25837885350389,4600,33780
20,0.1,100,-163.01115570571665,47,22.132403720337397,393.77,-38.943468270754636,-54.12252933276287,2.7021756,1.9149128,5.838496994378569,4700,39377
18,0.1,100,-91.96639210314933,48,22.132403720337397,210.03,-37.56564784501502,-53.77759430176812,2.0330179,1.8755568,6.466735249214042,4800,21003
17,0.1,100,-108.09257765490509,49,22.132403720337397,278.78,-36.624541125256464,-53.42753199204339,1.3654188,1.1105062,5.216795822610475,4900,27878
47,0.1,100,-160.18395012764475,50,22.132403720337397,387.06,-38.75899683453932,-53.13416128889332,2.7042525,2.171684,6.485615377643625,5000,38706
