MinEpLen,J,Iteration,ReturnMean,StepSize,VarJ,AvgRet,NumTrajectories,TimestepsSoFar,ReturnMax,NatGradInftyNorm,BatchSize,NatGrad2Norm,AvgEpLen
12,-94.23113647008726,22,-94.61358943513635,0.0001,0.2193565359367157,-117.44693314770528,2200,2520,-10.061135392292874,4.800031,100,4.990659,25.2
13,-93.30229198384428,23,-94.55657650247147,0.0001,1.3820916312640799,-123.27054908414131,2300,3850,-10.061135392292874,1.4010924,100,1.682352,38.5
11,-95.38581456594497,24,-94.59112808844955,0.0001,0.0808486025399079,-123.54792262978148,2400,2984,-10.061135392292874,1.9420712,100,2.8271315,29.84
11,-94.14369104762551,25,-94.57323060681657,0.0001,0.3450988210323977,-126.48244778543396,2500,3644,-10.061135392292874,4.4517827,100,5.022895,36.44
12,-94.65318394759906,26,-94.57630573530821,0.0001,0.10976501216093486,-115.56680059316022,2600,2258,-10.061135392292874,2.567864,100,2.9435844,22.58
12,-95.10920572076449,27,-94.59604277180658,0.0001,0.08956422916412776,-119.20570030190585,2700,2574,-10.061135392292874,1.96917,100,2.3632731,25.74
12,-93.44025607093089,28,-94.55476467534673,0.0001,0.46959463884437613,-119.7741359859075,2800,3221,-10.061135392292874,1.3847723,100,2.11356,32.21
11,-94.96768468428891,29,-94.56900329634475,0.0001,0.08768742902852768,-123.81461521538375,2900,3249,-10.061135392292874,1.7077265,100,2.1599526,32.49
11,-94.66096726081507,30,-94.5720687618271,0.0001,0.21688878618359322,-128.04338802728776,3000,3721,-10.061135392292874,3.7146673,100,3.9861329,37.21
12,-92.87681969536784,31,-94.51738330807034,0.0001,1.4212798075908157,-122.99352147768681,3100,3697,-3.065836683705623,2.2774115,100,3.3253884,36.97
12,-93.14361248270184,32,-94.47445296977759,0.0001,1.1181591040201226,-114.04870549876782,3200,3264,-3.065836683705623,1.2348596,100,1.6343607,32.64
11,-94.74197340747048,33,-94.48255964970767,0.0001,0.11472803620925712,-118.5542532910957,3300,2549,-3.065836683705623,2.495063,100,2.785303,25.49
13,-95.6519644602604,34,-94.51695390884157,0.0001,0.06311184738722764,-124.84933060104811,3400,3175,-3.065836683705623,1.914694,100,2.335953,31.75
11,-94.56147471825159,35,-94.51822593196758,0.0001,0.6924884730356233,-125.14166533947159,3500,3418,-3.065836683705623,2.871219,100,3.0572124,34.18
11,-95.0336327982764,36,-94.53254278936504,0.0001,0.11215678577432167,-119.60766598105234,3600,2775,-3.065836683705623,1.369989,100,1.8526025,27.75
11,-94.80652072890364,37,-94.53994759854174,0.0001,0.4991464490836642,-121.5135169216649,3700,2977,-3.065836683705623,2.5074356,100,3.5584576,29.77
11,-94.44648635617145,38,-94.53748809216358,0.0001,0.4009657307349333,-123.24418655293599,3800,3185,-3.065836683705623,1.46131,100,2.2240849,31.85
13,-94.82910680834307,39,-94.54496549514255,0.0001,0.15218348072246987,-120.65210099479587,3900,2763,-3.065836683705623,1.9182756,100,2.0913177,27.63
12,-95.27587294826066,40,-94.56323818147051,0.0001,0.11607531851995065,-124.85176687185549,4000,3277,-3.065836683705623,1.0834019,100,1.5648493,32.77
