ReturnMean,NatGrad2Norm,TimestepsSoFar,NatGradInftyNorm,Iteration,VarJ,NumTrajectories,StepSize,AvgEpLen,MinEpLen,AvgRet,ReturnMax,BatchSize,J
-92.55839179431423,2.6041477,3586,1.6149296,34,1.3543595438343325,3400,0.01,35.86,11,-116.94591317792414,-4.17235332782489,100,-89.756433142915
-92.44186508187136,2.100374,5761,1.526279,35,2.2023132166376587,3500,0.01,57.61,12,-132.92333317988084,-4.17235332782489,100,-88.4799568588132
-92.38071216631452,3.43594,3162,2.3969839,36,1.0796784479733226,3600,0.01,31.62,12,-116.2581255348463,-4.17235332782489,100,-90.24036012182594
-92.33926598617593,2.7531748,3473,2.1382442,37,0.7641215799050569,3700,0.01,34.73,12,-117.93609754034553,-4.17235332782489,100,-90.84720350118597
-92.33844680890202,4.22063,5585,3.759482,38,0.6234242632543538,3800,0.01,55.85,12,-139.0878613427989,-4.17235332782489,100,-92.30813724976795
-92.27289251200051,2.6805146,5313,1.8405017,39,1.3281654722114111,3900,0.01,53.13,11,-131.39380660866811,-4.17235332782489,100,-89.78182922974253
-92.18753651669752,1.5730853,7438,1.0491927,40,2.439007078168831,4000,0.01,74.38,12,-139.06705186267084,-4.17235332782489,100,-88.8586526998812
-92.02224682141382,3.0574863,9017,2.2602696,41,3.566802630823765,4100,0.01,90.17,11,-135.81174274053538,-2.883380667524773,100,-85.41065901006635
-91.89729341504064,3.8958526,7505,3.1411822,42,2.951094744744328,4200,0.01,75.05,11,-134.55182852423638,-2.883380667524773,100,-86.77420375373983
-91.71989208042942,1.2203739,8182,1.0028859,43,3.051727462453891,4300,0.01,81.82,12,-137.0419600404614,-2.883380667524773,100,-84.26903602675722
-91.58338207714044,2.0364919,7525,1.453539,44,3.125011149384376,4400,0.01,75.25,12,-131.6656535778679,-2.883380667524773,100,-85.71345193571479
-91.4195383988145,2.6899633,7781,2.3650916,45,3.4361976649478647,4500,0.01,77.81,12,-132.33324554680013,-2.883380667524773,100,-84.21041655247332
-91.29058142307285,2.285547,7447,1.5598391,46,2.3148229541482124,4600,0.01,74.47,12,-133.70502195267363,-2.883380667524773,100,-85.48751751469858
-91.1814775451875,2.1755583,8462,1.4368452,47,1.8521833772373355,4700,0.01,84.62,11,-146.71811679589663,-2.883380667524773,100,-86.16269916246164
-91.06659848608585,1.5957975,9763,1.2187608,48,2.288743870505809,4800,0.01,97.63,14,-156.50425715385606,-2.883380667524773,100,-85.66728270830774
-90.90300585642649,2.0567322,6721,1.7188379,49,2.659401468905271,4900,0.01,67.21,13,-127.39478927032819,-2.883380667524773,100,-83.05055963277813
-90.78636158402038,3.6883457,9178,2.696,50,2.7227044957278594,5000,0.01,91.78,12,-145.4274126420529,-2.883380667524773,100,-85.07079223612105
