AvgRet,AvgEpLen,BatchSize,NumTrajectories,NatGradInftyNorm,J,TimestepsSoFar,ReturnMax,VarJ,NatGrad2Norm,Iteration,MinEpLen,StepSize,ReturnMean
-116.60669911406247,229.68,100,3800,2.5360649,-49.68196303236346,22968,26.032447098073394,4.52924447640218,2.8024457,38,19,0.1,-78.42679089178692
-170.80608155078957,265.29,100,3900,1.89732,-56.27324415197028,26529,28.867580361498987,3.9276512920345352,2.3298326,39,36,0.1,-77.85875123179163
-110.53569812233445,132.6,100,4000,2.2616053,-55.52764089061643,13260,28.867580361498987,3.7034104001501817,2.515119,40,25,0.1,-77.30047347326224
-115.63430699808774,172.54,100,4100,1.67391,-54.512017242546015,17254,28.867580361498987,3.3935175383166865,1.8983426,41,19,0.1,-76.74465746763502
-152.4685333337941,264.29,100,4200,2.1479182,-54.639810280700885,26429,28.867580361498987,4.602291009315007,2.3869007,42,17,0.1,-76.21835158223183
-186.74189161923758,370.58,100,4300,0.409473,-50.774350392022534,37058,28.867580361498987,3.7887870510253316,0.66521585,43,27,0.1,-75.62663062431999
-170.3269585671094,370.62,100,4400,0.5525473,-48.97659197883329,37062,28.867580361498987,3.397328799357524,0.7713431,44,25,0.1,-75.02094792783166
-166.32272450225307,317.2,100,4500,0.9258793,-52.69926645569353,31720,28.867580361498987,3.91524464939881,1.2664052,45,20,0.1,-74.52491056178413
-135.8652374828172,261.65,100,4600,1.1521367,-49.42068070545121,26165,28.867580361498987,3.5334478458748135,1.4970301,46,25,0.1,-73.97916643447256
-99.20478430581682,104.47,100,4700,0.951295,-58.37342172609628,10447,28.867580361498987,3.8954785756735264,1.3203809,47,18,0.1,-73.64712931301774
-105.34544536413625,201.11,100,4800,2.665348,-49.26285141604676,20111,28.867580361498987,4.8613328817252555,3.0136998,48,19,0.1,-73.13912352349752
-212.29123133302448,435.74,100,4900,2.156131,-52.66909224689663,43574,28.867580361498987,3.698782666480929,2.86491,49,33,0.1,-72.72136778315871
-117.57402769838416,195.36,100,5000,1.7118933,-49.68807633869207,19536,28.867580361498987,4.1473216706416265,2.1628919,50,25,0.1,-72.26070195426938
