TimestepsSoFar,InvPendulum_std3_higher,ReturnMax,InvPendulum_mu1_higher,AvgRet,J,AvgEpLen,ActionIn1,InvPendulum_mu3_higher,NatGrad2Norm,InvPendulum_std1_higher,MinEpLen,Iteration,NatGradInftyNorm,InvPendulum_mu0_higher,ReturnMean,InvPendulum_std2_higher,StepSize,NumTrajectories,VarJ,BatchSize,InvPendulum_mu2_higher,InvPendulum_std0_higher
492341,0.14999999,-104.39934058125388,-0.8442411,-196.52007624112062,-196.52007624112062,144.80617647058824,-1.1530915,0.32215583,13.849456,0.14999999,12,34,11.46228,-0.20455903,-211.42658194044947,0.14999999,0.0001,3400,142.90041595283378,100,-0.39082444,0.14999999
504294,0.14999999,-104.39934058125388,-0.8445016,-190.95994283595758,-190.95994283595758,144.084,-1.4666348,0.3224818,11.641858,0.14999999,12,35,8.919106,-0.2039032,-210.84182082317827,0.14999999,0.0001,3500,110.07360718320702,100,-0.39197066,0.14999999
518187,0.14999999,-104.39934058125388,-0.84386516,-205.99702236309383,-205.99702236309383,143.94083333333333,-1.293644,0.32255456,19.698965,0.14999999,12,36,17.6158,-0.20351656,-210.70724308817591,0.14999999,0.0001,3600,161.6020317612512,100,-0.3928626,0.14999999
531994,0.14999999,-104.39934058125388,-0.8437325,-204.4697848736792,-204.4697848736792,143.78216216216217,-1.0806165,0.32306686,17.212048,0.14999999,12,37,14.603996,-0.20281139,-210.53866313643275,0.14999999,0.0001,3700,156.49944690935712,100,-0.39462417,0.14999999
542455,0.14999999,-104.39934058125388,-0.84343874,-182.47418135916283,-182.47418135916283,142.7513157894737,-0.47627562,0.32366848,12.318797,0.14999999,12,38,9.060394,-0.20219369,-209.8001241422941,0.14999999,0.0001,3800,109.15546271426058,100,-0.39608458,0.14999999
554148,0.14999999,-104.39934058125388,-0.84405273,-191.96110337282266,-191.96110337282266,142.08923076923077,-1.2434494,0.32412538,12.951156,0.14999999,12,39,11.43122,-0.20186065,-209.3427133533333,0.14999999,0.0001,3900,118.23096757882706,100,-0.39699063,0.14999999
564476,0.14999999,-104.39934058125388,-0.8441752,-182.55299178282038,-182.55299178282038,141.119,-1.084948,0.32386371,11.482146,0.14999999,12,40,10.38117,-0.20132482,-208.67297031407043,0.14999999,0.0001,4000,98.55292848505134,100,-0.39813375,0.14999999
575277,0.14999999,-104.39934058125388,-0.8441114,-184.1498602289047,-184.1498602289047,140.31146341463415,-0.69009435,0.3237539,8.48632,0.14999999,12,41,6.9308105,-0.20085093,-208.0748456778469,0.14999999,0.0001,4100,111.51425803410581,100,-0.39917186,0.14999999
587020,0.14999999,-104.39934058125388,-0.843687,-195.8849593934941,-195.8849593934941,139.76666666666668,-0.82754254,0.32362118,16.994686,0.14999999,12,42,16.874664,-0.20064576,-207.78461029012422,0.14999999,0.0001,4200,125.48677271980583,100,-0.39986494,0.14999999
598641,0.14999999,-104.39934058125388,-0.8435982,-192.30975381628414,-192.30975381628414,139.21883720930234,-0.53193206,0.32353225,12.730187,0.14999999,12,43,8.692577,-0.20048812,-207.42472990701168,0.14999999,0.0001,4300,124.97866367731845,100,-0.4015524,0.14999999
611273,0.14999999,-104.39934058125388,-0.8430329,-192.13806524607506,-192.13806524607506,138.92568181818183,-0.9997096,0.32358307,14.185588,0.14999999,12,44,11.190347,-0.19975136,-207.0773057101722,0.14999999,0.0001,4400,133.56254546894021,100,-0.40242165,0.14999999
623981,0.14999999,-104.39934058125388,-0.84250534,-198.22419238060345,-198.22419238060345,138.66244444444445,-1.7932484,0.32345718,15.889423,0.14999999,12,45,14.559808,-0.19906881,-206.88056985840402,0.14999999,0.0001,4500,129.0805981004385,100,-0.4035407,0.14999999
632953,0.14999999,-104.39934058125388,-0.8425845,-171.2457850848684,-171.2457850848684,137.59847826086957,-1.1038561,0.32338583,5.651394,0.14999999,12,46,4.2880225,-0.19844152,-206.10590062419672,0.14999999,0.0001,4600,90.210739243684,100,-0.4049967,0.14999999
648042,0.14999999,-104.39934058125388,-0.84262097,-215.73080158210337,-215.73080158210337,137.88127659574468,-1.6405215,0.32351962,19.764112,0.14999999,12,47,14.515176,-0.19810052,-206.31068575096066,0.14999999,0.0001,4700,169.58365389625834,100,-0.4054255,0.14999999
657860,0.14999999,-104.39934058125388,-0.84179574,-177.36254371332078,-177.36254371332078,137.05416666666667,-0.55188084,0.32347757,12.5319805,0.14999999,12,48,10.340857,-0.19704384,-205.70759945850983,0.14999999,0.0001,4800,94.6647898574218,100,-0.406877,0.14999999
668887,0.14999999,-104.39934058125388,-0.84113336,-187.40818993140294,-187.40818993140294,136.50755102040816,-0.9766129,0.3237167,13.969861,0.14999999,12,49,13.006128,-0.19697171,-205.33414212122193,0.14999999,0.0001,4900,129.36815289445533,100,-0.4079111,0.14999999
680738,0.14999999,-104.39934058125388,-0.8406463,-192.94373119788412,-192.94373119788412,136.1476,-1.2957578,0.3236794,18.092104,0.14999999,12,50,14.805886,-0.19682541,-205.0863339027552,0.14999999,0.0001,5000,133.11870317507368,100,-0.4092117,0.14999999
