ReturnMean,InvPendulum_mu0_higher,ActionIn1,ReturnMax,NatGrad2Norm,InvPendulum_std0_higher,MinEpLen,BatchSize,StepSize,InvPendulum_mu1_higher,Iteration,AvgRet,NatGradInftyNorm,NumTrajectories,InvPendulum_mu3_higher,VarJ,InvPendulum_std3_higher,InvPendulum_std1_higher,InvPendulum_mu2_higher,InvPendulum_std2_higher,AvgEpLen,J,TimestepsSoFar
-118.81315666081528,0.30265638,0.19705431,-75.60661133736042,3.8770328,0.14999999,11,100,0.001,-0.69952923,38,-118.69646149022195,3.3380916,3800,-0.25411084,0.7103040586941245,0.14999999,0.14999999,0.5742159,0.14999999,28.937894736842104,-118.69646149022195,109964
-118.79557718442473,0.301338,-0.35912132,-75.60661133736042,3.050595,0.14999999,11,100,0.001,-0.69619113,39,-118.12755708158387,2.1218507,3900,-0.25381425,0.8430619980594328,0.14999999,0.14999999,0.575652,0.14999999,28.897435897435898,-118.12755708158387,112700
-118.76981182716148,0.3032414,0.16397533,-75.60661133736042,6.8540645,0.14999999,11,100,0.001,-0.69534945,40,-117.76496289389503,6.350269,4000,-0.2559361,0.9706690022800786,0.14999999,0.14999999,0.57633936,0.14999999,28.83825,-117.76496289389503,115353
-118.68133643220837,0.3038786,0.46584767,-75.60661133736042,4.1663165,0.14999999,11,100,0.001,-0.69783586,41,-115.14232063408434,3.090513,4100,-0.26228637,0.7518210452096558,0.14999999,0.14999999,0.57659215,0.14999999,28.796829268292683,-115.14232063408434,118067
-118.65155404616213,0.30419236,-0.5292599,-75.60661133736042,6.177625,0.14999999,11,100,0.001,-0.70010793,42,-117.43047621826594,3.815642,4200,-0.25919586,0.6533666317950254,0.14999999,0.14999999,0.5749965,0.14999999,28.761190476190475,-117.43047621826594,120797
-118.65317739240108,0.30791637,-0.38633797,-75.60661133736042,3.63405,0.14999999,11,100,0.001,-0.70321494,43,-118.7213579344365,2.42476,4300,-0.25948253,0.610474382261577,0.14999999,0.14999999,0.5788121,0.14999999,28.75860465116279,-118.7213579344365,123662
-118.62197503049781,0.31004083,0.55475205,-75.60661133736042,2.7119968,0.14999999,11,100,0.001,-0.70184666,44,-117.28027346865697,2.0015352,4400,-0.25851226,0.7168628447136893,0.14999999,0.14999999,0.5812369,0.14999999,28.71,-117.28027346865697,126324
-118.57990890512308,0.31144935,0.040363073,-75.60661133736042,5.8545628,0.14999999,11,100,0.001,-0.69984514,45,-116.72899938863559,3.9537654,4500,-0.25918138,0.7870599745471965,0.14999999,0.14999999,0.58027923,0.14999999,28.68,-116.72899938863559,129060
-118.56741498430098,0.30955437,0.12431213,-75.60661133736042,1.3361192,0.14999999,11,100,0.001,-0.70334035,46,-118.005188547306,0.8112983,4600,-0.25749725,0.8027380809411204,0.14999999,0.14999999,0.584233,0.14999999,28.662391304347825,-118.005188547306,131847
-118.55207150655858,0.30874306,-0.13701794,-75.60661133736042,2.3054285,0.14999999,11,100,0.001,-0.7039908,47,-117.84627153040805,2.0185823,4700,-0.2567604,0.6900556592099857,0.14999999,0.14999999,0.5846342,0.14999999,28.63531914893617,-117.84627153040805,134586
-118.52251255269066,0.31076163,0.8768338,-75.60661133736042,1.5350409,0.14999999,11,100,0.001,-0.7031266,48,-117.13324172089865,1.1708435,4800,-0.25647664,1.046120652275787,0.14999999,0.14999999,0.5852768,0.14999999,28.613541666666666,-117.13324172089865,137345
-118.54602899732662,0.30996618,-0.46019876,-75.60661133736042,5.3678017,0.14999999,11,100,0.001,-0.7029874,49,-119.67481833985345,3.305237,4900,-0.2558993,0.8123543713178064,0.14999999,0.14999999,0.58410597,0.14999999,28.622040816326532,-119.67481833985345,140248
-118.4972783370977,0.3070173,0.10306206,-75.60661133736042,2.4509392,0.14999999,11,100,0.001,-0.7008155,50,-116.10849598588042,1.7064507,5000,-0.25801492,0.725031491600846,0.14999999,0.14999999,0.5874112,0.14999999,28.5784,-116.10849598588042,142892
