InvPendulum_std1_higher,TimestepsSoFar,InvPendulum_std2_higher,AvgRet,InvPendulum_std0_higher,InvPendulum_mu2_higher,InvPendulum_mu3_higher,InvPendulum_mu1_higher,NumTrajectories,ActionIn1,J,Iteration,NatGrad2Norm,ReturnMax,InvPendulum_mu0_higher,InvPendulum_std3_higher,AvgEpLen,MinEpLen,BatchSize,StepSize,ReturnMean,NatGradInftyNorm,VarJ
0.14999999,34335,0.14999999,-108.2111588763296,0.14999999,-27.271421,2.35529,-1.6185242,1100,-23.43525,-108.2111588763296,11,2.4732728,-101.9649561866502,3.1082623,0.14999999,31.213636363636365,10,100,1.0,-120.15507015388911,2.1641562,0.08619433910989233
0.14999999,35975,0.14999999,-107.87217673129474,0.14999999,-27.610601,0.19113374,-1.5339905,1200,-26.752615,-107.87217673129474,12,1.1060725,-101.9649561866502,1.963135,0.14999999,29.979166666666668,10,100,1.0,-119.13149570200626,0.77158856,0.07730700514099657
0.14999999,37633,0.14999999,-108.50918352949002,0.14999999,-28.33677,-0.5804548,-1.809096,1300,-28.914885,-108.50918352949002,13,2.5089548,-101.9649561866502,1.8048766,0.14999999,28.948461538461537,10,100,1.0,-118.31439476565886,1.65857,0.09654451365604143
0.14999999,39266,0.14999999,-108.47806860090239,0.14999999,-27.537058,-1.3772749,-0.15052593,1400,-28.958298,-108.47806860090239,14,4.4609814,-101.9649561866502,0.29837763,0.14999999,28.047142857142855,10,100,1.0,-117.61180003960484,2.9351249,0.10815004398586449
0.14999999,40857,0.14999999,-108.0906690368379,0.14999999,-29.90691,-4.3124,-1.6612489,1500,-37.234512,-108.0906690368379,15,1.4152054,-101.9649561866502,-1.5419809,0.14999999,27.238,10,100,1.0,-116.9770579727537,0.9557769,0.09214018191053608
0.14999999,42449,0.14999999,-108.16500648119802,0.14999999,-28.951134,-4.7596693,-0.7840137,1600,-36.641956,-108.16500648119802,16,3.0791879,-101.9649561866502,-1.8879653,0.14999999,26.530625,10,100,1.0,-116.42630475453147,1.7644775,0.09900710602319956
0.14999999,44081,0.14999999,-107.95045434039697,0.14999999,-30.341448,-6.108576,0.9804638,1700,-38.391396,-107.95045434039697,17,3.5156639,-101.9649561866502,-3.5052142,0.14999999,25.93,10,100,1.0,-115.9277253184059,2.6543996,0.09090942559839346
0.14999999,45732,0.14999999,-108.16453692257326,0.14999999,-31.073397,-6.62285,3.105041,1800,-34.969635,-108.16453692257326,18,3.093704,-101.9649561866502,-0.8508146,0.14999999,25.406666666666666,10,100,1.0,-115.496437074193,3.0226045,0.0909572093418713
0.14999999,47357,0.14999999,-108.14232160639405,0.14999999,-28.050793,-6.106833,2.6960175,1900,-32.00507,-108.14232160639405,19,3.0217013,-101.9649561866502,-0.8148676,0.14999999,24.924736842105265,10,100,1.0,-115.10937836536145,2.6622846,0.07709676045285259
0.14999999,48921,0.14999999,-107.48995762887105,0.14999999,-26.943516,-6.8272405,3.241792,2000,-33.95974,-107.48995762887105,20,2.6747806,-101.9649561866502,-3.4771523,0.14999999,24.4605,10,100,1.0,-114.72840732853693,2.005322,0.06925460276570926
0.14999999,50537,0.14999999,-107.82466877363295,0.14999999,-28.948837,-7.335999,1.6721814,2100,-36.99096,-107.82466877363295,21,1.7134212,-101.9649561866502,-2.8363538,0.14999999,24.065238095238094,10,100,1.0,-114.39965787354151,1.090496,0.08925432116129145
0.14999999,52190,0.14999999,-107.98019439988398,0.14999999,-27.928808,-7.367103,2.7626772,2200,-35.822598,-107.98019439988398,22,3.3221376,-101.9649561866502,-3.6761181,0.14999999,23.722727272727273,10,100,1.0,-114.10786407928435,2.411228,0.0775356539299847
0.14999999,53839,0.14999999,-107.83492349916246,0.14999999,-27.228842,-4.9558754,4.503329,2300,-32.42946,-107.83492349916246,23,2.9194388,-101.9649561866502,-4.9810157,0.14999999,23.40826086956522,10,100,1.0,-113.83512753232253,2.0263891,0.08615286411802557
0.14999999,55451,0.14999999,-107.65362551175929,0.14999999,-27.488571,-2.9297636,6.529718,2400,-28.094618,-107.65362551175929,24,1.9503441,-101.9649561866502,-4.486766,0.14999999,23.104583333333334,10,100,1.0,-113.57756494813239,1.5416647,0.07919571833042388
0.14999999,57084,0.14999999,-107.87081740569269,0.14999999,-27.661081,-3.2207203,4.9880533,2500,-31.767338,-107.87081740569269,25,5.2133884,-101.9649561866502,-5.6324954,0.14999999,22.8336,10,100,1.0,-113.3492950464348,4.6037273,0.09241055044952137
0.14999999,58741,0.14999999,-108.20006997163073,0.14999999,-23.057354,-4.3454466,4.771558,2600,-26.166225,-108.20006997163073,26,1.2503021,-101.9649561866502,-3.4707296,0.14999999,22.592692307692307,10,100,1.0,-113.15124792817313,0.97053415,0.08711523999611297
0.14999999,60366,0.14999999,-107.88089492572162,0.14999999,-22.998253,-3.8664055,5.3947315,2700,-23.809868,-107.88089492572162,27,3.6909137,-101.9649561866502,-2.5001955,0.14999999,22.357777777777777,10,100,1.0,-112.95604966882306,3.1797278,0.07331647099122365
0.14999999,62010,0.14999999,-108.22934334294992,0.14999999,-23.341892,-0.6866777,4.5042796,2800,-24.029703,-108.22934334294992,28,1.7986722,-101.9649561866502,-4.1130137,0.14999999,22.146428571428572,10,100,1.0,-112.7872387286133,1.2287678,0.08954805961723913
0.14999999,63650,0.14999999,-107.59001853479573,0.14999999,-23.48346,-1.8620257,5.073373,2900,-23.096937,-107.59001853479573,29,3.9721253,-101.9649561866502,-2.8842459,0.14999999,21.948275862068964,10,100,1.0,-112.6080242391713,2.8952208,0.07617595686393491
0.14999999,65297,0.14999999,-107.7500244163208,0.14999999,-20.861662,-4.7572465,4.38659,3000,-23.940384,-107.7500244163208,30,4.169546,-101.9649561866502,-3.1078205,0.14999999,21.765666666666668,10,100,1.0,-112.44609091174296,2.7939303,0.07481621633690057
0.14999999,66949,0.14999999,-108.32648286278902,0.14999999,-18.089952,-7.551177,3.048698,3100,-26.190557,-108.32648286278902,31,2.0639029,-101.9649561866502,-3.434528,0.14999999,21.596451612903227,10,100,1.0,-112.31320032951865,1.3763258,0.09000988231208394
0.14999999,68604,0.14999999,-108.30914399109608,0.14999999,-18.745913,-8.927503,3.6819077,3200,-28.866241,-108.30914399109608,32,5.2107563,-101.9649561866502,-4.67315,0.14999999,21.43875,10,100,1.0,-112.18807356894293,4.1547985,0.08411854691409941
0.14999999,70228,0.14999999,-107.93617039504905,0.14999999,-19.23717,-4.772704,6.786781,3300,-22.261915,-107.93617039504905,33,2.2653165,-101.9649561866502,-4.5833693,0.14999999,21.28121212121212,10,100,1.0,-112.05922801821887,1.8945069,0.07607254893041086
0.14999999,71881,0.14999999,-107.95736796877138,0.14999999,-18.139503,-5.2888064,6.5198107,3400,-23.422,-107.95736796877138,34,3.481445,-101.9649561866502,-6.477876,0.14999999,21.141470588235293,10,100,1.0,-111.93858507558807,2.309242,0.09239273644134448
0.14999999,73511,0.14999999,-108.03506715062016,0.14999999,-16.48384,-2.9795644,4.858904,3500,-20.296204,-108.03506715062016,35,3.1019301,-101.9649561866502,-5.3429613,0.14999999,21.00314285714286,10,100,1.0,-111.82705599201755,2.8592787,0.08479273624151273
0.14999999,75147,0.14999999,-108.25082725216095,0.14999999,-16.61073,-2.5584068,7.7181826,3600,-18.089254,-108.25082725216095,36,4.3100247,-101.9649561866502,-6.4623466,0.14999999,20.874166666666667,10,100,1.0,-111.72771630479932,3.4486399,0.08147613957942884
0.14999999,76827,0.14999999,-108.75817494841641,0.14999999,-19.195475,0.89023304,7.6832623,3700,-17.079494,-108.75817494841641,37,3.508961,-101.9649561866502,-6.495001,0.14999999,20.764054054054053,10,100,1.0,-111.64745843030248,2.512974,0.08519235067990671
0.14999999,78496,0.14999999,-107.78758090177644,0.14999999,-19.89933,3.403207,8.1026945,3800,-16.554562,-107.78758090177644,38,4.684698,-101.9649561866502,-8.802907,0.14999999,20.65684210526316,10,100,1.0,-111.54588270586758,4.10797,0.06838167926869718
0.14999999,80101,0.14999999,-107.67976322572764,0.14999999,-17.914932,4.0183215,3.9947243,3900,-19.698242,-107.67976322572764,39,2.6029658,-101.9649561866502,-9.671686,0.14999999,20.53871794871795,10,100,1.0,-111.44675143714605,2.0576544,0.06465039091763808
0.14999999,81712,0.14999999,-107.76666627236378,0.14999999,-19.177458,3.3110733,1.9370699,4000,-24.234997,-107.76666627236378,40,0.9577694,-101.9649561866502,-10.340505,0.14999999,20.428,10,100,1.0,-111.35474930802648,0.73005277,0.09476651818017012
0.14999999,83295,0.14999999,-107.99839699584035,0.14999999,-19.350727,3.0628555,1.2070172,4100,-25.5321,-107.99839699584035,41,3.0958595,-101.9649561866502,-10.881533,0.14999999,20.315853658536586,10,100,1.0,-111.27288705650976,2.4513721,0.07221707946387071
0.14999999,84906,0.14999999,-108.13759431705188,0.14999999,-16.899355,3.162939,1.9809344,4200,-24.066235,-108.13759431705188,42,3.624135,-101.9649561866502,-12.603786,0.14999999,20.215714285714284,10,100,1.0,-111.19823722937981,3.129407,0.06596445556125456
0.14999999,86568,0.14999999,-108.2990609413807,0.14999999,-20.028763,2.32701,2.4864442,4300,-28.773865,-108.2990609413807,43,2.3777626,-101.9649561866502,-14.148729,0.14999999,20.132093023255813,10,100,1.0,-111.13081452500774,1.6297883,0.08446453605547083
0.14999999,88214,0.14999999,-108.53701046011294,0.14999999,-18.398975,3.07275,4.016879,4400,-25.021223,-108.53701046011294,44,2.4051645,-101.9649561866502,-13.833791,0.14999999,20.048636363636362,10,100,1.0,-111.07186443262377,2.1658633,0.08521147037554766
0.14999999,89886,0.14999999,-107.72731518413673,0.14999999,-17.56803,2.49571,6.182742,4500,-23.660301,-107.72731518413673,45,2.5689323,-101.9649561866502,-14.099134,0.14999999,19.974666666666668,10,100,1.0,-110.99754111599073,2.236335,0.07016074123101369
0.14999999,91516,0.14999999,-108.2879431273125,0.14999999,-19.804365,3.1715925,5.507246,4600,-24.37817,-108.2879431273125,46,2.6410003,-101.9649561866502,-13.271423,0.14999999,19.894782608695653,10,100,1.0,-110.93863681188901,2.1907449,0.09291919876424708
0.14999999,93143,0.14999999,-107.69304002913482,0.14999999,-17.61362,4.24115,4.5399327,4700,-22.931488,-107.69304002913482,47,3.017142,-101.9649561866502,-13.581055,0.14999999,19.817659574468085,10,100,1.0,-110.86958156119212,2.4383652,0.06818859677965307
0.14999999,94741,0.14999999,-108.28070783615536,0.14999999,-18.754896,3.9422286,6.978298,4800,-19.516285,-108.28070783615536,48,2.0489445,-101.9649561866502,-12.252274,0.14999999,19.737708333333334,10,100,1.0,-110.81564669192053,1.8379227,0.07059244146102801
0.14999999,96314,0.14999999,-108.0360787914193,0.14999999,-19.324015,3.6489363,8.816221,4900,-19.605988,-108.0360787914193,49,2.4897025,-101.9649561866502,-12.8928175,0.14999999,19.65591836734694,10,100,1.0,-110.75892081640009,1.7027977,0.08806255936858885
0.14999999,97961,0.14999999,-108.15589114818509,0.14999999,-20.251938,4.370017,10.519019,5000,-19.813427,-108.15589114818509,50,3.6200235,-101.9649561866502,-14.277772,0.14999999,19.5922,10,100,1.0,-110.70686022303578,2.2333138,0.08234602428584469
