InvPendulum_mu3_higher,InvPendulum_std2_higher,ActionIn1,InvPendulum_mu1_higher,AvgRet,InvPendulum_mu2_higher,BatchSize,Iteration,VarJ,StepSize,NatGrad2Norm,J,InvPendulum_std1_higher,NatGradInftyNorm,ReturnMax,ReturnMean,InvPendulum_mu0_higher,NumTrajectories,TimestepsSoFar,AvgEpLen,InvPendulum_std0_higher,InvPendulum_std3_higher,MinEpLen
-6.851837,0.14999999,-1.075149,6.59262,-108.20491924909447,-12.155049,100,11,0.0878982751306662,2.0,2.1465032,-108.20491924909447,0.14999999,1.527191,-97.60241650347758,-109.73283720470637,11.888401,1100,19337,17.579090909090908,0.14999999,0.14999999,10
-4.191721,0.14999999,-2.650124,5.584588,-107.77038253660261,-13.159195,100,12,0.07791411014938077,2.0,2.72735,-107.77038253660261,0.14999999,2.072563,-97.60241650347758,-109.56929931569772,8.834019,1200,20911,17.425833333333333,0.14999999,0.14999999,10
-3.310564,0.14999999,-2.3553228,8.780621,-108.50120646657231,-17.304321,100,13,0.09603627361176896,2.0,2.5631292,-108.50120646657231,0.14999999,1.7234164,-97.60241650347758,-109.48713832730347,10.091246,1300,22575,17.365384615384617,0.14999999,0.14999999,10
-0.093976736,0.14999999,1.0575826,10.471544,-108.13192835854831,-16.212439,100,14,0.08921949495165435,2.0,1.8087918,-108.13192835854831,0.14999999,1.2338463,-97.60241650347758,-109.39033761524954,6.644413,1400,24237,17.312142857142856,0.14999999,0.14999999,10
-2.5616693,0.14999999,-4.6792607,8.988864,-108.31951000901546,-18.297964,100,15,0.08129572953312468,2.0,2.908925,-108.31951000901546,0.14999999,1.9508556,-97.60241650347758,-109.31894910816725,7.314972,1500,25876,17.250666666666667,0.14999999,0.14999999,10
-1.4656332,0.14999999,-4.9437623,5.0871525,-107.93325070691917,-19.792372,100,16,0.08270950962578098,2.0,3.6215346,-107.93325070691917,0.14999999,2.436796,-97.60241650347758,-109.23234295808925,11.21234,1600,27483,17.176875,0.14999999,0.14999999,10
-4.6716633,0.14999999,-4.2306623,1.4995716,-108.1557504146217,-17.43424,100,17,0.08436509273184731,2.0,5.0879498,-108.1557504146217,0.14999999,3.4270358,-97.60241650347758,-109.1690139849441,16.085932,1700,29121,17.13,0.14999999,0.14999999,10
-10.272306,0.14999999,-2.398219,8.353643,-107.63875421894936,-20.644209,100,18,0.07600034263399767,2.0,4.2571535,-107.63875421894936,0.14999999,3.8048859,-97.60241650347758,-109.08399955349994,19.945925,1800,30704,17.057777777777776,0.14999999,0.14999999,10
-12.00935,0.14999999,-8.724601,8.430937,-108.05144850939072,-28.25398,100,19,0.06325764093132608,2.0,1.8246099,-108.05144850939072,0.14999999,1.2953461,-97.60241650347758,-109.02965476170473,23.346148,1900,32352,17.027368421052632,0.14999999,0.14999999,10
-9.418657,0.14999999,-6.8937855,8.240656,-108.05045307585061,-26.662722,100,20,0.07502902893817591,2.0,4.870155,-108.05045307585061,0.14999999,3.1959271,-97.60241650347758,-108.98069467741202,21.336967,2000,34007,17.0035,0.14999999,0.14999999,10
-3.026803,0.14999999,11.113108,9.261466,-107.98166701148104,-21.352024,100,21,0.06681432701719617,2.0,1.9070297,-107.98166701148104,0.14999999,1.5330299,-97.60241650347758,-108.93312193141531,26.314142,2100,35615,16.95952380952381,0.14999999,0.14999999,10
-6.092863,0.14999999,8.959211,10.995186,-108.36618726515175,-22.712463,100,22,0.07772074596836907,2.0,1.7703924,-108.36618726515175,0.14999999,1.2928939,-97.60241650347758,-108.90735217385787,26.85242,2200,37249,16.931363636363635,0.14999999,0.14999999,10
-4.748624,0.14999999,10.673345,13.580974,-108.2306482121775,-23.220663,100,23,0.09702028534567733,2.0,2.8010383,-108.2306482121775,0.14999999,1.7597677,-97.60241650347758,-108.87793026248046,24.906755,2300,38906,16.915652173913042,0.14999999,0.14999999,10
-1.7293012,0.14999999,16.480566,15.749346,-108.11595164930837,-19.701128,100,24,0.08594293920356337,2.0,2.39432,-108.11595164930837,0.14999999,1.5275021,-97.60241650347758,-108.8461811535983,22.631237,2400,40547,16.894583333333333,0.14999999,0.14999999,10
0.41642857,0.14999999,22.499357,18.80435,-107.66253244441259,-21.53734,100,25,0.07958666288855679,2.0,3.1338472,-107.66253244441259,0.14999999,1.8888395,-97.60241650347758,-108.79883520523086,25.002354,2500,42184,16.8736,0.14999999,0.14999999,10
3.9285514,0.14999999,23.630005,16.805897,-107.87924614321156,-25.31502,100,26,0.0701022091179037,2.0,3.9169962,-107.87924614321156,0.14999999,3.454474,-97.60241650347758,-108.76346639515319,27.94927,2600,43838,16.860769230769233,0.14999999,0.14999999,10
10.8375,0.14999999,31.312046,15.606243,-107.99523517654545,-26.637932,100,27,0.07876298118325853,2.0,2.453183,-107.99523517654545,0.14999999,1.5876558,-97.60241650347758,-108.73501338705663,31.181702,2700,45476,16.842962962962964,0.14999999,0.14999999,10
11.26687,0.14999999,28.771105,18.509308,-108.27121674289961,-29.813244,100,28,0.0835658428480161,2.0,3.4315312,-108.27121674289961,0.14999999,2.5102322,-97.60241650347758,-108.71844922119388,28.862719,2800,47098,16.820714285714285,0.14999999,0.14999999,10
13.236131,0.14999999,29.743279,22.750742,-107.85351307529,-29.982958,100,29,0.10062586395577122,2.0,3.0302598,-107.85351307529,0.14999999,2.7945623,-97.60241650347758,-108.68862383685236,23.842255,2900,48712,16.797241379310346,0.14999999,0.14999999,10
7.647006,0.14999999,22.091726,23.405672,-107.60961497467125,-31.379284,100,30,0.06593800205887815,2.0,2.2921195,-107.60961497467125,0.14999999,1.5306636,-97.60241650347758,-108.65265687477965,22.077908,3000,50323,16.774333333333335,0.14999999,0.14999999,10
10.708333,0.14999999,24.07761,21.197704,-107.96312295017643,-29.046976,100,31,0.07306307506822686,2.0,3.7640984,-107.96312295017643,0.14999999,2.349879,-97.60241650347758,-108.63041384495374,20.925196,3100,51918,16.74774193548387,0.14999999,0.14999999,10
6.008575,0.14999999,27.672829,25.664793,-107.49683203370498,-25.242746,100,32,0.07760203046170054,2.0,1.2275542,-107.49683203370498,0.14999999,0.9015425,-97.60241650347758,-108.59498941335221,21.323917,3200,53515,16.7234375,0.14999999,0.14999999,10
7.81166,0.14999999,28.913029,24.15172,-108.23888242637598,-25.099165,100,33,0.08224686750385816,2.0,2.9763088,-108.23888242637598,0.14999999,2.7762032,-97.60241650347758,-108.58419829253477,22.006878,3300,55150,16.71212121212121,0.14999999,0.14999999,10
7.999302,0.14999999,38.126892,25.898169,-108.3337551165506,-19.546759,100,34,0.09422409488139895,2.0,2.514436,-108.3337551165506,0.14999999,1.598288,-97.60241650347758,-108.57683231677052,23.239416,3400,56778,16.699411764705882,0.14999999,0.14999999,10
11.010748,0.14999999,39.86233,24.248028,-108.14945971974757,-21.357748,100,35,0.0856545540537931,2.0,1.8713186,-108.14945971974757,0.14999999,1.4299802,-97.60241650347758,-108.5646216711413,26.435993,3500,58379,16.679714285714287,0.14999999,0.14999999,10
12.818136,0.14999999,43.513245,24.327703,-108.15061255659987,-18.497787,100,36,0.09221066129157612,2.0,6.1297174,-108.15061255659987,0.14999999,4.998544,-97.60241650347758,-108.55312141795956,24.837568,3600,59990,16.663888888888888,0.14999999,0.14999999,10
8.562086,0.14999999,50.607925,34.32479,-107.73591333260615,-21.602707,100,37,0.07805649028900354,2.0,3.5573714,-107.73591333260615,0.14999999,3.236878,-97.60241650347758,-108.53103471295003,29.591248,3700,61561,16.638108108108106,0.14999999,0.14999999,10
11.136876,0.14999999,61.766075,34.45673,-107.80451423401533,-15.128951,100,38,0.07941659224278483,2.0,3.1207957,-107.80451423401533,0.14999999,2.6766908,-97.60241650347758,-108.51191575297807,31.027597,3800,63092,16.603157894736842,0.14999999,0.14999999,10
12.680529,0.14999999,67.550865,39.810112,-108.10074771068918,-13.434905,100,39,0.08443372687820558,2.0,2.2180696,-108.10074771068918,0.14999999,1.7522153,-97.60241650347758,-108.50137298266296,28.781242,3900,64621,16.56948717948718,0.14999999,0.14999999,10
9.176098,0.14999999,67.98206,40.149033,-107.8960346988539,-13.02791,100,40,0.10744231860339391,2.0,6.203311,-107.8960346988539,0.14999999,5.4798136,-97.60241650347758,-108.48623952556774,31.44916,4000,66142,16.5355,0.14999999,0.14999999,10
-1.7835293,0.14999999,51.61156,34.454887,-107.52650196954984,-13.874003,100,41,0.07267418366511057,2.0,4.6281447,-107.52650196954984,0.14999999,3.4247313,-97.60241650347758,-108.46283129249413,32.268707,4100,67635,16.496341463414634,0.14999999,0.14999999,10
5.065933,0.14999999,49.480553,29.350037,-108.58722261308294,-17.38261,100,42,0.084240937076318,2.0,5.7519608,-108.58722261308294,0.14999999,3.4106305,-97.60241650347758,-108.46579299060339,32.896336,4200,69206,16.477619047619047,0.14999999,0.14999999,10
5.362048,0.14999999,56.589752,22.730106,-108.18056764007842,-10.909632,100,43,0.09364153864280889,2.0,2.9514594,-108.18056764007842,0.14999999,1.9124609,-97.60241650347758,-108.45915984291675,39.717598,4300,70713,16.444883720930232,0.14999999,0.14999999,10
7.5871916,0.14999999,68.862686,24.575018,-107.87946638725138,-7.08471,100,44,0.07916497800284622,2.0,2.3601394,-107.87946638725138,0.14999999,1.4008559,-97.60241650347758,-108.44598499165164,43.161354,4400,72164,16.400909090909092,0.14999999,0.14999999,10
7.061772,0.14999999,70.337494,27.149675,-107.53798563978046,-9.886422,100,45,0.06454068369379028,2.0,5.631107,-107.53798563978046,0.14999999,3.8138628,-97.60241650347758,-108.42580722827672,45.904804,4500,73630,16.362222222222222,0.14999999,0.14999999,10
10.678604,0.14999999,68.792404,19.52195,-108.43325881704386,-3.5603623,100,46,0.09455296803244764,2.0,1.876886,-108.43325881704386,0.14999999,1.1033471,-97.60241650347758,-108.42596921933688,41.960854,4600,75111,16.328478260869566,0.14999999,0.14999999,10
12.885298,0.14999999,66.26636,17.367605,-109.22870844833358,-3.7456694,100,47,0.09720811450816637,2.0,1.7588872,-109.22870844833358,0.14999999,1.680198,-97.60241650347758,-108.44304877740063,39.828773,4700,76653,16.309148936170214,0.14999999,0.14999999,10
13.650453,0.14999999,72.09148,18.07243,-109.42703676373561,-3.7609735,100,48,0.13197359853610813,2.0,2.2862637,-109.42703676373561,0.14999999,1.6512555,-97.60241650347758,-108.46354852711595,43.18917,4800,78214,16.294583333333332,0.14999999,0.14999999,10
15.924503,0.14999999,66.67244,16.831596,-109.26386709158596,-7.063484,100,49,0.13483586331543232,2.0,4.1543794,-109.26386709158596,0.14999999,2.7924097,-97.60241650347758,-108.47988155904392,41.37521,4900,79770,16.279591836734692,0.14999999,0.14999999,10
13.022697,0.14999999,66.22995,19.723738,-109.27861409820258,-2.4743338,100,50,0.109029169501408,2.0,2.4074812,-109.27861409820258,0.14999999,1.7982874,-97.60241650347758,-108.49585620982708,35.79039,5000,81323,16.2646,0.14999999,0.14999999,10
