ActionIn1,InvPendulum_mu1_higher,NatGradInftyNorm,ReturnMax,InvPendulum_std0_higher,NumTrajectories,AvgEpLen,StepSize,InvPendulum_mu3_higher,InvPendulum_std3_higher,VarJ,BatchSize,Iteration,InvPendulum_std1_higher,InvPendulum_std2_higher,AvgRet,NatGrad2Norm,ReturnMean,J,InvPendulum_mu0_higher,TimestepsSoFar,InvPendulum_mu2_higher,MinEpLen
35.83304,-29.512949,1.0234921,11.634517010751145,0.14999999,3300,34.70969696969697,2.0,23.76343,0.14999999,0.3279640874137026,100,33,0.14999999,0.14999999,-117.37563144030308,1.2267281,-126.09923283560089,-117.37563144030308,6.742984,114542,35.02458,11
34.85034,-28.203497,2.4494972,11.634517010751145,0.14999999,3400,34.36558823529412,2.0,21.716446,0.14999999,0.2742316167060843,100,34,0.14999999,0.14999999,-117.34861065798616,4.273699,-125.8418615950828,-117.34861065798616,6.624327,116843,34.70747,11
32.718864,-25.711468,2.2472534,11.634517010751145,0.14999999,3500,34.138,2.0,26.61544,0.14999999,0.2990228701382569,100,35,0.14999999,0.14999999,-121.13964450389226,3.3546307,-125.7075125353345,-121.13964450389226,2.1325192,119483,29.94603,11
39.81375,-21.21696,2.7564294,11.634517010751145,0.14999999,3600,33.908055555555556,2.0,29.915638,0.14999999,0.44062052882301883,100,36,0.14999999,0.14999999,-120.41297540292655,3.1103203,-125.56044205943428,-120.41297540292655,4.2464323,122069,26.87135,11
49.972343,-19.109676,3.3508317,11.634517010751145,0.14999999,3700,33.64027027027027,2.0,31.296543,0.14999999,0.3651605305543591,100,37,0.14999999,0.14999999,-118.54926616173707,4.6560116,-125.37095081895598,-118.54926616173707,9.759291,124469,28.270353,11
36.267174,-25.81134,2.6072385,11.634517010751145,0.14999999,3800,33.37894736842105,2.0,24.879902,0.14999999,0.34830615690496003,100,38,0.14999999,0.14999999,-118.8944094064872,3.417422,-125.20051551862784,-118.8944094064872,9.557463,126840,27.503902,11
31.833048,-28.8111,2.1540647,11.634517010751145,0.14999999,3900,33.14923076923077,2.0,19.665424,0.14999999,0.27622275172201133,100,39,0.14999999,0.14999999,-119.36812536538024,3.0946758,-125.05096705315998,-119.36812536538024,12.310046,129282,29.22118,11
29.782917,-27.44225,2.495433,11.634517010751145,0.14999999,4000,32.88125,2.0,15.357295,0.14999999,0.22311267237169105,100,40,0.14999999,0.14999999,-116.96949678415326,3.3660047,-124.84893029643479,-116.96949678415326,9.347887,131525,32.237793,11
36.231068,-30.197916,5.308028,11.634517010751145,0.14999999,4100,32.63,2.0,18.746986,0.14999999,0.2302106856678181,100,41,0.14999999,0.14999999,-116.92314910880005,6.926461,-124.65561856015103,-116.92314910880005,10.500059,133783,37.22866,11
62.15522,-25.860056,1.5183972,11.634517010751145,0.14999999,4200,32.33095238095238,2.0,22.71847,0.14999999,0.1034648943702607,100,42,0.14999999,0.14999999,-113.40976521327633,2.140899,-124.3878601471302,-113.40976521327633,21.116116,135790,43.907963,11
65.42175,-27.994287,2.9152334,11.634517010751145,0.14999999,4300,32.05837209302326,2.0,23.254288,0.14999999,0.12860086078985314,100,43,0.14999999,0.14999999,-113.5598263346673,4.0328727,-124.13604540730547,-113.5598263346673,24.15291,137851,45.97427,11
64.53631,-33.824753,1.3225923,11.634517010751145,0.14999999,4400,31.82931818181818,2.0,28.195227,0.14999999,0.22649372442005633,100,44,0.14999999,0.14999999,-115.81232024654041,1.4713992,-123.94686983546991,-115.81232024654041,25.846745,140049,44.03006,11
63.94989,-33.247475,2.6041503,11.634517010751145,0.14999999,4500,31.6,2.0,29.3422,0.14999999,0.25494797570529465,100,45,0.14999999,0.14999999,-115.5859437194266,2.998232,-123.76107147733562,-115.5859437194266,23.201561,142200,44.149487,11
57.30736,-31.863287,5.2286363,11.634517010751145,0.14999999,4600,31.407608695652176,2.0,29.902458,0.14999999,0.336149503602461,100,46,0.14999999,0.14999999,-117.00643546731867,5.523673,-123.61423156407439,-117.00643546731867,20.63226,144475,38.941185,11
48.241127,-33.463856,2.2607248,11.634517010751145,0.14999999,4700,31.32723404255319,2.0,33.060604,0.14999999,0.7809717441070394,100,47,0.14999999,0.14999999,-122.7683112436568,2.9662137,-123.59623325938463,-122.7683112436568,20.240337,147238,28.483913,11
47.71392,-33.258263,1.103551,11.634517010751145,0.14999999,4800,31.27541666666667,2.0,32.812325,0.14999999,1.1207783816437367,100,48,0.14999999,0.14999999,-124.42801693439036,1.7204918,-123.61356208594725,-124.42801693439036,24.067383,150122,23.962463,11
51.29665,-34.9865,2.1697288,11.634517010751145,0.14999999,4900,31.262857142857143,2.0,34.50741,0.14999999,1.415086567982582,100,49,0.14999999,0.14999999,-126.12821040201722,3.1071835,-123.66488143933643,-126.12821040201722,26.274485,153188,25.015532,11
54.569435,-36.995975,2.7552783,11.634517010751145,0.14999999,5000,31.2434,2.0,38.846867,0.14999999,1.0262669634964594,100,50,0.14999999,0.14999999,-125.72482768069908,3.1615105,-123.70608036416368,-125.72482768069908,23.990387,156217,28.260893,11
