StepSize,InvPendulum_std2_higher,Iteration,InvPendulum_mu3_higher,NatGrad2Norm,TimestepsSoFar,BatchSize,InvPendulum_std0_higher,ReturnMax,NatGradInftyNorm,VarJ,AvgRet,InvPendulum_std1_higher,AvgEpLen,InvPendulum_mu1_higher,InvPendulum_mu0_higher,J,InvPendulum_mu2_higher,InvPendulum_std3_higher,ActionIn1,ReturnMean,NumTrajectories,MinEpLen
0.0001,0.14999999,21,-0.524996,3.4167407,181062,100,0.14999999,7.693013712136885,2.729067,16.178419543985434,-109.58305353794408,0.14999999,86.22,-0.34999132,-0.7489191,-109.58305353794408,0.20823383,0.14999999,-1.3939943,-110.73956101482722,2100,13
0.0001,0.14999999,22,-0.5252689,4.8425612,189694,100,0.14999999,7.693013712136885,3.758544,24.80151703069246,-113.40990432119112,0.14999999,86.22454545454545,-0.35003516,-0.7487353,-113.40990432119112,0.20831484,0.14999999,-1.5611597,-110.86094025602557,2200,13
0.0001,0.14999999,23,-0.5256448,2.6985447,196833,100,0.14999999,115.92550284565166,2.6288745,10.534718699474716,-104.22887635945766,0.14999999,85.5795652173913,-0.350325,-0.74868464,-104.22887635945766,0.20823312,0.14999999,-1.6897166,-110.57258965182696,2300,13
0.0001,0.14999999,24,-0.52566695,1.0274992,203748,100,0.14999999,115.92550284565166,0.5883734,8.45836107641542,-107.81272388003566,0.14999999,84.895,-0.35031793,-0.7486283,-107.81272388003566,0.208496,0.14999999,-1.3244542,-110.457595244669,2400,13
0.0001,0.14999999,25,-0.5256166,3.479085,213580,100,0.14999999,115.92550284565166,2.302852,13.472707870711433,-111.92154901055011,0.14999999,85.432,-0.3502591,-0.7486786,-111.92154901055011,0.20854102,0.14999999,-2.0614772,-110.51615339530423,2500,13
0.0001,0.14999999,26,-0.5258207,3.4372663,223169,100,0.14999999,115.92550284565166,2.6641977,13.032022331069356,-111.64333099134434,0.14999999,85.83423076923077,-0.3500288,-0.748539,-111.64333099134434,0.20862386,0.14999999,-1.3539524,-110.55950637976733,2600,13
0.0001,0.14999999,27,-0.5260871,4.2209086,230169,100,0.14999999,115.92550284565166,3.5790462,6.733211562009562,-107.34809512233969,0.14999999,85.24777777777778,-0.34982368,-0.74854845,-107.34809512233969,0.2085531,0.14999999,-1.2365334,-110.44056522208481,2700,13
0.0001,0.14999999,28,-0.5257292,4.7125583,239021,100,0.14999999,115.92550284565166,3.382832,23.600991309124943,-115.5125208011986,0.14999999,85.36464285714285,-0.34972203,-0.7484937,-115.5125208011986,0.20874475,0.14999999,-1.6735439,-110.62170649276744,2800,13
0.0001,0.14999999,29,-0.52606744,3.1437004,246808,100,0.14999999,115.92550284565166,2.6468766,6.103207253235565,-107.86123098498555,0.14999999,85.10620689655173,-0.34966204,-0.74817264,-107.86123098498555,0.20877634,0.14999999,-0.9667909,-110.52651768215428,2900,13
0.0001,0.14999999,30,-0.52609456,3.113178,254121,100,0.14999999,115.92550284565166,1.897572,10.591106697585197,-106.5894923052241,0.14999999,84.707,-0.34969905,-0.74843735,-106.5894923052241,0.20893963,0.14999999,-1.3089839,-110.39528350292329,3000,13
0.0001,0.14999999,31,-0.5261398,2.7820778,262721,100,0.14999999,115.92550284565166,2.155524,4.446996720277736,-103.68007903974723,0.14999999,84.74870967741936,-0.34953955,-0.74824756,-103.68007903974723,0.20875679,0.14999999,-1.3074241,-110.17866400411116,3100,13
0.0001,0.14999999,32,-0.5261906,6.8687844,271319,100,0.14999999,115.92550284565166,5.38875,38.92435618344456,-116.12923173231478,0.14999999,84.7871875,-0.3495455,-0.7484159,-116.12923173231478,0.20854124,0.14999999,-0.8438463,-110.3646192456175,3200,13
0.0001,0.14999999,33,-0.52672946,3.602636,279042,100,0.14999999,115.92550284565166,3.4112823,21.36509230260762,-111.81927377699255,0.14999999,84.55818181818182,-0.34929258,-0.7487573,-111.81927377699255,0.20851158,0.14999999,-1.4959003,-110.40869968596222,3300,13
0.0001,0.14999999,34,-0.526845,4.272017,287924,100,0.14999999,115.92550284565166,3.857411,29.342752621775286,-115.535863688293,0.14999999,84.68352941176471,-0.34895146,-0.74875575,-115.535863688293,0.20850267,0.14999999,-1.7119548,-110.55949862720722,3400,13
0.0001,0.14999999,35,-0.52723074,6.6225104,297084,100,0.14999999,115.92550284565166,6.309329,22.158296579651736,-117.7012415776438,0.14999999,84.88114285714286,-0.34884164,-0.7486159,-117.7012415776438,0.20854846,0.14999999,-1.6391618,-110.76354842579114,3500,13
0.0001,0.14999999,36,-0.52786165,4.4811807,305247,100,0.14999999,115.92550284565166,4.4096103,9.95766548730509,-107.9572491287309,0.14999999,84.79083333333334,-0.34868446,-0.7484952,-107.9572491287309,0.20851342,0.14999999,-1.531424,-110.68559566753946,3600,13
0.0001,0.14999999,37,-0.5283026,6.232662,313950,100,0.14999999,115.92550284565166,5.022502,34.19509707439312,-117.42793926435726,0.14999999,84.85135135135135,-0.3486727,-0.7484259,-117.42793926435726,0.20855108,0.14999999,-1.4283462,-110.86782117015615,3700,13
0.0001,0.14999999,38,-0.52880484,4.6886635,322555,100,0.14999999,115.92550284565166,4.1559477,11.904965566223243,-103.75635704449329,0.14999999,84.8828947368421,-0.3483745,-0.7483365,-103.75635704449329,0.20835286,0.14999999,-1.8350333,-110.68067737737556,3800,13
0.0001,0.14999999,39,-0.52901417,5.5622263,330922,100,0.14999999,115.92550284565166,3.857348,19.99435561240828,-114.93331481264092,0.14999999,84.85179487179487,-0.34843177,-0.7483346,-114.93331481264092,0.20876846,0.14999999,-0.974157,-110.7897193628952,3900,13
0.0001,0.14999999,40,-0.52939993,5.3387947,338140,100,0.14999999,115.92550284565166,4.812194,11.686607044181706,-111.25245757912782,0.14999999,84.535,-0.3482196,-0.74803656,-111.25245757912782,0.20860483,0.14999999,-1.305625,-110.801287818301,4000,12
0.0001,0.14999999,41,-0.5296207,2.7370017,346730,100,0.14999999,115.92550284565166,1.9516816,13.387989282224174,-110.80845339466003,0.14999999,84.56829268292682,-0.34823734,-0.74797016,-110.80845339466003,0.20812361,0.14999999,-1.3988327,-110.8014625884561,4100,12
0.0001,0.14999999,42,-0.52967805,2.4532576,355132,100,0.14999999,115.92550284565166,2.0037453,4.7625869069563915,-106.44828679892113,0.14999999,84.5552380952381,-0.34804216,-0.7477892,-106.44828679892113,0.20809537,0.14999999,-0.8352389,-110.69781554584813,4200,12
0.0001,0.14999999,43,-0.52968293,0.79858315,363240,100,0.14999999,115.92550284565166,0.61437327,7.3322975704079765,-107.49346105091068,0.14999999,84.47441860465116,-0.34795552,-0.747901,-107.49346105091068,0.20829575,0.14999999,-1.1341714,-110.62329567387283,4300,12
0.0001,0.14999999,44,-0.5296795,0.8175449,370729,100,0.14999999,115.92550284565166,0.76718324,1.395207348044417,-105.84287317226038,0.14999999,84.2565909090909,-0.34800643,-0.7479625,-105.84287317226038,0.20829487,0.14999999,-1.3967882,-110.5146497079271,4400,12
0.0001,0.14999999,45,-0.5296532,4.853091,379479,100,0.14999999,115.92550284565166,4.3088293,25.35356541361021,-113.89178721541748,0.14999999,84.32866666666666,-0.3479961,-0.74788576,-113.89178721541748,0.20829374,0.14999999,-1.9393549,-110.58969720809355,4500,12
0.0001,0.14999999,46,-0.5300841,6.847372,388428,100,0.14999999,115.92550284565166,4.9859676,12.901554645448705,-112.63596892367299,0.14999999,84.4408695652174,-0.34781832,-0.747876,-112.63596892367299,0.20815895,0.14999999,-1.2023549,-110.63418137582353,4600,12
0.0001,0.14999999,47,-0.53058267,1.1033981,395344,100,0.14999999,115.92550284565166,0.7177249,1.5155459450000435,-104.04529914824612,0.14999999,84.11574468085107,-0.34739578,-0.74786735,-104.04529914824612,0.20795488,0.14999999,-0.9871328,-110.49399239225806,4700,12
0.0001,0.14999999,48,-0.5306516,4.974153,402603,100,0.14999999,115.92550284565166,3.2258492,14.47917857244057,-109.99342325317619,0.14999999,83.875625,-0.34734836,-0.7478715,-109.99342325317619,0.2078831,0.14999999,-1.3149365,-110.48356386852717,4800,12
0.0001,0.14999999,49,-0.5308329,4.5555143,411141,100,0.14999999,115.92550284565166,3.7028759,3.7695019117592596,-105.09200980073854,0.14999999,83.90632653061225,-0.3476328,-0.7481941,-105.09200980073854,0.20771104,0.14999999,-1.1597273,-110.37353215285803,4900,12
0.0001,0.14999999,50,-0.5310358,3.6233325,417967,100,0.14999999,115.92550284565166,2.5344005,1.7887785956741118,-106.31547661843277,0.14999999,83.5934,-0.347625,-0.7483649,-106.31547661843277,0.20808133,0.14999999,-1.9728327,-110.29237104216953,5000,12
