InvPendulum_mu1_higher,InvPendulum_std2_higher,J,MinEpLen,NatGradInftyNorm,AvgEpLen,NatGrad2Norm,InvPendulum_std3_higher,InvPendulum_std0_higher,InvPendulum_mu2_higher,ActionIn1,NumTrajectories,InvPendulum_mu3_higher,AvgRet,Iteration,StepSize,InvPendulum_mu0_higher,ReturnMax,VarJ,BatchSize,ReturnMean,InvPendulum_std1_higher,TimestepsSoFar
-0.6552056,0.14999999,-116.69527940477988,11,1.1800779,27.977272727272727,1.4914793,0.14999999,0.14999999,0.54231393,-0.6175722,1100,-0.31629822,-116.69527940477988,11,0.01,0.36090115,-82.57270093206475,1.0758569153739632,100,-117.72564316229733,0.14999999,30775
-0.6556716,0.14999999,-114.90925911635215,11,2.2302928,27.845,2.886939,0.14999999,0.14999999,0.5414094,0.20978917,1200,-0.30723414,-114.90925911635215,12,0.01,0.34910038,-82.57270093206475,0.9100941291348836,100,-117.4909444918019,0.14999999,33414
-0.6333687,0.14999999,-113.6432411018958,11,1.6604255,27.802307692307693,2.6097138,0.14999999,0.14999999,0.52508,-0.6716083,1300,-0.30836797,-113.6432411018958,13,0.01,0.3573519,-82.57270093206475,0.7064472438604161,100,-117.19496730796298,0.14999999,36143
-0.62100446,0.14999999,-116.57673512175903,11,1.8040516,27.777857142857144,1.9694908,0.14999999,0.14999999,0.53485763,0.20679946,1400,-0.29584262,-116.57673512175903,14,0.01,0.34074765,-82.57270093206475,0.8563068122134205,100,-117.15080786609126,0.14999999,38889
-0.6218721,0.14999999,-114.42345381595574,11,2.1777544,27.664,2.8352156,0.14999999,0.14999999,0.53266704,-0.17826164,1500,-0.31388313,-114.42345381595574,15,0.01,0.3482894,-79.77424867672049,0.655298854209234,100,-116.96898426274889,0.14999999,41496
-0.63870615,0.14999999,-116.35372935879629,11,2.8824422,27.64875,4.3033986,0.14999999,0.14999999,0.5261013,-0.039913803,1600,-0.31212527,-116.35372935879629,16,0.01,0.37006694,-79.77424867672049,0.8459914208321938,100,-116.93053083125187,0.14999999,44238
-0.65220803,0.14999999,-117.01904838821677,11,4.4102273,27.660588235294117,6.214411,0.14999999,0.14999999,0.5413666,0.2410495,1700,-0.3367372,-117.01904838821677,17,0.01,0.39889136,-79.77424867672049,0.8984380940136402,100,-116.93573774636745,0.14999999,47023
-0.6081058,0.14999999,-114.31226964840856,11,3.8326697,27.513333333333332,4.4562473,0.14999999,0.14999999,0.52855456,0.18850854,1800,-0.3720495,-114.31226964840856,18,0.01,0.42138073,-79.77424867672049,0.6577285022550293,100,-116.78998951870308,0.14999999,49524
-0.6028773,0.14999999,-112.95926017378152,11,0.8914138,27.438947368421054,1.5106419,0.14999999,0.14999999,0.49022788,-0.29492456,1900,-0.383953,-112.95926017378152,19,0.01,0.4400314,-79.77424867672049,0.6154537940985507,100,-116.58837218475983,0.14999999,52134
-0.60269004,0.14999999,-113.3017186703971,11,2.9947233,27.336,5.058914,0.14999999,0.14999999,0.49914202,-0.43789893,2000,-0.37553167,-113.3017186703971,20,0.01,0.43121165,-79.77424867672049,0.6209862267895258,100,-116.42403950904168,0.14999999,54672
-0.59301233,0.14999999,-114.11274291827516,11,2.0341926,27.215238095238096,2.445182,0.14999999,0.14999999,0.5290893,-0.035928488,2100,-0.3466664,-114.11274291827516,21,0.01,0.4583329,-79.77424867672049,0.5112090042431215,100,-116.31397776662425,0.14999999,57152
-0.58096015,0.14999999,-110.85539026813008,11,1.5738088,27.11409090909091,1.8853632,0.14999999,0.14999999,0.52535284,-0.042364836,2200,-0.36700833,-110.85539026813008,22,0.01,0.4633211,-79.77424867672049,0.5169357541496992,100,-116.06586015305632,0.14999999,59651
-0.5652221,0.14999999,-113.26383691818515,11,1.972768,26.99608695652174,2.9402986,0.14999999,0.14999999,0.5219045,0.20313334,2300,-0.36288872,-113.26383691818515,23,0.01,0.45443794,-79.77424867672049,0.527000815031524,100,-115.94403305588801,0.14999999,62091
-0.55001533,0.14999999,-112.20422131275322,11,1.8885396,26.80666666666667,2.5015032,0.14999999,0.14999999,0.54163224,-0.3847032,2400,-0.3510152,-112.20422131275322,24,0.01,0.44428274,-79.77424867672049,0.5104342244112519,100,-115.78820756659071,0.14999999,64336
-0.53112996,0.14999999,-111.63277829656708,11,1.6178138,26.6404,2.7391927,0.14999999,0.14999999,0.5336471,-0.07115841,2500,-0.34403726,-111.63277829656708,25,0.01,0.45679834,-79.77424867672049,0.4881457532490472,100,-115.62199039578978,0.14999999,66601
-0.5380245,0.14999999,-112.34047205641161,11,3.0492847,26.516923076923078,3.5064278,0.14999999,0.14999999,0.5177132,0.38361377,2600,-0.32785913,-112.34047205641161,26,0.01,0.470479,-79.77424867672049,0.9477342381096071,100,-115.49577815196754,0.14999999,68944
-0.5370555,0.14999999,-113.32176852198147,11,2.063438,26.452962962962964,2.7733016,0.14999999,0.14999999,0.5144417,0.49200308,2700,-0.2973663,-113.32176852198147,27,0.01,0.487451,-79.77424867672049,0.6541557402253926,100,-115.41525927678289,0.14999999,71423
-0.51642114,0.14999999,-112.78998240540722,11,2.601797,26.332142857142856,3.6806524,0.14999999,0.14999999,0.501063,0.1051026,2800,-0.29987288,-112.78998240540722,28,0.01,0.47487843,-79.77424867672049,0.5499162986853684,100,-115.32149938851944,0.14999999,73730
-0.49040318,0.14999999,-113.16242878659999,11,3.296576,26.192413793103448,3.5446784,0.14999999,0.14999999,0.5050837,0.07020751,2900,-0.29198244,-113.16242878659999,29,0.01,0.4503966,-79.77424867672049,0.5582587913005042,100,-115.24704867810844,0.14999999,75958
-0.4812993,0.14999999,-112.34812163427848,11,1.5266293,26.129666666666665,2.2434676,0.14999999,0.14999999,0.499446,0.47659814,3000,-0.3249482,-112.34812163427848,30,0.01,0.44297573,-79.77424867672049,0.6047781047122324,100,-115.15041777664744,0.14999999,78389
-0.48988777,0.14999999,-114.12008414341922,11,2.931159,26.052903225806453,4.788336,0.14999999,0.14999999,0.5147123,0.44132847,3100,-0.31281126,-114.12008414341922,31,0.01,0.43596226,-79.77424867672049,0.7241095600890651,100,-115.11718120783362,0.14999999,80764
-0.46057618,0.14999999,-110.78913149380227,11,0.48899886,25.913125,0.7498201,0.14999999,0.14999999,0.53887665,0.097597,3200,-0.3412692,-110.78913149380227,32,0.01,0.44227684,-79.77424867672049,0.5862794923081965,100,-114.98192965427015,0.14999999,82922
-0.46326417,0.14999999,-112.45589918550087,11,3.3735297,25.81,3.6430082,0.14999999,0.14999999,0.54109305,0.23015288,3300,-0.3363792,-112.45589918550087,33,0.01,0.44676828,-79.77424867672049,0.47223803537059644,100,-114.90538327642867,0.14999999,85173
-0.45147642,0.14999999,-110.07030508353883,11,1.8698499,25.67529411764706,2.5264704,0.14999999,0.14999999,0.5748283,0.7766841,3400,-0.3372324,-110.07030508353883,34,0.01,0.45379692,-79.77424867672049,0.37851819408119086,100,-114.76317509428483,0.14999999,87296
-0.4569975,0.14999999,-110.32650925237819,11,1.5736098,25.54,2.028379,0.14999999,0.14999999,0.56562096,-0.2176364,3500,-0.32406378,-110.32650925237819,35,0.01,0.47249544,-79.77424867672049,0.29726243750027415,100,-114.63641321308751,0.14999999,89390
-0.4536127,0.14999999,-111.76117620960095,11,5.3982215,25.4125,6.6355786,0.14999999,0.14999999,0.58135706,0.3044469,3600,-0.31501797,-111.76117620960095,36,0.01,0.46409762,-79.77424867672049,0.36706534526674917,100,-114.55654551854623,0.14999999,91485
-0.3996305,0.14999999,-109.81362069287272,11,3.467884,25.283243243243245,3.7207797,0.14999999,0.14999999,0.56651795,0.050833464,3700,-0.33899707,-109.81362069287272,37,0.01,0.49043798,-79.77424867672049,0.3168838593692689,100,-114.42835836109558,0.14999999,93548
-0.39650023,0.14999999,-110.78611284079398,11,2.889859,25.13078947368421,3.3434176,0.14999999,0.14999999,0.60119677,0.64770156,3800,-0.32742327,-110.78611284079398,38,0.01,0.4966062,-79.77424867672049,0.2710947003470576,100,-114.33250979477184,0.14999999,95497
-0.36760163,0.14999999,-109.04654382920438,11,1.8399063,24.955128205128204,2.3899498,0.14999999,0.14999999,0.61123633,0.12083495,3900,-0.3212882,-109.04654382920438,39,0.01,0.48459437,-79.77424867672049,0.18179343260408648,100,-114.19697220591115,0.14999999,97325
-0.3639853,0.14999999,-109.77983476686366,11,5.735669,24.7925,6.380548,0.14999999,0.14999999,0.614039,0.6451918,4000,-0.33968726,-109.77983476686366,40,0.01,0.49914524,-79.77424867672049,0.2832109557803152,100,-114.08654376993495,0.14999999,99170
-0.39143467,0.14999999,-108.75364460736742,11,3.336192,24.66268292682927,4.537798,0.14999999,0.14999999,0.61186504,0.8728428,4100,-0.39704394,-108.75364460736742,41,0.01,0.5039573,-79.77424867672049,0.13938535963994134,100,-113.95647305865282,0.14999999,101117
-0.41666096,0.14999999,-110.49543430111231,10,3.668066,24.544761904761906,5.8748417,0.14999999,0.14999999,0.59443074,-0.12868705,4200,-0.36368203,-110.49543430111231,42,0.01,0.50637025,-79.77424867672049,0.27290404708034144,100,-113.87406737394947,0.14999999,103088
-0.44825238,0.14999999,-109.61111266816924,10,1.972767,24.455581395348837,3.191416,0.14999999,0.14999999,0.6277098,0.049084246,4300,-0.36305502,-109.61111266816924,43,0.01,0.5430509,-79.77424867672049,0.3278744965628457,100,-113.77492889241971,0.14999999,105159
-0.43575266,0.14999999,-109.39472198226525,10,1.4829139,24.3275,2.4164636,0.14999999,0.14999999,0.64743745,1.045501,4400,-0.3514874,-109.39472198226525,44,0.01,0.56147045,-79.77424867672049,0.19747748739833637,100,-113.67537873537074,0.14999999,107041
-0.4220828,0.14999999,-109.20633849297805,10,3.6304371,24.18911111111111,5.5941873,0.14999999,0.14999999,0.6344608,0.5418899,4500,-0.35444868,-109.20633849297805,45,0.01,0.5762996,-79.77424867672049,0.26934185778418096,100,-113.57606672998425,0.14999999,108851
-0.4583872,0.14999999,-109.47206212500966,10,1.1493952,24.07391304347826,1.7958176,0.14999999,0.14999999,0.6673496,0.6200055,4600,-0.33646208,-109.47206212500966,46,0.01,0.5561428,-79.77424867672049,0.22313763548624405,100,-113.48684923857175,0.14999999,110740
-0.46687132,0.14999999,-110.30569272902112,10,1.6536477,23.977659574468085,1.7973323,0.14999999,0.14999999,0.66766465,0.35144714,4700,-0.32496813,-110.30569272902112,47,0.01,0.545266,-79.77424867672049,0.29394540674748737,100,-113.41916505751747,0.14999999,112695
-0.4612125,0.14999999,-110.31410012639977,10,1.6287599,23.878541666666667,2.146005,0.14999999,0.14999999,0.6703786,1.3895924,4800,-0.3217748,-110.31410012639977,48,0.01,0.56180245,-79.77424867672049,0.23617702615359323,100,-113.35447620478585,0.14999999,114617
-0.46512306,0.14999999,-110.45270593360196,10,2.7608087,23.800204081632653,4.5028567,0.14999999,0.14999999,0.654091,0.03424853,4900,-0.31197596,-110.45270593360196,49,0.01,0.5526407,-79.77424867672049,0.3304150247387943,100,-113.29525640333314,0.14999999,116621
-0.44847807,0.14999999,-109.69249317109742,10,1.6472592,23.6936,2.219792,0.14999999,0.14999999,0.6810095,0.59681284,5000,-0.328215,-109.69249317109742,50,0.01,0.5250326,-79.77424867672049,0.2383841877868094,100,-113.2232011386884,0.14999999,118468
