BatchSize,ReturnMean,MinEpLen,AvgEpLen,InvPendulum_std2_higher,ReturnMax,VarJ,NatGrad2Norm,J,NatGradInftyNorm,InvPendulum_mu0_higher,InvPendulum_std0_higher,StepSize,TimestepsSoFar,InvPendulum_mu3_higher,NumTrajectories,AvgRet,InvPendulum_std1_higher,ActionIn1,Iteration,InvPendulum_std3_higher,InvPendulum_mu1_higher,InvPendulum_mu2_higher
100,-102.81554020754666,11,40.44615384615385,0.14999999,57.19495882438955,0.6644853685791041,2.9700198,-102.61655662113714,1.9444757,-0.3575174,0.14999999,0.0001,52580,-0.80747604,1300,-102.61655662113714,0.14999999,-2.0181084,13,0.14999999,-0.45803398,-0.10544778
100,-102.95110643374642,11,40.715714285714284,0.14999999,57.19495882438955,0.6308277114365886,2.7667992,-104.71346737434311,1.7454394,-0.35759702,0.14999999,0.0001,57002,-0.8072816,1400,-104.71346737434311,0.14999999,-1.5228336,14,0.14999999,-0.45821097,-0.10556059
100,-102.98932324567674,11,40.496,0.14999999,57.19495882438955,0.6590451643941772,5.3263955,-103.52435861270102,4.252561,-0.35760313,0.14999999,0.0001,60744,-0.80743533,1500,-103.52435861270102,0.14999999,-1.7573296,15,0.14999999,-0.45836073,-0.10538605
100,-103.00217908608197,11,40.390625,0.14999999,57.19495882438955,0.5157097256938019,1.4230729,-103.19501669216037,0.9895166,-0.35775924,0.14999999,0.0001,64625,-0.8073334,1600,-103.19501669216037,0.14999999,-2.1752577,16,0.14999999,-0.45878598,-0.10512507
100,-102.98894454150728,11,40.387058823529415,0.14999999,57.19495882438955,0.863730319819071,4.20137,-102.77719182831254,2.9393845,-0.35777313,0.14999999,0.0001,68658,-0.80723447,1700,-102.77719182831254,0.14999999,-1.5244448,17,0.14999999,-0.4588716,-0.10517927
100,-102.97813172924627,11,40.538333333333334,0.14999999,57.19495882438955,0.6460992763081157,3.389736,-102.79431392080906,2.437928,-0.3578276,0.14999999,0.0001,72969,-0.80708444,1800,-102.79431392080906,0.14999999,-1.344336,18,0.14999999,-0.45916554,-0.10492503
100,-102.94800811136356,11,40.61210526315789,0.14999999,57.19495882438955,0.6266796161942504,2.2328289,-102.40578298947491,1.7239541,-0.35764417,0.14999999,0.0001,77163,-0.8073282,1900,-102.40578298947491,0.14999999,-1.4459409,19,0.14999999,-0.45924115,-0.10505193
100,-102.85549680494782,11,40.768,0.14999999,57.19495882438955,0.6037182685825234,3.2893374,-101.09778198304845,2.5374742,-0.35781658,0.14999999,0.0001,81536,-0.80726486,2000,-101.09778198304845,0.14999999,-1.7443129,20,0.14999999,-0.45931897,-0.10495161
100,-102.80601560769944,11,40.906666666666666,0.14999999,57.19495882438955,2.8672152882494273,3.5358548,-101.81639166273166,2.8023794,-0.35799065,0.14999999,0.0001,85904,-0.8073762,2100,-101.81639166273166,0.14999999,-1.9058572,21,0.14999999,-0.45935234,-0.10520536
100,-102.7913419685851,11,40.89545454545455,0.14999999,57.19495882438955,1.0977341841373578,1.020372,-102.48319554718447,0.79489857,-0.35827088,0.14999999,0.0001,89970,-0.80720514,2200,-102.48319554718447,0.14999999,-1.4543974,22,0.14999999,-0.4592416,-0.10527581
100,-102.74549158983008,11,40.83869565217391,0.14999999,57.19495882438955,0.6148904029833304,1.7855698,-101.73678325721977,1.3948702,-0.3582433,0.14999999,0.0001,93929,-0.80714744,2300,-101.73678325721977,0.14999999,-1.3725001,23,0.14999999,-0.45924374,-0.1053553
100,-102.69654807395945,11,40.8525,0.14999999,57.19495882438955,0.6670483388815523,4.1700463,-101.5708472089344,3.1090596,-0.35817298,0.14999999,0.0001,98046,-0.8071551,2400,-101.5708472089344,0.14999999,-1.9080565,24,0.14999999,-0.4591576,-0.10549479
100,-102.70276173073245,11,40.8272,0.14999999,57.19495882438955,0.5254115235106537,1.7648367,-102.8518894932843,1.4487422,-0.35815144,0.14999999,0.0001,102068,-0.8070603,2500,-102.8518894932843,0.14999999,-1.6212511,25,0.14999999,-0.45889723,-0.105183885
100,-102.714107608819,11,40.86615384615384,0.14999999,57.19495882438955,0.7844458735250829,2.1980572,-102.99775456098352,1.3385295,-0.3582963,0.14999999,0.0001,106252,-0.8070703,2600,-102.99775456098352,0.14999999,-1.8354712,26,0.14999999,-0.45899746,-0.10518736
100,-102.74370848139537,11,41.014074074074074,0.14999999,57.19495882438955,0.5483410792771566,3.7271888,-103.51333116838077,2.8981009,-0.35822976,0.14999999,0.0001,110738,-0.80694735,2700,-103.51333116838077,0.14999999,-1.7760928,27,0.14999999,-0.4591313,-0.105083205
100,-102.77478411376572,11,40.996071428571426,0.14999999,57.19495882438955,0.6323503214631199,3.7843869,-103.61382618776528,2.3390012,-0.35793996,0.14999999,0.0001,114789,-0.8071064,2800,-103.61382618776528,0.14999999,-2.127019,28,0.14999999,-0.45930254,-0.105065264
100,-102.69448903105774,11,40.99896551724138,0.14999999,57.19495882438955,0.6582369381128907,6.202767,-100.44622671523393,4.240547,-0.35813385,0.14999999,0.0001,118897,-0.8068725,2900,-100.44622671523393,0.14999999,-1.9964302,29,0.14999999,-0.45916316,-0.10488783
100,-102.69055473229297,11,40.852333333333334,0.14999999,57.19495882438955,0.6026720188472929,5.11702,-102.57646006811437,3.050512,-0.3577373,0.14999999,0.0001,122557,-0.80670756,3000,-102.57646006811437,0.14999999,-1.3003259,30,0.14999999,-0.4587391,-0.10503091
100,-102.72036161468759,11,40.81612903225806,0.14999999,57.19495882438955,0.5586864327890186,3.0107968,-103.61456808652638,2.9611318,-0.35797182,0.14999999,0.0001,126530,-0.8064477,3100,-103.61456808652638,0.14999999,-1.9651053,31,0.14999999,-0.45895416,-0.10472586
100,-102.67603891853305,11,40.7971875,0.14999999,57.19495882438955,1.9269604880022033,6.9735465,-101.30203533774205,5.0261145,-0.35794547,0.14999999,0.0001,130551,-0.8067438,3200,-101.30203533774205,0.14999999,-1.5328164,32,0.14999999,-0.45896822,-0.10468032
100,-102.64503434048859,11,40.68121212121212,0.14999999,57.19495882438955,0.5703130599861977,0.94426346,-101.65288784306644,0.82329196,-0.35747084,0.14999999,0.0001,134248,-0.8066681,3300,-101.65288784306644,0.14999999,-1.9133474,33,0.14999999,-0.45947084,-0.104731955
100,-102.6107881157435,11,40.58970588235294,0.14999999,57.19495882438955,0.6003912770497324,3.7193632,-101.48066269915586,2.2444205,-0.35748196,0.14999999,0.0001,138005,-0.8067504,3400,-101.48066269915586,0.14999999,-1.7227836,34,0.14999999,-0.4594276,-0.10471996
100,-102.60476241296837,11,40.638285714285715,0.14999999,57.19495882438955,0.9352811119793983,2.6343486,-102.39988851861374,1.672149,-0.3576807,0.14999999,0.0001,142234,-0.80652595,3500,-102.39988851861374,0.14999999,-1.992124,35,0.14999999,-0.45934182,-0.10492271
100,-102.65340807002286,11,40.5725,0.14999999,57.19495882438955,0.5263175751867092,2.5406115,-104.35600606692978,2.2632785,-0.35760486,0.14999999,0.0001,146061,-0.8063894,3600,-104.35600606692978,0.14999999,-1.7309302,36,0.14999999,-0.4591746,-0.10505326
100,-102.64798653327834,11,40.55216216216216,0.14999999,57.19495882438955,0.73764352059661,4.02859,-102.45281121047584,2.950897,-0.35737854,0.14999999,0.0001,150043,-0.80633074,3700,-102.45281121047584,0.14999999,-1.9719608,37,0.14999999,-0.45910004,-0.104987495
100,-102.63914434664335,11,40.517631578947366,0.14999999,57.19495882438955,0.3533740462144263,2.832119,-102.31198344114814,2.0067234,-0.35739833,0.14999999,0.0001,153967,-0.8066022,3800,-102.31198344114814,0.14999999,-1.5911677,38,0.14999999,-0.45939514,-0.10502145
100,-102.65507917268184,11,40.51461538461538,0.14999999,57.19495882438955,0.5702087281685345,2.7956314,-103.2606025621443,1.7455994,-0.3572834,0.14999999,0.0001,158007,-0.80680287,3900,-103.2606025621443,0.14999999,-2.2810779,39,0.14999999,-0.4595416,-0.104948744
100,-102.67308804099058,11,40.421,0.14999999,57.19495882438955,0.3925845034049935,3.2774205,-103.37543390503221,2.3577821,-0.35741144,0.14999999,0.0001,161684,-0.8069753,4000,-103.37543390503221,0.14999999,-1.4464725,40,0.14999999,-0.45950222,-0.104774185
100,-102.70984443906899,11,40.394390243902436,0.14999999,57.19495882438955,0.5652078590713301,6.1394296,-104.18010036220507,4.7543426,-0.3573804,0.14999999,0.0001,165617,-0.806813,4100,-104.18010036220507,0.14999999,-1.7751136,41,0.14999999,-0.45965877,-0.1045384
100,-102.71569123855198,11,40.445,0.14999999,57.19495882438955,0.49690859453327746,2.0310147,-102.95541001735482,1.4037148,-0.35690495,0.14999999,0.0001,169869,-0.8066487,4200,-102.95541001735482,0.14999999,-1.4545382,42,0.14999999,-0.4594785,-0.1042361
100,-102.74363595534072,11,40.33162790697674,0.14999999,57.19495882438955,0.39702163878530533,3.8179986,-103.9173140604684,2.7834935,-0.35676458,0.14999999,0.0001,173426,-0.80664074,4300,-103.9173140604684,0.14999999,-1.6925609,43,0.14999999,-0.45959073,-0.104141854
100,-102.7437914906757,11,40.36954545454545,0.14999999,57.19495882438955,0.6437133130018882,1.3713723,-102.75047951007899,1.2085788,-0.35667604,0.14999999,0.0001,177626,-0.8064039,4400,-102.75047951007899,0.14999999,-1.4381218,44,0.14999999,-0.4598691,-0.104207814
100,-102.73535151497462,11,40.50555555555555,0.14999999,57.19495882438955,1.3149855628417118,2.5787373,-102.36399258412698,2.181106,-0.3567969,0.14999999,0.0001,182275,-0.8063456,4500,-102.36399258412698,0.14999999,-1.2230924,45,0.14999999,-0.4598852,-0.104184456
100,-102.72679599585692,11,40.489782608695656,0.14999999,57.19495882438955,0.6207260038263553,4.8305855,-102.34179763556098,4.3529706,-0.35691956,0.14999999,0.0001,186253,-0.8062854,4600,-102.34179763556098,0.14999999,-2.032732,46,0.14999999,-0.4598694,-0.104402564
100,-102.79274663462317,11,40.58489361702128,0.14999999,57.19495882438955,14.216327796642643,4.375924,-105.82647601787028,3.170198,-0.35695642,0.14999999,0.0001,190749,-0.8061347,4700,-105.82647601787028,0.14999999,-1.8078079,47,0.14999999,-0.46001008,-0.104837865
100,-102.783975797565,11,40.674791666666664,0.14999999,57.19495882438955,0.9385244191121225,1.7410054,-102.37174645583076,0.9971085,-0.3568051,0.14999999,0.0001,195239,-0.80639523,4800,-102.37174645583076,0.14999999,-1.5983396,48,0.14999999,-0.4599957,-0.10515489
100,-102.7994137384876,11,40.652857142857144,0.14999999,57.19495882438955,0.4313834696112686,2.659496,-103.54043490277287,1.6551212,-0.3567229,0.14999999,0.0001,199199,-0.8062955,4900,-103.54043490277287,0.14999999,-1.242452,49,0.14999999,-0.460082,-0.10507639
100,-102.77551603747214,11,40.6952,0.14999999,57.19495882438955,0.7521028072430106,2.3273685,-101.60452868771537,2.0365882,-0.3568284,0.14999999,0.0001,203476,-0.80613,5000,-101.60452868771537,0.14999999,-1.2608091,50,0.14999999,-0.46018648,-0.104930475
