Iteration,InvPendulum_std3_higher,InvPendulum_mu3_higher,InvPendulum_mu0_higher,TimestepsSoFar,InvPendulum_std1_higher,InvPendulum_mu1_higher,NatGradInftyNorm,ReturnMax,ActionIn1,MinEpLen,AvgEpLen,J,InvPendulum_std0_higher,InvPendulum_mu2_higher,StepSize,InvPendulum_std2_higher,ReturnMean,BatchSize,NumTrajectories,AvgRet,NatGrad2Norm,VarJ
17,0.14999999,-1.2859633,-0.49310538,85501,0.14999999,-1.923317,2.3113132,53.15291408732283,-2.5485764,11,50.29470588235294,-111.92769662004817,0.14999999,0.9491957,0.1,0.14999999,-105.68462931866696,100,1700,-111.92769662004817,3.4172602,3.5570968740384155
18,0.14999999,-1.1504695,-0.54029393,90791,0.14999999,-2.1301253,4.470267,53.15291408732283,-2.2558951,11,50.43944444444445,-130.469613776064,0.14999999,1.1803269,0.1,0.14999999,-107.06157289963345,100,1800,-130.469613776064,5.699359,1.7738372489033987
19,0.14999999,-1.5974963,-0.23197195,95806,0.14999999,-2.1050422,1.9408022,53.15291408732283,-2.6420386,11,50.42421052631579,-106.42499752934833,0.14999999,1.0091473,0.1,0.14999999,-107.02806893277635,100,1900,-106.42499752934833,2.1545875,1.4043153266472934
20,0.14999999,-1.6043482,-0.42605215,100572,0.14999999,-2.1705122,3.0329924,53.15291408732283,-3.1402273,11,50.286,-109.1849663257109,0.14999999,1.075646,0.1,0.14999999,-107.13591380242306,100,2000,-109.1849663257109,4.064996,1.3380559684758464
21,0.14999999,-1.7875787,-0.62524295,107238,0.14999999,-2.171549,2.4291468,53.15291408732283,-3.9879565,11,51.065714285714286,-101.7349770594564,0.14999999,0.7723468,0.1,0.14999999,-106.87872633847228,100,2100,-101.7349770594564,3.2653491,1.3716338020978858
22,0.14999999,-1.6451275,-0.8681576,113806,0.14999999,-2.0519056,0.8948563,53.15291408732283,-3.6313124,11,51.73,-105.00450321040795,0.14999999,0.65828264,0.1,0.14999999,-106.79353437810573,100,2200,-105.00450321040795,1.2573712,2.8440598193229136
23,0.14999999,-1.5622016,-0.8709746,123304,0.14999999,-2.082196,2.2392151,107.69205255341994,-3.5890856,11,53.61043478260869,-100.7769027776419,0.14999999,0.568797,0.1,0.14999999,-106.53194169982469,100,2300,-100.7769027776419,2.9957964,9.84998913946874
24,0.14999999,-1.4315377,-0.8376792,133048,0.14999999,-1.9358215,3.0228267,122.66159174733978,-4.038239,11,55.43666666666667,-102.29073364914807,0.14999999,0.34487545,0.1,0.14999999,-106.35522469771315,100,2400,-102.29073364914807,4.402271,10.76095432251068
25,0.14999999,-1.3106191,-0.78894895,141110,0.14999999,-1.643539,3.088145,122.66159174733978,-2.987907,11,56.444,-100.1140607039397,0.14999999,0.64715815,0.1,0.14999999,-106.10557813796221,100,2500,-100.1140607039397,3.4473674,12.564158942825445
26,0.14999999,-1.2714934,-1.0977634,156686,0.14999999,-1.7916696,2.1782792,139.56033377550105,-3.6215694,11,60.26384615384615,-91.97475548131823,0.14999999,0.6452768,0.1,0.14999999,-105.56208495886051,100,2600,-91.97475548131823,2.8765998,31.369535210105795
27,0.14999999,-1.1002618,-1.0607027,192528,0.14999999,-2.0094976,20.122099,139.56033377550105,-3.6397502,11,71.30666666666667,-227.10304604581404,0.14999999,0.577413,0.1,0.14999999,-110.0636020361551,100,2700,-227.10304604581404,22.679396,177.21194312510914
28,0.14999999,-3.1124716,-0.19803625,195992,0.14999999,-1.4565353,2.1081703,139.56033377550105,-4.798423,11,69.99714285714286,-100.38171681649804,0.14999999,0.36622518,0.1,0.14999999,-109.71782042116736,100,2800,-100.38171681649804,3.626936,0.8500569692463681
29,0.14999999,-2.9016545,-0.4016002,199817,0.14999999,-1.2988266,4.1894155,139.56033377550105,-4.3590326,11,68.90241379310345,-100.15854953325736,0.14999999,0.5104212,0.1,0.14999999,-109.38819039054978,100,2900,-100.15854953325736,6.126987,0.65696188995667
30,0.14999999,-2.770675,0.017341346,202716,0.14999999,-0.89277387,2.8871853,139.56033377550105,-2.8414135,11,67.572,-103.80787556760042,0.14999999,0.3768052,0.1,0.14999999,-109.20217989645145,100,3000,-103.80787556760042,4.881629,0.5694847385428559
31,0.14999999,-2.4917483,-0.19413418,206281,0.14999999,-1.072837,2.7988234,139.56033377550105,-3.3302016,11,66.54225806451613,-101.87442929716651,0.14999999,0.66552377,0.1,0.14999999,-108.96580084486162,100,3100,-101.87442929716651,2.8181224,0.4297953952207225
32,0.14999999,-2.7716308,-0.18462904,208942,0.14999999,-1.0967939,5.321724,139.56033377550105,-3.171521,11,65.294375,-104.52650792075136,0.14999999,0.68601125,0.1,0.14999999,-108.82707294098316,100,3200,-104.52650792075136,6.934516,0.23887104151845914
33,0.14999999,-2.7452474,0.34754336,212213,0.14999999,-1.5361915,0.92560196,139.56033377550105,-3.4953506,11,64.3069696969697,-101.84772987884885,0.14999999,0.6235504,0.1,0.14999999,-108.61557769667606,100,3300,-101.84772987884885,1.0671101,0.5862639902511242
34,0.14999999,-2.8378077,0.32491308,215713,0.14999999,-1.4883351,2.164424,139.56033377550105,-3.376265,11,63.445,-100.27723384364677,0.14999999,0.6193682,0.1,0.14999999,-108.37033228923403,100,3400,-100.27723384364677,3.682197,0.7560515977431108
35,0.14999999,-2.6213653,0.13439916,219162,0.14999999,-1.4030415,1.8700691,139.56033377550105,-3.7468195,11,62.617714285714285,-100.85793553020527,0.14999999,0.40684086,0.1,0.14999999,-108.15569238183322,100,3500,-100.85793553020527,2.841715,0.48057164478581876
36,0.14999999,-2.4825976,0.23490766,222823,0.14999999,-1.2160345,2.3012438,139.56033377550105,-3.1877456,11,61.89527777777778,-99.87497648203458,0.14999999,0.27868688,0.1,0.14999999,-107.92567249572768,100,3600,-99.87497648203458,2.4183831,0.8292694295449964
37,0.14999999,-2.4307022,0.46503204,226119,0.14999999,-1.1679722,2.8988726,139.56033377550105,-3.0761971,11,61.11324324324325,-101.43858247122152,0.14999999,0.301609,0.1,0.14999999,-107.75034573830861,100,3700,-101.43858247122152,3.6782744,0.618181741837171
38,0.14999999,-2.6537845,0.45867077,229776,0.14999999,-1.4578595,2.164924,139.56033377550105,-3.2522755,11,60.46736842105263,-99.19307003051645,0.14999999,0.26344854,0.1,0.14999999,-107.52515427231407,100,3800,-99.19307003051645,2.807824,0.6253556259240498
39,0.14999999,-2.870277,0.56702906,233129,0.14999999,-1.5857668,1.5353806,139.56033377550105,-4.1158743,11,59.776666666666664,-100.5222519640132,0.14999999,0.32564172,0.1,0.14999999,-107.34559267466533,100,3900,-100.5222519640132,2.6089833,0.770576781493094
40,0.14999999,-3.023815,0.43543205,236704,0.14999999,-1.5250566,2.0606017,139.56033377550105,-3.352341,11,59.176,-100.33488298944002,0.14999999,0.47890782,0.1,0.14999999,-107.1703249325347,100,4000,-100.33488298944002,3.0116742,0.9227488265360266
41,0.14999999,-2.8637073,0.4779795,240062,0.14999999,-1.6692657,4.522991,139.56033377550105,-3.4167485,11,58.55170731707317,-100.92602248391131,0.14999999,0.684968,0.1,0.14999999,-107.01802487281218,100,4100,-100.92602248391131,5.924779,0.46689227006133366
42,0.14999999,-2.7064655,0.93027866,243664,0.14999999,-1.483539,1.3020803,139.56033377550105,-2.0066705,11,58.0152380952381,-103.03221117651923,0.14999999,0.9803257,0.1,0.14999999,-106.92312454670996,100,4200,-103.03221117651923,2.0098321,0.3228414552439549
43,0.14999999,-2.6897788,1.0604867,246958,0.14999999,-1.6011662,2.5603747,139.56033377550105,-2.1189868,11,57.43209302325582,-103.59084690299737,0.14999999,1.0768944,0.1,0.14999999,-106.84562971778642,100,4300,-103.59084690299737,3.6046855,0.30545252395294253
44,0.14999999,-2.4555635,1.1296626,250696,0.14999999,-1.8572037,1.2646579,139.56033377550105,-1.8860245,11,56.97636363636364,-102.20898231690829,0.14999999,1.0080451,0.1,0.14999999,-106.74025136776646,100,4400,-102.20898231690829,1.4097353,0.3721889592836158
45,0.14999999,-2.405661,1.0031968,254899,0.14999999,-1.8209814,2.5453322,139.56033377550105,-1.7024696,11,56.644222222222226,-101.33502398332261,0.14999999,1.0168566,0.1,0.14999999,-106.62013520366772,100,4500,-101.33502398332261,2.8813133,0.35510238629015106
46,0.14999999,-2.3716016,0.8870144,259139,0.14999999,-1.7611977,4.4881773,139.56033377550105,-2.7887168,11,56.3345652173913,-101.21256075720288,0.14999999,0.7623233,0.1,0.14999999,-106.50257923744022,100,4600,-101.21256075720288,4.84441,0.39257560317395906
47,0.14999999,-2.2331088,0.8628466,262838,0.14999999,-1.877307,1.8312061,139.56033377550105,-3.0139322,11,55.922978723404256,-100.64349100684183,0.14999999,0.3135056,0.1,0.14999999,-106.37791778572536,100,4700,-100.64349100684183,2.3517118,0.45580211680946947
48,0.14999999,-2.2349865,1.0098181,266931,0.14999999,-1.890276,1.0244533,139.56033377550105,-2.8550482,11,55.610625,-99.01612803260295,0.14999999,0.13038498,0.1,0.14999999,-106.22454716586863,100,4800,-99.01612803260295,1.7083075,0.6305028433835115
49,0.14999999,-2.1425188,1.1122634,271074,0.14999999,-1.980871,1.8354691,139.56033377550105,-2.351081,11,55.32122448979592,-98.80293598419739,0.14999999,0.17432082,0.1,0.14999999,-106.07308571318147,100,4900,-98.80293598419739,2.4635835,0.6172743730713873
50,0.14999999,-1.9589719,1.0272549,275451,0.14999999,-2.0545342,2.0403776,139.56033377550105,-2.2248716,11,55.0902,-100.10042416156672,0.14999999,0.29411334,0.1,0.14999999,-105.95363248214917,100,5000,-100.10042416156672,2.45205,0.5631076116468826
