NatGrad2Norm,VarJ,InvPendulum_mu2_higher,AvgEpLen,Iteration,InvPendulum_mu0_higher,ReturnMax,InvPendulum_std3_higher,ReturnMean,InvPendulum_mu3_higher,NatGradInftyNorm,MinEpLen,InvPendulum_std2_higher,StepSize,AvgRet,NumTrajectories,J,BatchSize,InvPendulum_std1_higher,InvPendulum_mu1_higher,InvPendulum_std0_higher,ActionIn1,TimestepsSoFar
2.608529,0.7608578423176837,0.5612615,29.3592,25,0.28020683,-78.84007062967783,0.14999999,-119.37109076699531,-0.24572186,1.5622673,11,0.14999999,0.0001,-119.0027697299953,2500,-119.0027697299953,100,0.14999999,-0.73770255,0.14999999,-0.32839274,73398
3.7673156,1.141794092580944,0.5611295,29.391923076923078,26,0.28036305,-78.84007062967783,0.14999999,-119.33533894628745,-0.24557112,3.2677174,11,0.14999999,0.0001,-118.44154342859132,2600,-118.44154342859132,100,0.14999999,-0.7377616,0.14999999,0.11946496,76419
2.85685,0.8803731332105563,0.56111366,29.353703703703705,27,0.28054672,-78.84007062967783,0.14999999,-119.29139161540311,-0.24524435,2.277034,11,0.14999999,0.0001,-118.14876101241012,2700,-118.14876101241012,100,0.14999999,-0.7377275,0.14999999,0.18322057,79255
4.0766716,1.42434974433803,0.5609835,29.332857142857144,28,0.28043807,-78.84007062967783,0.14999999,-119.30807193857115,-0.24527612,2.9225564,11,0.14999999,0.0001,-119.75844066410785,2800,-119.75844066410785,100,0.14999999,-0.73749983,0.14999999,-0.19589919,82132
3.7890809,0.6954527061519648,0.5610761,29.29758620689655,29,0.28017092,-78.84007062967783,0.14999999,-119.28536757088459,-0.24524727,3.5809548,11,0.14999999,0.0001,-118.6496452756615,2900,-118.6496452756615,100,0.14999999,-0.7372076,0.14999999,-0.244095,84963
2.4895356,0.7692658477039863,0.5610466,29.32133333333333,30,0.28009924,-78.84007062967783,0.14999999,-119.27833739279833,-0.24560536,1.9377401,11,0.14999999,0.0001,-119.07446222829671,3000,-119.07446222829671,100,0.14999999,-0.737111,0.14999999,0.19885343,87964
5.2103567,1.5656495833545154,0.5612404,29.37548387096774,31,0.28005692,-78.84007062967783,0.14999999,-119.36222928036547,-0.24549574,3.053598,11,0.14999999,0.0001,-121.87898590737925,3100,-121.87898590737925,100,0.14999999,-0.737214,0.14999999,0.15194052,91064
1.4759513,1.1645094591979934,0.5615244,29.3621875,32,0.28013182,-78.84007062967783,0.14999999,-119.37007605181174,-0.24579899,0.9855551,11,0.14999999,0.0001,-119.61332596664651,3200,-119.61332596664651,100,0.14999999,-0.7369087,0.14999999,-0.22276258,93959
4.2626777,0.8660677783278342,0.5616102,29.37939393939394,33,0.28023037,-78.84007062967783,0.14999999,-119.38050687297671,-0.24573053,3.8971436,11,0.14999999,0.0001,-119.71429315025553,3300,-119.71429315025553,100,0.14999999,-0.7369132,0.14999999,-0.098868236,96952
2.5249062,1.1466679334068832,0.5619999,29.381470588235295,34,0.28030306,-78.84007062967783,0.14999999,-119.37856751009933,-0.24576826,2.105717,11,0.14999999,0.0001,-119.31456853514618,3400,-119.31456853514618,100,0.14999999,-0.73676115,0.14999999,0.39654124,99897
2.455527,0.8822832005013278,0.56197464,29.387428571428572,35,0.28051364,-78.84007062967783,0.14999999,-119.37663933582729,-0.24563125,2.098654,11,0.14999999,0.0001,-119.31108141057744,3500,-119.31108141057744,100,0.14999999,-0.73676234,0.14999999,-0.6145967,102856
7.3499885,0.8587186902551344,0.5621845,29.401666666666667,36,0.28043088,-78.84007062967783,0.14999999,-119.42641701343818,-0.24555908,6.0625753,11,0.14999999,0.0001,-121.16863572982007,3600,-121.16863572982007,100,0.14999999,-0.73669755,0.14999999,-0.11201838,105846
4.759978,1.1330980697861712,0.5620773,29.395945945945947,37,0.28073385,-78.84007062967783,0.14999999,-119.45196817121725,-0.24582247,4.4770045,11,0.14999999,0.0001,-120.37180985126291,3700,-120.37180985126291,100,0.14999999,-0.7360913,0.14999999,-0.40659758,108765
3.8810592,0.839568604035279,0.562525,29.40921052631579,38,0.28083566,-78.84007062967783,0.14999999,-119.46403252703016,-0.24572688,3.3990781,11,0.14999999,0.0001,-119.91041369210784,3800,-119.91041369210784,100,0.14999999,-0.73600984,0.14999999,0.13544603,111755
3.0755327,0.9104856373164956,0.56266534,29.422307692307694,39,0.2807167,-78.84007062967783,0.14999999,-119.49717754117515,-0.24569184,2.2824526,11,0.14999999,0.0001,-120.75668807868456,3900,-120.75668807868456,100,0.14999999,-0.7356699,0.14999999,-0.42408568,114747
7.154495,0.8639434126219706,0.5627498,29.3845,40,0.28088835,-78.84007062967783,0.14999999,-119.50604698317673,-0.24592008,6.6053076,11,0.14999999,0.0001,-119.85195522123871,4000,-119.85195522123871,100,0.14999999,-0.73559314,0.14999999,0.09780504,117538
4.273708,0.8126440442925209,0.56276953,29.364146341463414,41,0.28097072,-78.84007062967783,0.14999999,-119.46213725696848,-0.2465806,3.3195965,11,0.14999999,0.0001,-117.7057482086379,4100,-117.7057482086379,100,0.14999999,-0.7358547,0.14999999,0.40680408,120393
6.3825455,0.787512198563899,0.5626195,29.4,42,0.2810025,-78.84007062967783,0.14999999,-119.44892396913464,-0.24624865,3.9535584,11,0.14999999,0.0001,-118.90717916794819,4200,-118.90717916794819,100,0.14999999,-0.7360759,0.14999999,-0.58784753,123480
3.9939852,0.8466392575079996,0.5630055,29.428372093023256,43,0.28139785,-78.84007062967783,0.14999999,-119.46787563643282,-0.24627934,2.7531407,11,0.14999999,0.0001,-120.26384566295619,4300,-120.26384566295619,100,0.14999999,-0.7363939,0.14999999,-0.44863892,126542
2.8500743,0.8290120030837709,0.5632808,29.425454545454546,44,0.28161436,-78.84007062967783,0.14999999,-119.43503655774526,-0.24617568,1.9916635,11,0.14999999,0.0001,-118.02295617418075,4400,-118.02295617418075,100,0.14999999,-0.7362324,0.14999999,0.4863203,129472
5.8291593,1.1385488679277471,0.56318796,29.415111111111113,45,0.28177342,-78.84007062967783,0.14999999,-119.42556832318937,-0.24626313,4.1150746,11,0.14999999,0.0001,-119.0089660027292,4500,-119.0089660027292,100,0.14999999,-0.73603326,0.14999999,-0.029673979,132368
1.6630769,0.996588782312886,0.56359947,29.408478260869565,46,0.28160366,-78.84007062967783,0.14999999,-119.42165749907286,-0.24611636,1.0492593,11,0.14999999,0.0001,-119.24567041383087,4600,-119.24567041383087,100,0.14999999,-0.7363798,0.14999999,0.05406937,135279
2.5301304,1.1579649013680626,0.5636793,29.407659574468084,47,0.28149873,-78.84007062967783,0.14999999,-119.41583054630759,-0.2460356,2.1251547,11,0.14999999,0.0001,-119.14779071910466,4700,-119.14779071910466,100,0.14999999,-0.73644114,0.14999999,-0.2069427,138216
1.5961102,0.7934304608024277,0.5637361,29.37875,48,0.28171125,-78.84007062967783,0.14999999,-119.42556550445799,-0.24603577,1.1156696,11,0.14999999,0.0001,-119.88310853752671,4800,-119.88310853752671,100,0.14999999,-0.73631614,0.14999999,0.80349416,141018
5.228147,1.0094050038535856,0.5636245,29.376326530612246,49,0.28164253,-78.84007062967783,0.14999999,-119.43126085954148,-0.24594465,3.3398306,11,0.14999999,0.0001,-119.70463790354937,4900,-119.70463790354937,100,0.14999999,-0.7363178,0.14999999,-0.5323796,143944
2.4340777,0.8756421152828469,0.56395847,29.3718,50,0.28137916,-78.84007062967783,0.14999999,-119.42051288435675,-0.24615382,1.7090199,11,0.14999999,0.0001,-118.89386210030513,5000,-118.89386210030513,100,0.14999999,-0.7360972,0.14999999,0.03055054,146859
