InvPendulum_mu3_higher,ReturnMax,InvPendulum_std2_higher,InvPendulum_std1_higher,InvPendulum_mu2_higher,InvPendulum_std0_higher,StepSize,NumTrajectories,InvPendulum_mu0_higher,ActionIn1,AvgRet,MinEpLen,ReturnMean,BatchSize,NatGradInftyNorm,Iteration,TimestepsSoFar,InvPendulum_std3_higher,AvgEpLen,J,InvPendulum_mu1_higher,VarJ,NatGrad2Norm
0.3223918,-104.29957507885977,0.14999999,0.14999999,-0.5048961,0.14999999,0.001,1500,-0.1649265,-0.9942546,-149.10689251326124,12,-179.4757060937705,100,3.7098641,15,153426,0.14999999,102.284,-149.10689251326124,-0.83485013,44.707939161584385,5.610969
0.31981087,-104.29957507885977,0.14999999,0.14999999,-0.50860596,0.14999999,0.001,1600,-0.16229804,-1.4430785,-147.7277183618213,12,-177.4914568605237,100,7.299439,16,159385,0.14999999,99.615625,-147.7277183618213,-0.832813,43.886944866346596,8.627398
0.31809297,-104.29957507885977,0.14999999,0.14999999,-0.5159054,0.14999999,0.001,1700,-0.16244683,-0.6054294,-143.3464088506848,12,-175.4829246246508,100,4.7476873,17,164839,0.14999999,96.96411764705883,-143.3464088506848,-0.82854956,24.984343363224493,7.271679
0.3180967,-103.65075042259099,0.14999999,0.14999999,-0.52065307,0.14999999,0.001,1800,-0.15779577,-0.7135653,-140.2332388315112,12,-173.52460874725412,100,2.2462683,18,169943,0.14999999,94.41277777777778,-140.2332388315112,-0.82559925,29.44588562889594,2.7873168
0.31938833,-103.65075042259099,0.14999999,0.14999999,-0.5215935,0.14999999,0.001,1900,-0.1555495,-0.9123627,-134.8028508765334,12,-171.48662149090043,100,2.3113766,19,174371,0.14999999,91.77421052631578,-134.8028508765334,-0.8260124,19.47510325296517,3.4437892
0.31858104,-103.65075042259099,0.14999999,0.14999999,-0.52390486,0.14999999,0.001,2000,-0.15742749,-1.1408594,-145.07571642927707,12,-170.16607623781928,100,7.1116667,20,180145,0.14999999,90.0725,-145.07571642927707,-0.8244831,38.572180324776824,7.8970127
0.31776085,-103.65075042259099,0.14999999,0.14999999,-0.5310165,0.14999999,0.001,2100,-0.15417396,-0.73459136,-138.69923997910587,12,-168.66765546359483,100,2.742355,21,185081,0.14999999,88.13380952380952,-138.69923997910587,-0.82521033,29.89647798703313,3.258552
0.31866965,-103.65075042259099,0.14999999,0.14999999,-0.5337589,0.14999999,0.001,2200,-0.15341316,-0.80565786,-132.82202324882934,12,-167.03830854474182,100,3.351266,22,189430,0.14999999,86.10454545454546,-132.82202324882934,-0.8239092,13.114147447660777,4.7686934
0.32202092,-103.65075042259099,0.14999999,0.14999999,-0.5352022,0.14999999,0.001,2300,-0.15415424,-0.95532,-140.77287073563576,12,-165.8963329878242,100,5.464499,23,194589,0.14999999,84.60391304347826,-140.77287073563576,-0.8209298,36.650537198137286,6.6859674
0.32484797,-103.65075042259099,0.14999999,0.14999999,-0.5406667,0.14999999,0.001,2400,-0.1530156,-0.9066442,-141.41960690398284,12,-164.87646940099745,100,5.370344,24,199923,0.14999999,83.30125,-141.41960690398284,-0.8185734,38.070154443497756,6.018722
0.32264167,-103.65075042259099,0.14999999,0.14999999,-0.546037,0.14999999,0.001,2500,-0.15145619,-1.4342291,-135.21177071283807,12,-163.68988145347106,100,4.455841,25,204610,0.14999999,81.844,-135.21177071283807,-0.81828195,17.46652846049905,5.3857226
0.32121423,-103.65075042259099,0.14999999,0.14999999,-0.54376537,0.14999999,0.001,2600,-0.14700036,-1.2506905,-135.3922839252316,12,-162.60151231776956,100,3.1477365,26,209206,0.14999999,80.46384615384615,-135.3922839252316,-0.8168843,15.981010556013691,4.225837
0.32179892,-103.65075042259099,0.14999999,0.14999999,-0.5469131,0.14999999,0.001,2700,-0.14482072,-1.0248739,-137.87949290501612,12,-161.68588196914905,100,5.539409,27,214203,0.14999999,79.33444444444444,-137.87949290501612,-0.8151941,21.626493139822617,7.497159
0.32733834,-103.65075042259099,0.14999999,0.14999999,-0.5518386,0.14999999,0.001,2800,-0.1450565,-1.5760531,-143.22042182839238,12,-161.0264012498363,100,5.6167636,28,220076,0.14999999,78.59857142857143,-143.22042182839238,-0.81409574,44.64866216086157,8.311625
0.32593358,-103.65075042259099,0.14999999,0.14999999,-0.55745536,0.14999999,0.001,2900,-0.13988578,-1.1231114,-128.15809227806184,12,-159.89301128529237,100,3.0530431,29,223686,0.14999999,77.13310344827586,-128.15809227806184,-0.811125,2.5773208953002524,3.544646
0.32288054,-102.9844929247892,0.14999999,0.14999999,-0.555771,0.14999999,0.001,3000,-0.1392623,-0.783389,-131.44330163454651,11,-158.9446876302675,100,3.392204,30,227731,0.14999999,75.91033333333333,-131.44330163454651,-0.8109922,17.788792042677905,3.6302493
0.31948835,-102.9844929247892,0.14999999,0.14999999,-0.55533606,0.14999999,0.001,3100,-0.13827743,-1.3494306,-129.57809125203354,11,-157.9973780696793,100,2.0404181,31,231493,0.14999999,74.67516129032258,-129.57809125203354,-0.8117081,2.92766846372736,2.986134
0.31812495,-102.9844929247892,0.14999999,0.14999999,-0.5573765,0.14999999,0.001,3200,-0.1390971,-1.3901483,-134.4134929365249,11,-157.26038165926826,100,5.0831966,32,235903,0.14999999,73.7196875,-134.4134929365249,-0.81021714,16.749564787123468,8.1071825
0.32289368,-102.9844929247892,0.14999999,0.14999999,-0.5610714,0.14999999,0.001,3300,-0.13722771,-1.6359944,-125.76047925552264,11,-156.30583916218507,100,1.9828244,33,239398,0.14999999,72.54484848484849,-125.76047925552264,-0.80513394,2.3390626097016725,2.0576801
0.32244152,-102.9844929247892,0.14999999,0.14999999,-0.5612252,0.14999999,0.001,3400,-0.13921054,-1.2184784,-136.25986404067814,11,-155.7162516586113,100,4.152383,34,244391,0.14999999,71.87970588235294,-136.25986404067814,-0.8048613,30.815547460919056,5.8523006
0.32517594,-102.9844929247892,0.14999999,0.14999999,-0.5635644,0.14999999,0.001,3500,-0.13505815,-1.5290637,-127.96742382696644,11,-154.9234280062786,100,3.8394437,35,247954,0.14999999,70.844,-127.96742382696644,-0.80687577,2.8461054715800667,4.2757783
0.32573745,-102.9844929247892,0.14999999,0.14999999,-0.5650934,0.14999999,0.001,3600,-0.13600042,-1.3543468,-137.74134897725943,11,-154.4461480332503,100,6.932327,36,253106,0.14999999,70.30722222222222,-137.74134897725943,-0.80303633,28.895635745377874,9.135056
0.33086628,-102.9844929247892,0.14999999,0.14999999,-0.5720257,0.14999999,0.001,3700,-0.1335357,-1.1385111,-138.2575161114219,11,-154.00861744076843,100,5.396301,37,258544,0.14999999,69.87675675675676,-138.2575161114219,-0.80130076,36.16316334087283,6.1127567
0.33333227,-102.9844929247892,0.14999999,0.14999999,-0.577422,0.14999999,0.001,3800,-0.13227087,-0.5351369,-130.84813712979175,11,-153.3991311167954,100,3.6119537,38,262894,0.14999999,69.18263157894737,-130.84813712979175,-0.8005492,17.664039313336943,3.9956775
0.33424905,-102.9844929247892,0.14999999,0.14999999,-0.5787606,0.14999999,0.001,3900,-0.1317353,-1.3050789,-127.31441343888771,11,-152.73029220197722,100,2.9434655,39,266429,0.14999999,68.3151282051282,-127.31441343888771,-0.8041612,2.9492667530312673,3.582362
0.33319536,-102.9844929247892,0.14999999,0.14999999,-0.5817041,0.14999999,0.001,4000,-0.1316755,-1.1512711,-132.3297330011157,11,-152.2202782219557,100,4.1296635,40,270604,0.14999999,67.651,-132.3297330011157,-0.80590916,25.134891400584696,4.6077967
0.33220172,-102.9844929247892,0.14999999,0.14999999,-0.5858337,0.14999999,0.001,4100,-0.12999468,-0.75985414,-125.58306055826843,11,-151.570589986256,100,1.8649391,41,273919,0.14999999,66.80951219512195,-125.58306055826843,-0.8065134,2.9954354499703855,2.5815263
0.33221436,-102.9844929247892,0.14999999,0.14999999,-0.5847782,0.14999999,0.001,4200,-0.13143408,-0.89561254,-135.1184912520078,11,-151.17887334972627,100,8.693787,42,278434,0.14999999,66.29380952380953,-135.1184912520078,-0.8046485,27.286848573611106,8.830792
0.3315365,-102.9844929247892,0.14999999,0.14999999,-0.593472,0.14999999,0.001,4300,-0.13274533,-0.6096262,-128.6650564877435,11,-150.6552962134011,100,2.7546856,43,282241,0.14999999,65.63744186046512,-128.6650564877435,-0.8051198,9.647069133598286,3.3564694
0.33215746,-102.9844929247892,0.14999999,0.14999999,-0.59363955,0.14999999,0.001,4400,-0.13093868,-1.0728726,-133.70176538260657,11,-150.2699886945194,100,3.1468928,44,286550,0.14999999,65.125,-133.70176538260657,-0.8023651,27.687336126238428,4.668926
0.3315248,-102.9844929247892,0.14999999,0.14999999,-0.596388,0.14999999,0.001,4500,-0.12895332,-1.8646255,-127.30017913173374,11,-149.75954848201306,100,4.148571,45,290061,0.14999999,64.458,-127.30017913173374,-0.79921824,2.672618741561514,4.336225
0.332011,-102.9844929247892,0.14999999,0.14999999,-0.6005365,0.14999999,0.001,4600,-0.12778945,-1.1767868,-122.55918035198756,11,-149.16823613136035,100,1.4514997,46,293083,0.14999999,63.71369565217391,-122.55918035198756,-0.7992525,1.7337791445447257,1.8526456
0.33306786,-102.9844929247892,0.14999999,0.14999999,-0.59908503,0.14999999,0.001,4700,-0.12789592,-1.711504,-127.90527686999691,11,-148.71583274282068,100,3.6236115,47,296723,0.14999999,63.132553191489365,-127.90527686999691,-0.79969656,2.8997842901526427,5.3162966
0.3324935,-102.9844929247892,0.14999999,0.14999999,-0.602164,0.14999999,0.001,4800,-0.12558885,-0.62097406,-124.81781917683885,11,-148.21795746019606,100,3.0289648,48,299937,0.14999999,62.486875,-124.81781917683885,-0.79607296,2.6324147338679142,3.7317023
0.33266133,-102.9844929247892,0.14999999,0.14999999,-0.6042707,0.14999999,0.001,4900,-0.12612234,-1.0450891,-125.47681108855106,11,-147.7538524322033,100,2.7655518,49,303249,0.14999999,61.88755102040816,-125.47681108855106,-0.793044,2.9575227281904377,4.149818
0.33325312,-102.9844929247892,0.14999999,0.14999999,-0.60703623,0.14999999,0.001,5000,-0.12748337,-1.3643492,-131.68407686299346,11,-147.43245692081913,100,6.2565165,50,307327,0.14999999,61.4654,-131.68407686299346,-0.79032916,27.81610936618858,8.316509
