Delta,ReturnMin,DenMISELogLast,ReturnLastEpisode,LQGmu1_actor,TimestepsSoFar,LQGmu1_higher,IWLastEpisode,ReturnAbsMax,IWMean,IWFirstEpisode,Bound,IWMin,Iteration,IWMax,Regret/t,ReturnStepMax,Regret,ReturnMax,LQGsigma_higher,TimeElapsed,DenMISEMeanLog,DenMISELogFirst,ReturnMean
3.6164613e-07,,-0.6079653,0.91448283,-0.22643577,820,-0.11111111,3.1937083e-07,0.922595,0.8737188,5.5092144,3.5813975,,41,5.9709783,0.30386955,0.9671884,12.458651,0.922595,0.14999999,27.796129941940308,-0.9129932,-0.7844698,0.6612505
3.4462983e-07,,-0.6587317,0.8992546,0.36342952,840,0.33333334,0.0048623616,0.922595,0.9965755,0.022851054,3.5658612,,42,7.179627,0.2982028,0.9671884,12.524519,0.922595,0.14999999,28.250094175338745,-0.91057515,-0.6824889,0.6669172
3.2878697e-07,,-0.88645357,0.4208208,-0.31873137,860,-0.35353535,7.0602364e-05,0.922595,1.0686269,2.3712451,3.5300806,,43,5.257195,0.303926,0.9671884,13.068817,0.922595,0.14999999,28.706156730651855,-0.9110494,-0.7054755,0.661194
3.140119e-07,,-0.5869111,0.9116622,1.0023743,880,0.8181818,1.603674e-12,0.922595,0.7629675,2.862349e-09,3.523177,,44,8.666982,0.2982335,0.9671884,13.122276,0.922595,0.14999999,29.1607506275177,-0.90298516,-0.6747866,0.6668865
3.0021093e-07,,-1.3027946,0.009642332,-0.963489,900,-0.8181818,1.0072468e-31,0.922595,1.0996789,0.00036705376,3.5004306,,45,5.0833044,0.3128389,0.9671884,14.077751,0.922595,0.14999999,29.617908239364624,-0.917791,-0.6972595,0.6522811
2.8730017e-07,,-0.6362565,0.9153708,-1.1045088,920,-1.0,4.8783865,0.922595,1.1937246,8.9193844e-07,3.4517524,,46,7.325517,0.30711955,0.9671884,14.127499,0.922595,0.14999999,30.15368342399597,-0.9102667,-0.71923023,0.65800047
2.7520463e-07,,-1.0386529,0.9088286,0.5991444,940,0.5151515,3.6179737e-25,0.922595,1.1858591,0.00021324196,3.407093,,47,7.38414,0.3017828,0.9671884,14.183792,0.922595,0.14999999,30.61461305618286,-0.9099336,-0.7407364,0.66333723
2.6385726e-07,,-0.9321729,0.31335637,-0.36625192,960,-0.23232323,1.4373284e-06,0.922595,1.0509953,5.0948415,3.388879,,48,5.40605,0.30907404,0.9671884,14.835554,0.922595,0.14999999,31.075509548187256,-0.90769595,-0.76178527,0.656046
2.531974e-07,,-0.62768275,0.9151948,-0.7601609,980,-0.5555556,2.2468095,0.922595,0.78627825,0.16654767,3.3873305,,49,4.82774,0.30378526,0.9671884,14.885479,0.922595,0.14999999,31.534456491470337,-0.9015953,-0.6815258,0.66133475
2.4317083e-07,,-0.6121148,0.921252,-0.9320264,1000,-1.0,1.3661711,0.922595,1.2219815,8.7349474e-07,3.3374226,,50,6.8685994,0.29858696,0.9671884,14.929348,0.922595,0.14999999,31.996474266052246,-0.9003078,-0.69833535,0.66653305
