DenMISELogLast,IWLastEpisode,LQGsigma_higher,IWFirstEpisode,IWMax,LQGmu1_higher,Regret/t,IWMin,ReturnMax,Delta,DenMISEMeanLog,LQGmu1_actor,ReturnMean,TimeElapsed,TimestepsSoFar,ReturnStepMax,DenMISELogFirst,ReturnAbsMax,Regret,IWMean,ReturnMin,Bound,Iteration,ReturnLastEpisode
-0.5449054,0.42485824,0.14999999,0.0010642107,5.0397854,-0.4949495,0.27789092,,0.9347324,1.4388809e-07,-0.91805935,-0.39064902,0.6872291,51.206562519073486,1300,0.9787392,-0.8742873,0.9347324,18.062908,0.79602736,,3.078102,65,0.9321828
-0.65393126,4.136746,0.14999999,0.120043494,5.1244254,-0.2929293,0.27421892,,0.9347324,1.3956085e-07,-0.91730076,0.008902818,0.6909011,51.99328827857971,1320,0.9787392,-0.8895384,0.9347324,18.09845,1.0707866,,3.0718253,66,0.9295875
-0.8783856,9.60951e-10,0.14999999,3.0112566e-12,6.5421453,-1.0,0.27502817,,0.9347324,1.3542595e-07,-0.9160598,-0.79704773,0.69009185,52.78314447402954,1340,0.9787392,-0.9027591,0.9347324,18.426888,1.1844453,,3.0345507,67,0.6366787
-0.57158107,2.429623e-06,0.14999999,4.81951,6.4970636,0.01010101,0.27147442,,0.9347324,1.3147212e-07,-0.9087635,0.0690156,0.6936456,53.56445288658142,1360,0.9787392,-0.91757417,0.9347324,18.460258,0.9280898,,3.0353632,68,0.9317479
-0.84288317,0.032083724,0.14999999,0.11421145,7.3210597,0.5555556,0.27406204,,0.9347324,1.2768895e-07,-0.9091268,0.5961519,0.691058,54.624879360198975,1380,0.9787392,-0.86369675,0.9347324,18.910286,0.9877812,,3.0239,69,0.5150996
-1.0256435,5.3978064e-16,0.14999999,1.5650082e-06,5.334013,-0.6969697,0.2792979,,0.9347324,1.2406676e-07,-0.9113661,-0.77383274,0.6858221,55.15972971916199,1400,0.9787392,-0.87643164,0.9347324,19.550854,0.9164655,,3.0196269,70,0.32454714
-0.57644516,2.0346568e-30,0.14999999,3.2972468e-07,16.97191,1.0,0.27581936,,0.9347324,1.2059652e-07,-0.90805453,0.93585354,0.68930066,55.74246573448181,1420,0.9787392,-0.89061624,0.9347324,19.583176,0.77942604,,2.9935546,71,0.9327967
-1.220819,1.829744e-29,0.14999999,1.3445102e-08,4.6828265,-0.8181818,0.2842583,,0.9347324,1.1726989e-07,-0.91612655,-1.0963314,0.6808617,56.460193395614624,1440,0.9787392,-0.90460247,0.9347324,20.466595,1.075216,,2.982123,72,0.0817022
-0.9892423,2.1452815e-16,0.14999999,5.7498655,6.7980146,0.21212122,0.2809252,,0.9347324,1.1407902e-07,-0.916363,0.3249648,0.6841948,57.49950075149536,1460,0.9787392,-0.9183958,0.9347324,20.507538,1.2680417,,2.983379,73,0.92417246
-0.9052728,7.5050944e-17,0.14999999,2.8742217e-12,6.5544868,-1.0,0.28418934,,0.9347324,1.1101664e-07,-0.9130772,-0.86549234,0.6809307,58.4710738658905,1480,0.9787392,-0.85618436,0.9347324,21.030014,1.1782575,,2.941055,74,0.4426512
-0.48452565,5.1942578e-05,0.14999999,1.0813061,5.718506,-0.15151516,0.28085345,,0.9347324,1.0807592e-07,-0.90537393,-0.41868743,0.68426657,59.51866316795349,1500,0.9787392,-0.8696073,0.9347324,21.06401,0.8987441,,2.930946,75,0.9311212
-0.71752805,5.4209037,0.14999999,0.00525959,5.4209037,-0.43434343,0.277582,,0.9347324,1.0525054e-07,-0.9044257,-0.60112154,0.687538,60.5976996421814,1520,0.9787392,-0.8685381,0.9347324,21.09623,0.8877161,,2.9458814,76,0.9329015
-0.70184475,5.3387923,0.14999999,2.6585418e-05,5.3387923,-0.61616164,0.27439904,,0.9347324,1.02534514e-07,-0.9034325,-0.72952044,0.690721,61.58193516731262,1540,0.9787392,-0.881541,0.9347324,21.128723,0.86406004,,2.921317,77,0.93262297
