TimestepsSoFar,ReturnMax,Regret/t,IWMean,Iteration,ReturnMin,ReturnAbsMax,IWMin,DenMISELogFirst,ReturnMean,IWFirstEpisode,ReturnStepMax,Delta,LQGmu1_higher,TimeElapsed,LQGmu1_actor,IWMax,Regret,ReturnLastEpisode,LQGsigma_higher,DenMISEMeanLog,Bound,DenMISELogLast,IWLastEpisode
220,0.94422543,0.29388267,1.00393,11,,0.94422543,,-0.5775396,0.67123735,1.4520379e-05,0.9877794,5.0241906e-06,0.85858583,5.742709398269653,0.73708373,8.153508,3.23271,0.94163436,0.14999999,-0.81996673,6.5080714,-0.43254584,3.853665e-17
240,0.94422543,0.32918006,0.6570334,12,,0.94422543,,-0.66454965,0.63593996,1.5857931,0.9877794,4.221716e-06,0.33333334,6.178264856338501,0.49346673,4.7848387,3.9501605,0.24766849,0.14999999,-0.82906955,6.543499,-0.7660862,0.15285365
260,0.94422543,0.34774077,1.2009264,13,,0.94422543,,-0.6204744,0.61737925,1.6083703e-06,0.9877794,3.5972016e-06,-0.7171717,6.746313095092773,-0.6338572,5.970275,4.52063,0.3946508,0.14999999,-0.8621709,6.324938,-0.878832,4.5873414e-14
280,0.94422543,0.32443982,1.2057596,14,,0.94422543,,-0.6945823,0.6406802,0.023916755,0.9877794,3.1016684e-06,0.5959596,7.352059841156006,0.42913535,5.461272,4.542158,0.94359267,0.14999999,-0.8323348,6.206788,-0.5238257,1.1367945e-14
300,0.94422543,0.33910656,0.554911,15,,0.94422543,,-0.76186824,0.62601346,1.0466108e-11,0.9877794,2.7018984e-06,-1.0,7.8378586769104,-0.72811496,7.397482,5.0865984,0.4206792,0.14999999,-0.81878716,6.055949,-0.7044517,1.04546136e-19
320,0.94422543,0.31924433,0.659006,16,,0.94422543,,-0.8264068,0.6458757,0.50146717,0.9877794,2.3747152e-06,-0.23232323,8.527874946594238,-0.26590037,4.946612,5.107909,0.94380933,0.14999999,-0.84031236,5.998704,-0.6570526,0.02177052
340,0.94422543,0.30218565,1.6168903,17,,0.94422543,,-0.85617083,0.66293436,0.000121685756,0.9877794,2.103554e-06,-0.5959596,9.418084859848022,-0.14410591,5.2415037,5.1371555,0.93587327,0.14999999,-0.8552213,5.500347,-0.72608656,0.48840934
360,0.94422543,0.28777075,1.2490466,18,,0.94422543,,-0.9133221,0.67734927,0.06490406,0.9877794,1.8763183e-06,-0.35353535,10.374366283416748,-0.35864148,5.25303,5.1798735,0.9224026,0.14999999,-0.82783574,5.1025124,-0.8407318,2.3261886
380,0.94422543,0.27389717,1.0762813,19,,0.94422543,,-0.96379,0.69122285,1.18463284e-07,0.9877794,1.6840087e-06,1.0,11.300528764724731,0.9306363,15.1078825,5.2040462,0.94094765,0.14999999,-0.80057967,5.0913424,-0.46963292,6.5155627e-18
400,0.94422543,0.30356044,0.87179977,20,,0.94422543,,-1.0150833,0.6615596,4.3553658,0.9877794,1.5198176e-06,-0.05050505,12.070789575576782,-0.24721545,4.9930344,6.071209,0.0979571,0.14999999,-0.8106478,4.9966335,-0.8728957,3.2621224e-09
420,0.94422543,0.29042614,0.74785376,21,,0.94422543,,-0.86685354,0.6746939,7.627516e-09,0.9877794,1.3785193e-06,-0.85858583,12.817152500152588,-1.2022605,6.368312,6.0989494,0.93738055,0.14999999,-0.8091998,4.942189,-0.5993767,0.0011962943
440,0.94422543,0.27854604,0.75853926,22,,0.94422543,,-0.91337353,0.686574,3.4883046,0.9877794,1.2560477e-06,0.27272728,13.569792985916138,0.44227278,4.5701995,6.1280136,0.9360558,0.14999999,-0.8864297,4.8313,-2.2157593,2.4576967e-20
460,0.94422543,0.2903191,1.281675,23,,0.94422543,,-0.8106481,0.67480093,0.093462735,0.9877794,1.1492007e-06,0.53535354,14.314585208892822,0.5770703,6.989121,6.6773376,0.41579372,0.14999999,-0.9012292,4.748459,-0.95441145,5.697679
480,0.94422543,0.30382144,1.2369336,24,,0.94422543,,-0.8491523,0.6612986,0.37629515,0.9877794,1.055429e-06,-0.25252524,15.050239324569702,-0.6660334,5.5280695,7.2917137,0.3507439,0.14999999,-0.89112586,4.658932,-0.826301,1.3854418e-06
500,0.94422543,0.29252678,1.317222,25,,0.94422543,,-0.874417,0.67259324,3.408086e-05,0.9877794,9.726833e-07,-0.6363636,15.78984260559082,-0.7369157,5.3130207,7.3131695,0.9436662,0.14999999,-0.87723786,4.6143208,-0.7041404,5.2738457
520,0.94422543,0.28211242,0.80969775,26,,0.94422543,,-0.9136363,0.6830076,1.2181421e-11,0.9877794,8.993004e-07,-1.0,16.531052112579346,-0.8334221,11.599937,7.334923,0.9433647,0.14999999,-0.8578878,4.611986,-0.608701,1.0500185
540,0.94422543,0.27250588,1.006887,27,,0.94422543,,-0.9513767,0.69261414,0.0002755819,0.9877794,8.3391916e-07,0.7777778,17.737290859222412,0.80638963,7.763294,7.3576584,0.94238603,0.14999999,-0.8608349,4.45022,-0.6623174,4.558585e-25
560,0.94422543,0.29015523,1.2226312,28,,0.94422543,,-0.9877341,0.6749648,5.1368914e-07,0.9877794,7.754171e-07,-0.75757575,18.475768089294434,-0.9172625,5.0123954,8.124348,0.19843219,0.14999999,-0.8646833,4.33077,-0.90181273,1.6228193e-23
580,0.94422543,0.28096145,1.142874,29,,0.94422543,,-1.0228254,0.68415856,0.012165583,0.9877794,7.2286224e-07,-0.43434343,19.21496295928955,-0.40845788,5.110613,8.147881,0.94158566,0.14999999,-0.8530968,4.2765236,-0.68925875,0.029747104
600,0.94422543,0.272362,0.6381073,30,,0.94422543,,-1.0563076,0.692758,7.6364365,0.9877794,6.754746e-07,0.11111111,19.948674201965332,-0.099222,7.6364365,8.170858,0.94214237,0.14999999,-0.8392135,4.2372313,-0.53270894,0.011242632
620,0.94422543,0.2655505,0.94799757,31,,0.94422543,,-0.8623221,0.6995695,1.4977319,0.9877794,6.325984e-07,-0.15151516,20.979377269744873,-0.2522703,5.8363647,8.232065,0.903912,0.14999999,-0.8515715,4.144716,-0.82026786,5.684147
640,0.94422543,0.2581162,1.1169021,32,,0.94422543,,-0.8468877,0.70700383,0.5387357,0.9877794,5.936788e-07,0.43434343,21.91196608543396,0.41354588,7.3904357,8.259718,0.93746644,0.14999999,-0.8459848,4.067361,-0.5822239,0.0001342235
660,0.94422543,0.26651025,0.82632285,33,,0.94422543,,-0.860964,0.69860977,1.15563895e-11,0.9877794,5.582434e-07,-1.0,22.42644739151001,-0.97751254,10.085441,8.794838,0.42999983,0.14999999,-0.8449242,4.0637236,-0.8460052,3.2246238e-19
680,0.94422543,0.25939846,0.9452447,34,,0.94422543,,-0.890817,0.70572156,1.1012662e-07,0.9877794,5.258885e-07,1.0,22.951717615127563,0.9182133,14.615842,8.819546,0.9404128,0.14999999,-0.85000676,4.021351,-0.790341,1.0649334e-37
700,0.94422543,0.276461,1.2076508,35,,0.94422543,,-0.9198045,0.688659,0.017614951,0.9877794,4.9626703e-07,-0.41414142,23.44236135482788,-0.4627166,5.1021767,9.676136,0.10853058,0.14999999,-0.8593367,4.000622,-1.0264996,5.4762225e-17
720,0.94422543,0.26943558,1.0982682,36,,0.94422543,,-0.9474722,0.69568443,1.01512626e-07,0.9877794,4.6907957e-07,-0.7979798,23.934280395507812,-0.86317265,5.2222676,9.69968,0.9415738,0.14999999,-0.84625244,3.9329967,-0.55069196,0.37948674
740,0.94422543,0.2627728,1.0665226,37,,0.94422543,,-0.9748712,0.7023472,0.007726855,0.9877794,4.4406656e-07,0.65656567,24.38955783843994,0.67879695,6.809705,9.722595,0.9422082,0.14999999,-0.8384542,3.842884,-0.61573625,2.5250148e-22
760,0.94422543,0.2736405,1.1393228,38,,0.94422543,,-1.0013306,0.6914795,0.00026109192,0.9877794,4.2100217e-07,-0.57575756,24.829492330551147,-0.4942236,4.6575193,10.39834,0.2893746,0.14999999,-0.83984727,3.8152134,-0.9126674,4.2798195e-15
780,0.94422543,0.26718128,1.1031891,39,,0.94422543,,-1.0272993,0.69793874,0.44967306,0.9877794,3.996891e-07,-0.25252524,25.285594940185547,-0.34421262,5.310789,10.420069,0.9433888,0.14999999,-0.8288946,3.7912152,-0.5195267,1.2208266
800,0.94422543,0.26110154,0.8753376,40,,0.94422543,,-1.041153,0.7040185,1.3838128e-11,0.9877794,3.799544e-07,-1.0,26.057154893875122,-1.2501019,9.220567,10.444063,0.9411278,0.14999999,-0.8197098,3.7213283,-0.52585274,0.00031821328
820,0.94422543,0.25551116,0.6076373,41,,0.94422543,,-1.0658456,0.70960885,6.871827,0.9877794,3.6164613e-07,0.030303031,26.97277307510376,-0.22353941,7.1012216,10.475956,0.9332266,0.14999999,-0.8640745,3.6908102,-2.4707723,4.7388647e-15
840,0.94422543,0.25018388,1.3000051,42,,0.94422543,,-0.934988,0.71493614,0.028189568,0.9877794,3.4462983e-07,-0.3939394,27.70762610435486,-0.29395834,4.633413,10.507723,0.9333553,0.14999999,-0.8684845,3.7233825,-0.6350126,2.632532
860,0.94422543,0.24490541,0.7294431,43,,0.94422543,,-0.95784754,0.7202146,2.591812,0.9877794,3.2878697e-07,0.3131313,28.1558678150177,0.20348383,6.101817,10.530931,0.9419095,0.14999999,-0.8544691,3.6570725,-0.52500826,0.0012470363
880,0.94422543,0.24962896,1.1624161,44,,0.94422543,,-0.92230904,0.71549106,0.55194056,0.9877794,3.140119e-07,-0.23232323,29.021000623703003,-0.08640768,4.9382915,10.983677,0.51237583,0.14999999,-0.8632443,3.591832,-0.94709694,0.100727186
900,0.94422543,0.24506456,1.0797341,45,,0.94422543,,-0.9323158,0.72005546,4.0443585e-05,0.9877794,3.0021093e-07,0.83838385,29.998291015625,0.9359114,8.485818,11.0279045,0.9208902,0.14999999,-0.8574419,3.5611277,-0.7292997,3.0735784e-08
920,0.94422543,0.25868702,0.95930433,46,,0.94422543,,-0.95429385,0.706433,1.2686886e-11,0.9877794,2.8730017e-07,-1.0,30.970003604888916,-1.1377727,8.793398,11.899601,0.093424335,0.14999999,-0.86281145,3.5617826,-1.1216466,5.526114e-36
940,0.94422543,0.25376207,1.0248246,47,,0.94422543,,-0.97580004,0.71135795,9.646643e-06,0.9877794,2.7520463e-07,-0.67676765,31.903168439865112,-0.4950987,5.1869164,11.926819,0.9379017,0.14999999,-0.87633204,3.5248752,-1.4106352,0.096909665
960,0.94422543,0.24893713,1.22145,48,,0.94422543,,-0.99685323,0.7161829,0.0072524603,0.9877794,2.6385726e-07,-0.45454547,32.66676878929138,-0.30808696,4.525671,11.948982,0.94295293,0.14999999,-0.8694318,3.5009992,-0.54203224,4.409088
980,0.94422543,0.24439543,0.88384545,49,,0.94422543,,-1.0173215,0.7207246,3.1969104,0.9877794,2.531974e-07,-0.09090909,33.67045545578003,0.09387991,5.966277,11.975376,0.938731,0.14999999,-0.8578985,3.4942284,-0.49593523,1.5310876
1000,0.94422543,0.24695718,0.7276098,50,,0.94422543,,-0.9743211,0.71816283,6.339294,0.9877794,2.4317083e-07,0.17171717,34.80252122879028,-0.17692539,7.4332495,12.347858,0.59263825,0.14999999,-0.8627728,3.4672365,-0.9644058,6.097939
1020,0.94422543,0.24273318,1.0457735,51,,0.94422543,,-0.87475455,0.72238684,0.09965052,0.9877794,2.3372819e-07,0.53535354,35.58012008666992,0.6718874,7.7281475,12.379395,0.93358266,0.14999999,-0.86360574,3.4524984,-0.6090507,6.208418e-05
1040,0.94422543,0.25097758,1.2902057,52,,0.94422543,,-0.8922206,0.71414244,0.20017767,0.9877794,2.248251e-07,-0.2929293,36.33944797515869,-0.40636167,4.530129,13.050835,0.29367957,0.14999999,-0.86673045,3.430639,-1.0249773,7.693632e-09
1060,0.94422543,0.24667072,0.97660416,53,,0.94422543,,-0.9074266,0.7184493,1.2106004e-11,0.9877794,2.1642118e-07,-1.0,37.101009368896484,-0.8762325,8.501901,13.073547,0.9424087,0.14999999,-0.8542697,3.395463,-0.4634731,0.0016789271
1080,0.94422543,0.2425276,0.9616097,54,,0.94422543,,-0.92611873,0.7225924,1.14083655e-07,0.9877794,2.0847979e-07,1.0,37.86405420303345,0.88188714,15.387417,13.096493,0.9421752,0.14999999,-0.85256153,3.390724,-0.6947792,5.6581603e-34
1100,0.94422543,0.25314504,0.94588774,55,,0.94422543,,-0.9444679,0.711975,1.0120813e-07,0.9877794,2.0096763e-07,-0.7979798,38.63672661781311,-0.7122125,5.263776,13.922977,0.13863339,0.14999999,-0.85895663,3.366794,-1.1020116,4.6642102e-27
1120,0.94422543,0.24901319,1.1425469,56,,0.94422543,,-0.9624864,0.71610683,0.0014394314,0.9877794,1.9385428e-07,-0.5151515,39.448039293289185,-0.5188757,4.6161146,13.94474,0.9433566,0.14999999,-0.8562349,3.341672,-0.62976015,2.1064098
1140,0.94422543,0.24504828,1.2744696,57,,0.94422543,,-0.98016024,0.72007173,0.10358087,0.9877794,1.8711206e-07,-0.33333334,40.50798487663269,-0.16158405,4.335597,13.967751,0.9421102,0.14999999,-0.848053,3.2727036,-0.5105593,2.062088
1160,0.94422543,0.24150139,0.8977841,58,,0.94422543,,-0.9957364,0.7236186,3.6891649,0.9877794,1.8071556e-07,-0.07070707,41.530808448791504,0.033451624,5.7119102,14.00708,0.925789,0.14999999,-0.8401822,3.2888265,-0.6379386,4.189557
1180,0.94422543,0.24324131,1.1193277,59,,0.94422543,,-0.95116556,0.7218787,0.0026917532,0.9877794,1.7464151e-07,0.6969697,42.33563852310181,0.52390444,8.25803,14.351238,0.62096345,0.14999999,-0.8426602,3.2482705,-0.86586905,0.00035641203
1200,0.94422543,0.24890614,0.9027105,60,,0.94422543,,-0.9679271,0.7162139,1.0636498,0.9877794,1.6886865e-07,0.3939394,43.11660170555115,0.22782443,7.8081284,14.934368,0.38198957,0.14999999,-0.8447438,3.2261436,-1.0451227,5.1963196
1220,0.94422543,0.25244582,1.0126556,61,,0.94422543,,-0.9668842,0.7126742,1.9077652e-05,0.9877794,1.6337734e-07,-0.65656567,43.893062591552734,-0.36911336,5.0924993,15.399197,0.5002953,0.14999999,-0.8497307,3.2188118,-1.0199493,2.0859095e-07
1240,0.94422543,0.24875927,0.8033532,62,,0.94422543,,-0.9831444,0.71636075,6.980922,0.9877794,1.581496e-07,0.13131313,44.67365646362305,0.0005482584,6.980922,15.423073,0.9412387,0.14999999,-0.8437235,3.203667,-0.469949,0.016294835
1260,0.94422543,0.24660397,1.1308882,63,,0.94422543,,-0.89244914,0.71851605,1.2174076,0.9877794,1.5316883e-07,-0.17171717,45.47923541069031,-0.14512081,5.055834,15.536053,0.8521409,0.14999999,-0.84677607,3.2064166,-0.8153079,3.1081774
1280,0.94422543,0.24335217,0.89787143,64,,0.94422543,,-0.88905793,0.72176784,1.18856504e-11,0.9877794,1.484197e-07,-1.0,46.41726112365723,-0.9481646,8.793302,15.574539,0.92663366,0.14999999,-0.8411686,3.1608613,-0.59664476,4.273829e-07
1300,0.94422543,0.2399798,1.2325742,65,,0.94422543,,-0.9045621,0.7251402,0.027344787,0.9877794,1.4388809e-07,-0.3939394,46.88170576095581,-0.5868154,4.36104,15.598686,0.9409712,0.14999999,-0.841906,3.1448903,-0.75410426,0.006135787
1320,0.9443901,0.23665786,0.9270503,66,,0.9443901,,-0.919409,0.72846216,4.356803e-08,0.987946,1.3956085e-07,-0.8181818,47.36023664474487,-0.5049569,5.3402734,15.619419,0.9443901,0.14999999,-0.8346437,3.1408396,-0.5722856,1.4346232
1340,0.9443901,0.23344898,1.1374974,67,,0.9443901,,-0.9344469,0.73167104,0.00079640694,0.987946,1.3542595e-07,-0.53535354,47.839455366134644,-0.16004923,4.4655304,15.641079,0.9434593,0.14999999,-0.8312339,3.1309712,-0.5150628,4.361046
1360,0.9443901,0.23062456,1.0515548,68,,0.9443901,,-0.94925004,0.73449546,3.521594,0.987946,1.3147212e-07,-0.07070707,48.30900526046753,-0.06809942,5.506138,15.682468,0.9237282,0.14999999,-0.8263065,3.143582,-0.6149475,4.119578
1380,0.9443901,0.2282018,1.2156628,69,,0.9443901,,-0.91335714,0.7369182,0.73235095,0.987946,1.2768895e-07,-0.21212122,48.776301860809326,-0.34233874,4.4983106,15.74593,0.9016664,0.14999999,-0.82377934,3.0855572,-0.68269384,3.3199034
1400,0.9443901,0.22529393,0.8847638,70,,0.9443901,,-0.917188,0.7398261,1.1306929e-07,0.987946,1.2406676e-07,1.0,49.28194522857666,1.0857712,15.471998,15.7705765,0.9404712,0.14999999,-0.8152324,3.074974,-0.419845,1.6492794e-17
1420,0.9443901,0.23522311,1.0111264,71,,0.9443901,,-0.93137264,0.7298969,0.07086569,0.987946,1.2059652e-07,0.5555556,49.757885217666626,0.7586557,8.207633,16.70084,0.034855098,0.14999999,-0.8294755,3.0237088,-1.6652294,0.027217576
1440,0.9443901,0.24211937,1.2407974,72,,0.9443901,,-0.94436127,0.72300065,0.044044793,0.987946,1.1726989e-07,-0.37373737,50.38502359390259,-0.32871777,4.171795,17.432594,0.23336552,0.14999999,-0.83414525,3.0199418,-1.1426651,3.511335e-12
1460,0.9443901,0.23914093,0.7000597,73,,0.9443901,,-0.9575431,0.7259791,4.7710347,0.987946,1.1407902e-07,0.23232323,50.861114501953125,0.30898276,7.798376,17.457283,0.94042575,0.14999999,-0.82528186,3.0067852,-0.4082694,0.0036670337
1480,0.9443901,0.24256992,0.8601179,74,,0.9443901,,-0.9078391,0.7225501,1.2110993e-11,0.987946,1.1101664e-07,-1.0,51.67077088356018,-0.82215726,8.870899,17.950176,0.47223467,0.14999999,-0.8321101,2.9852524,-1.0168908,2.138451e-16
1500,0.9443901,0.23963761,0.97746986,75,,0.9443901,,-0.9212621,0.7254824,1.8226832e-05,0.987946,1.0807592e-07,-0.65656567,52.14524173736572,-0.8223707,5.0711412,17.972824,0.9424675,0.14999999,-0.83257663,2.989165,-0.7001052,2.912292
1520,0.9443901,0.2367853,1.1191198,76,,0.9443901,,-0.9345071,0.7283347,0.00014647424,0.987946,1.0525054e-07,0.7979798,52.735225439071655,0.75529695,8.985575,17.995682,0.942262,0.14999999,-0.8310004,2.989521,-0.6753438,2.3938536e-25
1540,0.9443901,0.24320465,0.9344542,77,,0.9443901,,-0.94757724,0.72191536,4.481269e-08,0.987946,1.02534514e-07,-0.8181818,53.27155542373657,-0.6460744,5.292059,18.726757,0.23404215,0.14999999,-0.8335079,2.9809432,-1.1024932,1.0218023e-23
1560,0.9443901,0.24036884,0.9122109,78,,0.9443901,,-0.96048063,0.7247512,5.742866,0.987946,9.9922275e-08,0.01010101,53.758480072021484,-0.16928385,6.3701334,18.748764,0.9431127,0.14999999,-0.8312721,2.9796917,-0.5767509,0.00033106116
1580,0.9443901,0.23780763,1.236816,79,,0.9443901,,-0.9021775,0.7273124,0.5409402,0.987946,9.74086e-08,-0.23232323,54.24067139625549,-0.3434392,4.504854,18.786804,0.92708534,0.14999999,-0.8293829,2.9949226,-0.57689834,4.3352075
1600,0.9443901,0.23513973,1.1626441,80,,0.9443901,,-0.9079323,0.7299803,0.003986777,0.987946,9.49886e-08,-0.47474748,54.76222896575928,-0.63147455,4.428721,18.81118,0.94074357,0.14999999,-0.8218996,2.9521337,-0.44799632,2.837789
1620,0.9443901,0.23249966,1.0404861,81,,0.9443901,,-0.92030495,0.73262036,3.5681198e-05,0.987946,9.265769e-08,-0.6363636,55.69132423400879,-0.59992975,4.749958,18.83247,0.94382894,0.14999999,-0.81701094,2.908112,-0.5728364,4.7137637
1640,0.9443901,0.229927,1.2238976,82,,0.9443901,,-0.9325746,0.735193,0.2946377,0.987946,9.041153e-08,-0.27272728,56.701393365859985,-0.3501987,4.2261276,18.854012,0.943577,0.14999999,-0.812952,2.8916698,-0.5101145,0.4103077
1660,0.9443901,0.22745985,0.84645045,83,,0.9443901,,-0.9411093,0.73766017,1.0355041,0.987946,8.8246054e-08,0.3939394,57.71613430976868,0.38719913,8.2520075,18.87917,0.93996584,0.14999999,-0.80547196,2.8906105,-0.39870965,1.7939974e-05
1680,0.9443901,0.23100358,1.1510917,84,,0.9443901,,-0.9406867,0.73411644,0.0024306604,0.987946,8.6157456e-08,-0.4949495,58.75051140785217,-0.3827302,4.24341,19.404305,0.43998295,0.14999999,-0.81054634,2.8631563,-1.0552256,2.3595595e-07
1700,0.9443901,0.22856873,0.91227436,85,,0.9443901,,-0.95249224,0.7365513,4.5033495e-08,0.987946,8.4142165e-08,-0.8181818,59.82984709739685,-0.49335602,5.274967,19.428345,0.9410781,0.14999999,-0.8039881,2.8518062,-0.3904294,0.05812696
1720,0.9447293,0.22614807,1.276496,86,,0.9447293,,-0.9641883,0.73897195,0.0682909,0.9882638,8.219674e-08,-0.35353535,60.84214496612549,-0.3375759,3.983911,19.448734,0.9447293,0.14999999,-0.8008505,2.867641,-0.43239176,2.654172
1740,0.9447293,0.22381014,1.2764984,87,,0.9447293,,-0.9749553,0.7413099,0.06903016,0.9882638,8.031802e-08,-0.35353535,61.907203674316406,-0.5062805,3.8518026,19.471481,0.94237727,0.14999999,-0.79295313,2.81872,-0.37366822,3.8427553
1760,0.9447293,0.22151613,0.9366408,88,,0.9447293,,-0.9855909,0.7436039,1.2107427e-07,0.9882638,7.850298e-08,1.0,62.92749357223511,1.1526232,15.657572,19.493423,0.94318014,0.14999999,-0.7855993,2.8133142,-0.40635353,5.0623474e-22
1780,0.9447293,0.22949326,1.0188016,89,,0.9447293,,-0.9968904,0.73562676,0.007898883,0.9882638,7.674878e-08,0.65656567,63.946447134017944,0.72919184,8.772339,20.424904,0.033639427,0.14999999,-0.80191535,2.8085856,-2.1318572,0.09458539
1800,0.9447293,0.23483151,1.1249969,90,,0.9447293,,-1.007975,0.7302885,0.00047897449,0.9882638,7.505273e-08,-0.5555556,64.67110991477966,-0.5679155,4.297681,21.134834,0.25518504,0.14999999,-0.80572754,2.8084784,-1.137188,9.749959e-16
1820,0.9447293,0.23249662,0.77281564,91,,0.9447293,,-1.0190195,0.7326234,7.2023044,0.9882638,7.3412274e-08,0.07070707,65.46191501617432,-0.071456745,7.2070055,21.157188,0.942765,0.14999999,-0.80057114,2.8046446,-0.44879198,0.00048270167
1840,0.9447293,0.23061556,1.0537765,92,,0.9447293,,-0.9537784,0.73450446,2.0434194,0.9882638,7.182504e-08,-0.13131313,66.47582197189331,-0.2124883,5.0733604,21.216629,0.9056784,0.14999999,-0.8022475,2.7995844,-0.7137664,5.0144835
1860,0.9447293,0.22844505,0.78133136,93,,0.9447293,,-0.9426213,0.73667496,1.2539654e-11,0.9882638,7.028872e-08,-1.0,68.54628586769104,-1.092747,9.818769,21.245392,0.9363582,0.14999999,-0.79814625,2.7853436,-0.46050185,4.3602618e-06
1880,0.9447293,0.22629791,1.207964,94,,0.9447293,,-0.9533166,0.7388221,0.004171883,0.9882638,6.880116e-08,-0.47474748,71.67293691635132,-0.5695573,4.0110407,21.272003,0.93851066,0.14999999,-0.8059212,2.7624507,-1.2902521,0.0019917258
1900,0.9447293,0.22415048,0.7369866,95,,0.9447293,,-0.9638543,0.74096954,3.1211448,0.9882638,6.736033e-08,0.2929293,74.19723987579346,0.19970784,8.2673025,21.294296,0.94282,0.14999999,-0.8001767,2.750509,-0.45508415,2.774927e-07
1920,0.9447293,0.22663546,1.0305349,96,,0.9447293,,-0.9419996,0.73848456,1.860876e-05,0.9882638,6.5964315e-08,-0.65656567,76.03422594070435,-0.54542804,4.698633,21.757004,0.5024172,0.14999999,-0.805353,2.7482862,-1.0198493,6.188526e-07
1940,0.9447293,0.22452074,1.1543605,97,,0.9447293,,-0.95236224,0.7405993,0.7614808,0.9882638,6.461123e-08,-0.21212122,77.9372169971466,-0.12022996,4.4475303,21.778511,0.94361174,0.14999999,-0.8011865,2.7343156,-0.41989544,0.34277996
1960,0.9447293,0.22269744,0.80737567,98,,0.9447293,,-0.95479906,0.7424226,1.2693301e-11,0.9882638,6.329935e-08,-1.0,79.86163878440857,-0.9594477,9.357163,21.824348,0.919288,0.14999999,-0.79767865,2.7256799,-0.5981798,1.6397759e-07
1980,0.9447293,0.22069597,1.0981838,99,,0.9447293,,-0.96495146,0.74442405,8.0157e-05,0.9882638,6.2027055e-08,0.8181818,81.84136748313904,1.0112927,9.492573,21.8489,0.94056225,0.14999999,-0.7999417,2.7168734,-0.8092584,1.903118e-30
2000,0.9447293,0.22777903,1.1921425,100,,0.9447293,,-0.975001,0.737341,0.002515514,0.9882638,6.079271e-08,-0.4949495,83.80254697799683,-0.6579018,4.0257406,22.7779,0.036123943,0.14999999,-0.80602914,2.7087896,-1.473182,1.4749765e-21
2020,0.9447293,0.22573304,0.94099206,101,,0.9447293,,-0.98492616,0.739387,4.225981,0.9882638,5.9594853e-08,-0.05050505,86.32286190986633,0.010823794,5.812669,22.799034,0.94397527,0.14999999,-0.80154765,2.7027183,-0.5332298,0.0012469519
