IWLastEpisode,ReturnStepMax,Regret/t,DenMISELogFirst,Regret,ReturnLastEpisode,DenMISEMeanLog,LQGmu1_higher,TimeElapsed,LQGsigma_higher,Bound,IWMax,Iteration,ReturnMean,ReturnMax,Delta,IWMean,ReturnMin,DenMISELogLast,IWFirstEpisode,ReturnAbsMax,LQGmu1_actor,IWMin,TimestepsSoFar
5.810578e-07,0.97719985,0.26944333,-0.7200862,8.0833,0.9314472,-0.7469229,0.05050505,19.38305640220642,0.14999999,4.1769395,6.29609,30,0.6956767,0.93313843,6.754746e-07,0.86257553,,-0.5920845,4.158341,0.93313843,0.22246817,,600
0.0014033575,0.97719985,0.27667785,-0.6230666,8.577013,0.47140664,-0.7569143,0.83838385,19.83662748336792,0.14999999,4.103254,8.443151,31,0.6884422,0.93313843,6.325984e-07,1.3465654,,-0.8829799,7.940706e-08,0.93313843,0.7924453,,620
6.6249945e-31,0.97719985,0.29203743,-0.6548153,9.345198,0.19693655,-0.7550385,-1.0,20.52816367149353,0.14999999,4.0942135,2.9416618,32,0.6730826,0.93313843,5.936788e-07,0.41442487,,-0.9294345,1.5423414e-08,0.93313843,-1.1580049,,640
3.8540013e-05,0.97719985,0.2845229,-0.685587,9.389256,0.9210624,-0.80533904,-0.3939394,21.47860288619995,0.14999999,3.9847884,5.049361,33,0.6805971,0.93313843,5.582434e-07,1.1061063,,-1.8312544,0.4453193,0.93313843,-0.34825027,,660
0.11005645,0.97719985,0.27730173,-0.70203567,9.428257,0.92611545,-0.79555076,-0.75757575,22.33069634437561,0.14999999,3.9168243,4.99347,34,0.6878183,0.93313843,5.258885e-07,1.1892388,,-0.5383319,0.00010922289,0.93313843,-0.77232546,,680
2.1808871e-30,0.97719985,0.27036113,-0.73102,9.462641,0.9307387,-0.7839879,1.0,23.272852182388306,0.14999999,3.836664,10.802581,35,0.6947589,0.93313843,4.9626703e-07,0.99018687,,-0.52707106,7.780515e-11,0.93313843,0.9004295,,700
0.49191839,0.97719985,0.2865603,-0.75919086,10.31617,0.11158794,-0.79105675,0.5555556,24.211432695388794,0.14999999,3.810243,7.876813,36,0.6785597,0.93313843,4.6907957e-07,0.8826931,,-0.95544356,0.0012398483,0.93313843,0.46511698,,720
3.61512,0.97719985,0.29438293,-0.78655535,10.89217,0.3891238,-0.8003336,0.2929293,25.17547035217285,0.14999999,3.8011687,7.5547156,37,0.6707371,0.93313843,4.4406656e-07,0.66277826,,-0.9658014,0.36460274,0.93313843,0.1555728,,740
1.6986554,0.97719985,0.29924732,-0.80341774,11.371399,0.48589033,-0.81259817,-0.09090909,26.120571851730347,0.14999999,3.818079,5.829091,38,0.6658727,0.93313843,4.2100217e-07,1.1162541,,-0.90172946,5.817467,0.93313843,0.08384012,,760
2.8095918e-11,0.97719985,0.30347174,-0.6869468,11.835396,0.5011216,-0.8112926,-1.0,27.076589584350586,0.14999999,3.807224,11.106593,39,0.6616483,0.93313843,3.996891e-07,0.6640948,,-0.83107835,1.5927034e-08,0.93313843,-0.8913351,,780
3.1537154,0.97719985,0.29675776,-0.71226466,11.87031,0.93020767,-0.8176206,-0.7373737,27.79186701774597,0.14999999,3.7180824,4.852419,40,0.66836226,0.93313843,3.799544e-07,1.2300396,,-0.69715816,0.00020449745,0.93313843,-0.48573565,,800
4.5816107,0.97719985,0.29031718,-0.7369521,11.903004,0.9324236,-0.80921954,-0.41414142,28.24908137321472,0.14999999,3.7775989,5.260203,41,0.67480284,0.93313843,3.6164613e-07,1.1586344,,-0.6577744,0.34432298,0.93313843,-0.4711256,,820
0.0025353292,0.97719985,0.28419727,-0.7526866,11.936287,0.9318385,-0.80087644,0.11111111,28.770596027374268,0.14999999,3.6582685,6.6340246,42,0.68092275,0.93313843,3.4462983e-07,0.9564336,,-0.5777113,2.9371996,0.93313843,-0.14388505,,840
3.6352468,0.97719985,0.2792768,-0.7086208,12.008902,0.892505,-0.80000037,-0.27272728,29.225211143493652,0.14999999,3.6264253,5.0629325,43,0.6858432,0.93313843,3.2878697e-07,1.1445284,,-0.6813916,1.9830087,0.93313843,-0.27692327,,860
1.0512702,0.97719985,0.27389967,-0.6865256,12.051586,0.9224385,-0.7918764,-0.53535354,29.690712451934814,0.14999999,3.5971606,4.6335897,44,0.69122034,0.93313843,3.140119e-07,1.1420829,,-0.5559559,0.035120368,0.93313843,-0.8088692,,880
4.8486505,0.97719985,0.26856667,-0.7082006,12.085501,0.9312033,-0.7855441,-0.83838385,30.157442808151245,0.14999999,3.5294757,5.190052,45,0.69655335,0.93313843,3.0021093e-07,1.1023923,,-0.6198771,7.77122e-06,0.93313843,-0.7515615,,900
1.7800371e-21,0.97719985,0.2634393,-0.7301793,12.118206,0.93241036,-0.778134,0.7373737,30.930881023406982,0.14999999,3.5190904,8.058813,46,0.7016807,0.93313843,2.8730017e-07,1.1562508,,-0.50923425,3.982824e-06,0.93313843,0.85461605,,920
7.6607884e-09,0.97719985,0.27519584,-0.75168544,12.934204,0.14912781,-0.78198826,-0.11111111,31.899500131607056,0.14999999,3.4628735,5.3539367,47,0.6899242,0.93313843,2.7520463e-07,1.0996007,,-1.0597575,5.3261967,0.93313843,0.18352917,,940
1.0547004e-06,0.97719985,0.2796135,-0.6653893,13.421448,0.47787133,-0.7839761,-0.65656567,32.92524170875549,0.14999999,3.4150085,4.5985165,48,0.6855065,0.93313843,2.6385726e-07,1.1466562,,-0.94310457,0.0019199101,0.93313843,-0.72555196,,960
9.389081e-12,0.97719985,0.27457863,-0.6859686,13.454353,0.93221885,-0.77538663,0.37373737,33.88340520858765,0.14999999,3.4145973,6.70604,49,0.6905414,0.93313843,2.531974e-07,0.7068481,,-0.48450133,0.08017981,0.93313843,0.27240443,,980
1.6292272e-15,0.97719985,0.27919304,-0.7045363,13.959652,0.45982188,-0.78511536,-1.0,34.85673403739929,0.14999999,3.3834703,10.565649,50,0.685927,0.93313843,2.4317083e-07,0.64203537,,-0.94921637,1.6209663e-08,0.93313843,-1.0242476,,1000
,0.97719985,0.27448165,-0.72433895,13.998566,0.92620724,-0.7962911,1.0,35.87498497962952,0.14999999,3.3689969,11.556431,51,0.69063836,0.93313843,2.3372819e-07,0.97672975,,-0.97803843,7.728703e-11,0.93313843,1.2695454,,1020
1.944259e-11,0.97719985,0.28748864,-0.743757,14.9494095,0.01427359,-0.8430124,0.13131313,36.84918212890625,0.14999999,3.3432605,6.7651362,52,0.6776314,0.93313843,2.248251e-07,0.9840694,,-3.148777,2.4731586,0.93313843,0.22632213,,1040
0.0036876546,0.97719985,0.2914055,-0.71634084,15.444489,0.47004226,-0.84485763,-0.35353535,37.87070941925049,0.14999999,3.3314521,5.079986,53,0.6737145,0.93313843,2.1642118e-07,1.0528913,,-0.890937,0.80616,0.93313843,-0.37634003,,1060
0.09058222,0.97719985,0.28667665,-0.71993697,15.480541,0.929069,-0.8392662,-0.7979798,38.65894079208374,0.14999999,3.3117576,4.8367667,54,0.6784434,0.93313843,2.0847979e-07,1.1686927,,-0.5709896,3.06615e-05,0.93313843,-0.81732535,,1080
2.9450287e-18,0.97719985,0.28207827,-0.73828554,15.514305,0.931354,-0.83135766,0.5555556,39.21196436882019,0.14999999,3.2384107,8.086471,55,0.68304175,0.93313843,2.0096763e-07,0.7905816,,-0.5398982,0.0012141978,0.93313843,0.54066324,,1100
1.2592821e-10,0.97719985,0.2879603,-0.756282,16.125778,0.35364836,-0.83860713,-0.5151515,39.682849168777466,0.14999999,3.2372367,4.7292976,56,0.6771597,0.93313843,1.9385428e-07,1.0446321,,-0.9986196,0.057165295,0.93313843,-0.69378984,,1120
3.7738516,0.97719985,0.28347123,-0.77296126,16.15786,0.93303585,-0.83235383,-0.7777778,40.59711217880249,0.14999999,3.2273474,4.558954,57,0.6816488,0.93313843,1.8711206e-07,1.2221245,,-0.5066698,6.213079e-05,0.93313843,-0.7930464,,1140
1.6668266,0.97719985,0.27916116,-0.7903519,16.191345,0.9316354,-0.82306874,-1.0,41.57424068450928,0.14999999,3.1892939,9.829987,58,0.68595886,0.93313843,1.8071556e-07,0.71787935,,-0.48451328,1.7662133e-08,0.93313843,-0.72815156,,1160
0.011362037,0.97719985,0.27498025,-0.80744636,16.223835,0.93263173,-0.8220492,-0.21212122,42.5289888381958,0.14999999,3.1873658,5.37898,59,0.6901398,0.93313843,1.7464151e-07,0.9957306,,-0.461837,3.574554,0.93313843,-0.21308129,,1180
0.042022474,0.97719985,0.27121902,-0.7654322,16.27314,0.9158131,-0.81929016,-0.67676765,43.41339659690857,0.14999999,3.1705074,4.310575,60,0.693901,0.93313843,1.6886865e-07,1.2066848,,-0.63015825,0.0012311428,0.93313843,-0.49810615,,1200
8.349581e-06,0.97719985,0.2673207,-0.781941,16.306564,0.93169904,-0.811575,0.27272728,43.934781551361084,0.14999999,3.1570785,7.537559,61,0.6977993,0.93313843,1.6337734e-07,0.9102486,,-0.5326132,0.4939011,0.93313843,0.2048189,,1220
2.8749027,0.97719985,0.27089828,-0.79013735,16.795692,0.47598976,-0.8152684,0.01010101,44.4234664440155,0.14999999,3.142928,6.2192235,62,0.69422174,0.93313843,1.581496e-07,0.965812,,-0.9203944,5.2486987,0.93313843,0.13231778,,1240
0.00032807657,0.97719985,0.27416486,-0.72487444,17.272388,0.48842618,-0.81664616,0.7979798,45.423603773117065,0.14999999,3.1372058,8.924945,63,0.69095516,0.93313843,1.5316883e-07,1.1335206,,-0.8463545,4.258259e-07,0.93313843,0.7482625,,1260
