DenMISELogFirst,LQGmu1_higher,IWFirstEpisode,ReturnMax,Bound,LQGsigma_higher,Regret,DenMISEMeanLog,Iteration,TimestepsSoFar,IWMean,IWLastEpisode,DenMISELogLast,LQGmu1_actor,ReturnAbsMax,IWMin,ReturnMean,TimeElapsed,ReturnLastEpisode,Regret/t,ReturnMin,ReturnStepMax,Delta,IWMax
-0.80564183,-0.1919192,5.1185427,0.9206487,3.4234498,0.14999999,14.429466,-0.8829861,45,900,0.8816364,0.001283051,-0.5871515,-0.24889639,0.9206487,,0.6444652,33.23955202102661,0.9177456,0.3206548,,0.96527374,3.0021093e-07,5.573582
-0.7198922,0.5555556,0.0002943348,0.9206487,3.3866577,0.14999999,14.494553,-0.88113165,46,920,1.2056888,2.9138937e-06,-0.6567545,0.53606564,0.9206487,,0.650021,34.25220966339111,0.9000332,0.315099,,0.96527374,2.8730017e-07,7.220685
-0.741392,-0.6969697,0.0026064313,0.9206487,3.379776,0.14999999,15.11348,-0.877809,47,940,0.9916721,1.3477001e-14,-0.87016124,-0.8445636,0.9206487,,0.64355665,35.225205421447754,0.3461942,0.32156336,,0.96527374,2.7520463e-07,5.0496273
-0.76238996,-1.0,1.2670154e-07,0.9206487,3.4017622,0.14999999,15.161194,-0.87251043,48,960,0.9762338,2.8114161,-0.59240633,-0.6752204,0.9206487,,0.6492618,36.215150117874146,0.9174048,0.31585824,,0.96527374,2.6385726e-07,8.061903
-0.78300923,-0.41414142,0.73994935,0.9206487,3.3658912,0.14999999,15.206184,-0.8678428,49,980,1.0233531,1.0462846,-0.5817802,-0.5282358,0.9206487,,0.65478975,37.26859092712402,0.92013216,0.31033027,,0.96527374,2.531974e-07,5.211032
-0.7882238,0.1919192,0.77680695,0.9206487,3.314117,0.14999999,15.251957,-0.8622809,50,1000,1.0348625,4.7111535e-05,-0.58378685,0.14486678,0.9206487,,0.66008085,38.22123575210571,0.91934705,0.30503917,,0.96527374,2.4317083e-07,6.8065834
-0.79260975,-0.7979798,0.00015647098,0.9206487,3.3045723,0.14999999,15.744492,-0.8618624,51,1020,1.1180034,1.6251889e-08,-0.84142035,-0.92448723,0.9206487,,0.65640455,39.274675130844116,0.4725841,0.30871546,,0.96527374,2.3372819e-07,4.7911105
-0.8120248,1.0,7.892266e-12,0.9206487,3.306661,0.14999999,15.7944565,-0.85512775,52,1040,1.1111919,8.73262e-36,-0.59919393,0.9826007,0.9206487,,0.66138047,40.06095361709595,0.915154,0.30373955,,0.96527374,2.248251e-07,15.337117
-0.831073,-0.030303031,5.311493,0.9206487,3.2535367,0.14999999,16.735142,-0.86267334,53,1060,0.98424715,1.1639667e-09,-1.2498088,-0.06248264,0.9206487,,0.6493626,40.855029344558716,0.024436643,0.3157574,,0.96527374,2.1642118e-07,6.300864
-0.7542578,-0.5555556,0.06794765,0.9206487,3.252426,0.14999999,16.931416,-0.8616608,54,1080,1.00978,0.025687745,-0.7627648,-0.6208386,0.9206487,,0.6515753,41.63485527038574,0.76884544,0.3135447,,0.96527374,2.0847979e-07,5.0272737
-0.77134943,-0.85858583,2.2098153e-05,0.9209826,3.1796212,0.14999999,16.975552,-0.8562955,55,1100,1.103539,1.3185346,-0.55442315,-0.9175556,0.9209826,,0.65647364,42.402820348739624,0.9209826,0.30864638,,0.96562713,2.0096763e-07,4.7791486
-0.78936756,0.41414142,0.013223044,0.9209826,3.1792872,0.14999999,17.025314,-0.84996074,56,1120,1.1790354,3.6324952e-17,-0.5770553,0.36141384,0.9209826,,0.6610966,43.16755771636963,0.9153619,0.30402344,,0.96562713,1.9385428e-07,7.2319603
-0.80683106,-0.25252524,3.7826705,0.9209826,3.1743298,0.14999999,17.569866,-0.8482512,57,1140,0.87894815,0.0014902264,-0.8890186,-0.20746554,0.9209826,,0.65687674,43.93770217895508,0.42056602,0.30824327,,0.96562713,1.8711206e-07,5.6929646
-0.75996935,0.7171717,1.4438294e-06,0.9209826,3.1282978,0.14999999,17.639572,-0.8481752,58,1160,0.68840843,3.018399e-08,-0.7048466,0.5974843,0.9209826,,0.6609894,44.72046232223511,0.8954112,0.3041306,,0.96562713,1.8071556e-07,6.8585086
-0.7770637,-1.0,1.2857437e-07,0.9209826,3.1292415,0.14999999,18.291534,-0.8556636,59,1180,0.9364677,1.6363014e-24,-0.96235925,-0.9995335,0.9209826,,0.655094,45.43256092071533,0.3131609,0.310026,,0.96562713,1.7464151e-07,7.998604
-0.79387087,-0.61616164,0.019594122,0.9209826,3.1068301,0.14999999,18.344528,-0.8552468,60,1200,0.99273896,0.21243894,-0.7388064,-0.6969411,0.9209826,,0.6593779,46.5314507484436,0.9121237,0.30574214,,0.96562713,1.6886865e-07,4.8942633
-0.8100736,-0.05050505,5.5340095,0.9209826,3.0946698,0.14999999,18.39009,-0.8502571,61,1220,1.0028981,0.00041727605,-0.5262683,0.1883536,0.9209826,,0.6636431,47.52782702445984,0.91955787,0.3014769,,0.96562713,1.6337734e-07,6.1399426
-0.7394948,0.23232323,0.41526496,0.9209826,3.0823278,0.14999999,18.889503,-0.8519466,62,1240,1.1233611,6.4662046,-0.9313706,0.39292285,0.9209826,,0.6604506,48.542210817337036,0.46570867,0.30466944,,0.96562713,1.581496e-07,6.863286
-0.74881965,-0.8181818,7.998557e-05,0.9209826,3.056191,0.14999999,19.445335,-0.8515492,63,1260,1.1296399,4.6543766e-14,-0.91842806,-0.9407854,0.9209826,,0.6564639,49.543789863586426,0.4092886,0.3086561,,0.96562713,1.5316883e-07,4.5664024
-0.7645667,-0.37373737,1.2106564,0.9209826,3.0262847,0.14999999,19.496075,-0.8460938,64,1280,0.90232027,0.0038528494,-0.6082877,-0.56075287,0.9209826,,0.66049385,50.634570598602295,0.91438013,0.30462617,,0.96562713,1.484197e-07,5.162362
