LQGsigma_higher,TimeElapsed,LQGmu1_actor,ReturnLastEpisode,IWMean,DenMISEMeanLog,Bound,ReturnStepMax,ReturnMax,LQGmu1_higher,ReturnMin,DenMISELogFirst,ReturnMean,ReturnAbsMax,Delta,IWMax,IWFirstEpisode,Regret/t,TimestepsSoFar,Regret,IWMin,Iteration,DenMISELogLast,IWLastEpisode
0.14999999,41.380730390548706,-0.40033752,0.9435682,0.8883427,-0.91719794,3.3656936,0.9880711,0.94453454,-0.33333334,,-0.7698356,0.6718351,0.94453454,2.1642118e-07,5.691697,2.7297213,0.2932849,1060,15.544098,,53,-0.757715,5.0995197
0.14999999,42.34770917892456,-0.78846973,0.94199455,1.2385209,-0.91537166,3.3312972,0.9880711,0.94453454,-1.0,,-0.73830605,0.67683804,0.94453454,2.0847979e-07,6.624769,6.0098057e-07,0.28828198,1080,15.567226,,54,-0.68403304,0.0017841952
0.14999999,43.33909869194031,-0.32719076,0.9430949,0.8943201,-0.9070669,3.343456,0.9880711,0.94453454,-0.53535354,,-0.75665516,0.6816791,0.94453454,2.0096763e-07,5.56557,0.21043178,0.2834409,1100,15.589249,,55,-0.65222996,1.229592
0.14999999,44.19045066833496,0.88893634,0.9413719,0.9531202,-0.90527374,3.2973258,0.9880711,0.94453454,0.7777778,,-0.77085495,0.6863165,0.94453454,1.9385428e-07,8.513262,2.7892423e-08,0.27880353,1120,15.612999,,56,-0.678758,8.633193e-12
0.14999999,44.64315962791443,0.48881885,0.13680495,1.2340133,-0.9101936,3.2645884,0.9880711,0.94453454,0.37373737,,-0.7885545,0.676676,0.94453454,1.8711206e-07,6.792865,0.01306661,0.28844404,1140,16.44131,,57,-1.09854,0.021890042
0.14999999,45.09903144836426,-0.47769362,0.3982587,0.93624705,-0.9071883,3.2548823,0.9880711,0.94453454,-0.2929293,,-0.80571705,0.67187566,0.94453454,1.8071556e-07,5.528517,3.789896,0.29324436,1160,17.008171,,58,-0.92665017,8.496627e-06
0.14999999,45.9864399433136,-0.83668685,0.94298923,0.93333197,-0.90456957,3.2470903,0.9880711,0.94453454,-0.8181818,,-0.75951463,0.6764708,0.94453454,1.7464151e-07,5.25143,0.00028231146,0.2886492,1180,17.030304,,59,-0.6666076,0.393969
0.14999999,46.92575931549072,-0.5845828,0.9427018,0.95344216,-0.90077376,3.1943474,0.9880711,0.94453454,-0.4949495,,-0.77631694,0.68090796,0.94453454,1.6886865e-07,5.2581677,0.41316885,0.28421205,1200,17.052723,,60,-0.5926037,0.359003
0.14999999,47.961512088775635,0.024711229,0.9434102,0.9065915,-0.8978766,3.1730728,0.9880711,0.94453454,0.07070707,,-0.78598374,0.6852113,0.94453454,1.6337734e-07,6.5596504,1.9698365,0.27990872,1220,17.074432,,61,-0.6553815,0.000367507
0.14999999,48.92298674583435,-0.9739158,0.67791176,1.0095452,-0.89863265,3.1503205,0.9880711,0.94453454,-0.83838385,,-0.7704623,0.6850935,0.94453454,1.581496e-07,4.9408894,0.00015528944,0.2800265,1240,17.36164,,62,-0.8292901,3.9412367e-07
0.14999999,49.887378215789795,-1.1294612,0.9415095,1.1785245,-0.8941167,3.129002,0.9880711,0.94453454,-1.0,,-0.7864601,0.6891636,0.94453454,1.5316883e-07,6.813859,6.306282e-07,0.2759564,1260,17.385254,,63,-0.60387063,4.791926
0.14999999,50.84435415267944,0.72187346,0.93881065,1.0086892,-0.89579767,3.1103642,0.9880711,0.94453454,0.5555556,,-0.8022085,0.6930644,0.94453454,1.484197e-07,7.671234,9.197831e-05,0.27205563,1280,17.41156,,64,-1.1458752,3.315783e-27
0.14999999,51.851948976516724,-0.6335273,0.2649251,0.83496,-0.89899796,3.0860538,0.9880711,0.94453454,-0.61616164,,-0.81771123,0.68647766,0.94453454,1.4388809e-07,5.2240157,0.048544828,0.27864236,1300,18.111752,,65,-1.0829673,4.136304e-17
0.14999999,52.84485864639282,-0.26365602,0.944233,0.77605957,-0.89772946,3.08488,0.9880711,0.94453454,-0.09090909,,-0.8322321,0.69038296,0.94453454,1.3956085e-07,6.331904,5.6509137,0.27473706,1320,18.132645,,66,-0.636494,0.007238703
0.14999999,53.8262300491333,0.935415,0.9390331,1.0727228,-0.8985833,3.085592,0.9880711,0.94453454,1.0,,-0.76511884,0.6940942,0.94453454,1.3542595e-07,15.628783,9.665579e-13,0.27102584,1340,18.15873,,67,-0.71566916,2.1119104e-15
0.14999999,54.79062104225159,-0.26329917,0.09457584,0.974089,-0.90298104,3.087327,0.9880711,0.94453454,-0.35353535,,-0.7799339,0.6852777,0.94453454,1.3147212e-07,5.313775,2.3185937,0.27984232,1360,19.029274,,68,-1.2001909,8.1652187e-16
0.14999999,55.7556836605072,-1.1498204,0.93832135,1.1815557,-0.90040964,3.052705,0.9880711,0.94453454,-1.0,,-0.76100415,0.68894506,0.94453454,1.2768895e-07,6.734315,6.147779e-07,0.27617496,1380,19.056076,,69,-0.67967325,3.0348243e-05
0.14999999,56.7170045375824,-0.026253581,0.93812186,1.1554905,-0.90383965,3.0442245,0.9880711,0.94453454,0.25252524,,-0.7753929,0.6925047,0.94453454,1.2406676e-07,6.903098,0.156637,0.2726153,1400,19.083073,,70,-1.289456,1.0126163e-18
0.14999999,57.68740701675415,-0.36469525,0.8654057,0.91142297,-0.90137345,3.0415983,0.9880711,0.94453454,-0.21212122,,-0.78734237,0.69494,0.94453454,1.2059652e-07,5.6125045,5.3699265,0.27018005,1420,19.182785,,71,-0.8494667,2.8862033
0.14999999,58.71681523323059,-0.3183021,0.94067365,1.009149,-0.8990293,3.0088258,0.9880711,0.94453454,-0.45454547,,-0.7284195,0.69835293,0.94453454,1.1726989e-07,5.035706,0.70516795,0.26676708,1440,19.20723,,72,-0.62706226,4.161361
0.14999999,59.73564004898071,0.6801057,0.9426227,1.0551252,-0.89509,3.001744,0.9880711,0.94453454,0.7777778,,-0.73246646,0.701699,0.94453454,1.1407902e-07,8.824387,2.6841946e-08,0.263421,1460,19.229729,,73,-0.60171646,1.2346069e-11
0.14999999,60.720539808273315,-0.7762479,0.28907603,1.1863558,-0.89733064,2.9857972,0.9880711,0.94453454,-1.0,,-0.7460721,0.69612306,0.94453454,1.1101664e-07,6.580098,6.0566583e-07,0.26899695,1480,19.905777,,74,-1.0784482,4.4751016e-27
0.14999999,61.70401120185852,-0.58276397,0.9438163,0.8344017,-0.8920398,2.9850187,0.9880711,0.94453454,-0.6969697,,-0.75949514,0.69942564,0.94453454,1.0807592e-07,5.393136,0.0074359234,0.26569438,1500,19.927078,,75,-0.65574175,4.456019
0.14999999,62.68904161453247,-0.5890945,0.9436234,1.0272372,-0.89110905,2.964503,0.9880711,0.94453454,-0.3131313,,-0.77264124,0.7026388,0.94453454,1.0525054e-07,5.0445204,3.1969695,0.2624812,1520,19.94857,,76,-0.6447246,1.0073375
0.14999999,63.674394607543945,-0.7835885,0.9443811,0.9537933,-0.88783175,2.9542165,0.9880711,0.94453454,-0.5959596,,-0.7445086,0.7057783,0.94453454,1.02534514e-07,5.075917,0.067926496,0.25934172,1540,19.96931,,77,-0.6473731,5.075917
0.14999999,64.71490716934204,0.18379809,0.94344825,0.86250156,-0.8849595,2.953264,0.9880711,0.94453454,0.030303031,,-0.7565302,0.70882535,0.94453454,9.9922275e-08,6.7319694,2.7434986,0.25629467,1560,19.990982,,78,-0.60250753,1.9655376e-06
0.14999999,65.61520004272461,-0.64491886,0.51466787,0.9631443,-0.8873582,2.9246817,0.9880711,0.94453454,-0.7979798,,-0.7347006,0.7063677,0.94453454,9.74086e-08,4.89912,0.00049706723,0.25875235,1580,20.441437,,79,-0.9195294,3.324261e-09
0.14999999,66.46048069000244,0.61640483,0.94387054,1.0423532,-0.8844328,2.9207861,0.9880711,0.94453454,0.43434343,,-0.74727315,0.70933646,0.94453454,9.49886e-08,7.725432,0.0028161998,0.25578356,1600,20.462685,,80,-0.6036907,2.7890624e-11
0.14999999,67.2594666481018,-0.5911347,0.32961714,1.0025307,-0.8869913,2.8768122,0.9880711,0.94453454,-0.53535354,,-0.7596604,0.7046485,0.94453454,9.265769e-08,4.814183,0.21106514,0.26047152,1620,21.09819,,81,-1.1077505,1.2688574e-12
0.14999999,68.07410979270935,0.93626106,0.9440964,1.0963633,-0.88326067,2.8749897,0.9880711,0.94453454,0.65656567,,-0.7693282,0.70756865,0.94453454,9.041153e-08,8.328864,2.982477e-06,0.25755137,1640,21.11921,,82,-0.5686169,4.4414723e-15
0.14999999,70.30567240715027,0.019353524,0.09384748,1.0215939,-0.8876135,2.8496623,0.9880711,0.94453454,0.17171717,,-0.7814495,0.70017445,0.94453454,8.8246054e-08,6.838525,0.5793466,0.26494557,1660,21.990486,,83,-1.3072267,2.2452914e-05
