TimestepsSoFar,ReturnAbsMax,IWLastEpisode,ReturnMean,DenMISELogLast,LQGmu1_higher,DenMISEMeanLog,ReturnStepMax,Bound,Iteration,IWMin,IWMax,DenMISELogFirst,Regret/t,IWMean,IWFirstEpisode,LQGmu1_actor,ReturnMin,ReturnLastEpisode,Regret,ReturnMax,TimeElapsed,Delta,LQGsigma_higher
1200,0.953255,1.6564451e-36,0.7616072,-1.4989538,0.7979798,-0.866629,0.99639696,3.3162196,60,,9.036583,-0.650634,0.20351279,1.0718249,6.530187e-07,0.8840925,,0.9506657,12.210766,0.953255,43.57333326339722,1.6886865e-07,0.14999999
1220,0.953255,0.5476152,0.75204545,-1.1222781,0.53535354,-0.8705323,0.99639696,3.2851555,61,,7.046524,-0.6671633,0.21307456,0.39745325,0.0027565695,0.45445776,,0.17833887,12.997551,0.953255,44.062092304229736,1.6337734e-07,0.14999999
1240,0.953255,1.7615183e-10,0.7471278,-1.0816313,-0.5959596,-0.8837166,0.99639696,3.239384,62,,5.2555666,-0.68337864,0.21799225,0.95745534,0.006521506,-0.67068493,,0.44714546,13.515518,0.953255,44.933799505233765,1.581496e-07,0.14999999
1260,0.953255,3.2072523e-06,0.7503898,-0.66508013,0.13131313,-0.8812302,0.99639696,3.2346797,63,,6.3056808,-0.69927377,0.2147302,1.1046685,2.6380503,0.13847029,,0.9526378,13.528004,0.953255,45.91090631484985,1.5316883e-07,0.14999999
1280,0.953255,1.8054062e-12,0.7487461,-0.7841319,-1.0,-0.87859964,0.99639696,3.215769,64,,7.412329,-0.6740013,0.21637392,1.0768269,9.002921e-09,-0.8069113,,0.64519274,13.847931,0.953255,46.89073038101196,1.484197e-07,0.14999999
1300,0.953255,5.021767,0.75188154,-0.6896892,-0.75757575,-0.87510693,0.99639696,3.2132454,65,,5.276208,-0.68950546,0.21323848,0.9298716,7.124839e-05,-0.80698776,,0.9525499,13.8605,0.953255,47.88188695907593,1.4388809e-07,0.14999999
1320,0.953255,0.00010597792,0.7549211,-0.6305246,-0.11111111,-0.87272614,0.99639696,3.2147605,66,,4.9749007,-0.7047719,0.21019894,1.1062326,4.913168,-0.19465938,,0.9524934,13.873131,0.953255,48.768561363220215,1.3956085e-07,0.14999999
1340,0.953255,4.123316,0.75784326,-0.5739117,-0.27272728,-0.86697096,0.99639696,3.1483688,67,,4.6501803,-0.64800835,0.20727676,1.170244,1.6404598,-0.35416573,,0.95070535,13.887543,0.953255,49.67464232444763,1.3542595e-07,0.14999999
1360,0.953255,2.885839,0.76068956,-0.5220801,-0.4949495,-0.8597343,0.99639696,3.1256776,68,,4.8657207,-0.6386339,0.20443046,1.0470289,0.0584174,-0.5274531,,0.9513896,13.901268,0.953255,50.38475298881531,1.3147212e-07,0.14999999
1380,0.953255,1.422491e-22,0.76346964,-0.56431985,1.0,-0.85502636,0.99639696,3.1099632,69,,16.340883,-0.65237397,0.20165038,1.1812043,1.3380722e-10,0.9415135,,0.9525144,13.913879,0.953255,51.64752912521362,1.2768895e-07,0.14999999
