IWMin,Delta,Iteration,ReturnAbsMax,LQGmu1_actor,Bound,ReturnMin,DenMISELogLast,Regret,Regret/t,LQGmu1_higher,ReturnStepMax,TimeElapsed,DenMISELogFirst,LQGsigma_higher,IWLastEpisode,IWMean,IWMax,ReturnLastEpisode,ReturnMax,IWFirstEpisode,TimestepsSoFar,DenMISEMeanLog,ReturnMean
,6.754746e-07,30,0.9509597,0.6434656,4.126766,,-0.71488255,8.782444,0.29274815,0.83838385,0.9941904,21.747955083847046,-0.6904772,0.14999999,1.628364e-05,0.91286546,8.19339,0.6556086,0.9509597,0.0018836458,600,-0.8306721,0.67237186
,6.325984e-07,31,0.9509597,-1.1103063,4.1314406,,-0.8979409,9.413805,0.30367112,-1.0,0.9941904,22.66287922859192,-0.7232042,0.14999999,5.593373e-26,0.82287383,8.764347,0.3337592,0.9509597,7.711798e-15,620,-0.8379426,0.6614489
,5.936788e-07,32,0.9509597,-0.39449206,4.135406,,-1.2583944,9.431364,0.29473013,-0.2929293,0.9941904,23.612951517105103,-0.7549529,0.14999999,3.3377735e-06,0.5595573,4.7546234,0.94755995,0.9509597,0.01014734,640,-0.85849,0.6703899
,5.582434e-07,33,0.9509597,-0.9363927,3.9975362,,-0.70852256,9.446148,0.2862469,-0.4949495,0.9941904,24.518329620361328,-0.78540754,0.14999999,4.3164964,1.121353,4.932018,0.9503365,0.9509597,3.5122383e-05,660,-0.86764055,0.6788731
,5.258885e-07,34,0.9509597,-1.0644169,3.99047,,-0.7601765,9.462173,0.27829927,-0.83838385,0.9941904,25.51403832435608,-0.8152594,0.14999999,4.594671,1.0228802,5.265149,0.9490922,0.9509597,3.506391e-11,680,-0.8622918,0.68682075
,4.9626703e-07,35,0.9509597,-1.2425781,3.9871137,,-1.0438195,9.479168,0.27083337,-1.0,0.9941904,26.459595918655396,-0.8442469,0.14999999,6.8880577,1.1643848,7.394322,0.94812816,0.9509597,8.704078e-15,700,-0.8678391,0.69428664
,4.6907957e-07,36,0.9509597,0.47586763,3.9781334,,-2.254667,9.498505,0.26384735,0.47474748,0.9941904,27.450019598007202,-0.8724178,0.14999999,8.734488e-28,1.2622482,7.0310135,0.94578195,0.9509597,1.8802527,720,-0.90385574,0.70127267
,4.4406656e-07,37,0.9509597,-0.082483076,3.958431,,-0.8526127,10.031431,0.2711197,0.030303031,0.9941904,28.375353813171387,-0.8489058,0.14999999,0.07570314,1.0057209,6.779785,0.43219593,0.9509597,2.3281744,740,-0.8972966,0.6940003
,4.2100217e-07,38,0.9509597,0.9138112,3.930297,,-0.8646731,10.074236,0.26511145,1.0,0.9941904,29.372453212738037,-0.8145508,0.14999999,3.1017418e-11,0.9133678,14.984302,0.9223146,0.9509597,1.6283593e-05,760,-0.89766353,0.7000086
,3.996891e-07,39,0.9509597,0.13753736,3.7746925,,-1.0403435,10.893585,0.27932274,0.2929293,0.9941904,30.310656785964966,-0.84052587,0.14999999,0.0014329536,1.3229519,6.2417984,0.14576901,0.9509597,5.7988696,780,-0.90589374,0.6857973
,3.799544e-07,40,0.9509597,-1.1584177,3.7740517,,-0.7490987,11.23826,0.2809565,-1.0,0.9941904,31.238938093185425,-0.7272224,0.14999999,1.8274752e-12,1.1881253,7.6183586,0.62044626,0.9509597,7.7428374e-15,800,-0.8953417,0.6841635
,3.6164613e-07,41,0.9509597,-0.15093482,3.7565484,,-1.4223794,11.255695,0.27452916,-0.17171717,0.9941904,32.19299912452698,-0.75191504,0.14999999,4.4315933e-09,0.55288285,5.667035,0.94768393,0.9509597,0.12921329,820,-0.9052509,0.69059086
,3.4462983e-07,42,0.9509597,-0.62872154,3.6940453,,-0.8375425,11.280134,0.2685746,-0.65656567,0.9941904,33.20268988609314,-0.772866,0.14999999,0.020948948,0.97636867,5.3551264,0.9406836,0.9509597,9.8572926e-08,840,-0.914422,0.6965454
,3.2878697e-07,43,0.9509597,0.79929197,3.6942418,,-0.608875,11.2949505,0.26267326,0.65656567,0.9941904,34.15037727355957,-0.7963965,0.14999999,5.574061e-16,0.8633635,7.925856,0.9503025,0.9509597,0.1259334,860,-0.90858406,0.70244676
,3.140119e-07,44,0.9509597,-0.21887308,3.6540554,,-1.0292315,12.029245,0.2733919,0.030303031,0.9941904,35.110076904296875,-0.8164616,0.14999999,1.4613456e-05,1.0795679,6.1758676,0.23082656,0.9509597,2.253851,880,-0.91511554,0.6917281
,3.0021093e-07,45,0.9509597,-0.25643387,3.713974,,-0.8696472,12.047054,0.2677123,-0.35353535,0.9941904,36.06223654747009,-0.78897935,0.14999999,4.2412267,0.84823185,5.7750416,0.9473081,0.9509597,0.0022995644,900,-0.91329014,0.6974077
,2.8730017e-07,46,0.9509597,-0.9546037,3.5839648,,-0.7888023,12.064362,0.26226878,-1.0,0.9941904,37.070420026779175,-0.8109072,0.14999999,2.7005313e-05,1.17711,7.3573294,0.9478127,0.9509597,8.418665e-15,920,-0.9144524,0.70285124
,2.7520463e-07,47,0.9509597,-0.13883457,3.5633938,,-0.6123714,12.080746,0.2570371,-0.1919192,0.9941904,38.08112192153931,-0.8324134,0.14999999,1.1937351e-05,0.8092422,5.9601774,0.94873905,0.9509597,0.09584775,940,-0.90551,0.7080829
,2.6385726e-07,48,0.9509597,-0.62044424,3.4834676,,-0.7327945,12.107574,0.25224113,-0.67676765,0.9941904,39.0669047832489,-0.8514296,0.14999999,0.0089195045,0.9668047,5.2945094,0.93828833,0.9509597,4.7220453e-08,960,-0.9063224,0.7128789
,2.531974e-07,49,0.9509597,0.76474255,3.453601,,-0.61389434,12.123024,0.24740863,1.0,0.9941904,39.83577275276184,-0.87204885,0.14999999,2.236046e-25,0.9223292,13.820942,0.94967335,0.9509597,1.7247325e-05,980,-0.9015955,0.7177114
,2.4317083e-07,50,0.9509597,-0.5199178,3.4519672,,-1.0916657,12.829426,0.25658852,-0.43434343,0.9941904,40.60708022117615,-0.8922512,0.14999999,1.0535637e-13,0.92390114,5.44666,0.25871542,0.9509597,0.00026115417,1000,-0.90823776,0.7085315
,2.3372819e-07,51,0.9509597,0.22783697,3.447301,,-0.6093811,12.843834,0.25183982,0.1919192,0.9941904,41.369226932525635,-0.9120486,0.14999999,6.297941e-05,1.1512456,6.2910414,0.95071584,0.9509597,6.2823596,1020,-0.9043351,0.7132802
,2.248251e-07,52,0.9509597,0.5831176,3.4049559,,-0.8071534,13.273369,0.25525707,0.4949495,0.9941904,42.41126751899719,-0.8152996,0.14999999,1.2211576,1.0741866,7.421332,0.5355867,0.9509597,1.426054,1040,-0.90031594,0.70986295
,2.1642118e-07,53,0.9509597,0.6361424,3.3985972,,-0.97941935,13.859909,0.26150775,0.7777778,0.9941904,43.32481551170349,-0.807293,0.14999999,3.0512252,1.042378,8.13644,0.37857687,0.9509597,0.009765099,1060,-0.90119773,0.70361227
,2.0847979e-07,54,0.9509597,-0.7900946,3.397348,,-0.9603159,14.486401,0.26826668,-1.0,0.9941904,44.094050884246826,-0.8258009,0.14999999,1.0151925e-25,1.1278687,7.4428573,0.33862957,0.9509597,8.545011e-15,1080,-0.9023477,0.69685334
,2.0096763e-07,55,0.9509597,-0.70671123,3.4009633,,-0.67298913,14.501537,0.2636643,-0.7373737,0.9941904,45.01758694648743,-0.84415,0.14999999,4.9008274,1.0156676,5.2614007,0.9499789,0.9509597,3.651446e-09,1100,-0.896737,0.7014557
,1.9385428e-07,56,0.9509597,-0.09934629,3.3927367,,-0.6133525,14.516701,0.2592268,-0.09090909,0.9941904,45.934367418289185,-0.8621685,0.14999999,0.0010750284,0.8792842,6.304858,0.94995695,0.9509597,0.5484719,1120,-0.8918443,0.7058932
,1.8711206e-07,57,0.9509597,-0.48977554,3.352456,,-0.7756245,14.559162,0.2554239,-0.5555556,0.9941904,46.70903158187866,-0.8701216,0.14999999,0.05662883,1.0526363,5.19886,0.9226586,0.9509597,4.8591883e-06,1140,-0.8923231,0.7096961
,1.8071556e-07,58,0.9509597,-0.3103959,3.285777,,-0.6346361,14.573635,0.25126958,-0.2929293,0.9941904,47.487176179885864,-0.8875133,0.14999999,2.1206887,0.8346995,5.6401386,0.950648,0.9509597,0.011585703,1160,-0.8873983,0.71385044
,1.7464151e-07,59,0.9509597,0.4050768,3.253063,,-0.68453765,14.589767,0.24728417,0.33333334,0.9941904,48.26978421211243,-0.904408,0.14999999,0.0005282775,1.1360996,6.8116655,0.9489907,0.9509597,5.4257154,1180,-0.88702804,0.71783584
,1.6886865e-07,60,0.9509597,-0.834715,3.229208,,-0.8879118,15.096405,0.25160676,-0.7979798,0.9941904,49.0475709438324,-0.8332397,0.14999999,6.9521645e-14,0.9440041,5.0824003,0.4584809,0.9509597,2.3896018e-10,1200,-0.88535464,0.71351326
,1.6337734e-07,61,0.9509597,-0.011983948,3.2226026,,-0.59234047,15.111622,0.2477315,-0.030303031,0.9941904,49.827553272247314,-0.84976894,0.14999999,2.736016e-06,0.9393641,5.92255,0.949906,0.9509597,1.2190708,1220,-0.8817649,0.7173885
,1.581496e-07,62,0.9509597,-0.47931853,3.2037923,,-0.74661624,15.1968,0.24510968,-0.5151515,0.9941904,50.60900616645813,-0.8462418,0.14999999,0.020214159,1.0200965,5.0493517,0.87993985,0.9509597,1.9110776e-05,1240,-0.8809268,0.72001034
,1.5316883e-07,63,0.9509597,0.5376433,3.1986804,,-0.59765154,15.212421,0.241467,0.61616164,0.9941904,51.62873864173889,-0.8622418,0.14999999,1.2660394e-11,1.0919491,7.902167,0.9494981,0.9509597,0.2738097,1260,-0.87644285,0.723653
,1.484197e-07,64,0.9509597,-1.0738597,3.1772885,,-0.9494745,15.783726,0.24662071,-1.0,0.9941904,52.41193199157715,-0.8736534,0.14999999,1.04444326e-22,1.0405675,7.6979833,0.3938134,0.9509597,8.963844e-15,1280,-0.87670994,0.7184993
,1.4388809e-07,65,0.9509597,-0.44206965,3.1449647,,-0.979651,15.800945,0.24309146,-0.2929293,0.9941904,53.20571780204773,-0.8891576,0.14999999,9.217171e-06,0.86680484,5.489041,0.9478997,0.9509597,0.011604772,1300,-0.8782319,0.72202855
,1.3956085e-07,66,0.9509597,0.18411599,3.1395588,,-0.6187113,15.815697,0.23963177,0.13131313,0.9941904,53.991870164871216,-0.90424657,0.14999999,0.0033157906,1.0468894,6.3340874,0.950371,0.9509597,5.040044,1320,-0.8765462,0.72548825
,1.3542595e-07,67,0.9509597,-0.5048422,3.1330872,,-0.81409675,16.225525,0.242172,-0.5555556,0.9941904,54.76527714729309,-0.84569544,0.14999999,3.149083e-05,1.0789113,4.910258,0.5552923,0.9509597,4.7419335e-06,1340,-0.875307,0.722948
