ReturnLastEpisode,IWMax,ReturnMin,IWMin,IWFirstEpisode,delta,DenMISELogFirst,Iteration,DenMISEMeanLog,Bound,ReturnMax,IWLastEpisode,Regret,ReturnAbsMax,Regret/t,IWMean,TimestepsSoFar,LQGsigma_higher,LQGmu1_actor,ReturnMean,LQGmu1_higher,TimeElapsed,DenMISELogLast,ReturnStepMax
17.333809,5.338123,,,0.23897867,5.5040925e-07,-0.82410973,47,-1.0028093,62.89518,17.419645,0.17988403,232.5343,17.419645,4.9475384,0.9020514,940,0.14999999,-0.40798625,12.412462,-0.42857143,21.002742767333984,-0.5208815,19.209023
17.281792,7.399505,,,0.016409814,5.277145e-07,-0.84009135,48,-0.9977539,62.57103,17.419645,1.8755424e-07,232.61249,17.419645,4.846093,1.0112175,960,0.14999999,0.50990677,12.513907,0.46938777,21.44660234451294,-0.6389606,19.209023
6.7373986,8.023181,,,1.0847298e-08,5.063948e-07,-0.86036885,49,-0.996883,62.320206,17.419645,6.6780557e-22,243.23505,17.419645,4.9639807,1.0901564,980,0.14999999,-1.091636,12.39602,-1.0,21.894663095474243,-0.9264123,19.209023
17.205786,6.0005894,,,3.188456,4.8634166e-07,-0.88057154,50,-0.99647933,62.352608,17.419645,4.093191e-07,243.38922,17.419645,4.8677855,0.851635,1000,0.14999999,-0.20866627,12.492215,-0.2244898,22.340195178985596,-1.0228803,19.209023
16.952108,6.753119,,,1.8836131,4.6745637e-07,-0.8385558,51,-0.9945503,61.87785,17.419645,0.17958647,243.79718,17.419645,4.7803364,1.0480337,1020,0.14999999,0.29690665,12.579664,0.18367347,22.791041374206543,-0.7253979,19.209023
8.302046,4.7253766,,,2.3452556e-05,4.496502e-07,-0.821706,52,-0.99217963,61.060764,17.419645,1.9108585e-11,252.85516,17.419645,4.8625994,1.0975131,1040,0.14999999,-0.94855994,12.497401,-0.79591835,23.237385272979736,-0.88019013,19.209023
17.251486,7.447386,,,1.06366e-08,4.3284237e-07,-0.84075373,53,-0.98327076,60.40055,17.419645,4.525618,252.96368,17.419645,4.7728996,1.1500571,1060,0.14999999,-1.0559297,12.587101,-1.0,23.684690475463867,-0.59037447,19.209023
17.202982,5.2341814,,,0.11942502,4.1695958e-07,-0.85944587,54,-0.97785115,59.654697,17.419645,0.002829531,253.12073,17.419645,4.68742,0.9384411,1080,0.14999999,-0.50546384,12.672581,-0.46938777,24.137348651885986,-0.79931706,19.209023
17.392113,5.8921566,,,4.217796,4.0193527e-07,-0.87558585,55,-0.9724002,59.03283,17.419645,0.48226872,253.08862,17.419645,4.601611,0.85973895,1100,0.14999999,-0.33704633,12.758389,-0.18367347,24.591291427612305,-0.5936546,19.209023
17.215153,17.150433,,,1.5818122e-10,3.8770855e-07,-0.81971544,56,-0.96947163,59.03336,17.419645,2.8274258e-17,253.2334,17.419645,4.522025,1.1472629,1120,0.14999999,0.9505306,12.8379755,1.0,25.042174339294434,-0.6437493,19.209023
0.8785226,4.789199,,,0.008409276,3.7422413e-07,-0.83741504,57,-0.97275674,58.571476,17.419645,9.7726386e-23,269.71484,17.419645,4.731839,1.0106683,1140,0.14999999,-0.29243776,12.628161,-0.59183675,25.54403591156006,-1.2063314,19.209023
17.037079,5.2307444,,,1.4077209,3.6143112e-07,-0.85465926,58,-0.96787286,58.846848,17.419645,5.2307444,270.03778,17.419645,4.6558247,0.98412853,1160,0.14999999,-0.27674899,12.704176,-0.30612245,26.000443935394287,-0.68053377,19.209023
17.149233,7.3882422,,,0.19700341,3.4928303e-07,-0.8477725,59,-0.96260405,58.55511,17.419645,0.00087066507,270.24854,17.419645,4.5804844,1.1837401,1180,0.14999999,0.19070576,12.779516,0.3469388,26.462653398513794,-0.61970854,19.209023
8.773529,7.392256,,,1.0856819e-08,3.377373e-07,-0.8612461,60,-0.95980084,58.325905,17.419645,1.403369e-13,278.83508,17.419645,4.64725,1.1420746,1200,0.14999999,-0.91388726,12.71275,-1.0,26.924274682998657,-0.93331707,19.209023
17.273735,8.781736,,,6.2365936e-05,3.2675467e-07,-0.87777543,61,-0.9512502,58.254055,17.419645,2.2019431e-24,278.9214,17.419645,4.572481,0.7724229,1220,0.14999999,0.5925736,12.787519,0.67346936,27.385240077972412,-0.54246813,19.209023
