ReturnMin,DenMISEMeanLog,delta,Regret/t,ReturnAbsMax,TimeElapsed,TimestepsSoFar,IWFirstEpisode,ReturnMax,LQGmu1_higher,LQGsigma_higher,DenMISELogFirst,Iteration,Bound,LQGmu1_actor,DenMISELogLast,IWMean,Regret,ReturnStepMax,IWMax,IWLastEpisode,ReturnLastEpisode,ReturnMean,IWMin
,-0.79438657,3.0633765e-07,4.8073196,17.410635,26.46571969985962,1260,0.040123057,17.410635,-0.42857143,0.14999999,-0.77714497,63,56.250782,-0.36165726,-0.64034367,0.90407616,302.86115,19.199747,4.9598293,2.0020647,16.868345,12.552681,
,-0.79298556,2.968394e-07,4.7341957,17.410635,26.678950309753418,1280,0.002686788,17.410635,0.63265306,0.14999999,-0.79225665,64,55.829163,0.99848664,-0.59588355,1.215819,302.98853,19.199747,7.9104776,1.387165e-09,17.23263,12.625805,
,-0.80032104,2.8777617e-07,4.9280148,17.410635,26.969000339508057,1300,1.77259e-10,17.410635,-1.0,0.14999999,-0.8077188,65,55.8311,-1.0278455,-1.4360974,0.75252384,320.32092,19.199747,9.481472,3.1838048e-38,0.027536418,12.431986,
,-0.8065236,2.791217e-07,4.855792,17.410635,27.184417486190796,1320,9.315531e-09,17.410635,1.0,0.14999999,-0.8229863,66,55.7402,0.91771686,-0.93993556,0.9640105,320.48224,19.199747,11.88777,,17.198706,12.504209,
,-0.81323296,2.708519e-07,5.020979,17.410635,27.401972770690918,1340,1.712525e-05,17.410635,-0.71428573,0.14999999,-0.8380242,67,55.53543,-0.5444283,-1.1680013,1.1545696,336.40552,19.199747,4.4303546,1.6877852e-25,1.4366757,12.339022,
,-0.80711555,2.6294424e-07,4.946107,17.43034,27.61833667755127,1360,2.8628078,17.43034,-0.14285715,0.14999999,-0.852839,68,55.389015,0.21823786,-0.5298597,1.1134832,336.3352,19.218744,5.352367,0.12549351,17.43034,12.413894,
,-0.80921215,2.553779e-07,5.000351,17.43034,27.835848331451416,1380,2.955456,17.43034,0.2244898,0.14999999,-0.82619977,69,56.107193,0.2328106,-1.0414332,0.9036716,345.0243,19.218744,7.606636,7.5288787,8.671019,12.35965,
,-0.8131462,2.4813352e-07,5.0539007,17.43034,28.054680109024048,1400,0.016750649,17.43034,-0.46938777,0.14999999,-0.79864776,70,54.849834,-0.64484185,-0.9637802,0.970879,353.77307,19.218744,4.890847,0.00012152004,8.611174,12.3061,
,-0.80905896,2.4119305e-07,4.982419,17.43034,28.27332067489624,1420,6.371389e-05,17.43034,-0.67346936,0.14999999,-0.81259316,71,54.315125,-0.5429679,-0.47952408,1.1695768,353.75177,19.218744,4.273848,4.2185593,17.38133,12.377582,
,-0.80251473,2.3453978e-07,4.91269,17.43034,28.521413803100586,1440,6.0403914,17.43034,0.06122449,0.14999999,-0.8265785,72,53.860054,-0.011036582,-0.48704615,1.1273906,353.71368,19.218744,6.225006,0.001297961,17.398048,12.44731,
,-0.80002004,2.2815804e-07,4.919032,17.43034,28.867929220199585,1460,1.6896727e-10,17.43034,-1.0,0.14999999,-0.7598114,73,53.731068,-0.8451742,-0.7197639,0.76426697,359.08936,19.218744,9.263249,1.987333e-09,11.984336,12.4409685,
,-0.800213,2.2203328e-07,4.8534203,17.43034,29.08602237701416,1480,0.00071454706,17.43034,-0.59183675,0.14999999,-0.77341706,74,53.34575,-0.50532097,-0.5574684,1.1348222,359.15308,19.218744,4.304535,1.1156425,17.29624,12.50658,
,-0.79473776,2.1615185e-07,4.788478,17.43034,29.306017875671387,1500,0.19432697,17.43034,-0.3469388,0.14999999,-0.7868304,75,53.337646,-0.4801528,-0.5066545,0.9172192,359.1358,19.218744,5.095587,2.5279114,17.37722,12.571523,
,-0.7921818,2.1050109e-07,4.725602,17.43034,29.539682388305664,1520,0.42990673,17.43034,0.3877551,0.14999999,-0.797488,76,53.206665,0.258865,-0.50544906,0.75502324,359.1458,19.218744,8.116248,2.3691335e-07,17.350117,12.634398,
,-0.7978677,2.0506903e-07,4.7793665,17.43034,29.761362314224243,1540,5.194409e-06,17.43034,0.8367347,0.14999999,-0.8049193,77,52.789978,0.59694636,-0.9717443,1.1517875,368.0113,19.218744,8.719444,0.004207791,8.49454,12.580634,
,-0.8001572,1.9984455e-07,4.865526,17.43034,30.007604837417603,1560,1.9364336e-07,17.43034,-0.8367347,0.14999999,-0.81782264,78,52.65042,-0.7266651,-1.0871071,0.989919,379.51105,19.218744,4.843801,1.1478993e-19,5.8602557,12.494474,
,-0.7960552,1.948172e-07,4.8037157,17.43034,30.26174020767212,1580,0.0023121694,17.43034,-0.5510204,0.14999999,-0.8305617,79,52.732986,-0.5103344,-0.45119753,1.1336153,379.49353,19.218744,4.3439474,2.1039147,17.377518,12.556285,
,-0.7905897,1.899772e-07,4.7439985,17.43034,30.484689235687256,1600,5.629162,17.43034,-0.020408163,0.14999999,-0.8431112,80,52.04546,-0.0017837957,-0.476159,1.1209935,379.5199,19.218744,5.9248676,0.0206589,17.333647,12.616002,
,-0.7888875,1.8531539e-07,4.7787933,17.43034,30.70723056793213,1620,0.0007247064,17.43034,-0.59183675,0.14999999,-0.7875345,81,51.705338,-0.47998512,-0.7502382,1.1720744,387.08228,19.218744,4.1147637,0.0024577086,9.7975855,12.581207,
,-0.78330034,1.8082306e-07,4.7207766,17.43034,30.931229829788208,1640,0.093277246,17.43034,-0.3877551,0.14999999,-0.79979557,82,51.617115,-0.5408261,-0.48646647,0.9611014,387.10364,19.218744,4.830506,3.5809114,17.338541,12.639224,
,-0.7794269,1.7649211e-07,4.663625,17.43034,31.157668113708496,1660,0.0076673822,17.43034,0.59183675,0.14999999,-0.81078005,83,51.614502,0.42216223,-0.41174743,1.0968586,387.0808,19.218744,8.388141,1.6677989e-12,17.382803,12.696376,
,-0.78222984,1.7231491e-07,4.7257004,17.43034,31.386537075042725,1680,2.9450245,17.43034,0.2244898,0.14999999,-0.8226639,84,51.864105,0.25052392,-1.0744398,0.98782796,396.95874,19.218744,7.3284435,3.268402,7.482013,12.6343,
,-0.7847004,1.6828433e-07,4.7739487,17.43034,31.617397785186768,1700,0.00022298006,17.43034,-0.63265306,0.14999999,-0.8000391,85,50.917297,-0.85304254,-0.9572427,1.1928387,405.78564,19.218744,4.018728,2.054742e-07,8.533225,12.586052,
,-0.78051764,1.6439348e-07,4.7188616,17.43034,31.892216205596924,1720,1.9246762e-07,17.43034,-0.8367347,0.14999999,-0.81173253,86,51.013943,-0.87410414,-0.60214627,0.98768544,405.82214,19.218744,4.8804736,4.82793,17.323473,12.641139,
,-0.77867913,1.6063603e-07,4.665269,17.43034,32.13745379447937,1740,1.800415e-10,17.43034,-1.0,0.14999999,-0.8232934,87,50.498116,-0.9736257,-0.59474176,0.7451309,405.87842,19.218744,9.459679,3.3895807,17.30383,12.694732,
,-0.781663,1.5700596e-07,4.613799,17.43034,32.409061431884766,1760,1.9289407,17.43034,-0.18367347,0.14999999,-0.83472204,88,50.39957,-0.05745256,-0.77055264,0.94618857,406.01428,19.218744,5.577635,5.457708e-06,17.224104,12.7462015,
,-0.7820656,1.5349757e-07,4.598113,17.43034,32.63853478431702,1780,9.3281365e-09,17.43034,1.0,0.14999999,-0.8243386,89,50.357258,0.9167832,-0.7493483,0.8654515,409.23206,19.218744,12.590939,9.087898e-11,14.142149,12.761888,
,-0.7892034,1.5010546e-07,4.723776,17.43034,32.868905782699585,1800,6.094594,17.43034,0.06122449,0.14999999,-0.8355119,90,50.116077,-0.0039491802,-1.25315,1.1545863,425.13977,19.218744,6.255956,8.030015e-07,1.4522699,12.636225,
,-0.78733355,1.4682455e-07,4.744397,17.43034,33.09925436973572,1820,1.8664976e-07,17.43034,-0.8367347,0.14999999,-0.78103834,91,50.028046,-0.83688843,-0.75046057,1.0183299,431.7401,19.218744,4.7049713,1.1414868e-06,10.75965,12.615603,
,-0.7842859,1.4365008e-07,4.693242,17.43034,33.36270093917847,1840,0.42753994,17.43034,0.3877551,0.14999999,-0.79196745,92,49.807755,0.5034558,-0.51191956,0.85659754,431.77832,19.218744,8.028417,1.4895503e-14,17.321892,12.666759,
,-0.7892012,1.4057744e-07,4.756359,17.43034,33.59435772895813,1860,0.016742177,17.43034,-0.46938777,0.14999999,-0.79814196,93,49.466835,-0.49742,-1.0829613,1.0085244,442.34143,19.218744,4.601922,5.7704366e-09,6.796917,12.6036415,
,-0.785888,1.3760231e-07,4.7055635,17.43034,33.828553438186646,1880,4.046567e-06,17.43034,-0.75510204,0.14999999,-0.8086572,94,49.212284,-0.5537069,-0.47453076,1.1080527,442.323,19.218744,4.181764,0.9774149,17.378382,12.654437,
,-0.7810919,1.3472066e-07,4.655676,17.43034,34.06191158294678,1900,0.0002816714,17.43034,0.71428573,0.14999999,-0.8192393,95,49.0812,0.75645053,-0.42543766,1.0843519,442.28918,19.218744,8.821271,1.2378677e-15,17.393906,12.704325,
,-0.7843053,1.3192863e-07,4.7474403,17.43034,34.298588275909424,1920,0.006556362,17.43034,-0.5102041,0.14999999,-0.8297076,96,49.056572,-0.67160195,-1.1471614,1.0933847,455.75427,19.218744,4.3102007,2.7469058e-15,3.894812,12.61256,
,-0.7793384,1.2922246e-07,4.698186,17.43034,34.53279376029968,1940,4.807928,17.43034,-0.06122449,0.14999999,-0.8400021,97,48.938644,-0.09292072,-0.38291383,1.0975181,455.724,19.218744,5.843502,0.0009897772,17.390173,12.661815,
,-0.77802134,1.265987e-07,4.66982,17.43034,34.76852750778198,1960,1.7622744e-10,17.43034,-1.0,0.14999999,-0.8018816,98,48.51415,-1.0205415,-0.72848785,0.7477465,457.64233,19.218744,9.430404,6.3158545e-08,15.441722,12.690181,
,-0.78214544,1.2405411e-07,4.624322,17.43034,35.16650366783142,1980,6.367823e-05,17.43034,-0.67346936,0.14999999,-0.812034,99,48.38937,-0.8152398,-0.92022115,1.1535211,457.80786,19.218744,3.966019,0.45910954,17.194492,12.735679,
,-0.7776236,1.2158542e-07,4.5782843,17.43034,35.407490730285645,2000,1.2135797,17.43034,-0.2244898,0.14999999,-0.8220837,100,48.32886,-0.28197253,-0.47137386,0.89992195,457.82837,19.218744,5.4926686,0.0018259054,17.339512,12.781716,
,-0.7775512,1.1918971e-07,4.535634,17.43034,35.64418077468872,2020,2.9371052,17.43034,0.2244898,0.14999999,-0.81997126,101,48.104206,0.2056692,-0.65949464,0.9485036,458.09912,19.218744,7.3557754,0.01720741,17.08934,12.824367,
,-0.77976304,1.1686409e-07,4.575877,17.43034,35.91218876838684,2040,1.9044313e-07,17.43034,-0.8367347,0.14999999,-0.80115813,102,48.054695,-0.994655,-0.9335463,1.0332124,466.7395,19.218744,4.569322,2.205111e-10,8.719528,12.784123,
,-0.7800223,1.14605925e-07,4.532956,17.43034,36.1524453163147,2060,1.7782655e-10,17.43034,-1.0,0.14999999,-0.8109143,103,48.019054,-0.8737291,-0.82779884,0.8208895,466.89453,19.218744,8.914017,6.0820727,17.205008,12.8270445,
