Bound,IWMax,LQGmu1_higher,DenMISELogFirst,ReturnLastEpisode,IWLastEpisode,ReturnStepMax,IWMean,Regret/t,DenMISELogLast,TimeElapsed,ReturnMin,Regret,ReturnMean,ReturnMax,delta,LQGsigma_higher,LQGmu1_actor,IWFirstEpisode,ReturnAbsMax,Iteration,DenMISEMeanLog,IWMin,TimestepsSoFar
69.90878,8.364065,-1.0,-0.5635003,17.395245,0.052414842,19.218979,1.0446805,4.2630863,-0.5595427,13.652762174606323,,153.4711,13.096914,17.43024,9.3815913e-07,0.14999999,-1.3423088,1.6952883e-06,17.43024,36,-0.82622033,,720
69.314575,8.069141,0.5510204,-0.5908992,17.193197,2.4681844e-33,19.218979,0.8802381,4.152375,-3.5999029,14.068769693374634,,153.63788,13.207625,17.43024,8.881331e-07,0.14999999,0.6775666,3.021079e-05,17.43024,37,-0.9018754,,740
68.94621,8.535998,0.8367347,-0.61756665,4.924739,4.2035947,19.218979,1.1942027,4.370346,-1.0207473,14.479604005813599,,166.07318,12.989655,17.43024,8.4200434e-07,0.14999999,0.6786612,4.5219195e-10,17.43024,38,-0.909365,,760
68.7506,5.90543,0.18367347,-0.6435422,4.9112225,0.029460737,19.218979,0.763641,4.577484,-0.9418534,14.894263744354248,,178.52191,12.7825165,17.43024,7.993782e-07,0.14999999,0.18862948,0.25468534,17.43024,39,-0.90733814,,780
68.41967,5.0713177,-0.46938777,-0.6623508,8.7807,0.0004298006,19.218979,1.0618255,4.6775303,-0.89155823,15.257362842559814,,187.1012,12.68247,17.43024,7.599088e-07,0.14999999,-0.39366984,0.83462405,17.43024,40,-0.9134741,,800
67.21758,5.332266,-0.14285715,-0.6663925,17.246164,1.1746593,19.218979,1.2123696,4.5662203,-0.5807305,15.464536190032959,,187.21503,12.79378,17.43024,7.2329226e-07,0.14999999,-0.32239473,4.9957094,17.43024,41,-0.9045869,,820
66.2876,8.173856,-1.0,-0.575514,17.198498,0.00017345959,19.218979,1.0776068,4.4613466,-0.5655625,15.789361000061035,,187.37653,12.898654,17.43024,6.8925965e-07,0.14999999,-0.820987,1.7157773e-06,17.43024,42,-0.89246094,,840
65.84984,4.842752,-0.3877551,-0.5990445,17.346544,0.080654725,19.218979,1.1492778,4.3579082,-0.6751268,16.206422567367554,,187.39008,13.002092,17.43024,6.5757393e-07,0.14999999,-0.2389436,1.9088619,17.43024,43,-0.8871051,,860
65.793755,7.464643,1.0,-0.578599,17.0076,7.0216715e-15,19.218979,0.55061316,4.2668753,-0.5427397,16.82224130630493,,187.7425,13.093125,17.43024,6.280238e-07,0.14999999,1.0566558,1.4699049e-13,17.43024,44,-0.87658215,,880
65.07602,5.3870273,-0.75510204,-0.60107183,,2.309713e-31,19.218979,0.90765417,4.5578327,-1.4225191,17.246172666549683,,205.10248,12.802168,17.43024,6.0042186e-07,0.14999999,-0.75832504,0.0033746283,17.43024,45,-0.8991294,,900
64.5692,8.157023,0.3469388,-0.62297577,17.37106,8.116417e-12,19.218979,0.67572695,4.4585085,-0.6315373,17.60517716407776,,205.09143,12.901492,17.43024,5.7460034e-07,0.14999999,0.4909679,0.0096378345,17.43024,46,-0.8958549,,920
63.704468,4.944481,-0.2244898,-0.64427245,6.9099813,8.596549e-05,19.218979,1.2229315,4.585986,-1.0353606,17.82618808746338,,215.54138,12.774014,17.43024,5.5040925e-07,0.14999999,-0.35443094,4.8763204,17.43024,47,-0.9062503,,940
63.53103,5.03026,-0.59183675,-0.56661105,17.216192,1.2919612,19.218979,1.0694827,4.4934416,-0.5304581,18.1025607585907,,215.68518,12.866559,17.43024,5.277145e-07,0.14999999,-0.90206933,0.11443834,17.43024,48,-0.8945387,,960
63.569096,8.288613,0.67346936,-0.584849,17.276098,5.9305005e-24,19.218979,1.232921,4.403451,-0.7025973,18.46303367614746,,215.7691,12.95655,17.43024,5.063948e-07,0.14999999,0.71301883,3.9602372e-07,17.43024,49,-0.8897842,,980
62.800304,8.137044,-1.0,-0.60505176,4.4758854,3.4759564e-28,19.218979,1.0688777,4.573065,-1.0049554,18.87337017059326,,228.6532,12.786936,17.43024,4.8634166e-07,0.14999999,-1.1252469,1.7672141e-06,17.43024,50,-0.88872176,,1000
62.78975,6.8939357,0.06122449,-0.6248543,17.187212,2.44072e-13,19.218979,0.9252697,4.486784,-1.2630488,19.225943088531494,,228.82599,12.873217,17.43024,4.6745637e-07,0.14999999,-0.0047796667,1.3184484,17.43024,51,-0.8956911,,1020
61.117622,5.199734,-0.79591835,-0.61874896,11.808452,5.2787855e-06,19.218979,0.91029096,4.5072594,-0.778903,19.464788913726807,,234.3775,12.852741,17.43024,4.496502e-07,0.14999999,-0.7937411,0.00117269,17.43024,52,-0.8955052,,1040
60.955574,4.839159,-0.3469388,-0.63777465,17.356127,0.057238422,19.218979,1.1290541,4.422291,-0.59756273,19.671447038650513,,234.38141,12.93771,17.43024,4.3284237e-07,0.14999999,-0.27006343,2.7717147,17.43024,53,-0.89196044,,1060
60.11221,5.4089913,-0.10204082,-0.6054918,17.01536,2.4489012,19.218979,1.1329843,4.346779,-0.5448269,19.878584623336792,,234.72607,13.013222,17.43024,4.1695958e-07,0.14999999,-0.1946353,4.2107806,17.43024,54,-0.8836413,,1080
59.950478,7.6788774,-1.0,-0.54875445,16.79295,2.5147137e-06,19.218979,1.0813754,4.278057,-0.5420774,20.086025953292847,,235.29315,13.0819435,17.43024,4.0193527e-07,0.14999999,-0.9299312,1.6704735e-06,17.43024,55,-0.87552255,,1100
59.62973,8.1876335,0.46938777,-0.56677294,17.26156,6.2230747e-19,19.218979,0.8191075,4.2034216,-0.6141583,20.29276728630066,,235.3916,13.156579,17.43024,3.8770855e-07,0.14999999,0.7300509,0.00036484498,17.43024,56,-0.87017983,,1120
59.036842,4.62844,-0.26530612,-0.584466,4.2521067,2.2090902e-09,19.218979,1.2137791,4.35964,-1.1074831,20.501635551452637,,248.49945,13.0003605,17.43024,3.7422413e-07,0.14999999,-0.42629045,4.106148,17.43024,57,-0.87797564,,1140
59.085274,5.045189,-0.5510204,-0.53229654,17.30979,3.3050413,19.218979,1.0000248,4.2853403,-0.562991,20.714199781417847,,248.54968,13.07466,17.43024,3.6143112e-07,0.14999999,-0.6942598,0.22366916,17.43024,58,-0.8693555,,1160
59.2815,5.070073,-0.79591835,-0.545542,17.374067,3.957699,19.218979,0.99750274,4.212468,-0.6271358,20.92587184906006,,248.53558,13.147532,17.43024,3.4928303e-07,0.14999999,-0.94074845,0.0010899081,17.43024,59,-0.8655764,,1180
58.696796,13.566394,1.0,-0.56233066,17.251852,2.2365538e-36,19.218979,0.7255639,4.144063,-0.633806,21.136109590530396,,248.64386,13.215938,17.43024,3.377373e-07,0.14999999,0.9549174,1.4461835e-13,17.43024,60,-0.8621069,,1200
58.066517,8.422622,0.75510204,-0.5788599,0.8024187,3.7563748,19.218979,1.329105,4.3475637,-1.2325212,21.34942936897278,,265.20142,13.012437,17.43024,3.2675467e-07,0.14999999,1.1243635,1.517509e-08,17.43024,61,-0.8732585,,1220
57.966553,7.5791974,-1.0,-0.5951205,,,19.218979,1.1043177,4.5574417,-1.8828266,21.565027236938477,,282.5614,12.802559,17.43024,3.162992e-07,0.14999999,-0.6739565,1.7497499e-06,17.43024,62,-0.8851809,,1240
57.68019,7.9788814,0.18367347,-0.61112076,17.38904,3.9393427e-07,19.218979,0.69222444,4.48464,-0.6198306,21.779287099838257,,282.53235,12.8753605,17.43024,3.0633765e-07,0.14999999,0.4557075,0.24656048,17.43024,63,-0.8799145,,1260
57.682243,5.021633,-0.67346936,-0.62296313,7.213896,3.917932e-12,19.218979,1.0505676,4.5731,-1.0905981,21.99316096305847,,292.6784,12.7869005,17.43024,2.968394e-07,0.14999999,-0.58181405,0.023697514,17.43024,64,-0.8882844,,1280
57.279728,4.8381147,-0.42857143,-0.6380971,17.409733,2.8416245,19.218979,1.0692718,4.50198,-0.58804554,22.404148817062378,,292.62866,12.858021,17.43024,2.8777617e-07,0.14999999,-0.30004522,1.319546,17.43024,65,-0.88322455,,1300
56.332256,4.864279,-0.2244898,-0.63326716,17.130161,4.071927,19.218979,1.174469,4.437251,-0.55279326,22.8066725730896,,292.85852,12.9227495,17.43024,2.791217e-07,0.14999999,-0.19057724,4.822949,17.43024,66,-0.8774374,,1320
55.58389,6.1483793,-0.020408163,-0.57777673,16.589819,2.471014,19.218979,0.94535357,4.382518,-0.5699476,23.214227437973022,,293.62866,12.977483,17.43024,2.708519e-07,0.14999999,0.35880017,2.6319947,17.43024,67,-0.87061137,,1340
55.936295,8.117743,0.3877551,-0.5540603,7.9325423,8.117743,19.218979,0.8183493,4.456708,-1.1345015,23.653062105178833,,303.0561,12.903293,17.43024,2.6294424e-07,0.14999999,0.6759603,0.0033142525,17.43024,68,-0.8756006,,1360
55.468758,4.9988937,-0.79591835,-0.5686103,4.944534,1.011623e-20,19.218979,0.9782217,4.572053,-1.1244909,23.930394649505615,,315.47168,12.787948,17.43024,2.553779e-07,0.14999999,-0.5395973,0.0011153423,17.43024,69,-0.8822197,,1380
55.65712,4.709306,-0.5102041,-0.5829829,17.381302,4.709306,19.218979,1.0530217,4.5064325,-0.5905581,24.164172410964966,,315.45032,12.853568,17.43024,2.4813352e-07,0.14999999,-0.24742723,0.44197574,17.43024,70,-0.87860733,,1400
55.140995,8.089358,0.63265306,-0.5908734,16.993835,1.5409441e-07,19.218979,1.2525219,4.44812,-0.5481482,24.672194480895996,,315.81653,12.9118805,17.43024,2.4119305e-07,0.14999999,0.53182197,1.8159278e-06,17.43024,71,-0.873433,,1420
55.158195,4.578434,-0.30612245,-0.60485965,6.529542,1.2603733e-06,19.218979,1.1867766,4.536763,-1.0410669,25.108904123306274,,326.64697,12.823237,17.43024,2.3453978e-07,0.14999999,-0.3978715,3.4789717,17.43024,72,-0.87290287,,1440
53.851475,7.935899,-1.0,-0.571465,17.325052,0.0013911562,19.218979,0.9737783,4.475095,-0.50106055,25.552375316619873,,326.6819,12.884906,17.43024,2.2815804e-07,0.14999999,-1.1137892,1.7088437e-06,17.43024,73,-0.86554617,,1460
53.712845,4.4089804,-0.3469388,-0.5850706,17.200233,1.861586e-05,19.218979,1.1571631,4.4167786,-1.1983123,26.063671112060547,,326.8416,12.943222,17.43024,2.2203328e-07,0.14999999,-0.63439643,2.6294167,17.43024,74,-0.87079,,1480
54.33972,4.7840347,-0.63265306,-0.5635777,17.370178,4.7840347,19.218979,1.0470947,4.357753,-0.58717024,26.54342794418335,,326.83142,13.002248,17.43024,2.1615185e-07,0.14999999,-0.5613972,0.05237949,17.43024,75,-0.8651585,,1500
53.216347,15.174291,1.0,-0.5761248,17.360458,1.3214734e-23,19.218979,0.9157546,4.3004074,-0.51802695,27.012690782546997,,326.83105,13.059593,17.43024,2.1050109e-07,0.14999999,0.9847002,1.4662703e-13,17.43024,76,-0.8602037,,1520
53.042892,4.563276,-0.59183675,-0.58919686,0.27646744,1.0290742e-23,19.218979,1.0627794,4.466422,-1.3236591,27.485012769699097,,343.91455,12.893579,17.43024,2.0506903e-07,0.14999999,-0.6001886,0.117052436,17.43024,77,-0.8679289,,1540
52.627323,7.3550653,0.26530612,-0.6005813,17.404663,2.5790112e-07,19.218979,0.662086,4.4085875,-0.49737832,27.953340768814087,,343.86987,12.951413,17.43024,1.9984455e-07,0.14999999,0.22970092,0.055604927,17.43024,78,-0.86258304,,1560
52.52542,7.7459006,-1.0,-0.61260766,8.624269,1.9166521e-14,19.218979,0.9838025,4.4633617,-1.0398611,28.426169872283936,,352.6056,12.896639,17.43024,1.948172e-07,0.14999999,-1.1414589,1.7806178e-06,17.43024,79,-0.86927855,,1580
52.435867,5.7498894,-0.10204082,-0.62518644,17.199236,3.9079576e-10,19.218979,0.981603,4.4095793,-1.367651,28.88351607322693,,352.76636,12.950421,17.43024,1.899772e-07,0.14999999,-0.28310028,4.294533,17.43024,80,-0.8760544,,1600
52.35624,4.3011394,-0.46938777,-0.58531857,17.162716,2.056322,19.218979,1.0871719,4.3575773,-0.513916,29.373088598251343,,352.96375,13.002423,17.43024,1.8531539e-07,0.14999999,-0.4357469,0.7727451,17.43024,81,-0.87201095,,1620
52.276073,8.3224745,0.5510204,-0.5880938,17.346022,1.6981125e-09,19.218979,1.0833133,4.3046064,-0.46606502,29.8977530002594,,352.97766,13.055394,17.43024,1.8082306e-07,0.14999999,0.8288399,3.0126146e-05,17.43024,82,-0.8661566,,1640
51.87865,8.786532,0.79591835,-0.6002148,2.8499787,8.786532,19.218979,1.2690471,4.4275627,-1.2191238,30.387479543685913,,367.48767,12.932438,17.43024,1.7649211e-07,0.14999999,0.727514,2.7237967e-09,17.43024,83,-0.8697835,,1660
51.79621,4.455497,-0.30612245,-0.612191,4.285773,3.8113185e-10,19.218979,1.1570715,4.5304995,-1.0762634,30.86540126800537,,380.5619,12.829501,17.43024,1.7231491e-07,0.14999999,-0.45627153,3.504571,17.43024,84,-0.86953,,1680
51.612038,4.539013,-0.59183675,-0.5831512,17.338938,2.8358755,19.218979,1.0857236,4.4774466,-0.47256774,31.36876082420349,,380.583,12.882554,17.43024,1.6828433e-07,0.14999999,-0.63521177,0.116346925,17.43024,85,-0.86321545,,1700
51.4673,7.679262,-1.0,-0.5934794,17.393784,0.23184541,19.218979,0.99718606,4.4249907,-0.5172556,31.85052728652954,,380.5492,12.93501,17.43024,1.6439348e-07,0.14999999,-0.85108966,1.7468803e-06,17.43024,86,-0.8583734,,1720
51.515995,4.8644285,-0.75510204,-0.6050402,17.31764,4.075347,19.218979,0.97341657,4.3746157,-0.6315216,32.330819845199585,,380.59155,12.985385,17.43024,1.6063603e-07,0.14999999,-0.59692425,0.003388046,17.43024,87,-0.85610175,,1740
51.168297,7.657215,0.10204082,-0.61643,17.41869,8.342477e-05,19.218979,0.7135529,4.324237,-0.48697075,32.817791223526,,380.53284,13.035764,17.43024,1.5700596e-07,0.14999999,0.10948118,0.8087904,17.43024,88,-0.8523495,,1760
51.128807,4.2773056,-0.46938777,-0.6185807,8.995523,0.004191918,19.218979,1.1316203,4.3696327,-0.99364924,33.305248498916626,,388.89734,12.990368,17.43024,1.5349757e-07,0.14999999,-0.3296829,0.79888046,17.43024,89,-0.8573149,,1780
50.363373,4.382768,-0.30612245,-0.62081784,17.270506,4.2397,19.218979,1.1490482,4.322076,-0.4786464,33.794392585754395,,388.98682,13.037925,17.43024,1.5010546e-07,0.14999999,-0.4263793,3.5349348,17.43024,90,-0.8517874,,1800
50.107918,4.2976794,-0.59183675,-0.59334236,17.326502,2.2111006,19.218979,1.1086706,4.274948,-0.42366835,34.28717923164368,,389.02026,13.0850525,17.43024,1.4682455e-07,0.14999999,-0.32225895,0.117538676,17.43024,91,-0.8456166,,1820
49.885674,4.033076,-0.3877551,-0.6029806,17.123348,3.7897677,19.218979,1.1704751,4.2310543,-0.44945103,34.77692651748657,,389.25708,13.128946,17.43024,1.4365008e-07,0.14999999,-0.33766145,1.9163902,17.43024,92,-0.84027904,,1840
49.61263,8.366526,0.3877551,-0.59317523,17.152477,3.3415396e-05,19.218979,0.7641198,4.18779,-0.4093072,35.27352547645569,,389.46448,13.172211,17.43024,1.4057744e-07,0.14999999,0.3099928,0.003446458,17.43024,93,-0.83395386,,1860
49.412354,4.946989,-0.18367347,-0.60383344,8.229736,0.035128385,19.218979,1.0491639,4.240369,-1.088771,35.772539138793945,,398.59473,13.119632,17.43024,1.3760231e-07,0.14999999,-0.18582499,4.8647127,17.43024,94,-0.839354,,1880
49.404186,7.7834415,-1.0,-0.5639579,16.719847,1.8639194e-06,19.218979,0.94627637,4.2024736,-0.5596769,36.272974252700806,,399.235,13.157527,17.43024,1.3472066e-07,0.14999999,-0.88202536,1.6960645e-06,17.43024,95,-0.8360334,,1900
49.442505,4.9198117,-0.79591835,-0.5744292,17.299536,4.30704,19.218979,0.90317935,4.1593275,-0.6468344,36.7800657749176,,399.2954,13.200673,17.43024,1.3192863e-07,0.14999999,-1.0444181,0.0011218511,17.43024,96,-0.83485633,,1920
49.10187,15.803953,1.0,-0.58478034,17.191965,,19.218979,0.94579655,4.1181793,-0.88806957,37.28981375694275,,399.46338,13.241821,17.43024,1.2922246e-07,0.14999999,1.0325711,1.4790167e-13,17.43024,97,-0.8365051,,1940
49.038578,7.6815033,0.10204082,-0.59503686,,5.389403e-08,19.218979,0.7585482,4.2532997,-1.5274988,37.79407835006714,,416.82336,13.106701,17.43024,1.265987e-07,0.14999999,0.049857,0.79167163,17.43024,98,-0.8445165,,1960
48.888412,4.1454897,-0.3469388,-0.5971434,9.114341,0.20567572,19.218979,1.1751432,4.293627,-0.9391844,38.22403049468994,,425.06897,13.066374,17.43024,1.2405411e-07,0.14999999,-0.36747336,2.6613536,17.43024,99,-0.8480567,,1980
48.648125,7.5624866,-1.0,-0.58066636,17.17806,0.00054891896,19.218979,0.9743314,4.25251,-0.4051481,38.48926258087158,,425.25098,13.107491,17.43024,1.2158542e-07,0.14999999,-0.96443313,1.724641e-06,17.43024,100,-0.8420115,,2000
48.596077,9.02259,0.67346936,-0.59061664,17.236383,6.738742e-26,19.218979,1.2012689,4.21163,-0.6785838,38.90579533576965,,425.37463,13.148371,17.43024,1.1918971e-07,0.14999999,0.6542604,3.9831414e-07,17.43024,101,-0.8408578,,2020
48.275604,4.065581,-0.42857143,-0.60046893,5.2073455,4.0195066e-11,19.218979,1.1442926,4.289482,-1.1406544,39.40560841560364,,437.52722,13.0705185,17.43024,1.1686409e-07,0.14999999,-0.533795,1.2708166,17.43024,102,-0.84216726,,2040
48.054962,6.1359806,-0.06122449,-0.5978431,17.381907,0.0288898,19.218979,0.88604957,4.2476244,-0.44028336,39.79559922218323,,437.50537,13.112376,17.43024,1.14605925e-07,0.14999999,0.33594018,3.4761503,17.43024,103,-0.8369731,,2060
48.160286,8.394735,0.30612245,-0.574313,8.07714,8.287107,19.218979,0.8086284,4.2960405,-1.1562772,40.065261363983154,,446.7882,13.06396,17.43024,1.1241255e-07,0.14999999,0.28584582,0.023139479,17.43024,104,-0.84124815,,2080
