DenMISEMeanLog,ReturnAbsMax,IWLastEpisode,ReturnLastEpisode,Iteration,delta,TimestepsSoFar,Regret,LQGmu1_actor,DenMISELogFirst,IWFirstEpisode,Bound,IWMean,LQGsigma_higher,DenMISELogLast,IWMin,ReturnMax,ReturnMin,ReturnStepMax,TimeElapsed,Regret/t,LQGmu1_higher,IWMax,ReturnMean
-0.9217847,17.393269,1.0351609e-31,3.0318491,42,6.8925965e-07,840,229.51779,-0.97215587,-0.8137073,8.44227e-15,66.263756,1.2968556,0.14999999,-1.0185014,,17.393269,,19.183083,15.367217302322388,5.46471,-1.0,6.7011404,11.89529
-0.9075697,17.393269,1.848366e-05,17.229202,43,6.5757393e-07,860,229.64862,-0.08176352,-0.8372378,0.050300926,66.15964,0.9305113,0.14999999,-0.5455198,,17.393269,,19.183083,15.84139895439148,5.340665,-0.2244898,5.9017863,12.019336
-0.90809196,17.393269,4.8469934,15.555027,44,6.280238e-07,880,231.45361,-0.22876795,-0.8590582,2.139591,66.07431,1.1033225,0.14999999,-0.83215624,,17.393269,,19.183083,16.324301958084106,5.260309,0.020408163,6.046457,12.099691
-0.90196466,17.393269,2.1990225,16.85301,45,6.0042186e-07,900,231.96057,-0.33146995,-0.8340493,0.00029274306,64.37911,0.93215847,0.14999999,-0.69697446,,17.393269,,19.183083,16.812674045562744,5.1546793,-0.42857143,5.672469,12.205321
-0.8981504,17.393269,3.8638208,17.198097,46,5.7460034e-07,920,232.12256,-0.17909345,-0.8560217,0.051254697,63.03971,1.044958,0.14999999,-0.62780297,,17.393269,,19.183083,17.245428800582886,5.0461416,-0.2244898,5.2018657,12.313859
-0.89191955,17.393269,1.552151e-06,16.612097,47,5.5040925e-07,940,232.87042,-0.9469154,-0.8764143,8.988635e-15,63.02041,1.2588284,0.14999999,-0.6212302,,17.393269,,19.183083,17.68621826171875,4.95469,-1.0,6.4670663,12.405311
-0.8802473,17.393269,2.9957516e-14,17.249283,48,5.277145e-07,960,232.98108,0.32162952,-0.89746773,6.43656,61.81735,1.2738942,0.14999999,-0.53795826,,17.393269,,19.183083,18.126809120178223,4.853772,0.26530612,6.6308575,12.506228
-0.87494206,17.393269,1.7072578e-09,8.162817,49,5.063948e-07,980,242.17828,-0.9087268,-0.79225206,5.0900645e-08,61.57109,0.64154303,0.14999999,-0.8383725,,17.393269,,19.183083,18.4801926612854,4.9424143,-0.67346936,5.5022416,12.417586
-0.8758702,17.393269,5.4370105e-23,17.268747,50,4.8634166e-07,1000,242.26953,0.5470787,-0.81245476,0.19662006,61.640255,0.52752626,0.14999999,-0.55230397,,17.393269,,19.183083,18.687233924865723,4.8453913,0.63265306,6.19142,12.514609
-0.88785034,17.393269,5.7732684e-23,6.379675,51,4.6745637e-07,1020,253.24988,-0.96408224,-0.82833266,8.56665e-15,61.202465,1.2818973,0.14999999,-1.0034405,,17.393269,,19.183083,18.93266201019287,4.965684,-1.0,6.1660395,12.394317
-0.87636715,17.393269,3.0296826e-07,17.234089,52,4.496502e-07,1040,253.3758,-0.013872705,-0.8477508,0.45759922,60.865566,0.95399004,0.14999999,-0.5258584,,17.393269,,19.183083,19.37430500984192,4.872611,-0.10204082,5.87839,12.48739
-0.8755581,17.393269,6.8620154e-10,10.984859,53,4.3284237e-07,1060,259.75092,0.8583646,-0.8580375,1.700735e-05,60.631298,1.2659761,0.14999999,-0.7650352,,17.393269,,19.183083,19.818418741226196,4.900961,1.0,15.238014,12.45904
-0.87737304,17.393269,1.5204871e-27,2.396438,54,4.1695958e-07,1080,274.71448,-0.6268294,-0.8767293,4.0352693e-11,59.93143,1.008383,0.14999999,-1.123544,,17.393269,,19.183083,20.105261087417603,5.087304,-0.8367347,5.005433,12.2726965
-0.8761067,17.405561,1.6499823,17.405561,55,4.0193527e-07,1100,274.66895,-0.35709262,-0.8950784,0.0010093584,60.05327,0.98033243,0.14999999,-0.7927282,,17.405561,,19.194527,20.530539751052856,4.9939804,-0.3877551,5.4865327,12.36602
-0.8725234,17.405561,0.046038784,17.271145,56,3.8770855e-07,1120,274.7578,0.093603626,-0.91307855,4.328112,59.265186,1.1642371,0.14999999,-0.62807053,,17.405561,,19.194527,20.99903178215027,4.906389,0.10204082,6.3837852,12.453611
-0.8687186,17.405561,0.48168728,9.024881,57,3.7422413e-07,1140,283.0929,0.49435145,-0.85633165,2.8537674,58.572407,0.92765415,0.14999999,-0.7847681,,17.405561,,19.194527,21.508142709732056,4.9665422,0.42857143,7.551118,12.393458
-0.8724471,17.405561,2.0209509e-10,6.879627,58,3.6143112e-07,1160,293.57324,-0.568487,-0.8248703,5.4500415e-06,58.424515,0.6822406,0.14999999,-0.98403096,,17.405561,,19.194527,21.959460735321045,5.0616083,-0.5510204,5.2949257,12.298392
-0.8756468,17.405561,0.71958625,17.356417,59,3.4928303e-07,1180,293.57678,-0.19356267,-0.8419646,0.020950826,57.79396,1.0464069,0.14999999,-0.7353762,,17.405561,,19.194527,22.41517663002014,4.9758787,-0.26530612,5.1156754,12.384122
-0.8712432,17.405561,2.6504927e-06,16.811474,60,3.377373e-07,1200,294.12543,-1.0367353,-0.8584167,8.828307e-15,57.54677,1.1963907,0.14999999,-0.6330819,,17.405561,,19.194527,22.921056032180786,4.902089,-1.0,6.3976135,12.4579115
-0.8656317,17.405561,2.0392548e-32,17.199207,61,3.2675467e-07,1220,294.28625,0.8142374,-0.874946,0.00672607,57.090214,0.81160635,0.14999999,-0.68767315,,17.405561,,19.194527,23.37714171409607,4.8243637,0.79591835,9.038638,12.535637
-0.87316084,17.405561,3.2371963e-07,3.0684268,62,3.162992e-07,1240,308.57776,-0.025391523,-0.8910963,0.857258,56.807404,0.99770814,0.14999999,-1.11029,,17.405561,,19.194527,23.833014488220215,4.9770603,-0.06122449,5.8058367,12.38294
-0.8713288,17.405561,1.0326425e-05,12.818176,63,3.0633765e-07,1260,313.11963,-0.8744366,-0.8933646,2.7907188e-10,56.46392,0.8846548,0.14999999,-0.73460615,,17.405561,,19.194527,24.29119372367859,4.970153,-0.79591835,5.282534,12.389848
-0.8681744,17.405561,3.209425,17.298477,64,2.968394e-07,1280,313.1811,-1.0738597,-0.90911293,9.2873825e-15,55.84967,1.202129,0.14999999,-0.53826964,,17.405561,,19.194527,24.75233221054077,4.8934546,-1.0,6.1364355,12.466546
-0.8643278,17.405561,2.87558e-17,17.196337,65,2.8777617e-07,1300,313.34473,0.11616577,-0.9246171,6.6137023,55.59881,1.2014902,0.14999999,-0.7866861,,17.405561,,19.194527,25.216429233551025,4.8206882,0.26530612,6.818125,12.539312
-0.86111355,17.405561,0.051197797,8.981791,66,2.791217e-07,1320,321.72296,-0.29413593,-0.84298545,0.002886153,55.567974,1.0082806,0.14999999,-0.81566715,,17.405561,,19.194527,25.67747712135315,4.874591,-0.3469388,5.1992927,12.48541
-0.85741717,17.405561,1.2861128e-07,17.124338,67,2.708519e-07,1340,321.95862,0.6425501,-0.8579796,0.4038862,55.09546,0.68951964,0.14999999,-0.59862995,,17.405561,,19.194527,26.139673233032227,4.805353,0.59183675,7.8063955,12.554647
-0.8653253,17.405561,1.5262356e-14,5.345609,68,2.6294424e-07,1360,333.97302,-0.64498097,-0.86678463,1.3029315e-06,55.052437,0.6542682,0.14999999,-1.0686814,,17.405561,,19.194527,26.622443914413452,4.9113693,-0.59183675,5.866909,12.448631
-0.86862296,17.405561,8.5668486e-05,17.394888,69,2.553779e-07,1380,333.93823,-0.10825111,-0.8813834,3.1431003,55.028713,1.1495633,0.14999999,-0.7395979,,17.405561,,19.194527,27.08555555343628,4.8396835,0.06122449,6.159803,12.520317
-0.8646601,17.405561,4.7796307,15.7993355,70,2.4813352e-07,1400,335.49884,-0.0796925,-0.851227,0.114267446,55.314316,1.0734166,0.14999999,-0.71259356,,17.405561,,19.194527,27.553131818771362,4.79284,-0.18367347,5.2150545,12.567161
-0.8613099,17.405561,3.517811e-08,14.816082,71,2.4119305e-07,1420,338.04272,-0.9503463,-0.86378056,8.875785e-15,54.561512,1.1989533,0.14999999,-0.68044263,,17.405561,,19.194527,28.021615505218506,4.7611647,-1.0,6.211769,12.598836
-0.85439706,17.405561,8.800334e-37,17.2419,72,2.3453978e-07,1440,338.16083,0.7506386,-0.8777668,1.7346214e-05,54.49643,1.1144707,0.14999999,-0.530979,,17.405561,,19.194527,28.49647092819214,4.696678,1.0,15.735927,12.663322
-0.85805815,17.405561,7.017814e-23,3.9745607,73,2.2815804e-07,1460,351.54626,-0.61898106,-0.8915599,2.7856878e-10,53.909065,0.9041117,0.14999999,-1.1627773,,17.405561,,19.194527,28.96915102005005,4.8157024,-0.79591835,5.187378,12.544298
-0.8583387,17.405561,5.1799536,17.37129,74,2.2203328e-07,1480,351.5349,-0.48817432,-0.90516555,5.9057047e-06,53.83366,0.7604096,0.14999999,-0.7692514,,17.405561,,19.194527,29.43923854827881,4.750472,-0.5510204,5.7381744,12.609529
-0.8594157,17.405561,0.19283569,17.34454,75,2.1615185e-07,1500,351.5503,-0.12655085,-0.91858846,0.4911902,53.709763,1.0839924,0.14999999,-0.6892148,,17.405561,,19.194527,29.91318106651306,4.687338,-0.10204082,5.486617,12.672663
-0.8557751,17.405561,1.7257707,16.231009,76,2.1050109e-07,1520,352.67944,-0.54949665,-0.92530584,0.003133795,53.191444,1.0217568,0.14999999,-0.6468444,,17.405561,,19.194527,30.38822054862976,4.640518,-0.3469388,4.997532,12.719482
-0.85380465,17.405561,4.6280375,17.40023,77,2.0506903e-07,1540,352.63922,-0.796042,-0.93833673,2.9796155e-07,52.89467,0.8019713,0.14999999,-0.7076178,,17.405561,,19.194527,30.868114948272705,4.579729,-0.63265306,5.499539,12.780272
-0.8532254,17.405561,1.920692,17.337763,78,1.9984455e-07,1560,352.66144,-0.78782773,-0.9512401,9.687014e-15,52.682377,1.1650622,0.14999999,-0.5989231,,17.405561,,19.194527,31.34664487838745,4.5213003,-1.0,6.248851,12.8387
-0.84820807,17.405561,4.813482,17.360659,79,1.948172e-07,1580,352.66077,-0.4275388,-0.9639791,2.994912e-10,52.57625,0.9729735,0.14999999,-0.5946939,,17.405561,,19.194527,31.82747530937195,4.46406,-0.79591835,4.813482,12.895941
