ReturnMin,Iteration,TimestepsSoFar,IWLastEpisode,LQGmu1_actor,Regret/t,DenMISELogFirst,ReturnStepMax,ReturnLastEpisode,ReturnMean,delta,IWMean,Regret,Bound,DenMISEMeanLog,LQGsigma_higher,LQGmu1_higher,DenMISELogLast,ReturnAbsMax,IWFirstEpisode,IWMin,IWMax,ReturnMax,TimeElapsed
,34,680,3.9594912e-08,-1.116866,4.874073,-0.88470876,19.171026,14.611249,12.485928,1.051777e-06,1.121698,165.71844,71.499084,-0.8509312,0.14999999,-1.0,-0.79106647,17.383745,3.556185e-11,,7.9055567,17.383745,10.469259977340698
,35,700,,1.0082908,4.7395344,-0.9136963,19.171026,17.194769,12.620466,9.925341e-07,0.6302286,165.88373,70.75473,-0.85876423,0.14999999,1.0,-1.1657699,17.383745,4.5082484e-08,,9.298059,17.383745,10.782986402511597
,36,720,1.0615951e-11,-0.04812317,5.090103,-0.9418672,19.171026,,12.269897,9.3815913e-07,0.96848255,183.24371,69.94611,-0.87798965,0.14999999,-0.10204082,-1.1495174,17.383745,3.2647576,,6.144102,17.383745,11.099202871322632
,37,740,0.0019125436,0.63727385,5.0440006,-0.8824577,19.171026,13.975714,12.316,8.881331e-07,1.1983634,186.62799,69.599304,-0.8762477,0.14999999,0.5510204,-0.73967606,17.383745,0.04649361,,7.848005,17.383745,11.419372797012329
,38,760,0.06841542,0.37395954,5.225813,-0.9078702,19.171026,5.40709,12.134188,8.4200434e-07,0.6465129,198.58093,68.52146,-0.87392473,0.14999999,0.18367347,-0.9119582,17.383745,5.193748,,7.4432583,17.383745,11.738000631332397
,39,780,4.2848665e-06,-0.5715134,5.3361416,-0.805736,19.171026,7.831406,12.023859,7.993782e-07,1.102792,208.10953,68.41833,-0.8861491,0.14999999,-0.42857143,-0.97375435,17.383745,0.01896827,,5.214536,17.383745,12.056719064712524
,40,800,1.5717459,-0.81217647,5.2029476,-0.8305676,19.171026,17.351604,12.157053,7.599088e-07,0.7964555,208.11792,67.82504,-0.8772119,0.14999999,-0.79591835,-0.5930628,17.383745,2.3990887e-07,,5.688235,17.383745,12.377525568008423
,41,820,2.3457773,-0.63535166,5.0762815,-0.8552602,19.171026,17.350386,12.283719,7.2329226e-07,1.1353899,208.12753,66.89729,-0.8772541,0.14999999,-1.0,-0.65838385,17.383745,3.452991e-11,,7.6449075,17.383745,12.69897174835205
,42,840,4.7394624,-0.54507613,4.9545,-0.87935776,19.18772,17.398554,12.4055,6.8925965e-07,1.2691892,208.08899,68.31149,-0.8694715,0.14999999,-0.59183675,-0.619821,17.398554,0.00028176812,,4.8690534,17.398554,13.020936727523804
,43,860,4.24447,-0.63905907,4.8392744,-0.90288156,19.18772,17.360136,12.520726,6.5757393e-07,1.2595862,208.0888,64.84276,-0.85601884,0.14999999,-0.59183675,-0.51602566,17.398554,0.0002884751,,4.467112,17.398554,13.343679428100586
,44,880,8.925615e-18,0.7542275,4.728944,-0.92586434,19.18772,17.375238,12.631057,6.280238e-07,1.5188656,208.07355,64.6387,-0.8421341,0.14999999,0.71428573,-0.4651487,17.398554,0.0008806783,,7.796407,17.398554,13.667877435684204
,45,900,0.17239688,0.56452155,4.9224052,-0.94831717,19.18772,3.9253879,12.437595,6.0042186e-07,0.5666948,221.50824,64.364944,-0.83491856,0.14999999,0.3469388,-0.9501763,17.398554,1.4101206,,7.886387,17.398554,13.993219375610352
,46,920,0.00035198368,-0.10723853,5.0579367,-0.939441,19.18772,6.2031407,12.302064,5.7460034e-07,0.91863316,232.6651,64.11438,-0.846958,0.14999999,-0.10204082,-0.94334745,17.398554,3.2568467,,6.418459,17.398554,14.320855379104614
,47,940,2.3930013,-0.399805,4.985484,-0.8925403,19.18772,15.707313,12.3745165,5.5040925e-07,0.8551553,234.31775,62.75582,-0.8478694,0.14999999,-0.30612245,-0.77336293,17.398554,0.23613694,,5.451914,17.398554,14.649190425872803
,48,960,0.2830301,-0.81352866,4.8828545,-0.90858203,19.18772,17.300724,12.477146,5.277145e-07,0.94157195,234.37701,62.52673,-0.8453217,0.14999999,-0.75510204,-0.5648611,17.398554,1.2245339e-06,,5.0781283,17.398554,14.981084823608398
,49,980,8.858862e-32,0.93738735,4.7833652,-0.9292013,19.18772,17.352127,12.576635,5.063948e-07,0.74910706,234.38489,61.609333,-0.8420474,0.14999999,1.0,-0.60688454,17.398554,4.5786926e-08,,11.0089445,17.398554,15.316068410873413
,50,1000,4.7734335e-20,-0.31544155,5.0128098,-0.949404,19.18772,1.1044396,12.347191,4.8634166e-07,1.2153038,250.64044,61.658928,-0.8530209,0.14999999,-0.5102041,-1.1003157,17.398554,0.0029831927,,4.507266,17.398554,15.643195390701294
,51,1020,0.21539122,0.10509135,4.917321,-0.96914697,19.18772,17.2171,12.442679,4.6745637e-07,0.83501434,250.78339,61.63151,-0.845229,0.14999999,0.06122449,-0.6393485,17.398554,6.9549165,,6.9549165,17.398554,15.975181579589844
,52,1040,1.0521531e-11,-0.99432594,4.983448,-0.8607253,19.18772,9.0041,12.376553,4.496502e-07,0.9968074,259.13928,61.446873,-0.8496754,0.14999999,-1.0,-0.8826009,17.398554,3.4719116e-11,,8.133969,17.398554,16.298469305038452
,53,1060,5.1341463e-23,0.43479475,4.892331,-0.8797735,19.18772,17.205767,12.4676695,4.3284237e-07,1.2740382,259.29352,60.77353,-0.8490639,0.14999999,0.5510204,-0.76705784,17.398554,0.04636898,,7.8716183,17.398554,16.62389826774597
,54,1080,3.672274e-05,-0.24335635,4.9864826,-0.8975911,19.18772,7.3834505,12.373518,4.1695958e-07,0.9178107,269.27008,59.970764,-0.8480207,0.14999999,-0.30612245,-1.008779,17.398554,0.23733266,,5.393179,17.398554,16.960116147994995
,55,1100,0.00591156,-0.652695,4.9011784,-0.9115548,19.18772,17.065243,12.458822,4.0193527e-07,0.88298714,269.56482,59.282776,-0.8467119,0.14999999,-0.79591835,-0.67596835,17.398554,2.601468e-07,,5.137718,17.398554,17.296788215637207
,56,1120,0.013816288,0.12346132,4.813224,-0.92957336,19.18772,17.384281,12.546777,3.8770855e-07,0.95001286,269.54053,58.95053,-0.84317976,0.14999999,-0.14285715,-0.5162378,17.398554,2.2334292,,5.7040377,17.398554,17.634262323379517
,57,1140,4.447925,0.29860246,4.876047,-0.90816504,19.18772,8.965874,12.483953,3.7422413e-07,0.66421574,277.9347,58.817455,-0.8465512,0.14999999,0.26530612,-0.9613662,17.398554,3.0762875,,6.287547,17.398554,17.971374034881592
,58,1160,1.5865736e-07,-0.68531036,4.948307,-0.8729928,19.18772,8.292851,12.411694,3.6143112e-07,1.1798832,287.00177,58.70214,-0.8549539,0.14999999,-0.59183675,-0.98489934,17.398554,0.00027998042,,4.518858,17.398554,18.313225984573364
,59,1180,2.9872053e-21,0.7983206,4.8638315,-0.8900824,19.18772,17.395739,12.496169,3.4928303e-07,1.3337305,286.966,58.389526,-0.84665513,0.14999999,0.79591835,-0.5182877,17.398554,7.338804e-05,,8.407304,17.398554,18.63913917541504
,60,1200,4.594184e-31,-1.1502056,5.017065,-0.9068883,19.18772,3.3021142,12.342936,3.377373e-07,0.96885777,301.024,58.057514,-0.8451057,0.14999999,-1.0,-1.0321786,17.398554,3.6359443e-11,,8.047402,17.398554,18.98030376434326
,61,1220,7.949213e-14,0.024491027,4.937377,-0.9234176,19.18772,17.20389,12.422624,3.2675467e-07,0.9364626,301.18005,57.05256,-0.85651284,0.14999999,0.06122449,-1.4712147,17.398554,6.644035,,6.644035,17.398554,19.32242488861084
,62,1240,0.061704453,-0.38809255,4.990472,-0.8362928,19.18772,9.130756,12.369529,3.162992e-07,1.0303683,309.4093,56.86103,-0.8570468,0.14999999,-0.42857143,-0.797878,17.398554,0.019556822,,4.8234215,17.398554,19.665731191635132
,63,1260,0.7652128,-0.4739492,4.9131403,-0.85197777,19.18772,17.241453,12.44686,3.0633765e-07,1.0708747,309.52783,56.30957,-0.8522101,0.14999999,-0.67346936,-0.56399363,17.398554,2.0654217e-05,,4.6339192,17.398554,20.008437633514404
,64,1280,1.12331815e-08,0.45216537,4.836359,-0.8677258,19.18772,17.360872,12.523642,2.968394e-07,0.9807663,309.52698,56.25329,-0.8458078,0.14999999,0.46938777,-0.49263945,17.398554,0.21815705,,7.758143,17.398554,20.3550705909729
,65,1300,3.203045e-20,-0.93076503,4.917597,-0.8798271,19.18772,7.2431746,12.442404,2.8777617e-07,0.9803187,319.6438,56.09055,-0.84886956,0.14999999,-1.0,-0.9960904,17.398554,3.53887e-11,,7.6826077,17.398554,20.70415472984314
,66,1320,0.007312985,-0.35790664,4.8445826,-0.8950946,19.18772,17.26131,12.515418,2.791217e-07,1.0308318,319.74243,55.87654,-0.8467918,0.14999999,-0.3877551,-0.6561551,17.398554,0.050288826,,4.846514,17.398554,21.051892280578613
,67,1340,7.543092e-18,1.2251202,4.7737446,-0.9093708,19.18772,17.261593,12.586256,2.708519e-07,0.75988704,319.84082,55.049458,-0.8424959,0.14999999,1.0,-0.5717103,17.398554,4.4887884e-08,,11.492825,17.398554,21.400972843170166
,68,1360,2.7785394e-18,-0.1332148,4.9588366,-0.9241859,19.18772,,12.401164,2.6294424e-07,0.89723945,337.2008,54.985657,-0.8738353,0.14999999,-0.18367347,-2.7016475,17.398554,1.4286829,,5.2494597,17.398554,21.752622842788696
,69,1380,0.23453481,-0.4809314,4.903219,-0.9179923,19.18772,16.238714,12.456781,2.553779e-07,1.1389399,338.3222,54.42433,-0.8734625,0.14999999,-0.5102041,-0.7299101,17.398554,0.0028909408,,4.3521647,17.398554,22.10309076309204
,70,1400,5.7610774e-13,0.38687432,4.832656,-0.93233913,19.18772,17.396244,12.527345,2.4813352e-07,1.3563193,338.28595,54.137707,-0.86575973,0.14999999,0.67346936,-0.453588,17.398554,0.0026991153,,7.916187,17.398554,22.453606843948364
