Iteration,ReturnMean,IWMean,TimestepsSoFar,ReturnLastEpisode,LQGsigma_higher,DenMISELogLast,delta,IWFirstEpisode,ReturnAbsMax,LQGmu1_actor,DenMISELogFirst,DenMISEMeanLog,ReturnMax,TimeElapsed,IWMin,Bound,IWLastEpisode,LQGmu1_higher,ReturnStepMax,Regret,Regret/t,IWMax,ReturnMin
45,11.963737,1.0800366,900,16.804867,0.14999999,-0.798387,6.0042186e-07,2.5092936,17.394188,-0.17522553,-0.83947724,-0.9643573,17.394188,14.231048822402954,,63.82364,5.011418,-0.10204082,19.18149,242.83185,5.396264,5.416861,
46,12.066098,1.2694032,920,16.672428,0.14999999,-0.71307343,5.7460034e-07,1.3185835e-11,17.394188,-0.9962347,-0.8071933,-0.9578577,17.394188,14.562260150909424,,63.583878,1.4770261e-06,-1.0,19.18149,243.51953,5.2939024,6.5057406,
47,12.175337,1.0240625,940,17.200283,0.14999999,-0.5894129,5.5040925e-07,4.291411,17.394188,0.1863215,-0.82869947,-0.945475,17.394188,14.89253854751587,,61.923256,1.991593e-14,0.2244898,19.18149,243.6792,5.184664,6.7560186,
48,12.104779,1.2889768,960,8.788579,0.14999999,-0.79537183,5.277145e-07,0.0037180362,17.394188,0.80586004,-0.7623772,-0.94254,17.394188,15.222933053970337,,61.834675,0.03019526,0.67346936,19.18149,252.25061,5.2552214,7.869971,
49,11.922887,0.6697831,980,3.1919966,0.14999999,-1.0428331,5.063948e-07,8.495054e-08,17.394188,1.0478212,-0.782919,-0.9400259,17.394188,15.555265426635742,,61.684525,3.2656264,1.0,19.18149,266.41858,5.437114,11.9866495,
50,11.684429,0.8875722,1000,,0.14999999,-1.3696606,4.8634166e-07,0.58080536,17.394188,0.2644049,-0.8031217,-0.9558441,17.394188,15.88955545425415,,61.669434,2.4938647e-15,-0.2244898,19.18149,283.77856,5.6755714,5.722148,
51,11.621365,0.8788476,1020,8.468147,0.14999999,-0.89728874,4.6745637e-07,1.1191848e-07,17.394188,-0.92047846,-0.8113752,-0.9574268,17.394188,16.21161961555481,,61.12036,9.205359e-11,-0.79591835,19.18149,292.67047,5.738636,5.3852344,
52,11.73014,1.2793858,1040,17.27774,0.14999999,-0.56979597,4.496502e-07,1.3500716e-11,17.394188,-0.79098713,-0.83079326,-0.952727,17.394188,16.547924280166626,,61.244095,4.0855293,-1.0,19.18149,292.75275,5.629861,6.430518,
53,11.836053,1.326114,1060,17.343544,0.14999999,-0.60502595,4.3284237e-07,6.027952,17.394188,0.2814433,-0.8498415,-0.941815,17.394188,16.886310815811157,,60.35701,4.7687786e-07,0.06122449,19.18149,292.76923,5.5239477,6.128462,
54,11.772117,0.74198204,1080,8.383471,0.14999999,-0.9216657,4.1695958e-07,0.00047659487,17.394188,-0.5692951,-0.7608144,-0.93631566,17.394188,17.22739553451538,,60.267826,1.3708741e-06,-0.5510204,19.18149,301.7458,5.587884,6.057202,
55,11.874564,0.96077555,1100,17.40675,0.14999999,-0.73097324,4.0193527e-07,1.4779111,17.40675,0.48795938,-0.7791547,-0.9376406,17.40675,17.565500020980835,,59.041492,4.3693774e-08,0.3469388,19.19513,301.69904,5.4854364,6.1896,
56,11.78639,0.9372286,1120,6.9367957,0.14999999,-0.98818916,3.8770855e-07,1.07452905e-07,17.40675,-0.6900206,-0.7706568,-0.93970025,17.40675,17.904529571533203,,58.576813,8.827831e-16,-0.79591835,19.19513,312.1222,5.5736103,5.0322213,
57,11.8843355,0.8531133,1140,17.369228,0.14999999,-0.6471149,3.7422413e-07,0.00014520026,17.40675,-0.5803894,-0.78835636,-0.9360303,17.40675,18.24772548675537,,58.244656,4.100351,-0.59183675,19.19513,312.1129,5.475665,5.4890113,
58,11.979044,1.1005793,1160,17.377491,0.14999999,-0.6534129,3.6143112e-07,0.063436724,17.40675,0.5700944,-0.8057456,-0.93404454,17.40675,18.59117555618286,,57.98053,2.261914e-12,0.5510204,19.19513,312.09546,5.3809566,7.656244,
59,11.880173,1.1449114,1180,6.145571,0.14999999,-0.95646614,3.4928303e-07,3.3753233e-05,17.40675,1.0238601,-0.8217469,-0.9333855,17.40675,18.93563723564148,,57.63941,1.4257712,0.8367347,19.19513,323.3098,5.479828,8.313022,
60,11.68217,1.1614146,1200,,0.14999999,-1.3807876,3.377373e-07,1.3605878e-11,17.40675,-1.335887,-0.8385534,-0.93923163,17.40675,19.279259204864502,,57.249176,,-1.0,19.19513,340.66992,5.6778307,6.591776,
