Regret/t,TimestepsSoFar,Regret,IWMean,ReturnMax,IWLastEpisode,IWMin,DenMISELogLast,Iteration,DenMISEMeanLog,ReturnStepMax,Bound,LQGmu1_actor,IWFirstEpisode,ReturnMean,delta,ReturnMin,IWMax,ReturnAbsMax,ReturnLastEpisode,LQGmu1_higher,DenMISELogFirst,LQGsigma_higher,TimeElapsed
4.558736,840,191.46686,0.78004485,17.40456,1.8890403e-25,,-0.5924074,42,-0.84421974,19.192053,66.35826,0.85971916,2.2479811e-10,12.801265,6.8925965e-07,,7.8761067,17.40456,17.274773,0.71428573,-0.6280545,0.14999999,17.686717748641968
4.8012,860,206.4516,1.1057588,17.40456,2.6729e-26,,-1.051903,43,-0.8549299,19.192053,65.62359,-0.7794373,0.03402679,12.558801,6.5757393e-07,,4.7910786,17.40456,2.375249,-0.79591835,-0.651585,0.14999999,18.124287366867065
4.6920567,880,206.4505,0.49817804,17.40456,0.00016460581,,-0.5068847,44,-0.8453133,19.192053,65.32249,-0.2051883,1.7963119,12.667944,6.280238e-07,,5.3191223,17.40456,17.361156,-0.10204082,-0.6737835,0.14999999,18.556591272354126
4.597842,900,206.9029,1.0944135,17.40456,4.531524,,-0.7592702,45,-0.85465497,19.192053,64.87252,-0.39721155,5.101063,12.762158,6.0042186e-07,,5.2063932,17.40456,16.907562,-0.30612245,-0.65624243,0.14999999,19.04545259475708
4.499192,920,206.96289,1.1651952,17.40456,2.7182915,,-0.54753685,46,-0.8467278,19.192053,64.82457,-0.49228194,1.4537218,12.860808,5.7460034e-07,,4.669199,17.40456,17.300043,-0.5510204,-0.5708416,0.14999999,19.463014602661133
4.4024296,940,206.91418,1.2171303,17.40866,3.0572662e-06,,-0.48937732,47,-0.83619785,19.196686,64.684715,0.26194757,0.0007446717,12.957571,5.5040925e-07,,7.4592843,17.40866,17.40866,0.30612245,-0.56123424,0.14999999,19.90199875831604
4.495715,960,215.79431,1.0678939,17.40866,1.502129e-11,,-0.9247755,48,-0.8348041,19.196686,62.25409,-0.9058641,0.012928527,12.864285,5.277145e-07,,4.796957,17.40866,8.479923,-0.8367347,-0.5822718,0.14999999,20.337645053863525
4.4054947,980,215.8692,1.1813158,17.40866,0.067871906,,-0.56527704,49,-0.82846195,19.196686,62.018753,-0.6814927,2.9803882,12.954506,5.063948e-07,,4.511167,17.40866,17.28507,-0.46938777,-0.6026218,0.14999999,20.77369236946106
4.3168,1000,215.83997,1.0850874,17.40866,2.2304551e-27,,-0.4857425,50,-0.81854254,19.196686,61.536423,0.93998873,6.700784e-17,13.0432005,4.8634166e-07,,14.95044,17.40866,17.389217,1.0,-0.56377834,0.14999999,21.201747179031372
4.5517645,1020,232.14001,1.0406685,17.40866,4.0047702e-36,,-1.150844,51,-0.8251019,19.196686,61.45179,-0.80225486,0.0001697759,12.808236,4.6745637e-07,,7.699841,17.40866,1.0599744,-1.0,-0.5835809,0.14999999,21.635247230529785
4.464201,1040,232.13843,1.1973746,17.40866,3.0816107,,-0.5158421,52,-0.8191422,19.196686,61.641014,-0.74586254,0.3078128,12.8958,4.496502e-07,,4.452675,17.40866,17.361568,-0.67346936,-0.6029957,0.14999999,22.07364273071289
4.379754,1060,232.12695,0.49228725,17.40866,2.1824346e-06,,-0.46207514,53,-0.80916905,19.196686,61.024918,0.17378157,0.19134304,12.980247,4.3284237e-07,,6.2754984,17.40866,17.371471,0.06122449,-0.61614186,0.14999999,22.48716115951538
4.4566174,1080,240.65735,0.9561348,17.40866,0.5770088,,-0.9870347,54,-0.8219623,19.196686,60.715603,0.5631224,1.0708418e-06,12.903383,4.1695958e-07,,7.9597044,17.40866,8.829692,0.5102041,-0.63123024,0.14999999,22.898723363876343
4.5781784,1100,251.7998,1.191582,17.40866,1.1024228e-17,,-1.0196444,55,-0.8269846,19.196686,60.06362,-0.7782802,0.033958606,12.781822,4.0193527e-07,,4.4444165,17.40866,6.2175055,-0.79591835,-0.64957935,0.14999999,23.34008479118347
4.496628,1120,251.81116,0.83123004,17.40866,0.0045675766,,-0.44824278,56,-0.8172763,19.196686,59.83664,-0.22035997,4.211484,12.863373,3.8770855e-07,,6.0431933,17.40866,17.348644,-0.2244898,-0.6669806,0.14999999,23.817786693572998
