ReturnStepMax,IWMean,LQGmu1_higher,DenMISELogLast,DenMISEMeanLog,ReturnMin,ReturnMean,ReturnLastEpisode,delta,Regret/t,Regret,DenMISELogFirst,IWLastEpisode,TimeElapsed,IWMin,ReturnAbsMax,ReturnMax,IWFirstEpisode,LQGsigma_higher,TimestepsSoFar,Bound,Iteration,IWMax,LQGmu1_actor
19.195608,1.2014977,-0.10204082,-0.8064051,-0.8439074,,12.523037,9.012484,4.8634166e-07,4.8369637,241.84814,-0.75509214,2.3915322,15.349208354949951,,17.40648,17.40648,4.3691583,0.14999999,1000,61.7188,50,5.2146344,-0.24529472
19.195608,0.96848065,1.0,-0.6018952,-0.83588636,,12.610364,16.976675,4.6745637e-07,4.7496367,242.2315,-0.6911207,5.2464056e-15,15.681688785552979,,17.40648,17.40648,1.5369959e-09,0.14999999,1020,61.583427,51,14.780586,1.0401967
19.195608,0.6936131,-0.5510204,-1.3921242,-0.8486052,,12.367857,,4.496502e-07,4.9921436,259.5915,-0.7105388,3.9208387e-24,16.01513123512268,,17.40648,17.40648,0.0055020535,0.14999999,1040,61.586067,52,4.832062,-0.25039956
19.195608,1.1796145,-0.26530612,-0.6315773,-0.8504485,,12.455528,17.01451,4.3284237e-07,4.9044724,259.937,-0.72948116,4.9769683,16.34890127182007,,17.40648,17.40648,1.076475,0.14999999,1060,61.343338,53,5.074777,-0.0043407977
19.195608,1.0007802,-1.0,-0.71523166,-0.8452609,,12.409562,9.973367,4.1695958e-07,4.9504385,267.32373,-0.72806597,1.4724951e-09,16.684608221054077,,17.40648,17.40648,9.476908e-10,0.14999999,1080,60.74717,54,8.459364,-1.053304
19.195608,1.1607937,-0.020408163,-0.9185249,-0.8472597,,12.496595,17.19635,4.0193527e-07,4.863405,267.4873,-0.74641514,3.367765e-10,17.021940231323242,,17.40648,17.40648,5.524916,0.14999999,1100,58.83127,55,5.525163,-0.008150535
19.195608,0.83385664,0.79591835,-0.6515688,-0.8414107,,12.469457,10.976861,3.8770855e-07,4.890544,273.87048,-0.6687117,2.938793e-06,17.360451221466064,,17.40648,17.40648,4.9101786e-06,0.14999999,1120,58.719418,56,8.876775,0.7692069
19.195608,1.0584573,-0.75510204,-1.0741603,-0.8489902,,12.315916,3.717619,3.7422413e-07,5.0440845,287.51282,-0.6864112,2.9314268e-22,17.70011305809021,,17.40648,17.40648,1.3628697e-05,0.14999999,1140,58.619507,57,4.986296,-0.7424048
19.195608,1.00918,-1.0,-0.56583816,-0.84358215,,12.403007,17.367197,3.6143112e-07,4.956994,287.5056,-0.7038027,1.0719266,18.045697927474976,,17.40648,17.40648,9.249734e-10,0.14999999,1160,58.172836,58,7.833099,-0.8687986
19.195608,0.9783574,0.5102041,-0.51568145,-0.83843297,,12.486057,17.303026,3.4928303e-07,4.8739433,287.56262,-0.72089714,1.9769197e-18,18.38754630088806,,17.40648,17.40648,0.019186847,0.14999999,1180,58.227493,59,7.777509,0.5577806
