LQGmu1_higher,LQGsigma_higher,LQGmu1_actor,delta,IWFirstEpisode,DenMISEMeanLog,TimestepsSoFar,Regret/t,ReturnMean,IWMax,ReturnLastEpisode,IWMin,IWMean,Bound,ReturnMin,DenMISELogLast,ReturnAbsMax,Regret,DenMISELogFirst,TimeElapsed,IWLastEpisode,Iteration,ReturnStepMax,ReturnMax
-0.3469388,0.14999999,-0.26649508,7.993782e-07,5.3526044,-0.8641023,780,4.9277067,12.432294,5.4072866,17.361538,,0.98083293,68.008575,,-0.5863759,17.39706,192.18057,-0.73319817,12.857356071472168,0.074144796,39,19.185783,17.39706
0.67346936,0.14999999,0.62748706,7.599088e-07,2.5285882e-09,-0.86035573,800,4.812786,12.5472145,8.166362,17.029108,,0.877759,67.95294,,-0.66373706,17.39706,192.51144,-0.6299062,13.177348136901855,1.5349958e-08,40,19.185783,17.39706
-0.67346936,0.14999999,-0.6886494,7.2329226e-07,0.26280165,-0.8672517,820,4.984187,12.3758135,4.790378,5.519787,,1.1450452,66.22499,,-0.97666675,17.39706,204.35165,-0.6545988,13.498064756393433,3.2718752e-16,41,19.185783,17.39706
0.06122449,0.14999999,-0.16271758,6.8925965e-07,0.25207627,-0.85606784,840,4.865177,12.494823,6.6272445,17.37421,,1.0976944,65.80575,,-0.5070891,17.39706,204.3374,-0.672307,13.824002742767334,1.6526794e-05,42,19.185783,17.39706
-0.2244898,0.14999999,-0.20974055,6.5757393e-07,4.5415926,-0.85293365,860,4.771988,12.588013,5.2688713,16.501984,,0.9958927,65.93059,,-0.7684304,17.39706,205.1955,-0.6898536,14.17811393737793,5.2688713,43,19.185783,17.39706
0.42857143,0.14999999,0.4495073,6.280238e-07,2.8550538e-05,-0.84912467,880,4.67212,12.6878805,7.603887,16.982183,,1.0524963,65.23665,,-0.6535424,17.39706,205.5733,-0.6124383,14.528570652008057,0.00059762486,44,19.185783,17.39706
-0.8367347,0.14999999,-0.9060407,6.0042186e-07,0.010044277,-0.8506453,900,4.7926283,12.567372,5.03502,7.264996,,0.9668473,64.53789,,-0.9182656,17.39706,215.66827,-0.6349105,14.872014045715332,7.191857e-16,45,19.185783,17.39706
-0.42857143,0.14999999,-0.49746683,5.7460034e-07,3.711647,-0.8479176,920,4.6902685,12.669732,4.866303,17.27594,,1.0678269,63.42169,,-0.6673059,17.39706,215.75238,-0.6566662,15.204454898834229,0.03269062,46,19.185783,17.39706
-1.0,0.14999999,-0.95721895,5.5040925e-07,0.0001157026,-0.8399569,940,4.5901546,12.769846,8.574611,17.375086,,0.90170825,62.954327,,-0.5151806,17.39706,215.7373,-0.60057455,15.534764528274536,0.016266778,47,19.185783,17.39706
-0.10204082,0.14999999,-0.22780505,5.277145e-07,1.9303473,-0.83961684,960,4.4970026,12.862998,5.723422,17.241144,,1.0348969,62.596924,,-0.6853564,17.39706,215.85614,-0.62162554,15.86409306526184,4.617547e-07,48,19.185783,17.39706
1.0,0.14999999,0.996517,5.063948e-07,1.5016982e-16,-0.83532083,980,4.4128246,12.947176,15.152606,16.987688,,0.8886161,62.54173,,-0.63232017,17.39706,216.2284,-0.6028168,16.19386076927185,1.4142132e-14,49,19.185783,17.39706
-0.59183675,0.14999999,-0.74066687,4.8634166e-07,0.8270905,-0.8478151,1000,4.6705027,12.689498,4.692832,0.063312516,,1.1528752,62.321133,,-1.2689332,17.39706,233.52509,-0.6230196,16.526093006134033,4.2436603e-24,50,19.185783,17.39706
-0.8367347,0.14999999,-0.8258427,4.6745637e-07,0.009959312,-0.8396777,1020,4.5786047,12.781396,4.6705885,17.376297,,1.0531092,61.572937,,-0.5569743,17.39706,233.50885,-0.62641567,16.859923362731934,3.7812936,51,19.185783,17.39706
0.26530612,0.14999999,0.25191352,4.496502e-07,0.0034180968,-0.8332704,1040,4.49109,12.868911,7.440024,17.332197,,0.88978124,61.20008,,-0.5351051,17.39706,233.53668,-0.6456385,17.193822383880615,1.4678668e-11,52,19.185783,17.39706
-0.26530612,0.14999999,-0.40795887,4.3284237e-07,4.964977,-0.837507,1060,4.5730143,12.786986,5.2852483,8.526868,,1.0246964,60.923134,,-0.92017376,17.39706,242.36975,-0.664621,17.52958869934082,0.01748434,53,19.185783,17.39706
0.59183675,0.14999999,0.69537216,4.1695958e-07,7.40031e-08,-0.83245856,1080,4.489626,12.870375,8.3051605,17.289988,,0.98204,60.915997,,-0.5642833,17.39706,242.43982,-0.59376603,17.867342948913574,1.053996e-09,54,19.185783,17.39706
-0.67346936,0.14999999,-0.7095532,4.0193527e-07,0.25187075,-0.83834493,1100,4.638139,12.721862,4.5924435,4.702167,,1.1507368,59.946327,,-1.0988765,17.39706,255.09766,-0.6121152,18.204426050186157,6.5877404e-18,55,19.185783,17.39706
