IWFirstEpisode,Iteration,DenMISEMeanLog,IWMean,ReturnMax,IWMin,delta,LQGsigma_higher,ReturnStepMax,LQGmu1_actor,IWMax,ReturnLastEpisode,IWLastEpisode,Regret,DenMISELogLast,DenMISELogFirst,ReturnAbsMax,TimestepsSoFar,ReturnMin,LQGmu1_higher,Bound,Regret/t,ReturnMean,TimeElapsed
3.7037559,34,-0.9358328,1.2417926,17.42954,,1.051777e-06,0.14999999,19.218552,-0.717206,5.0553913,17.198986,0.00037175557,179.37051,-0.87190986,-0.8109482,17.42954,680,,-0.3877551,72.154564,5.2756042,12.084396,8.298813343048096
0.086728066,35,-0.92280054,1.115267,17.42954,,9.925341e-07,0.14999999,19.218552,-0.53353447,5.033906,17.375608,4.9594455,179.35495,-0.66562116,-0.73653656,17.42954,700,,-0.67346936,70.90868,5.124427,12.235574,8.719162702560425
1.1605667e-06,36,-0.90805763,1.0496846,17.42954,,9.3815913e-07,0.14999999,19.218552,0.78933746,7.4286466,17.390797,2.5340353e-12,179.32413,-0.46417898,-0.76223254,17.42954,720,,0.59183675,69.54355,4.981226,12.378775,9.134811162948608
0.22235855,37,-0.91199183,0.8293755,17.42954,,8.881331e-07,0.14999999,19.218552,-0.055682287,7.5110397,3.431966,0.0006978791,193.25217,-1.0418407,-0.7896315,17.42954,740,,0.14285715,69.201225,5.223032,12.136969,9.62006139755249
4.831867,38,-0.91971165,0.61850196,17.42954,,8.4200434e-07,0.14999999,19.218552,0.16561033,6.0594625,15.166222,6.0594625,195.44598,-0.9923165,-0.81030804,17.42954,760,,-0.14285715,70.14533,5.1433144,12.216686,10.044789791107178
1.4915102e-05,39,-0.92893094,1.0776626,17.42954,,7.993782e-07,0.14999999,19.218552,-1.014027,7.701771,8.854941,4.9741895e-13,203.95102,-0.884642,-0.7165873,17.42954,780,,-1.0,67.854614,5.229513,12.130487,10.467008829116821
0.65820134,40,-0.9245734,1.226064,17.42954,,7.599088e-07,0.14999999,19.218552,-0.5882153,4.646182,17.19563,0.048828058,204.11539,-0.76626056,-0.74190474,17.42954,800,,-0.5510204,67.38664,5.1028843,12.257116,10.888671159744263
3.5049602e-11,41,-0.9095087,0.72811246,17.42954,,7.2329226e-07,0.14999999,19.218552,0.8157431,7.94653,17.359735,1.1049731e-19,204.11566,-0.4943565,-0.7502762,17.42954,820,,0.8367347,66.85515,4.9784307,12.38157,11.31224799156189
0.0021572937,42,-0.9188278,0.83606374,17.42954,,6.8925965e-07,0.14999999,19.218552,-0.77573943,5.0035653,3.046082,3.2100442e-26,218.42957,-1.0027304,-0.77437377,17.42954,840,,-0.8367347,66.01814,5.2007046,12.159296,11.775479078292847
0.0076608406,43,-0.9153537,1.1109382,17.42954,,6.5757393e-07,0.14999999,19.218552,0.33897963,6.9300246,17.346949,2.4296771e-11,218.44269,-0.5905898,-0.7978529,17.42954,860,,0.30612245,65.13493,5.080062,12.279939,12.206103324890137
2.7607188,44,-0.91271186,1.1574092,17.42954,,6.280238e-07,0.14999999,19.218552,-0.3341986,4.8454905,8.058463,1.2976743e-05,227.7442,-0.8613489,-0.8206643,17.42954,880,,-0.42857143,64.38776,5.1760044,12.183996,12.64025092124939
1.9756304,45,-0.90360415,0.6198433,17.42954,,6.0042186e-07,0.14999999,19.218552,-0.28401607,7.0085106,17.141863,0.5569293,227.96228,-0.6246005,-0.78228325,17.42954,900,,-0.020408163,64.08123,5.0658283,12.294172,13.083179473876953
5.618993,46,-0.90791684,0.91809976,17.42954,,5.7460034e-07,0.14999999,19.218552,-0.30415523,5.618993,17.033064,5.3390055,228.2893,-0.7046371,-0.7612957,17.42954,920,,-0.26530612,64.66579,4.9628105,12.39719,13.57570195198059
0.080947004,47,-0.90348417,1.0739096,17.42954,,5.5040925e-07,0.14999999,19.218552,-0.84823203,4.898307,17.226376,0.23241413,228.42285,-0.5935381,-0.6675536,17.42954,940,,-0.67346936,63.230186,4.8600607,12.49994,14.013900756835938
1.4478619e-05,48,-0.89741594,1.0905477,17.42954,,5.277145e-07,0.14999999,19.218552,-1.1246966,7.827409,17.321249,3.074866,228.46161,-0.6569358,-0.6868862,17.42954,960,,-1.0,63.610397,4.759617,12.600384,14.452322959899902
1.9434807e-05,49,-0.903533,1.0854852,17.42954,,5.063948e-07,0.14999999,19.218552,0.50493544,7.469491,17.19764,1.4634729e-25,228.62396,-1.2357928,-0.7075052,17.42954,980,,0.5102041,62.124928,4.6657953,12.694205,14.939414978027344
4.2872076,50,-0.9030987,1.1170834,17.42954,,4.8634166e-07,0.14999999,19.218552,-0.069756925,4.9085383,6.7833323,6.619865e-07,239.20062,-0.9202374,-0.7277075,17.42954,1000,,-0.3469388,61.708412,4.784013,12.575988,15.374445915222168
7.157458e-15,51,-0.9012466,1.2224035,17.42954,,4.6745637e-07,0.14999999,19.218552,0.87914884,15.115204,14.527323,5.86808e-11,242.03333,-0.8935819,-0.6652445,17.42954,1020,,1.0,61.28014,4.7457514,12.614249,15.808618307113647
1.4446469e-05,52,-0.9035807,1.1028613,17.42954,,4.496502e-07,0.14999999,19.218552,-1.0653917,7.290777,2.0676422,6.843137e-34,257.32568,-1.1282927,-0.68466264,17.42954,1040,,-1.0,61.02903,4.948571,12.411429,16.249231815338135
0.39439785,53,-0.90232027,0.82230693,17.42954,,4.3284237e-07,0.14999999,19.218552,0.14745013,6.8945074,17.195309,4.5611697e-13,257.49036,-0.8924263,-0.70371056,17.42954,1060,,0.10204082,60.375557,4.858309,12.501692,16.692171573638916
0.0057746405,54,-0.906204,0.89439446,17.42954,,4.1695958e-07,0.14999999,19.218552,-0.571286,5.1003146,8.906704,1.6987645e-08,265.94373,-0.90757614,-0.71498877,17.42954,1080,,-0.79591835,60.24063,4.924883,12.435118,17.135260820388794
0.65251696,55,-0.9019538,1.143688,17.42954,,4.0193527e-07,0.14999999,19.218552,-0.5955651,4.5712953,17.368975,4.5712953,265.9347,-0.5507418,-0.73323095,17.42954,1100,,-0.5510204,60.02798,4.8351755,12.524825,17.587058067321777
1.4912198e-09,56,-0.89258736,0.84256756,17.42954,,3.8770855e-07,0.14999999,19.218552,0.68022317,8.504888,17.387413,1.0818178e-17,265.9073,-0.49655646,-0.73945534,17.42954,1120,,0.75510204,59.2881,4.7483444,12.611656,18.03439950942993
5.2738843,57,-0.8984335,0.7454363,17.42954,,3.7422413e-07,0.14999999,19.218552,-0.14528176,5.2738843,4.8918977,4.710677e-07,278.37537,-1.0383871,-0.75715494,17.42954,1140,,-0.18367347,59.20001,4.8837786,12.476222,18.550159215927124
0.006850519,58,-0.9013197,1.0994482,17.42954,,3.6143112e-07,0.14999999,19.218552,0.4935779,7.185536,16.29154,0.0638476,279.4438,-0.7986905,-0.6860558,17.42954,1160,,0.30612245,58.838837,4.817997,12.542004,19.005608320236206
0.6331063,59,-0.901785,1.14003,17.42954,,3.4928303e-07,0.14999999,19.218552,-0.46985108,4.5150504,6.886585,2.1090657e-10,289.91718,-0.99078506,-0.70303214,17.42954,1180,,-0.5510204,57.956367,4.913851,12.44615,19.4588942527771
1.4804819e-05,60,-0.8928597,1.0630099,17.42954,,3.377373e-07,0.14999999,19.218552,-0.98616964,7.3522615,17.36613,0.008358468,289.91113,-0.48307014,-0.7091658,17.42954,1200,,-1.0,57.870308,4.831851,12.52815,19.97511315345764
4.8833685e-06,61,-0.8890935,1.1581997,17.42954,,3.2675467e-07,0.14999999,19.218552,0.47371486,7.6136975,17.215034,8.277337e-23,290.05615,-0.6859512,-0.72569484,17.42954,1220,,0.5510204,57.28814,4.755018,12.604982,20.425726413726807
4.348728,62,-0.8878856,1.0619076,17.42954,,3.162992e-07,0.14999999,19.218552,-0.537399,4.9510145,7.0615163,2.1321857e-06,300.3546,-0.92951155,-0.7419553,17.42954,1240,,-0.3469388,57.269386,4.844429,12.515572,20.88670778274536
1.8017703,63,-0.88095593,0.7030553,17.42954,,3.0633765e-07,0.14999999,19.218552,0.0058831144,6.6370926,17.338705,0.011436963,300.37592,-0.49046004,-0.6901654,17.42954,1260,,-0.020408163,56.78526,4.767872,12.592129,21.352346897125244
0.17274006,64,-0.88598263,1.0887063,17.42954,,2.968394e-07,0.14999999,19.218552,-0.69957453,4.7009134,9.761126,0.00075243216,307.97473,-0.8902509,-0.6777156,17.42954,1280,,-0.63265306,56.566895,4.812105,12.547895,21.82252812385559
0.005635083,65,-0.8799868,0.88913083,17.42954,,2.8777617e-07,0.14999999,19.218552,-0.7570306,4.912232,17.387426,3.8020387,307.94733,-0.56362563,-0.69052434,17.42954,1300,,-0.79591835,56.166477,4.737652,12.622349,22.298100233078003
1.475367e-05,66,-0.8769282,1.0457106,17.42954,,2.791217e-07,0.14999999,19.218552,-0.7647959,7.182051,17.375147,1.2481118,307.93213,-0.55532014,-0.7057051,17.42954,1320,,-1.0,55.446564,4.665639,12.694362,22.768857955932617
0.18033479,67,-0.8719316,1.1496409,17.42954,,2.708519e-07,0.14999999,19.218552,-0.60081,4.38378,17.359959,3.1399634,307.9322,-0.5540682,-0.72074276,17.42954,1340,,-0.63265306,55.451866,4.5960035,12.763997,23.24738574028015
7.658208e-15,68,-0.86370516,1.0586236,17.42954,,2.6294424e-07,0.14999999,19.218552,1.1760243,15.39215,17.37662,7.674927e-25,307.91553,-0.44166082,-0.7328699,17.42954,1360,,1.0,55.186394,4.5281706,12.83183,23.74237084388733
0.0008635386,69,-0.8841951,1.1608473,17.42954,,2.553779e-07,0.14999999,19.218552,0.3196675,7.4291887,,2.569856e-05,325.27563,-2.2609298,-0.7474687,17.42954,1380,,0.3877551,54.988445,4.714139,12.645862,24.20689845085144
1.7843534,70,-0.8833507,1.1437736,17.42954,,2.4813352e-07,0.14999999,19.218552,-0.5049033,4.436059,8.1742735,6.736337e-06,334.46136,-0.94956136,-0.76184493,17.42954,1400,,-0.46938777,54.937904,4.778019,12.581982,24.665470123291016
0.21390201,71,-0.8753817,0.90578914,17.42954,,2.4119305e-07,0.14999999,19.218552,0.10638207,7.3199167,17.370129,0.00036941154,334.45123,-0.4425236,-0.75085825,17.42954,1420,,0.14285715,54.673843,4.710581,12.64942,25.131065368652344
4.603244,72,-0.87780493,0.7274096,17.42954,,2.3453978e-07,0.14999999,19.218552,-0.17109865,6.412003,9.001615,1.6981542,342.80963,-0.9318091,-0.76183635,17.42954,1440,,-0.14285715,54.335945,4.761245,12.598756,25.625057220458984
0.0057669524,73,-0.88043493,0.93909913,17.42954,,2.2815804e-07,0.14999999,19.218552,-0.954449,4.7625136,16.420639,0.0009961716,343.74896,-0.7857761,-0.71365637,17.42954,1460,,-0.79591835,54.169556,4.70889,12.651111,26.095189094543457
8.644791e-09,74,-0.8784914,0.85276634,17.42954,,2.2203328e-07,0.14999999,19.218552,0.8041255,8.4089155,17.24507,6.8872896e-27,343.8639,-0.6633818,-0.727183,17.42954,1480,,0.71428573,53.775436,4.6468096,12.713191,26.565597534179688
1.7468553,75,-0.88447124,1.1312432,17.42954,,2.1615185e-07,0.14999999,19.218552,-0.6279712,4.4165277,3.2174222,1.8812189e-15,358.0064,-1.1557692,-0.740606,17.42954,1500,,-0.46938777,53.400047,4.7734194,12.586581,27.10983633995056
1.5129017e-05,76,-0.8774065,1.0184672,17.42954,,2.1050109e-07,0.14999999,19.218552,-1.1314377,7.4375625,17.418049,0.19473527,357.9485,-0.46138135,-0.730827,17.42954,1520,,-1.0,53.311077,4.7098475,12.650153,27.59877038002014
0.18455938,77,-0.8826738,1.1378905,17.42954,,2.0506903e-07,0.14999999,19.218552,-0.8291466,4.2865477,17.193691,0.037710804,358.11475,-1.27259,-0.74389887,17.42954,1540,,-0.63265306,52.83678,4.65084,12.709161,28.077996969223022
5.6218696,78,-0.876985,0.8036117,17.42954,,1.9984455e-07,0.14999999,19.218552,-0.4338019,5.7842865,17.338146,0.0013779299,358.1366,-0.559311,-0.75440824,17.42954,1560,,-0.2244898,52.555164,4.5914946,12.768506,28.594470977783203
1.4633859e-05,79,-0.8746101,1.0571483,17.42954,,1.948172e-07,0.14999999,19.218552,-1.0009983,7.041729,17.356995,0.0034657544,358.1396,-0.48100087,-0.697551,17.42954,1580,,-1.0,52.55784,4.533412,12.826589,29.113423347473145
0.00574665,80,-0.87185985,0.9707527,17.42954,,1.899772e-07,0.14999999,19.218552,-0.7852842,4.515659,17.203104,2.0700312,358.2964,-0.6839994,-0.7101296,17.42954,1600,,-0.79591835,52.140633,4.4787045,12.881296,29.599095106124878
0.044568677,81,-0.86773354,0.9886277,17.42954,,1.8531539e-07,0.14999999,19.218552,0.10276055,7.4839725,17.358166,6.3130057e-10,358.29822,-0.49732655,-0.7224803,17.42954,1620,,0.2244898,52.136837,4.423435,12.936565,30.110431671142578
1.2164595,82,-0.8693702,0.8332805,17.42954,,1.8082306e-07,0.14999999,19.218552,0.33870083,6.895795,9.008511,6.010999,366.64978,-0.9661189,-0.7342003,17.42954,1640,,0.020408163,51.651924,4.471339,12.888661,30.644790172576904
7.492868e-05,83,-0.8730809,1.1505591,17.42954,,1.7649211e-07,0.14999999,19.218552,0.35716933,7.7773423,8.060184,4.9124384,375.9496,-0.99312407,-0.73159575,17.42954,1660,,0.46938777,51.91602,4.5295134,12.830487,31.115148544311523
1.7520424,84,-0.87261546,1.1027453,17.42954,,1.7231491e-07,0.14999999,19.218552,-0.2630842,4.45288,7.943173,1.755863e-06,385.36646,-0.9514196,-0.74357104,17.42954,1680,,-0.46938777,51.4112,4.587697,12.772304,31.638879776000977
3.4510023e-11,85,-0.86963737,0.84831524,17.42954,,1.6828433e-07,0.14999999,19.218552,1.2746621,9.691023,17.061388,1.1428836e-11,385.66516,-0.7069783,-0.7347624,17.42954,1700,,0.8367347,51.38798,4.537236,12.822764,32.478092432022095
1.5367352e-05,86,-0.9022128,1.049812,17.42954,,1.6439348e-07,0.14999999,19.218552,-0.7337002,7.021998,,,403.02515,-3.493466,-0.7464584,17.42954,1720,,-1.0,51.085587,4.6863384,12.673662,33.26525354385376
0.038954116,87,-0.8976057,1.078853,17.42954,,1.6063603e-07,0.14999999,19.218552,-0.45230496,4.4683003,17.377115,4.4645276,403.00806,-0.52635795,-0.7580191,17.42954,1740,,-0.71428573,51.416275,4.6322765,12.727724,33.97557091712952
5.219565,88,-0.8924323,0.9423433,17.42954,,1.5700596e-07,0.14999999,19.218552,-0.05807714,5.37023,17.325853,2.7469764,403.0421,-0.5071933,-0.7690001,17.42954,1760,,-0.30612245,51.411854,4.580024,12.779977,34.73878812789917
2.675403,89,-0.8934852,0.80466074,17.42954,,1.5349757e-07,0.14999999,19.218552,-0.171071,6.6453304,14.11276,6.638233,406.2893,-0.91488445,-0.7226789,17.42954,1780,,-0.06122449,50.340694,4.565048,12.794952,35.545127391815186
0.34796268,90,-0.894455,1.124707,17.42954,,1.5010546e-07,0.14999999,19.218552,-0.5942533,4.209867,16.425003,0.112549044,407.22424,-0.77175987,-0.7042344,17.42954,1800,,-0.59183675,50.05686,4.5247145,12.835286,36.31668710708618
0.0070265373,91,-0.88807553,1.1124536,17.42954,,1.4682455e-07,0.14999999,19.218552,0.388018,7.3511987,17.427736,6.1016614e-08,407.1565,-0.4247335,-0.7114255,17.42954,1820,,0.30612245,49.88062,4.474248,12.885753,36.82241082191467
