DenMISELogLast,Regret,LQGmu1_actor,TimestepsSoFar,ReturnLastEpisode,IWMax,IWLastEpisode,ReturnMean,Iteration,ReturnMin,ReturnStepMax,DenMISEMeanLog,ReturnMax,LQGmu1_higher,IWFirstEpisode,Bound,IWMin,delta,Regret/t,LQGsigma_higher,TimeElapsed,ReturnAbsMax,DenMISELogFirst,IWMean
-0.526746,242.23163,-0.18865277,1000,17.426403,6.5689,0.028271163,12.5153675,50,,19.214617,-0.88802356,17.426403,-0.06122449,0.55956274,61.462173,,4.8634166e-07,4.844633,0.14999999,17.45006275177002,17.426403,-0.5726501,0.74007803
-0.720912,242.67645,-0.38658658,1020,16.915197,4.726621,2.266339,12.601639,51,,19.214617,-0.8900939,17.426403,-0.3877551,4.726621,61.797016,,4.6745637e-07,4.758362,0.14999999,17.88432765007019,17.426403,-0.5813236,1.1900549
-0.5049546,242.70972,0.9835865,1040,17.326717,15.773338,1.2271883e-18,12.692506,52,,19.214617,-0.87964016,17.426403,1.0,3.2271112e-18,60.878178,,4.496502e-07,4.667495,0.14999999,18.33248805999756,17.426403,-0.51210934,1.0526816
-1.2323472,259.77325,-0.9976448,1060,0.2964258,8.607081,9.706987e-38,12.458618,53,,19.214617,-0.88701344,17.426403,-1.0,0.0006858978,60.387737,,4.3284237e-07,4.9013824,0.14999999,18.76886820793152,17.426403,-0.53115755,0.9213368
-0.7777702,259.9314,0.5381299,1080,17.201992,7.1307592,2.0631433e-17,12.546456,54,,19.214617,-0.8871251,17.426403,0.3469388,4.8998292e-05,60.191605,,4.1695958e-07,4.8135443,0.14999999,19.21403217315674,17.426403,-0.54983675,1.1472564
-1.0240612,270.82324,-0.12325549,1100,6.468093,5.1807985,4.36272e-06,12.435942,55,,19.214617,-0.88771087,17.426403,-0.26530612,3.6636865,60.033627,,4.0193527e-07,4.924059,0.14999999,19.66292953491211,17.426403,-0.568185,1.0488863
-0.7713525,272.20862,-0.8471254,1120,15.974631,5.155029,7.029949e-05,12.499132,56,,19.214617,-0.885223,17.426403,-0.8367347,0.036085915,59.58561,,3.8770855e-07,4.8608685,0.14999999,20.108924865722656,17.426403,-0.52171576,0.97498035
-0.5944417,272.25134,-0.5977365,1140,17.317242,4.645421,0.38675857,12.583661,57,,19.214617,-0.8809628,17.426403,-0.5102041,2.962019,58.89119,,3.7422413e-07,4.7763395,0.14999999,20.54111075401306,17.426403,-0.53877115,1.0733261
-0.5410607,272.21765,0.90907985,1160,17.393696,8.552754,9.927243e-18,12.666593,58,,19.214617,-0.8741941,17.426403,0.75510204,2.555713e-12,58.682354,,3.6143112e-07,4.693408,0.14999999,20.98320508003235,17.426403,-0.5055028,0.8624409
-1.1585584,287.9973,0.29753947,1180,1.5803295,6.542164,2.0240748e-07,12.478689,59,,19.214617,-0.88192886,17.426403,0.020408163,0.14921477,58.076042,,3.4928303e-07,4.8813114,0.14999999,21.433614492416382,17.426403,-0.52259725,0.8813932
-0.9230708,297.05878,-0.4856696,1200,8.29862,4.9139752,8.812801e-10,12.409022,60,,19.214617,-0.8849402,17.426403,-0.71428573,0.33125573,57.95874,,3.377373e-07,4.9509783,0.14999999,21.883673906326294,17.426403,-0.5368785,1.0152313
-0.523086,297.0503,-0.37737662,1220,17.368427,4.486152,4.461015,12.490324,61,,19.214617,-0.879079,17.426403,-0.46938777,3.7085495,57.42463,,3.2675467e-07,4.8696766,0.14999999,22.33164691925049,17.426403,-0.54790205,1.1456301
-0.5004287,297.1159,0.0643425,1240,17.294415,5.4964066,1.9056289,12.567809,62,,19.214617,-0.87098116,17.426403,-0.18367347,2.022115,57.094597,,3.162992e-07,4.7921915,0.14999999,22.78267192840576,17.426403,-0.5051431,0.8733838
-0.8758649,305.40894,0.5810908,1260,9.06696,7.454065,0.16666515,12.51224,63,,19.214617,-0.87331223,17.426403,0.46938777,6.6435564e-07,56.939594,,3.0633765e-07,4.84776,0.14999999,23.24208688735962,17.426403,-0.48904926,0.96453846
-1.048254,316.7386,-1.0847721,1280,6.0303164,8.85727,5.676306e-24,12.41096,64,,19.214617,-0.8770524,17.426403,-1.0,0.00066805375,56.96188,,2.968394e-07,4.9490404,0.14999999,23.71447992324829,17.426403,-0.50479764,0.9116239
-1.1173167,316.9038,0.26752618,1300,17.194757,6.7850537,2.4102585e-15,12.484557,65,,19.214617,-0.8825748,17.426403,0.18367347,0.0048120744,56.423073,,2.8777617e-07,4.8754435,0.14999999,24.16574764251709,17.426403,-0.5202914,1.2065314
-0.87352103,325.8108,-0.5114978,1320,8.453031,4.519442,0.0004572048,12.423473,66,,19.214617,-0.8798988,17.426403,-0.3877551,4.514849,55.34522,,2.791217e-07,4.9365273,0.14999999,24.616758108139038,17.426403,-0.5354848,1.1300354
-0.49585906,325.83362,-1.117981,1340,17.337078,8.145202,0.021732498,12.496812,67,,19.214617,-0.8725567,17.426403,-1.0,0.000654535,55.330963,,2.708519e-07,4.8631887,0.14999999,25.06717300415039,17.426403,-0.4843541,0.944171
-1.2451952,325.99854,-0.45253664,1360,17.195059,4.664528,0.01967609,12.565904,68,,19.214617,-0.8792897,17.426403,-0.59183675,1.4811987,55.204117,,2.6294424e-07,4.794097,0.14999999,25.525376558303833,17.426403,-0.49915943,1.0289946
-0.4622774,326.01013,1.1468967,1380,17.348505,15.973414,1.8336794e-20,12.635217,69,,19.214617,-0.87305903,17.426403,1.0,3.1635345e-18,54.929436,,2.553779e-07,4.724784,0.14999999,25.983879804611206,17.426403,-0.49220973,1.1055071
-2.0337405,343.37012,0.74269974,1400,,8.08401,0.057002004,12.454714,70,,19.214617,-0.88917947,17.426403,0.63265306,8.407261e-10,54.6584,,2.4813352e-07,4.905287,0.14999999,26.443960666656494,17.426403,-0.5065985,0.84748185
-1.1171939,356.6477,-0.16315043,1420,4.0825,4.2899256,4.677857e-13,12.336794,71,,19.214617,-0.8948905,17.426403,-0.42857143,4.158347,53.998665,,2.4119305e-07,5.0232067,0.14999999,26.9037184715271,17.426403,-0.5207831,1.154429
-0.7698934,357.32843,-0.3031056,1440,16.679232,6.0168104,5.6912127,12.397106,72,,19.214617,-0.89129287,17.426403,-0.14285715,1.3500559,54.33752,,2.3453978e-07,4.9628944,0.14999999,27.399230480194092,17.426403,-0.47785205,0.82761204
-0.5298812,357.51123,0.21023655,1460,17.177153,7.089272,0.0011827513,12.462586,73,,19.214617,-0.88887966,17.426403,0.30612245,0.00016081311,53.9712,,2.2815804e-07,4.897414,0.14999999,27.869099617004395,17.426403,-0.47306824,1.1882921
-0.89027977,366.169,-1.03677,1480,8.702233,8.020972,4.7415976e-14,12.411771,74,,19.214617,-0.8868305,17.426403,-1.0,0.00065605395,53.95204,,2.2203328e-07,4.94823,0.14999999,28.34047842025757,17.426403,-0.4866717,0.96433693
-0.8725437,366.3291,-1.0145106,1500,17.199852,5.113845,1.753519,12.475612,75,,19.214617,-0.88749695,17.426403,-0.79591835,0.07922232,53.186577,,2.1615185e-07,4.884389,0.14999999,28.808638334274292,17.426403,-0.50008583,0.88015056
-0.79343766,366.48724,-0.9877869,1520,17.201992,7.4127007,5.8529167,12.537801,76,,19.214617,-0.8880115,17.426403,-1.0,0.000673068,53.117046,,2.1050109e-07,4.8222,0.14999999,29.283884286880493,17.426403,-0.51227534,1.0259558
-0.67146134,366.6355,-0.21891055,1540,17.211737,4.77637,0.0001705843,12.598501,77,,19.214617,-0.8852262,17.426403,-0.30612245,4.0967774,53.092377,,2.0506903e-07,4.7614994,0.14999999,29.76229691505432,17.426403,-0.52533853,1.071742
-0.6428788,367.0205,-0.1799547,1560,16.97497,6.8755364,0.88440245,12.65461,78,,19.214617,-0.8814308,17.426403,0.06122449,0.06818807,53.050682,,1.9984455e-07,4.705391,0.14999999,30.23389458656311,17.426403,-0.48640415,0.96794343
-0.6957196,367.93964,-0.21849614,1580,16.440863,5.1263638,5.1029873,12.702537,79,,19.214617,-0.87974674,17.426403,-0.2244898,2.7181017,52.841213,,1.948172e-07,4.657464,0.14999999,30.746821880340576,17.426403,-0.49826935,1.0166531
