LQGmu1_higher,LQGmu1_actor,Regret/t,ReturnMean,LQGsigma_higher,Iteration,ReturnLastEpisode,Regret
-1.0,-0.92396045,1.673080435922878,0.8994793328025873,0.14999999,4431,17.268147877848214,7413.419411574272
-0.75510204,-0.5588013,1.6726943896670146,0.8995014684823959,0.14999999,4432,17.39787657006356,7413.381535004209
-0.5102041,-0.47436646,1.6723154094346473,0.8995231990003069,0.14999999,4433,17.367324980416853,7413.374210023791
-0.5510204,-0.3867166,1.6719712598922798,0.8995429323456261,0.14999999,4434,17.213643661423372,7413.520566362368
-0.71428573,-0.7131481,1.6715894574106454,0.8995648246897564,0.14999999,4435,17.381322746156577,7413.499243616212
-0.3877551,-0.27815723,1.6712980989532074,0.899581531023325,0.14999999,4436,16.980876659783945,7413.878366956428
-0.46938777,-0.77172875,1.6709213674418621,0.8996031326008104,0.14999999,4437,17.360259616886502,7413.878107339542
-0.877551,-0.87576425,1.6705553821736754,0.8996241179946286,0.14999999,4438,17.31332125277055,7413.924786086772
-0.8367347,-0.7525709,1.6701706924701902,0.8996461758904706,0.14999999,4439,17.397082211597795,7413.887703875174
-0.79591835,-1.0915554,1.669831695533784,0.8996656137882003,0.14999999,4440,17.19497570517419,7414.052728170001
-0.63265306,-0.45367724,1.6694546058254205,0.8996872359045055,0.14999999,4441,17.36482369930791,7414.047904470693
-0.3469388,-0.47998613,1.669082933243509,0.8997085474057619,0.14999999,4442,17.341515003025137,7414.066389467667
-0.59183675,-0.8967402,1.6687233702905913,0.8997291645475576,0.14999999,4443,17.288455266570757,7414.137934201097
-0.2244898,-0.043241963,1.669228783841217,0.899700184412774,0.14999999,4444,13.445218810728253,7418.052715390369
1.0,0.907887,1.6723987969562886,0.8995184176057172,0.14999999,4445,1.6000629196659575,7433.812652470702
-0.020408163,-0.060428962,1.6726884071356016,0.8995018115174538,0.14999999,4446,14.399994345817522,7436.772658124884
-0.9183673,-0.9949681,1.672347156802281,0.8995213786237221,0.14999999,4447,17.204851825140743,7436.927806299744
-0.42857143,-0.17314738,1.6721190186778014,0.8995344599381991,0.14999999,4448,16.702411220883576,7437.5853950788605
-0.18367347,-0.17356852,1.6718941807406635,0.8995473520217506,0.14999999,4449,16.688184963648613,7438.257210115212
-0.67346936,-0.7364027,1.671516779938538,0.899568991976001,0.14999999,4450,17.36753938871842,7438.249670726494
-0.9591837,-0.73457223,1.6711365721855325,0.8995907928792696,0.14999999,4451,17.380787928687866,7438.228882797805
-0.75510204,-0.57646775,1.6707527083320592,0.8996128034213267,0.14999999,4452,17.39782530347778,7438.191057494328
-1.0,-1.4238249,1.6704172985805803,0.8996320356318473,0.14999999,4453,17.18282691500403,7438.368230579324
-0.5102041,-0.58078,1.6700349741298393,0.899653957905399,0.14999999,4454,17.392455805019818,7438.335774774304
-0.71428573,-0.58078855,1.6696616714617445,0.8996753628748997,0.14999999,4455,17.353028412231858,7438.342746362072
-0.5510204,-0.4006733,1.6693026748919426,0.8996959475405994,0.14999999,4456,17.290027043575783,7438.412719318496
-0.46938777,-0.32145426,1.6689616246056689,0.8997155031762802,0.14999999,4457,17.21075845103026,7438.561960867466
-0.8367347,-1.029898,1.6686246809094947,0.8997348233423454,0.14999999,4458,17.193133372938565,7438.728827494528
-0.877551,-0.78796905,1.6682518164674667,0.8997562031842048,0.14999999,4459,17.353977866093505,7438.734849628434
-0.3877551,-0.41106135,1.6678775800910237,0.8997776616920286,0.14999999,4460,17.360842422468316,7438.734007205966
-0.63265306,-0.47254732,1.667506923322849,0.8997989149470843,0.14999999,4461,17.34562226273716,7438.748384943229
-0.79591835,-1.1681325,1.6671698478200976,0.8998182426708661,0.14999999,4462,17.196523969953248,7438.911860973276
-0.59183675,-0.7294833,1.666796646467919,0.8998396418309679,0.14999999,4463,17.358427786953406,7438.913433186322
-0.3469388,-0.21932341,1.6664941497578603,0.8998569868258107,0.14999999,4464,17.04354866723397,7439.229884519088
-0.9183673,-1.0103067,1.6661582764323186,0.899876245617413,0.14999999,4465,17.19318024878578,7439.3967042703025
-0.67346936,-0.485673,1.6657933967516172,0.8998971676174531,0.14999999,4466,17.32339437757956,7439.433309892723
-0.9591837,-1.0579875,1.6654573370512955,0.8999164370956826,0.14999999,4467,17.19538528458534,7439.597924608137
-0.75510204,-0.8885473,1.6650994594564756,0.8999369575999728,0.14999999,4468,17.293539756603867,7439.664384851533
-0.5102041,-0.42474866,1.6647432213787008,0.8999573840952579,0.14999999,4469,17.28692851011936,7439.737456341414
-0.42857143,-0.4371921,1.6643823350368236,0.8999780771194481,0.14999999,4470,17.308418726812665,7439.7890376146015
-1.0,-1.0501221,1.6640462809910455,0.8999973462734491,0.14999999,4471,17.198115303637138,7439.950922310964
-0.71428573,-0.58601576,1.6636664687018234,0.900019124501042,0.14999999,4472,17.394474276410122,7439.916448034554
-0.5510204,-0.66849744,1.6632871020932802,0.9000408771735503,0.14999999,4473,17.393240371311546,7439.8832076632425
0.5102041,0.48905438,1.6652472401796634,0.8999284839346522,0.14999999,4474,6.9270550994282605,7450.316152563814
0.42857143,0.32299727,1.6669321481014927,0.8998318722418869,0.14999999,4475,8.154789809634735,7459.52136275418
-0.877551,-0.90494215,1.666575329387901,0.8998523320305102,0.14999999,4476,17.290188413934487,7459.591174340246
-0.18367347,-0.3907293,1.6662154672066962,0.8998729663298912,0.14999999,4477,17.30452765586764,7459.6466466843785
-0.46938777,-0.18419084,1.6659681815138603,0.899887145555398,0.14999999,4478,16.80112986531197,7460.205516819066
-0.8367347,-0.8431682,1.6656044747019236,0.8999080003037887,0.14999999,4479,17.323074629150216,7460.242442189916
-0.63265306,-0.64239573,1.6652263060241137,0.8999296842876082,0.14999999,4480,17.38859120188649,7460.21385098803
-0.3877551,-0.6651332,1.6648540847960636,0.8999510272479322,0.14999999,4481,17.362697016869017,7460.2111539711605
-0.79591835,-0.7993092,1.6644868278345775,0.899972085559944,0.14999999,4482,17.341191616584677,7460.229962354576
-0.59183675,-0.6480534,1.6641089891340448,0.8999937506230481,0.14999999,4483,17.38936406665365,7460.200598287923
-0.3469388,-0.3648302,1.6637771592410397,0.9000127775664543,0.14999999,4484,17.183816251100748,7460.376782036822
-0.67346936,-0.7097672,1.6634033007476199,0.9000342144066732,0.14999999,4485,17.372978183746756,7460.363803853075
-0.30612245,-0.37743855,1.663046462491761,0.9000546753158395,0.14999999,4486,17.29737311503502,7460.42643073804
-0.9183673,-0.8515588,1.662686910741204,0.9000752918152981,0.14999999,4487,17.310262242257842,7460.476168495782
-0.75510204,-0.73106617,1.6623151502188576,0.9000966083590106,0.14999999,4488,17.36577431354944,7460.470394182233
-0.9591837,-1.0806843,1.6619814718263735,0.9001157412943595,0.14999999,4489,17.19556715364152,7460.634827028591
-0.5102041,-0.57726,1.6616045878537804,0.900137351613889,0.14999999,4490,17.390227565116405,7460.604599463474
-0.71428573,-0.7866136,1.6612353132886761,0.9001585256141816,0.14999999,4491,17.3568074840302,7460.607791979444
-0.42857143,-0.3273061,1.6608983057944335,0.9001778494383929,0.14999999,4492,17.21260235084921,7460.755189628595
-1.0,-0.719095,1.6605230833283404,0.900199364488054,0.14999999,4493,17.384976234361233,7460.730213394234
-0.5510204,-0.5710078,1.6601484931784547,0.9002208432810521,0.14999999,4494,17.38288505025896,7460.707328343975
-0.877551,-0.93047595,1.659799475677211,0.9002408557524538,0.14999999,4495,17.268685174911578,7460.798643169063
-0.63265306,-0.5106563,1.6594279570388153,0.9002621584266736,0.14999999,4496,17.370548322550196,7460.788094846514
-0.8367347,-1.1394625,1.6590954828934066,0.9002812223111581,0.14999999,4497,17.195708274864486,7460.952386571649
-0.3877551,-0.37883696,1.658752722766492,0.90030087598816,0.14999999,4498,17.242639567968034,7461.069747003681
-0.79591835,-0.81404465,1.6583884030245133,0.9003217658816222,0.14999999,4499,17.340321796396722,7461.089425207285
-0.59183675,-0.5968421,1.6580170127310596,0.9003430611966137,0.14999999,4500,17.372867917517052,7461.076557289768
-0.18367347,0.07300457,1.659493541201037,0.9002583978669131,0.14999999,4501,9.056128343900525,7469.380428945868
-0.46938777,-0.47192833,1.6591171029164888,0.9002799826309354,0.14999999,4502,17.39523161583474,7469.3451973300325
-0.67346936,-0.65792066,1.6587407065738935,0.9003015649900292,0.14999999,4503,17.39579562779051,7469.309401702242
-0.3469388,-0.27695632,1.6584265283846866,0.9003195797944561,0.14999999,4504,17.116317857613645,7469.553083844628
-0.9183673,-1.1064494,1.6580937052919358,0.9003386636873891,0.14999999,4505,17.2009415044581,7469.71214234017
-0.75510204,-0.85788596,1.65773540866207,0.9003592082189182,0.14999999,4506,17.31639090888284,7469.7557514312875
-0.5102041,-0.6042221,1.6573599698853996,0.9003807356717088,0.14999999,4507,17.394367157791525,7469.721384273496
-0.30612245,-0.12007202,1.6573312773644564,0.9003823808850657,0.14999999,4508,15.831985914526747,7471.249398358969
-0.9591837,-0.9203897,1.6569855089219168,0.9004022070572297,0.14999999,4509,17.26173863004659,7471.347659728923
-0.71428573,-0.66016567,1.6566116643726478,0.9004236430978988,0.14999999,4510,17.389053408280684,7471.318606320642
-0.5510204,-0.5988313,1.6562431530638877,0.9004447733334927,0.14999999,4511,17.3657428494448,7471.3128634711975
0.2244898,0.27791485,1.6578615743336016,0.9003519739487614,0.14999999,4512,8.401440077987687,7480.27142339321
-1.0,-1.0426443,1.6575292039414613,0.9003710318840906,0.14999999,4513,17.20212600539603,7480.429297387815
-0.42857143,-0.45551425,1.6571611267983342,0.9003921372248663,0.14999999,4514,17.36397102013464,7480.42532636768
-0.2244898,-0.4608944,1.656792052747664,0.9004132997277717,0.14999999,4515,17.369208211977437,7480.416118155703
-0.63265306,-0.28448942,1.656481308268151,0.9004311176451749,0.14999999,4516,17.106530016732304,7480.6695881389705
-0.877551,-0.6831982,1.6561072822642764,0.9004525640903512,0.14999999,4517,17.39299415123325,7480.636593987737
-0.8367347,-0.80794007,1.6557439429371168,0.9004733977673672,0.14999999,4518,17.345459797842793,7480.651134189894
-0.59183675,-0.8978467,1.6553946115339968,0.9004934282377297,0.14999999,4519,17.28288466776284,7480.728249522132
-0.79591835,-0.643237,1.6550164448003346,0.9005151121100726,0.14999999,4520,17.413919024619148,7480.6743304975125
-0.3877551,-0.3811816,1.6546733143304109,0.9005347870223389,0.14999999,4521,17.256276409725302,7480.7780540877875
-0.46938777,-0.65736073,1.6543034992527041,0.9005559920153267,0.14999999,4522,17.377630467059713,7480.760423620728
-0.020408163,0.016017886,1.6557570287999892,0.9004726474311933,0.14999999,4523,9.13138235837684,7488.989041262351
-0.67346936,-0.44861025,1.6553920172483776,0.900493576992639,0.14999999,4524,17.355555230691095,7488.99348603166
-0.75510204,-0.6245674,1.6550142320335477,0.9005152389889022,0.14999999,4525,17.4140860798561,7488.939399951803
-0.9183673,-1.0489401,1.6546835962914939,0.9005341974603502,0.14999999,4526,17.2014431365014,7489.097956815302
-0.5102041,-0.43618113,1.6543203025596473,0.9005550285229561,0.14999999,4527,17.34994712777812,7489.108009687524
-0.3469388,-0.26002574,1.6540411787141478,0.9005710333306108,0.14999999,4528,16.96955246986331,7489.498457217661
-0.71428573,-0.7800261,1.653679685764076,0.9005917611373808,0.14999999,4529,17.343160392160527,7489.515296825501
-0.9591837,-0.7947427,1.653317540014284,0.9006125263753277,0.14999999,4530,17.346840560794234,7489.528456264707
-0.5510204,-0.66434586,1.6529434539664059,0.9006339762633943,0.14999999,4531,17.40166634292113,7489.486789921785
-0.42857143,-0.3957372,1.6525987478050583,0.9006537415249393,0.14999999,4532,17.26926486926151,7489.577525052524
-1.0,-1.2209074,1.6522703048485539,0.9006725742632707,0.14999999,4533,17.196233174029416,7489.741291878495
-0.2244898,-0.35493773,1.6519363017694007,0.9006917258159745,0.14999999,4534,17.222099656032544,7489.879192222463
-0.877551,-0.8649713,1.651580315034172,0.9007121378994165,0.14999999,4535,17.322463542493335,7489.916728679969
-0.63265306,-0.7162667,1.6512088766513158,0.9007334359718281,0.14999999,4536,17.3932641896009,7489.883464490368
-0.8367347,-0.82672507,1.6508540528649531,0.9007537813724223,0.14999999,4537,17.31862664207578,7489.924837848293
-0.79591835,-1.0294122,1.650526032796549,0.900772589862583,0.14999999,4538,17.19770101755358,7490.087136830739
-0.59183675,-0.4427446,1.6501671074592077,0.9007931704438525,0.14999999,4539,17.33863607339487,7490.108500757344
-0.46938777,-0.7068872,1.6498003277881084,0.9008142013882963,0.14999999,4540,17.375012599331047,7490.093488158012
-0.3877551,-0.3622477,1.6494441671204256,0.9008346234449295,0.14999999,4541,17.3275252641601,7490.125962893852
-0.14285715,-0.023188628,1.6500692978567182,0.9007987787926192,0.14999999,4542,12.871212028638361,7494.614750865214
-0.67346936,-0.70595354,1.6497024807840375,0.9008198118816491,0.14999999,4543,17.376380663332018,7494.598370201882
-0.10204082,-0.21180761,1.6494329485056856,0.9008352667141234,0.14999999,4544,16.935052192047042,7495.023318009835
-0.75510204,-0.87640923,1.6490848310709854,0.9008552275762047,0.14999999,4545,17.29276079220682,7495.090557217628
-0.26530612,-0.38260257,1.6487313964038917,0.9008754933254647,0.14999999,4546,17.31762916553683,7495.132928052091
-0.30612245,-0.19223784,1.6485029368086817,0.9008885930728964,0.14999999,4547,16.750074383016035,7495.742853669075
-0.5102041,-0.5937922,1.6481257667959168,0.900910219793812,0.14999999,4548,17.426866281245008,7495.67598738783
-0.71428573,-0.77234393,1.6477613472841415,0.9009311154080192,0.14999999,4549,17.36961859227011,7495.66636879556
-0.9183673,-1.2263745,1.6474353581449546,0.9009498074458168,0.14999999,4550,17.195489236017035,7495.830879559543
-0.5510204,-0.6064919,1.647069422344024,0.9009707900032096,0.14999999,4551,17.377938471889337,7495.812941087654
-0.9591837,-1.0141265,1.646743926334136,0.9009894537652444,0.14999999,4552,17.19458841466683,7495.978352672987
-0.42857143,-0.7596337,1.6463803696287589,0.9010102999066079,0.14999999,4553,17.36852975324761,7495.969822919739
-0.3469388,-0.3689273,1.6460482420131914,0.9010293439212618,0.14999999,4554,17.226128791665747,7496.103694128074
-1.0,-0.7929217,1.645690616016968,0.9010498499990268,0.14999999,4555,17.34293817078383,7496.1207559572895
-0.877551,-0.6151308,1.6453248483781255,0.9010708229140981,0.14999999,4556,17.38074674655016,7496.10000921074
-0.63265306,-0.6249262,1.6449539732948186,0.9010920886872235,0.14999999,4557,17.404752906250852,7496.0552563044885
-0.8367347,-0.9174595,1.6446124789871128,0.901111669782849,0.14999999,4558,17.271577081227754,7496.143679223261
-0.59183675,-0.5089151,1.6442447347683031,0.9011327560339273,0.14999999,4559,17.391933414567422,7496.111745808694
0.18367347,0.5278139,1.6462507753219862,0.9010177307728218,0.14999999,4560,6.568210340437091,7506.903535468256
