LQGsigma_higher,ReturnLastEpisode,LQGmu1_actor,Iteration,LQGmu1_higher,Regret,Regret/t,ReturnMean
0.14999999,17.32955445775248,-0.46192238,18,-0.30612245,0.8207626177781897,0.04559792320989943,0.9927982842196157
0.14999999,15.718355834700148,-0.0993792,19,-0.26530612,2.462406783078041,0.12960035700410744,0.9879816309057277
0.14999999,14.882843409023721,-0.06747189,20,-0.2244898,4.93956337405432,0.246978168702716,0.981251251794569
0.14999999,14.686375635439093,-0.07771544,21,-0.18367347,7.613187738615226,0.3625327494578679,0.9746254157420947
0.14999999,16.092142412420237,-0.12877914,22,-0.14285715,8.881045326194988,0.40368387846340853,0.9722658326569146
0.14999999,9.174530001623326,0.010945961,23,-0.10204082,17.06651532457166,0.7420224054161592,0.9528656877628348
0.14999999,17.174904958525147,-0.2870142,24,-0.06122449,17.251610366046513,0.7188170985852714,0.9541962672829545
0.14999999,16.49639407269555,-0.16616142,25,-0.020408163,18.11521629335096,0.7246086517340384,0.953864182813415
0.14999999,16.725070806087558,-0.18989117,26,0.020408163,18.750145487263403,0.7211594418178232,0.9540619586113632
0.14999999,9.128749274548296,0.016521461,27,0.06122449,26.981396212715104,0.9993109708413002,0.9381129030480905
0.14999999,8.75964384229714,0.19466312,28,0.10204082,35.581752370417966,1.2707768703720703,0.9225471977997665
0.14999999,9.027202906011373,0.09223157,29,0.14285715,43.91454946440659,1.5142948091174686,0.9085840132386771
0.14999999,8.95672610192684,0.12746532,30,0.18367347,52.31782336247975,1.7439274454159917,0.8954170042766059
0.14999999,8.258462535328057,0.30486137,31,0.2244898,61.41936082715169,1.9812697041016676,0.8818079298106841
0.14999999,8.94421346278291,0.13274683,32,0.26530612,69.83514736436878,2.1823483551365244,0.8702781906458414
0.14999999,7.558236013329706,0.41212752,33,0.30612245,79.63691135103907,2.413239737910275,0.8570390058537686
0.14999999,8.302129006147196,0.2968912,34,0.3469388,88.69478234489188,2.6086700689674083,0.8458331382472816
0.14999999,9.073702925105014,0.05830422,35,0.3877551,96.98107941978687,2.7708879834224818,0.8365316523266925
0.14999999,6.162033953183727,0.56850636,36,0.42857143,108.17904546660314,3.0049734851834207,0.8231093185101249
0.14999999,5.055447518703897,0.6668885,37,0.46938777,120.48359794789924,3.2563134580513307,0.8086976228181575
0.14999999,8.220274019674902,0.31166464,38,0.5102041,129.62332392822435,3.411140103374325,0.7998199482010133
0.14999999,2.3788689103152336,0.8594879,39,0.5510204,144.60445501790912,3.7078065389207464,0.7828092580894066
0.14999999,6.064936851116841,0.5778097,40,0.59183675,155.8995181667923,3.897487954169807,0.7719330301508137
0.14999999,5.876412545953831,0.59545815,41,0.63265306,167.38310562083845,4.082514771239962,0.7613236943096351
0.14999999,5.228554614696032,0.65247774,42,0.67346936,179.51455100614243,4.274155976336725,0.7503350930999584
0.14999999,3.6322044190459044,0.775281,43,0.71428573,193.2423465870965,4.494008060165035,0.7377288956327388
0.14999999,3.451758555801468,0.7879592,44,0.75510204,207.15058803129503,4.70796790980216,0.7254605556306101
0.14999999,1.888137115357783,0.8902912,45,0.79591835,222.62245091593724,4.947165575909716,0.7117450931244428
0.14999999,6.114008370848603,0.5731268,46,0.8367347,233.86844254508864,5.084096577067144,0.703893544892939
0.14999999,2.7002499786704255,0.8387019,47,0.877551,248.52819256641823,5.287833884391877,0.6922113598399152
0.14999999,4.070254384310619,0.74360466,48,0.9183673,261.8179381821076,5.454540378793908,0.6826525012159456
0.14999999,2.7644568696866068,0.83448714,49,0.9591837,276.41348131242097,5.64109145535553,0.671955765174568
0.14999999,0.09568542693126658,0.99473137,50,1.0,293.67779588548973,5.873555917709795,0.6586263808652639
0.14999999,17.248347246466565,-0.3962875,51,-0.67346936,293.78944863902314,5.7605774242945715,0.6651045054876962
0.14999999,17.236605031541803,-0.9575859,52,-0.8367347,293.9128436074813,5.65217006937464,0.6713205235450317
0.14999999,17.388155594441397,-0.616412,53,-0.5510204,293.8846880130399,5.544994113453583,0.6774659338616061
0.14999999,17.36268943581905,-0.750509,54,-0.79591835,293.8819985772209,5.442259232911498,0.683356695360579
0.14999999,17.27499975722112,-0.40802073,55,-0.63265306,293.9669988199998,5.344854523999996,0.6889418277522934
0.14999999,17.366212939830852,-0.51393247,56,-0.46938777,293.96078588016894,5.249299747860159,0.6944208860171922
0.14999999,17.41358779532141,-0.6667156,57,-0.59183675,293.90719808484755,5.156266633067501,0.6997553536085144
