Regret/t,ReturnLastEpisode,LQGmu1_higher,Iteration,Regret,LQGsigma_higher,LQGmu1_actor,ReturnMean
1.7177726589152043,17.29307496829653,-1.0,3986,6847.041818436004,0.14999999,-0.8969525,0.896916705337431
1.7173330834358822,17.394814777142095,-0.67346936,3987,6847.007003658862,0.14999999,-0.7341599,0.8969419103534472
1.7168963556844048,17.384337189455547,-0.5510204,3988,6846.9826664694065,0.14999999,-0.53629714,0.8969669520823162
1.7164708325060747,17.340515602674248,-0.3877551,3989,6847.002150866732,0.14999999,-0.47004476,0.8969913513471289
1.7191915904811468,4.787704846957035,0.42857143,3990,6859.574446019776,0.14999999,0.6885837,0.8968353445825031
1.7187736796777096,17.30869042603653,-0.46938777,3991,6859.625755593739,0.14999999,-0.44298697,0.8968593073579296
1.7183834400803917,17.19906279281531,-0.75510204,3992,6859.786692800923,0.14999999,-1.0185027,0.8968816834816291
1.7179859480865576,17.228802091298505,-0.42857143,3993,6859.917890709625,0.14999999,-0.37150404,0.8969044754537524
1.7196450534603023,9.01554718917771,0.06122449,3994,6868.262343520447,0.14999999,0.09892854,0.896809343264891
1.7192050182946927,17.39829543314927,-0.63265306,3995,6868.224048087298,0.14999999,-0.67531,0.8968345746390658
1.71878250910091,17.329141720062417,-0.71428573,3996,6868.254906367236,0.14999999,-0.8380969,0.8968588010836633
1.7183495660613233,17.371690820126798,-0.79591835,3997,6868.243215547109,0.14999999,-0.7669746,0.896883625799236
1.7179206588740916,17.356421368490864,-0.30612245,3998,6868.246794178618,0.14999999,-0.50689316,0.8969082191012561
1.7175318962219945,17.196741186862457,-0.8367347,3999,6868.410052991756,0.14999999,-1.1185247,0.8969305105377297
1.7171429261408517,17.198348428348698,-0.877551,4000,6868.571704563407,0.14999999,-1.0425329,0.8969528138680702
1.716713575607431,17.3606885580756,-0.59183675,4001,6868.571016005331,0.14999999,-0.7442591,0.8969774325913168
1.716289810761974,17.339193335911894,-0.26530612,4002,6868.591822669419,0.14999999,-0.47116053,0.8970017310342902
1.715974077229894,16.907591518153694,-0.3469388,4003,6869.044231151265,0.14999999,-0.22366634,0.8970198350212214
