ReturnMin,NumTrainableParams,IWMean,ReturnStepMax,MinEpLen,Regret,ReturnLastEpisode,MountainCar_mu1_higher,MountainCar_std0_higher,ActionIn1,TimeElapsed,ReturnMax,DenMISELogFirst,DenMISELogLast,TimestepsSoFar,ReturnMean,ReturnAbsMax,Regret/t,IWLastEpisode,AvgEpLen,Delta,Bound,DenMISEMeanLog,Iteration,GridSize,NumTrajectories,IWFirstEpisode,MountainCar_mu0_higher,MountainCar_std1_higher,IWMin,IWMax
-111.68746,,1.0000001,566.6587,500,895.17334,-0.1834601,4.0,0.14999999,4.151118,11.315662860870361,,-0.7037455,-4.3647814,12500,-34.841812,111.68746,35.80693,,500.0,1.9453666e-05,371.1259,-1.4631493,25,9,25,,,0.14999999,,8.333334
-111.68746,,1.0000001,566.6587,500,896.16895,-0.030429455,2.0,0.14999999,1.7877505,11.768834114074707,,-0.74296623,-0.16917965,13000,-33.502914,111.68746,34.468033,,500.0,1.7986009e-05,372.46375,-1.4178993,26,9,26,,,0.14999999,,8.666668
-111.68746,,1.0000001,566.6587,500,897.1349,-0.00091513776,4.0,0.14999999,8.06583,12.274161577224731,,-0.7807065,-0.9790705,13500,-32.2621,111.68746,33.22722,,500.0,1.6678383e-05,360.23975,-1.4060242,27,9,27,,4.0,0.14999999,,13.500001
-111.68746,,1.267015e-07,566.6587,500,999.43085,-101.330765,2.6666667,0.14999999,5.426899,12.742290496826172,,-0.8170742,-1.2692295,14000,-34.72884,111.68746,35.69396,9.145705e-36,500.0,9.122555e-06,145495770000.0,-1.4072458,28,16,28,,2.6666667,0.14999999,,3.5221249e-06
-111.68746,,5.431319e-08,566.6587,500,1053.7185,-53.322624,1.3333334,0.14999999,4.1197534,13.527208805084229,,-0.8521655,-2.6051672,14500,-35.37,111.68746,36.335117,1.3941327e-13,500.0,8.504261e-06,145934500000.0,-1.4824346,29,16,29,,2.6666667,0.14999999,,1.5694696e-06
-111.68746,,5.4250233e-07,566.6587,500,1103.9508,-49.267155,2.6666667,0.14999999,4.190852,13.987206220626831,,-0.88606703,-2.512873,15000,-35.83324,111.68746,36.79836,,500.0,7.94676e-06,146357650000.0,-1.5495542,30,16,30,,1.3333334,0.14999999,,1.6153808e-05
-111.68746,,1.3724584e-08,566.6587,500,1120.4319,-15.51593,1.3333334,0.14999999,2.9959888,14.465952157974243,,-0.91885686,-3.2973964,15500,-35.177845,111.68746,36.142963,2.9560593e-14,500.0,7.4423347e-06,146765200000.0,-1.6376681,31,16,31,4.0533058e-29,1.3333334,0.14999999,,3.97083e-07
-111.68746,,0.13218544,566.6587,500,1133.8458,-12.448821,2.6666667,0.14999999,6.64416,14.936607360839844,,-0.9506056,-2.7741263,16000,-34.467564,111.68746,35.432682,,500.0,6.984457e-06,9257764.0,-1.703939,32,16,32,,4.0,0.14999999,,4.1929317
-111.68746,,5.742168e-07,566.6587,500,1240.8278,-106.016685,1.3333334,0.14999999,5.482644,15.404456377029419,,-0.98137724,-1.6775136,16500,-36.63572,111.68746,37.600838,1.1363479e-14,500.0,6.5675695e-06,9281709.0,-1.7292113,33,16,33,,4.0,0.14999999,,1.8802239e-05
-142.95029,,0.014227204,753.15015,500,1384.743,-142.95029,,0.14999999,2.9515676,15.914510726928711,,-1.0112302,-3.4321036,17000,-39.762615,142.95029,40.727734,2.36697e-37,500.0,6.186923e-06,9724075.0,-1.8082713,34,16,34,,2.6666667,0.14999999,,0.32475892
-142.95029,,0.57855713,753.15015,500,1436.5675,-50.859474,4.0,0.14999999,6.831471,16.38437271118164,,-1.0402178,-2.611291,17500,-40.079666,142.95029,41.044785,,500.0,5.8384353e-06,9747527.0,-1.8589691,35,16,35,,2.6666667,0.14999999,,20.207386
-142.95029,,0.007736423,753.15015,500,1485.6334,-48.10073,,0.14999999,1.3050623,16.882055044174194,,-1.0683886,-1.9503704,18000,-40.302475,142.95029,41.267593,,500.0,5.5185833e-06,9770272.0,-1.8762033,36,16,36,1.17848144e-11,1.3333334,0.14999999,,0.2785079
-142.95029,,1.62521e-06,753.15015,500,1498.4089,-11.810313,4.0,0.14999999,5.3580165,17.338672161102295,,-1.0957876,-1.7175941,18500,-39.532417,142.95029,40.497536,,500.0,5.224312e-06,9792357.0,-1.8983668,37,16,37,,1.3333334,0.14999999,,4.908973e-05
-142.95029,,0.00054881914,753.15015,500,1510.6692,-11.29526,2.6666667,0.14999999,2.8022969,17.795610427856445,,-1.1224558,-1.7444706,19000,-38.789333,142.95029,39.75445,4.2621823e-34,500.0,4.9529667e-06,8499037.0,-1.9202833,38,16,38,,,0.14999999,,0.02013201
-142.95029,,0.0075347708,753.15015,500,1511.6692,-0.034830607,1.3333334,0.14999999,1.3977,18.25002121925354,,-1.1484313,-3.4167218,19500,-37.795628,142.95029,38.760746,8.9616195e-23,500.0,4.7022245e-06,8517058.0,-1.983949,39,16,39,3.428188e-17,,0.14999999,,0.2912714
-142.95029,,1.0073068,753.15015,500,1512.6481,-0.013691638,1.3333334,0.14999999,1.1766491,18.720617294311523,,-1.1737491,-1.8427259,20000,-36.85108,142.95029,37.8162,39.9931,500.0,4.4700523e-06,876.75964,-2.0049155,40,16,40,3.5160913e-17,,0.14999999,,39.9931
-142.95029,,1.0005485,753.15015,500,1513.623,-0.009854922,2.6666667,0.14999999,2.2851214,19.185038566589355,,-1.1984417,-1.3508474,20500,-35.952515,142.95029,36.917633,4.7999125e-19,500.0,4.2546603e-06,878.49884,-1.9959673,41,16,41,,,0.14999999,,41.0
-142.95029,,0.9993594,753.15015,500,1514.7365,-0.14830953,4.0,0.14999999,5.4087667,19.661436080932617,,-1.2225393,-2.8276522,21000,-35.100033,142.95029,36.06515,,500.0,4.0544687e-06,871.3329,-2.0227764,42,16,42,,1.3333334,0.14999999,,41.973026
-142.95029,,1.0073913,753.15015,500,1524.2657,-8.564151,,0.14999999,1.4990788,20.145946979522705,,-1.2460698,-1.6846018,21500,-34.48292,142.95029,35.44804,,500.0,3.868082e-06,872.4403,-2.0217829,43,16,43,1.4076303e-11,1.3333334,0.14999999,,42.987713
-142.95029,,0.9998632,753.15015,500,1532.9714,-7.740498,1.3333334,0.14999999,2.3155375,20.621509075164795,,-1.2690593,-3.1974947,22000,-33.875137,142.95029,34.840256,2.7276126e-09,500.0,3.6942577e-06,873.71564,-2.0550468,44,16,44,5.753091e-29,1.3333334,0.14999999,,43.99398
-142.95029,,0.99969065,753.15015,500,1543.1494,-9.212858,2.6666667,0.14999999,3.9480796,21.118915557861328,,-1.2915322,-2.6169913,22500,-33.327087,142.95029,34.292206,3.302789e-22,500.0,3.5318933e-06,872.88385,-2.0741062,45,16,45,,1.3333334,0.14999999,,44.986057
-142.95029,,1.0000001,753.15015,500,1555.5483,-11.433831,1.3333334,0.14999999,4.3363204,21.68564510345459,,-1.313511,-1.6943251,23000,-32.851147,142.95029,33.816265,2.6628726e-28,500.0,3.3800018e-06,847.8279,-2.0722861,46,16,46,,2.6666667,0.14999999,,46.0
-142.95029,,1.0141147,753.15015,500,1623.3667,-66.853325,,0.14999999,2.5704117,22.143630266189575,,-1.3350173,-2.8339179,23500,-33.574596,142.95029,34.539715,1.7975425e-18,500.0,3.2377015e-06,847.6436,-2.094792,47,16,47,,2.6666667,0.14999999,,46.999985
-142.95029,,1.0000001,753.15015,500,1676.1952,-51.863304,2.6666667,0.14999999,5.5577025,22.664510011672974,,-1.3560706,-1.46091,24000,-33.955612,142.95029,34.92073,,500.0,3.1042032e-06,847.6216,-2.0874672,48,16,48,,2.6666667,0.14999999,,48.0
-142.95029,,1.3672221,753.15015,500,1726.0928,-48.932453,4.0,0.14999999,6.8862147,23.116788387298584,,-1.37669,-1.9131792,24500,-34.26126,142.95029,35.22638,2.5597133e-12,500.0,2.9787932e-06,838.7771,-2.089963,49,16,49,,2.6666667,0.14999999,,48.999657
-142.95029,,1.1162821,753.15015,500,1787.7872,-60.729427,2.6666667,0.14999999,6.2650375,23.61074209213257,,-1.3968927,-1.7995908,25000,-34.790627,142.95029,35.755745,6.0696256e-34,500.0,2.8608335e-06,796.3943,-2.0838292,50,16,50,,4.0,0.14999999,,49.963882
-142.95029,,0.9999973,753.15015,500,1871.2445,-82.49229,1.3333334,0.14999999,5.176994,24.107397079467773,,-1.4166954,-3.0670118,25500,-35.72595,142.95029,36.691067,1.2805648e-11,500.0,2.7497433e-06,781.2152,-2.1067655,51,16,51,,4.0,0.14999999,,50.999832
-142.95029,,1.0073787,753.15015,500,1965.8802,-93.67046,1.3333334,0.14999999,1.0242213,24.558587551116943,,-1.4361134,-1.9995298,26000,-36.840267,142.95029,37.805386,,500.0,2.6450014e-06,633.02563,-2.1104183,52,16,52,4.570932e-17,,0.14999999,,25.999844
-142.95029,,0.99757963,753.15015,500,1966.949,-0.10358958,2.6666667,0.14999999,2.3620234,25.070040702819824,,-1.4551616,-2.0827632,26500,-36.147125,142.95029,37.112244,2.3320556e-19,500.0,2.5461316e-06,633.8845,-2.1131458,53,16,53,,,0.14999999,,26.499998
-142.95029,,1.0075457,753.15015,500,1968.0098,-0.09578105,,0.14999999,1.0685065,25.600614309310913,,-1.4738537,-2.034618,27000,-35.479507,142.95029,36.444626,,500.0,2.4527033e-06,624.9683,-2.115047,54,16,54,1.7677238e-11,1.3333334,0.14999999,,26.999931
-142.95029,,0.999836,753.15015,500,1976.8162,-7.8410892,4.0,0.14999999,5.211547,26.102059602737427,,-1.4922029,-1.7538203,27500,-34.976994,142.95029,35.942112,,500.0,2.3643252e-06,625.8682,-2.1116133,55,16,55,,1.3333334,0.14999999,,27.499727
-142.95029,,0.99996585,753.15015,500,1988.2511,-10.469751,1.3333334,0.14999999,2.8965688,26.603600025177002,,-1.5102214,-1.3513051,28000,-34.539364,142.95029,35.504482,,500.0,2.2806387e-06,625.84937,-2.1012542,56,16,56,7.322139e-29,1.3333334,0.14999999,,28.000002
-142.95029,,0.9999221,753.15015,500,2001.3475,-12.131359,2.6666667,0.14999999,4.0375924,27.173441648483276,,-1.527921,-1.7164915,28500,-34.14624,142.95029,35.11136,3.3893168e-12,500.0,2.2013185e-06,624.07294,-2.0976665,57,16,57,,1.3333334,0.14999999,,28.499945
-142.95029,,1.0000001,753.15015,500,2010.9489,-8.636223,2.6666667,0.14999999,5.3178606,27.678413152694702,,-1.5453126,-2.756353,29000,-33.706413,142.95029,34.67153,3.3695259e-21,500.0,2.1260653e-06,587.2697,-2.1121345,58,16,58,,2.6666667,0.14999999,,28.999998
-142.95029,,1.0131707,753.15015,500,2070.3894,-58.47552,,0.14999999,3.294864,28.185500860214233,,-1.5624071,-1.4164923,29500,-34.12623,142.95029,35.091347,,500.0,2.0546058e-06,587.4762,-2.1034038,59,16,59,,2.6666667,0.14999999,,29.499996
-142.95029,,1.0000001,753.15015,500,2129.6875,-58.333057,1.3333334,0.14999999,4.2081075,28.67000675201416,,-1.5792142,-6.4490156,30000,-34.52967,142.95029,35.49479,2.0857808e-12,500.0,1.98669e-06,581.99194,-2.1786191,60,16,60,,2.6666667,0.14999999,,30.000002
-142.95029,,1.2691478,753.15015,500,2192.5774,-61.924725,4.0,0.14999999,6.5103474,29.15307855606079,,-1.5957435,-1.5536684,30500,-34.97877,142.95029,35.94389,,500.0,1.9220863e-06,575.88654,-2.1713388,61,16,61,,2.6666667,0.14999999,,30.499893
-142.95029,,1.0000023,753.15015,500,2230.52,-36.977406,,0.14999999,3.7273488,29.65398073196411,,-1.612004,-1.5664893,31000,-35.01101,142.95029,35.976128,,500.0,1.8605837e-06,540.74677,-2.160653,62,16,62,,4.0,0.14999999,,30.999998
-142.95029,,1.0979443,753.15015,500,2318.9255,-87.440704,2.6666667,0.14999999,6.496664,30.13182020187378,,-1.6280044,-1.9456667,31500,-35.843224,142.95029,36.808342,,500.0,1.8019862e-06,537.4971,-2.160115,63,16,63,,4.0,0.14999999,,31.48862
-142.95029,,1.0073496,753.15015,500,2419.6194,-99.72869,1.3333334,0.14999999,1.4005016,30.615352869033813,,-1.6437528,-1.6575813,32000,-36.841434,142.95029,37.806553,,500.0,1.7461142e-06,525.1207,-2.1536064,64,16,64,5.625754e-17,,0.14999999,,21.333271
-142.95029,,7.343643e-06,753.15015,500,2420.585,-0.00013892734,1.0,0.14999999,2.7991867,31.08918523788452,,-1.6592569,-0.94089174,32500,-36.274647,142.95029,37.239765,,500.0,1.1068314e-06,86852450.0,-2.1368244,65,25,65,,2.0,0.14999999,,0.0002114407
-142.95029,,0.00020433236,753.15015,500,2440.9492,-19.39924,2.0,0.14999999,2.7872477,32.59869074821472,,-1.6745244,-2.863049,33000,-36.01896,142.95029,36.984077,9.820771e-16,500.0,1.073545e-06,86949090.0,-2.162864,66,25,66,,1.0,0.14999999,,0.0064280266
-142.95029,,0.0016526841,753.15015,500,2444.2925,-2.3781338,2.0,0.14999999,4.8522186,33.13462471961975,,-1.6895623,-3.6842055,33500,-35.516857,142.95029,36.481976,,500.0,1.0417382e-06,87044010.0,-2.200381,67,25,67,,3.0,0.14999999,,0.052324817
-142.95029,,0.001421662,753.15015,500,2496.9084,-51.650837,3.0,0.14999999,5.0247736,33.70648121833801,,-1.7043774,-2.5352018,34000,-35.75412,142.95029,36.71924,3.36898e-17,500.0,1.011324e-06,87137576.0,-2.2198777,68,25,68,,2.0,0.14999999,,0.09633002
-142.95029,,0.43399584,753.15015,500,2530.3582,-32.484623,1.0,0.14999999,2.1262517,34.21847486495972,,-1.7189761,-2.3293579,34500,-35.706738,142.95029,36.671856,,500.0,9.822227e-07,74844.55,-2.235831,69,25,69,4.963882e-15,1.0,0.14999999,,29.938303
-142.95029,,0.077790804,753.15015,500,2539.736,-8.412813,3.0,0.14999999,5.904938,34.76681590080261,,-1.7333649,-3.2203326,35000,-35.316826,142.95029,36.281944,,500.0,9.543596e-07,74922.24,-2.2589285,70,25,70,,3.0,0.14999999,,4.6440916
-142.95029,,0.8334051,753.15015,500,2587.477,-46.77603,3.0,0.14999999,3.9790435,35.29382944107056,,-1.7475495,-2.8448164,35500,-35.478218,142.95029,36.443336,1.700985e-31,500.0,9.276656e-07,74995.66,-2.2801,71,25,71,,1.0,0.14999999,,59.163235
-142.95029,,0.20600581,753.15015,500,2594.8743,-6.4320464,1.0,0.14999999,4.0603404,35.828654766082764,,-1.7615358,-2.3852658,36000,-35.074802,142.95029,36.03992,,500.0,9.020761e-07,75067.484,-2.286933,72,25,72,,3.0,0.14999999,,11.899197
-142.95029,,0.8107802,753.15015,500,2646.8284,-50.988728,1.0,0.14999999,5.0595946,36.34734320640564,,-1.7753291,-2.376147,36500,-35.2928,142.95029,36.25792,1.0294452e-08,500.0,8.775309e-07,7704.6055,-2.2991152,73,25,73,,4.0,0.14999999,,41.973274
-142.95029,,1.1864302,753.15015,500,2743.518,-95.724464,3.0,0.14999999,2.9409268,36.86699175834656,,-1.7889348,-2.0515883,37000,-36.109447,142.95029,37.074566,,500.0,8.539741e-07,6368.433,-2.3001924,74,25,74,,,0.14999999,,87.12022
-142.95029,,0.11743119,753.15015,500,2744.4915,-0.008577535,4.0,0.14999999,4.6575627,37.41150975227356,,-1.8023578,-1.8528789,37500,-35.628098,142.95029,36.593216,1.1485519e-19,500.0,8.3135325e-07,6373.5103,-2.2969763,75,25,75,,1.0,0.14999999,,5.9149165
-142.95029,,0.32214767,753.15015,500,2748.1584,-2.701748,,0.14999999,0.9674955,37.95413947105408,,-1.815603,-3.7157018,38000,-35.19486,142.95029,36.159977,,500.0,8.096195e-07,6378.0366,-2.327214,76,25,76,3.7129477e-05,1.0,0.14999999,,11.956951
-142.95029,,0.035758577,753.15015,500,2752.5037,-3.3799844,3.0,0.14999999,6.644311,38.48741316795349,,-1.8286746,-2.655445,38500,-34.78168,142.95029,35.7468,,500.0,7.88727e-07,6382.9575,-2.3404665,77,25,77,,4.0,0.14999999,,1.801249
-142.95029,,0.26729006,753.15015,500,2864.2104,-110.74176,4.0,0.14999999,7.1553345,38.98576593399048,,-1.841578,-2.6730027,39000,-35.755527,142.95029,36.720646,1.8732608e-17,500.0,7.6863284e-07,6377.939,-2.3570137,78,25,78,,3.0,0.14999999,,10.3305855
-142.95029,,28.577831,753.15015,500,2941.5308,-76.35528,,0.14999999,2.658299,39.589956760406494,,-1.8543171,-3.4144018,39500,-36.269447,142.95029,37.234566,,500.0,7.49297e-07,6059.5264,-2.3797956,79,25,79,,3.0,0.14999999,,2218.6743
-142.95029,,0.22028735,753.15015,500,2994.1865,-51.690464,1.0,0.14999999,0.7170842,40.10425543785095,,-1.8668958,-1.4943905,40000,-36.46221,142.95029,37.42733,,500.0,7.306816e-07,5545.9443,-2.3339849,80,25,80,2.5925642e-09,,0.14999999,,8.11375
-142.95029,,1.0001401,753.15015,500,2995.1733,-0.021615162,2.0,0.14999999,2.822078,40.633859634399414,,-1.8793184,-3.433157,40500,-36.01233,142.95029,36.977448,1.3724176e-23,500.0,7.1275144e-07,937.9664,-2.3572123,81,25,81,,1.0,0.14999999,,80.9948
-142.95029,,1.3080952,753.15015,500,2999.6228,-3.4843025,3.0,0.14999999,3.9213114,41.164289236068726,,-1.8915884,-2.1864023,41000,-35.615646,142.95029,36.580765,1.1232661e-09,500.0,6.954733e-07,931.5888,-2.3587947,82,25,82,,1.0,0.14999999,,69.9824
-142.95029,,1.1802326,753.15015,500,3005.583,-4.9953237,1.0,0.14999999,2.1045365,41.698803186416626,,-1.9037098,-2.0419304,41500,-35.246723,142.95029,36.21184,6.794162e-33,500.0,6.788158e-07,931.9691,-2.3550024,83,25,83,5.971048e-15,1.0,0.14999999,,72.83507
-142.95029,,0.9737395,753.15015,500,3011.2795,-4.7311773,3.0,0.14999999,2.9503934,42.230162382125854,,-1.915686,-1.9222399,42000,-34.883446,142.95029,35.848564,,500.0,6.627497e-07,932.26245,-2.351036,84,25,84,,,0.14999999,,45.42012
-142.95029,,1.0988231,753.15015,500,3012.2622,-0.017582906,4.0,0.14999999,4.941476,42.74454164505005,,-1.9275204,-1.8876303,42500,-34.47326,142.95029,35.438377,2.1669674e-19,500.0,6.472474e-07,929.9212,-2.3479297,85,25,85,,1.0,0.14999999,,83.97516
-142.95029,,1.1845951,753.15015,500,3020.4856,-7.2586017,1.0,0.14999999,1.1203624,43.23960852622986,,-1.9392165,-2.2508974,43000,-34.156807,142.95029,35.121925,,500.0,6.3228265e-07,930.54034,-2.3491168,86,25,86,2.787007e-09,,0.14999999,,84.3938
-142.95029,,1.2276717,753.15015,500,3021.5925,-0.1416944,,0.14999999,1.0747982,43.78930640220642,,-1.9507773,-3.03454,43500,-33.76583,142.95029,34.73095,2.417726e-12,500.0,6.1783095e-07,929.66705,-2.358312,87,25,87,4.2503438e-05,1.0,0.14999999,,82.25705
-142.95029,,0.9990105,753.15015,500,3029.4353,-6.877389,1.0,0.14999999,2.8032384,44.29835319519043,,-1.9622055,-1.6453497,44000,-33.46028,142.95029,34.4254,3.2439853e-17,500.0,6.0386907e-07,930.0396,-2.3509214,88,25,88,,2.0,0.14999999,,87.912224
-142.95029,,1.0013505,753.15015,500,3049.8396,-19.439236,3.0,0.14999999,5.2389183,44.831462383270264,,-1.973505,-3.0165877,44500,-33.30274,142.95029,34.267857,1.9010516e-36,500.0,5.903753e-07,920.4488,-2.3617907,89,25,89,,2.0,0.14999999,,88.99386
-142.95029,,0.9927551,753.15015,500,3078.1597,-27.354927,3.0,0.14999999,5.996666,45.35987687110901,,-1.9846784,-2.6586177,45000,-33.236652,142.95029,34.20177,1.2590019e-07,500.0,5.773287e-07,906.21265,-2.368421,90,25,90,,3.0,0.14999999,,82.72668
-142.95029,,1.0013615,753.15015,500,3128.9954,-49.87051,2.0,0.14999999,4.9226503,45.93677616119385,,-1.9957283,-2.723445,45500,-33.419445,142.95029,34.384563,2.1320706e-11,500.0,5.647098e-07,906.73193,-2.3752995,91,25,91,,3.0,0.14999999,,90.97713
-142.95029,,0.34377095,753.15015,500,3178.535,-48.57467,3.0,0.14999999,7.13992,46.44895386695862,,-2.0066574,-2.1273,46000,-33.58417,142.95029,34.54929,7.374592e-20,500.0,5.5250035e-07,900.5081,-2.3758638,92,25,92,,4.0,0.14999999,,28.396896
-142.95029,,1.1172605,753.15015,500,3273.618,-94.11811,1.0,0.14999999,4.1203094,46.961663007736206,,-2.0174682,-2.3242443,46500,-34.235073,142.95029,35.20019,,500.0,5.4068244e-07,899.10956,-2.3827367,93,25,93,,3.0,0.14999999,,87.05062
-142.95029,,1.3727417,753.15015,500,3331.8093,-57.226116,,0.14999999,2.8152041,47.45699644088745,,-2.0281634,-2.0534477,47000,-34.47966,142.95029,35.44478,2.8875385e-10,500.0,5.292397e-07,873.36005,-2.3809636,94,25,94,,3.0,0.14999999,,90.76801
