TimestepsSoFar,ReturnStepMax,Regret/t,Delta,DenMISELogLast,LQGmu1_actor,ReturnAbsMax,Iteration,DenMISELogFirst,LQGmu1_higher,IWMin,Regret,IWMax,GridSize,ReturnLastEpisode,TimeElapsed,Bound,ReturnMin,LQGsigma_higher,ReturnMax,ReturnMean,IWMean,IWFirstEpisode,DenMISEMeanLog,IWLastEpisode
220,0.99868894,0.29816258,5.0241906e-05,-0.12877297,0.120948344,0.9556523,11,-3.113887,0.11111111,,3.279789,6.239765e-33,10,0.9548607,3.0907862186431885,33.01462,,0.01831564,0.9556523,0.66695744,5.6725138e-34,,0.027637416,
240,0.99868894,0.28382683,4.221716e-05,0.4723566,-0.08775758,0.9556523,12,-3.2008984,-0.11111111,,3.405922,9.515887e-25,10,0.83898646,3.366079330444336,32.935516,,0.01831564,0.9556523,0.6812932,7.929906e-26,,-0.015063067,1.8812581e-34
260,0.99868894,0.26309848,3.5972018e-05,-0.25631806,0.7817297,0.9556523,13,-3.280941,0.7777778,,3.4202805,8.902172,10,0.95076066,3.6315691471099854,32.442436,,0.0285655,0.9556523,0.70202154,0.68478245,,-0.1075067,
280,0.99868894,0.2923656,3.1016683e-05,0.92719287,-0.79736465,0.9556523,14,-3.3550491,-0.7777778,,4.0931187,14.685398,10,0.2922829,3.895735502243042,31.036493,,0.0285655,0.9556523,0.6727544,1.0491602,0.0028452743,-0.065154396,
300,0.99868894,0.27350688,2.7018985e-05,0.4552546,-1.0133376,0.9556523,15,-3.4238386,-1.0,,4.102603,48.178722,10,0.955635,4.164286851882935,31.023357,,0.044551425,0.9556523,0.69161314,4.804837,48.178722,-0.047018193,0.00018285585
320,0.99868894,0.25705326,2.374715e-05,0.8665012,0.57470226,0.9556523,16,-2.0504599,0.5555556,,4.112852,10.125747,10,0.9548708,4.433586120605469,30.485128,,0.0285655,0.9556523,0.70806676,0.6328592,,0.11253919,
340,0.99868894,0.27334845,2.1035537e-05,0.34841472,1.0034477,0.9556523,17,-2.1110845,1.0,,4.646923,6.0832624,10,0.4310487,4.699160814285278,29.641043,,0.044551425,0.9556523,0.69177157,0.61622083,,0.098198846,1.02809535e-19
360,0.99868894,0.30453032,1.8763181e-05,0.90305805,-0.5083854,0.9556523,18,-2.1682427,-0.5555556,,5.4815454,11.383852,10,0.1304984,4.970700025558472,29.479204,,0.0285655,0.9556523,0.6605897,0.6324362,2.2228547e-33,0.11869265,
380,0.99868894,0.2890175,1.6840086e-05,-1.3905735,0.39589453,0.9556523,19,-2.22231,0.33333334,,5.491332,12.184835,10,0.95533437,5.243198394775391,29.247675,,0.0285655,0.9556523,0.6761025,0.6413071,,0.013829332,
400,0.99868894,0.2965846,1.5198177e-05,-2.4735415,-0.29962263,0.9556523,20,-2.2736032,-0.33333334,,5.931692,20.338047,10,0.52475965,5.537715196609497,29.029144,,0.0285655,0.9556523,0.6685354,1.0169023,,-0.13449317,
420,0.99868894,0.28294963,1.3785194e-05,-0.6148101,-0.08238508,0.9556523,21,-2.3223934,-0.11111111,,5.941942,20.870148,10,0.95486903,5.900636672973633,28.745872,,0.0285655,0.9556523,0.6821704,0.99381655,,-0.1704245,9.020453e-09
440,0.99868894,0.27059805,1.25604765e-05,-0.37046522,0.14968139,0.9556523,22,-2.3689134,0.11111111,,5.9531574,15.045808,10,0.9539056,6.257826805114746,28.80213,,0.0285655,0.9556523,0.69452196,0.68390036,,-0.19255677,2.1997644e-09
460,0.99868894,0.270819,1.1492007e-05,-1.0106677,0.77095944,0.9556523,23,-2.4133651,0.7777778,,6.228836,6.1939917,10,0.6894407,6.622736692428589,27.373655,,0.044551425,0.9556523,0.694301,0.52139616,,-0.24798882,
480,0.99868894,0.28699493,1.055429e-05,0.5836205,-0.7925031,0.9556523,24,-2.4559247,-0.7777778,,6.8878784,9.78729,10,0.3060766,6.952178716659546,26.022667,,0.044551425,0.9556523,0.6781251,0.7850475,0.79841214,-0.2348211,
500,0.99868894,0.2759171,9.726833e-06,0.38627517,0.56985813,0.9556523,25,-2.464021,0.5555556,,6.897928,8.4744835,10,0.9550696,7.297075986862183,25.440351,,0.044551425,0.9556523,0.6892029,0.59629714,,-0.22234863,
520,0.99868894,0.28568214,8.9930045e-06,0.35825816,-0.57675153,0.9556523,26,-2.5032418,-0.5555556,,7.4277363,28.103554,10,0.43531284,7.574715852737427,25.164188,,0.044551425,0.9556523,0.6794379,1.3296084,5.7178036e-13,-0.21763001,
540,0.99868894,0.27546406,8.3391915e-06,0.10894887,0.34894502,0.9556523,27,-2.540982,0.33333334,,7.4375305,53.05155,10,0.9553268,7.854105710983276,25.03107,,0.044551425,0.9556523,0.68965596,2.2173994,,-0.20650987,
560,0.99868894,0.28079534,7.754171e-06,0.2501365,0.9771112,0.9556523,28,-2.5773497,1.0,,7.8622704,5.0413933,10,0.54038054,8.131452322006226,24.821491,,0.069483444,0.9556523,0.6843247,0.4444518,,-0.17841125,3.8532645e-19
580,0.99868894,0.2992962,7.2286225e-06,0.14773023,-1.0021354,0.9556523,29,-2.612441,-1.0,,8.679588,38.259205,10,0.14780012,8.41353178024292,24.562315,,0.069483444,0.9556523,0.6658238,2.1919665,38.259205,-0.1867633,
600,0.99868894,0.28966027,6.754746e-06,0.5209677,-0.29632142,0.9556523,30,-1.8050846,-0.33333334,,8.689808,17.767714,10,0.9549016,8.764931917190552,24.222837,,0.044551425,0.9556523,0.67545974,0.9901056,3.0422556e-36,-0.14266151,
620,0.99868894,0.28065324,6.325984e-06,-0.687188,0.10772122,0.9556523,31,-1.8378744,0.11111111,,8.700251,22.79077,10,0.9546773,9.104372024536133,24.017004,,0.044551425,0.9556523,0.6844668,1.0049175,,-0.166146,1.2285004e-17
640,0.99868894,0.27704984,5.9367876e-06,0.3319693,-0.1130902,0.9556523,32,-1.8696231,-0.11111111,,8.865595,15.32386,10,0.7997768,9.39008355140686,23.914196,,0.044551425,0.9556523,0.6880702,0.8681539,,-0.15665099,3.705162e-05
660,0.99868894,0.26902747,5.5824344e-06,0.3086408,0.78080386,0.9556523,33,-1.9003948,0.7777778,,8.877907,4.5443697,10,0.95280766,9.675666570663452,22.60648,,0.069483444,0.9556523,0.69609255,0.40892985,,-0.15056868,8.493508e-36
680,0.99868894,0.28104508,5.2588844e-06,0.39272696,-0.81828797,0.9556523,34,-1.9302478,-0.7777778,,9.555531,6.901364,10,0.28749567,9.962061882019043,21.519749,,0.069483444,0.9556523,0.68407494,0.7024338,5.336298,-0.15225756,
700,0.99868894,0.27330017,4.96267e-06,-0.6505597,0.4518304,0.9556523,35,-1.8134481,0.5555556,,9.565508,5.983941,10,0.9551441,10.269030094146729,20.987045,,0.069483444,0.9556523,0.69181985,0.53619385,,-0.17611091,
720,0.99868894,0.2780388,4.6907953e-06,-2.4505847,-0.6861243,0.9556523,36,-1.841619,-0.5555556,,10.009396,16.666914,10,0.5212299,10.55848503112793,20.40847,,0.069483444,0.9556523,0.6870812,0.7773902,4.867906e-05,-0.252733,
740,0.99868894,0.27079284,4.4406656e-06,-2.0001113,0.83070153,0.9556523,37,-1.8690166,1.0,,10.019337,3.9514616,10,0.95518017,10.846436500549316,20.392069,,0.10836801,0.9556523,0.6943272,0.39437068,,-0.30843812,
760,0.99868894,0.28215772,4.2100214e-06,-1.0564551,0.33024907,0.9556523,38,-1.8956848,0.33333334,,10.7219925,26.687874,10,0.26246354,11.136677980422974,20.41822,,0.069483444,0.9556523,0.6829623,1.4345902,,-0.34411877,1.2348712e-10
780,0.99868894,0.28534317,3.996891e-06,0.25687268,-0.31137556,0.9556523,39,-1.9216603,-0.33333334,,11.128382,12.455594,10,0.5587306,11.429749250411987,19.83131,,0.069483444,0.9556523,0.67977685,0.81936127,1.8989455e-14,-0.32395148,6.952939e-20
800,0.99868894,0.2784676,3.7995442e-06,-0.139115,-0.99607724,0.9556523,40,-1.9469781,-1.0,,11.138704,19.220812,10,0.9547986,11.72026538848877,19.561771,,0.10836801,0.9556523,0.6866524,1.1085436,19.220812,-0.3258661,7.212626e-09
820,0.99868894,0.2719218,3.6164613e-06,0.27099758,0.18447453,0.9556523,41,-1.5792772,0.11111111,,11.148792,13.723742,10,0.9550293,12.012699604034424,19.537539,,0.069483444,0.9556523,0.6931982,0.61250204,,-0.31144258,
840,0.99868894,0.27234548,3.4462985e-06,-1.7754877,-0.077673614,0.9556523,42,-1.6033746,-0.11111111,,11.438511,9.800017,10,0.6754033,12.307312250137329,19.448477,,0.069483444,0.9556523,0.69277453,0.5762948,1.7968066e-28,-0.35672587,0.003984954
860,0.99868894,0.26628923,3.2878697e-06,-0.60103846,0.77070445,0.9556523,43,-1.6269052,0.7777778,,11.450436,10.634463,10,0.95319676,12.602402925491333,17.409876,,0.10836801,0.9556523,0.6988308,0.6341626,,-0.3731018,1.9753077e-13
880,0.99868894,0.2751276,3.1401191e-06,0.18092707,-0.6983444,0.9556523,44,-1.6498947,-0.7777778,,12.105616,22.375858,10,0.30994064,12.901326179504395,17.336798,,0.10836801,0.9556523,0.6899924,1.286152,8.41098,-0.36941415,
900,0.99868894,0.26922953,3.002109e-06,-1.6005243,0.29461548,0.9556523,45,-1.497441,0.33333334,,12.115328,20.311115,10,0.9554058,13.200268268585205,16.708025,,0.10836801,0.9556523,0.6958905,1.3118954,2.0680643e-28,-0.39333677,3.8055843e-19
920,0.99868894,0.27117145,2.8730017e-06,-0.6946604,1.0101912,0.9556523,46,-1.5194199,1.0,,12.473885,3.98949,10,0.60656226,13.497670412063599,16.727608,,0.1690133,0.9556523,0.69394857,0.39745912,1.2627034e-27,-0.39619225,0.0007803758
940,0.99868894,0.28326982,2.7520464e-06,0.1162347,-0.527374,0.9556523,47,-1.5409262,-0.5555556,,13.313683,10.963855,10,0.1253244,13.833568334579468,16.140423,,0.10836801,0.9556523,0.6818502,0.88167953,0.06627995,-0.3980902,
960,0.99868894,0.2775666,2.6385726e-06,-0.39998588,-0.357112,0.9556523,48,-1.5605704,-0.11111111,,13.323196,7.1462893,10,0.9556029,14.231833696365356,15.885827,,0.10836801,0.9556523,0.6875534,0.6098472,1.7334866e-11,-0.4017597,0.0034336583
980,0.99868894,0.27211177,2.5319744e-06,-0.36841795,-1.0321331,0.9556523,49,-1.5811896,-1.0,,13.333477,10.16603,10,0.95484346,14.626173973083496,15.853874,,0.1690133,0.9556523,0.69300824,0.77535987,10.16603,-0.40939268,0.0024612597
1000,0.99868894,0.26686728,2.4317083e-06,-0.49440765,0.44989103,0.9556523,50,-1.412865,0.5555556,,13.343365,17.848299,10,0.95523,14.985919952392578,15.241971,,0.10836801,0.9556523,0.69825274,0.79458886,,-0.416107,
1020,0.99868894,0.27098197,2.337282e-06,-1.7563235,-0.4167882,0.9556523,51,-1.4326677,-0.33333334,,13.820084,8.119951,10,0.48840243,15.292591094970703,14.943238,,0.10836801,0.9556523,0.69413805,0.74562246,7.79811e-06,-0.44752586,9.679665e-11
1040,0.99868894,0.26596266,2.2482511e-06,-1.6273141,-0.035964362,0.9556523,52,-1.4520856,0.11111111,,13.830059,17.601856,10,0.95514446,15.645908117294312,14.810007,,0.10836801,0.9556523,0.69915736,0.809572,4.538956e-19,-0.47565305,0.00013176857
1060,0.99868894,0.26125842,2.164212e-06,-1.5448813,0.8442756,0.9556523,53,-1.4711338,0.5555556,,13.846695,11.67293,10,0.9484814,16.044595956802368,14.224669,,0.1690133,0.9556523,0.7038616,0.94786245,3.3977112e-16,-0.5004953,0.024216333
1080,0.99868894,0.26962852,2.0847979e-06,-1.2921633,-0.44113314,0.9556523,54,-1.489826,-0.5555556,,14.55994,9.59449,10,0.25187695,16.444535732269287,14.041924,,0.1690133,0.9556523,0.6954915,1.0500251,1.0657423,-0.51695055,1.0923692e-14
1100,0.99871814,0.26489764,2.0096763e-06,-1.6360976,0.9621719,0.9556886,55,-1.4886314,1.0,,14.56937,4.713377,10,0.9556886,16.84232187271118,13.796497,,0.26359713,0.9556886,0.7002224,0.47258613,2.205295e-11,-0.5371505,2.5117274e-06
1120,0.99871814,0.2744677,1.9385427e-06,-0.6842881,-0.010663688,0.9556886,56,-1.5066499,0.11111111,,15.3701935,10.194391,10,0.16429989,17.23667573928833,13.1828375,,0.1690133,0.9556886,0.6906523,0.8625765,9.869973e-08,-0.5492009,1.4594988e-05
1140,0.99871814,0.27002174,1.8711206e-06,-1.6573249,-0.7634393,0.9556886,57,-1.5243495,-1.0,,15.391239,6.612813,10,0.9440709,17.64049506187439,13.017758,,0.26359713,0.9556886,0.6950983,0.6870247,6.612813,-0.5715266,0.006932147
1160,0.99871814,0.26553118,1.8071556e-06,-0.13940041,1.3983656,0.9556886,58,-1.4319775,1.0,,15.400806,3.2530649,10,0.95555097,18.054647207260132,11.495942,,0.41111228,0.9556886,0.69958884,0.48296896,7.727584e-05,-0.5696362,0.00011275708
1180,0.99871814,0.27587807,1.7464151e-06,-3.762146,1.760919,0.9556886,59,-1.4490707,1.0,,16.276806,15.860944,10,0.08912506,18.468101024627686,11.44215,,1.0,0.9556886,0.68924195,0.7337694,0.27061662,-0.63247216,15.860944
1200,0.99871814,0.28605497,1.6886866e-06,-4.6602354,-1.0312839,0.9556886,60,-1.4613016,-1.0,,17.163296,4.099255,10,0.07862694,18.874964237213135,9.98827,,0.41111228,0.9556886,0.67906505,0.62218946,4.099255,-0.70446354,1.6492995e-08
1220,0.99871814,0.28153098,1.6337734e-06,-0.589214,-0.6885914,0.9556886,61,-1.4117427,-1.0,,17.17339,1.8243923,10,0.95502925,19.2734694480896,9.411006,,1.0,0.9556886,0.68358904,0.5494922,1.631253,-0.70880204,0.71877
1240,0.99871814,0.27714932,1.581496e-06,-1.5063725,-0.14909169,0.9556886,62,-1.4016126,-0.11111111,,17.183258,10.709221,10,0.9552515,19.677870273590088,7.8824806,,0.1690133,0.9556886,0.6879707,0.93321943,0.00011126713,-0.72886765,0.031056054
1260,0.99871814,0.2729193,1.5316882e-06,-0.79766124,0.065757506,0.9556886,63,-1.4176112,-0.11111111,,17.193916,6.6017094,10,0.95446163,20.074400186538696,7.4686685,,0.26359713,0.9556886,0.6922007,0.96113586,0.05843237,-0.7314903,3.3256853
1280,0.99871814,0.26941216,1.4841969e-06,-0.9170609,0.16901912,0.9556886,64,-1.4324325,0.33333334,,17.242378,7.1348677,10,0.9166553,20.487475156784058,6.7262506,,0.26359713,0.9556886,0.69570786,0.90629303,8.268971e-05,-0.7352233,2.2619965
1300,0.99871814,0.26979995,1.4388808e-06,-1.138337,-0.22733793,0.9556886,65,-1.4479353,-0.5555556,,17.536995,6.986959,10,0.6705008,20.89381241798401,6.4747744,,0.26359713,0.9556886,0.69532007,1.0862228,2.5166817,-0.74313307,0.10804507
1320,0.99871814,0.26586485,1.3956086e-06,-1.5281068,-0.21292788,0.9556886,66,-1.4252154,-0.11111111,,17.547081,4.2977595,10,0.9550378,21.315717697143555,6.4418254,,0.41111228,0.9556886,0.69925517,1.0261508,0.591256,-0.7540652,4.2977595
1340,0.99871814,0.2620477,1.3542596e-06,-1.4662044,-0.8629474,0.9556886,67,-1.4313347,-1.0,,17.557194,2.5816655,10,0.95500684,21.72636318206787,5.833832,,0.6411804,0.9556886,0.7030723,0.61021286,2.5816655,-0.76442856,1.2690742
1360,0.99871814,0.2583428,1.3147211e-06,-1.4237527,0.6891449,0.9556886,68,-1.4083414,1.0,,17.567307,36.275574,10,0.95500433,22.1464524269104,5.788235,,0.6411804,0.9556886,0.7067772,1.286334,0.029159734,-0.77983487,0.037942
1380,0.99871814,0.2632606,1.2768895e-06,-1.519515,0.8445083,0.9556886,69,-1.4225115,1.0,,18.164986,23.300041,10,0.3674451,22.57547664642334,5.702959,,1.0,0.9556886,0.7018594,0.9882435,0.26352385,-0.7884025,1.7371764
1400,0.99871814,0.26977283,1.2406675e-06,-1.3182747,-0.3282165,0.9556886,70,-1.4330883,-1.0,,18.884098,1.6813002,10,0.24600843,22.992558479309082,5.551887,,1.0,0.9556886,0.6953472,0.5825746,1.6664474,-0.7969147,0.27205005
1420,0.99871814,0.26611245,1.2059652e-06,-0.14895171,-0.9856926,0.9556886,71,-1.4237455,-1.0,,18.893982,16.295994,10,0.95523125,23.380414485931396,4.7085476,,0.0285655,0.9556886,0.6990076,1.4786792,0.83969355,-0.79362124,
1440,0.99871814,0.2625556,1.1726988e-06,-0.08160989,-0.1994767,0.9556886,72,-1.4259744,-0.33333334,,18.904003,8.771931,10,0.955099,23.698994636535645,4.6156235,,0.1690133,0.9556886,0.7025644,1.1511492,0.025341302,-0.77888036,0.001490539
1460,0.99871814,0.25909513,1.1407902e-06,-1.3486546,-0.7451061,0.9556886,73,-1.4394158,-0.7777778,,18.91394,8.997589,10,0.9551812,24.015048265457153,4.57735,,0.1690133,0.9556886,0.7060249,1.1231773,7.0968175,-0.785067,0.0260879
1480,0.99871814,0.25573236,1.1101664e-06,-0.66667145,0.14253405,0.9556886,74,-1.3602448,0.11111111,,18.924198,6.3509912,10,0.9548699,24.33418083190918,4.5081067,,1.0,0.9556886,0.70938766,0.886597,0.9166217,-0.78227395,0.53857905
1500,0.99871814,0.25564378,1.0807593e-06,-0.6806072,-1.007727,0.9556886,75,-1.3613571,-1.0,,19.173286,12.649027,10,0.7160335,24.654764652252197,4.37231,,0.044551425,0.9556886,0.70947623,1.2208278,6.1253505,-0.7824815,
1520,0.99871814,0.25241232,1.0525054e-06,0.08305058,-0.8448006,0.9556886,76,-1.296095,-0.7777778,,19.183338,16.434643,10,0.95506316,24.983861207962036,4.357834,,0.0285655,0.9556886,0.7127077,1.2371398,0.00036302092,-0.7691288,1.0906605e-13
1540,0.99871814,0.24926615,1.0253452e-06,-1.2117523,-0.34370965,0.9556886,77,-1.3091623,-0.33333334,,19.193493,16.544432,10,0.9549643,25.37902331352234,4.333153,,0.0285655,0.9556886,0.71585387,1.2157079,,-0.7731139,
1560,0.99871814,0.2462061,9.992227e-07,-0.05605959,-0.76888084,0.9556886,78,-1.3220657,-0.7777778,,19.204071,12.270159,10,0.95454377,25.81147575378418,4.2924795,,0.069483444,0.9556886,0.7189139,1.3357571,2.904758,-0.76244926,2.037056e-08
1580,0.99871814,0.24321216,9.740861e-07,0.020547073,-0.7543322,0.9556886,79,-1.2982409,-0.5555556,,19.213764,3.9957926,10,0.9554309,26.23791480064392,4.2397676,,0.41111228,0.9556886,0.72190785,0.9659517,2.415719,-0.74913895,0.830918
1600,0.99871814,0.24029976,9.4988604e-07,-0.22940487,-0.958332,0.9556886,80,-1.2806991,-1.0,,19.22398,1.4309018,10,0.9549013,26.67480993270874,4.196523,,1.0,0.9556886,0.72482026,0.5498732,1.4309018,-0.7431409,0.48689345
1620,0.99871814,0.23745799,9.2657694e-07,-0.65116185,-0.98571396,0.9556886,81,-1.2753935,-1.0,,19.234097,20.23653,10,0.9549986,27.103696823120117,4.208035,,0.01831564,0.9556886,0.727662,1.4822022,0.0026187357,-0.7475194,3.140622
1640,0.99871814,0.23468775,9.041153e-07,0.12920858,-0.100930475,0.9556886,82,-1.2876313,-0.11111111,,19.244392,17.40572,10,0.9548209,27.53747010231018,4.10542,,0.0285655,0.9556886,0.7304323,0.9952097,,-0.732439,
1660,0.99871814,0.2320137,8.8246054e-07,-0.106588006,-0.98910654,0.9556886,83,-1.2997526,-1.0,,19.257141,10.295383,10,0.9523818,27.971160650253296,4.072106,,0.069483444,0.9556886,0.7331063,1.0337572,10.295383,-0.72589,2.8128108e-36
1680,0.99871814,0.22937602,8.615746e-07,0.22319843,-0.01417926,0.9556886,84,-1.1947988,-0.11111111,,19.26759,12.82407,10,0.9546712,28.41474199295044,4.071783,,0.044551425,0.9556886,0.735744,1.0546634,,-0.7146138,
1700,0.99871814,0.22684544,8.414217e-07,-1.4498099,0.21254615,0.9556886,85,-1.2066332,0.33333334,,19.281864,10.14349,10,0.95084375,28.851392030715942,4.082581,,0.1690133,0.9556886,0.7382746,0.9379833,1.0364813e-11,-0.72323585,1.2150956
1720,0.99871814,0.22788858,8.2196743e-07,-1.5324042,-0.3268102,0.9556886,86,-1.2183293,-0.33333334,,19.59842,12.9727955,10,0.6485635,29.296176195144653,4.0646777,,0.044551425,0.9556886,0.73723143,1.0657902,1.6918884e-36,-0.73366016,1.0399976e-31
1740,0.99871814,0.22538811,8.031802e-07,-0.0012317151,2.2163916,0.9556886,87,-1.2298901,1.0,,19.608765,19.940514,10,0.9547704,29.737659454345703,4.0650425,,1.0,0.9556886,0.7397319,0.8591614,0.21735296,-0.72510886,0.16564316
1760,0.99871814,0.23302126,7.850298e-07,-4.7467613,-0.102635734,0.9556886,88,-1.2388237,-0.11111111,,20.505875,11.55985,10,0.06801526,30.180396795272827,4.036227,,0.069483444,0.9556886,0.73209876,1.1436648,1.2478967e-28,-0.7727215,
1780,0.99871814,0.23056072,7.674879e-07,0.021337079,-0.7538387,0.9556886,89,-1.2501231,-0.7777778,,20.519905,12.08296,10,0.9510883,30.60158896446228,4.035824,,0.044551425,0.9556886,0.7345593,1.296611,0.239086,-0.76270103,
1800,0.99871814,0.228109,7.5052725e-07,-0.23498183,-0.3268032,0.9556886,90,-1.2586137,-0.33333334,,20.529808,21.432491,10,0.95522064,31.012497901916504,3.977967,,0.01831564,0.9556886,0.737011,1.2653024,,-0.754204,
1820,0.99871814,0.22570914,7.341228e-07,0.16700494,0.10248442,0.9556886,91,-1.2696636,0.11111111,,20.539528,19.43786,10,0.9553974,31.362149715423584,3.9705303,,0.0285655,0.9556886,0.7394109,1.007694,,-0.7422393,
1840,0.99871814,0.22561228,7.182504e-07,-0.1921709,-0.7400954,0.9556886,92,-1.2805926,-0.7777778,,20.756325,9.86598,10,0.74831367,31.69968342781067,3.9465165,,0.10836801,0.9556886,0.73950773,1.1549827,5.8138084,-0.73697245,2.0978558e-14
1860,0.99871814,0.22329038,7.028872e-07,-0.50376827,0.14997505,0.9556886,93,-1.2301264,0.11111111,,20.766006,14.372461,10,0.9554552,32.13271880149841,3.9360604,,0.044551425,0.9556886,0.74182963,1.1034255,,-0.733165,
1880,0.99871814,0.22342217,6.880116e-07,-0.7217804,-0.24420172,0.9556886,94,-1.2408216,-0.11111111,,21.001686,10.16972,10,0.729435,32.56213450431824,3.9269242,,0.10836801,0.9556886,0.74169785,1.1189011,1.259087e-11,-0.73258024,0.41594988
1900,0.99871814,0.22117919,6.736034e-07,-1.352116,-0.38054198,0.9556886,95,-1.2514037,-0.33333334,,21.012024,11.499876,10,0.95477796,32.91674542427063,3.9620414,,0.069483444,0.9556886,0.74394083,1.0910567,9.714584e-15,-0.73821956,9.748259
1920,0.99871814,0.21898335,6.5964315e-07,-0.77239037,-0.99930286,0.9556886,96,-1.261875,-1.0,,21.0224,18.14616,10,0.95473874,33.24798107147217,3.9217353,,0.01831564,0.9556886,0.74613667,1.4919734,0.002583573,-0.7379909,
1940,0.99871814,0.21682978,6.461123e-07,0.34286627,-0.5584282,0.9556886,97,-1.272211,-0.5555556,,21.032486,31.431683,10,0.95503485,33.58468317985535,3.916312,,0.01831564,0.9556886,0.74829024,0.7140697,,-0.7227928,
1960,0.99871814,0.21472108,6.329936e-07,-0.104922384,0.81326365,0.9556886,98,-1.2824674,0.7777778,,21.042671,34.109375,10,0.9549406,33.93481254577637,3.8946047,,0.01831564,0.9556886,0.75039893,1.7122498,,-0.7201088,
1980,0.99871814,0.21960193,6.202705e-07,-0.9987372,-0.5136827,0.9556886,99,-1.2926198,-0.33333334,,21.740593,10.481662,10,0.26719585,34.27278280258179,3.8841255,,0.10836801,0.9556886,0.7455181,1.0915399,6.779026e-06,-0.7180572,4.902119e-24
2000,0.99871814,0.21750033,6.0792706e-07,-1.0215065,-0.5459709,0.9556886,100,-1.30267,-0.5555556,,21.75003,16.6893,10,0.9556828,34.625545263290405,3.9864733,,0.0285655,0.9556886,0.7476197,0.88865954,9.35403e-34,-0.72046936,13.246843
2020,0.99871814,0.21544278,5.959485e-07,-0.05166078,0.99137455,0.9556886,101,-1.3126204,0.7777778,,21.75972,12.474971,10,0.95542914,34.971330881118774,3.870229,,0.1690133,0.9556886,0.74967724,0.8957723,1.2951342e-21,-0.7155036,1.1880403e-13
2040,0.99871814,0.22155404,5.843205e-07,-0.5283491,0.347728,0.9556886,102,-1.3224727,0.33333334,,22.598518,33.869724,10,0.12633185,35.314425468444824,3.8678348,,0.01831564,0.9556886,0.743566,1.0047427,,-0.71493113,
2060,0.99871814,0.22330564,5.7302964e-07,-0.34410885,0.5543613,0.9556886,103,-1.3322289,0.11111111,,23.00048,7.379201,10,0.56315744,35.69050741195679,3.8667183,,0.26359713,0.9556886,0.7418144,1.0086771,0.0028581352,-0.7124375,1.4270645
2080,0.99871814,0.22599983,5.620628e-07,-0.47210318,-0.9796028,0.9556886,104,-1.341863,-1.0,,23.503983,11.752946,10,0.4616168,36.030744791030884,3.8608923,,0.0285655,0.9556886,0.7391202,1.3626956,0.77367705,-0.71015453,
