IWLastEpisode,IWMin,ReturnMax,IWMean,IWFirstEpisode,TimestepsSoFar,LQGsigma_higher,DenMISELogFirst,DenMISELogLast,ReturnStepMax,IWMax,TimeElapsed,ReturnAbsMax,Bound,LQGmu1_actor,ReturnMin,Iteration,LQGmu1_higher,MISE,DenMISEMeanLog,ReturnLastEpisode,ReturnMean
1.3883274,,17.22343,1.0019696,0.6051487,980,0.11,0.3936576,0.061696988,19.006004,1.3883274,21.023016929626465,17.22343,16.040342,-0.3393799,,49,-0.1919192,16.040342,0.83691144,17.165947,15.472245
1.0847352,,17.22343,1.0178527,0.81526804,1000,0.11,0.38572925,1.2019295,19.006004,1.1096205,21.39908790588379,17.22343,16.039558,-0.16063923,,50,-0.17171717,16.039558,0.84423697,16.483839,15.4924755
1.2688261,,17.22343,1.0058782,0.612183,1020,0.11,0.38210058,0.81869197,19.006004,1.3760368,21.837721824645996,17.22343,16.1277,-0.26677614,,51,-0.1919192,16.1277,0.84407634,17.031841,15.522659
1.0575645,,17.22343,1.0055792,0.6167829,1040,0.11,0.37461463,1.2049382,19.006004,1.3661574,22.216150283813477,17.22343,16.127254,-0.16615495,,52,-0.1919192,16.127254,0.8511153,16.579731,15.542988
1.1793132,,17.22343,1.0076522,0.621275,1060,0.11,0.36735794,1.0811968,19.006004,1.3567839,22.62122106552124,17.22343,16.170734,-0.22387882,,53,-0.1919192,16.170734,0.85554916,16.786776,15.566455
1.3769224,,17.296911,1.0133134,0.62566304,1080,0.11,0.36031976,-0.32395208,19.081175,1.3769224,22.977356672286987,17.296911,16.287271,-0.3687722,,54,-0.1919192,16.287271,0.83383584,17.296911,15.5985
1.6627862,,17.296911,1.008839,0.455683,1100,0.11,0.3534904,0.16499025,19.081175,1.8065671,23.422587633132935,17.296911,16.453297,-0.3341024,,55,-0.21212122,16.453297,0.8219032,17.235933,15.628271
1.3164353,,17.296911,1.0116744,0.4601557,1120,0.11,0.3437229,0.95013136,19.081175,1.7809166,23.789960861206055,17.296911,16.507292,-0.25125325,,56,-0.21212122,16.507292,0.82432526,16.957115,15.652001
1.1288525,,17.296911,1.0111688,0.46455547,1140,0.11,0.33420682,1.1638026,19.081175,1.7568474,24.113471746444702,17.296911,16.500996,-0.20314136,,57,-0.21212122,16.500996,0.8304612,16.777617,15.671749
0.7118238,,17.296911,1.0036126,0.46888414,1160,0.11,0.32493207,0.9587358,19.081175,1.7342174,24.46094036102295,17.296911,16.35883,-0.08483212,,58,-0.21212122,16.35883,0.8328427,15.339858,15.666027
