DenMISELogFirst,LQGmu1_actor,ReturnAbsMax,IWMean,ReturnLastEpisode,TimeElapsed,IWMax,Delta,IWMin,LQGsigma_higher,Iteration,ReturnMean,ReturnStepMax,Regret,LQGmu1_higher,ReturnMax,DenMISELogLast,IWFirstEpisode,DenMISEMeanLog,ReturnMin,Bound,IWLastEpisode,TimestepsSoFar,Regret/t
-0.7132181,-0.47822458,0.93505776,1.2057108,0.7809103,27.246789932250977,4.7726684,4.4406656e-07,,0.14999999,37,0.6558233,0.9790224,11.443981,-0.6363636,0.93505776,-0.72173846,0.010743361,-0.83046395,,3.778663,0.0019630303,740,0.30929673
-0.739596,0.81076896,0.93505776,1.4207742,0.93406814,27.98335313796997,7.9429193,4.2100217e-07,,0.14999999,38,0.66314554,0.9790224,11.475031,0.7979798,0.93505776,-0.557251,6.9216355e-08,-0.81901383,,3.7839355,8.877405e-16,760,0.30197448
-0.76557153,-0.9989131,0.93505776,0.691208,0.18446273,28.982999563217163,8.701233,3.996891e-07,,0.14999999,39,0.65087163,0.9790224,12.255686,-1.0,0.93505776,-0.9347276,1.15576924e-07,-0.8136836,,3.7179856,1.5356454e-31,780,0.31424838
-0.7908893,-0.26905417,0.93505776,0.95682603,0.92850184,30.073268175125122,5.711365,3.799544e-07,,0.14999999,40,0.65781236,0.9790224,12.292307,-0.17171717,0.93505776,-0.86936516,5.3456726,-0.8236929,,3.6827273,1.5800076e-06,800,0.30730766
-0.6901466,-0.52639246,0.93505776,1.0605705,0.92504644,31.075677633285522,5.0925655,3.6164613e-07,,0.14999999,41,0.66433024,0.9790224,12.332378,-0.41414142,0.93505776,-0.678094,0.6526945,-0.8220452,,3.687755,3.2821243,820,0.30078977
-0.6984502,0.54942805,0.93505776,0.9698299,0.93433857,32.183499574661255,7.7697587,3.4462983e-07,,0.14999999,42,0.670759,0.9790224,12.363163,0.45454547,0.93505776,-0.52848625,0.0048281266,-0.81431043,,3.678271,2.3322588e-09,840,0.294361
-0.7218657,-0.7254242,0.93505776,1.224414,0.35016298,32.93595242500305,4.615527,3.2878697e-07,,0.14999999,43,0.6633033,0.9790224,12.978119,-0.5555556,0.93505776,-0.96033275,0.06271853,-0.81944597,,3.5622547,1.143239e-11,860,0.3018167
-0.7433978,-0.85909545,0.93505776,0.998166,0.93302166,33.81122589111328,5.1553335,3.140119e-07,,0.14999999,44,0.66943324,0.9790224,13.01022,-0.7979798,0.93505776,-0.58031774,0.00013839643,-0.8097996,,3.5460622,4.2270923,880,0.29568678
-0.7658675,0.22222145,0.93505776,0.88215935,0.93180656,34.571187257766724,6.2540383,3.0021093e-07,,0.14999999,45,0.6752638,0.9790224,13.0435295,0.01010101,0.93505776,-0.62861437,4.215624,-0.8063947,,3.4819498,2.5496237e-07,900,0.2898562
-0.69829774,0.24360883,0.93505776,0.9448698,0.47587314,35.33142876625061,6.910428,2.8730017e-07,,0.14999999,46,0.67092925,0.9790224,13.532774,0.27272728,0.93505776,-0.9491225,0.21664174,-0.81269586,,3.496439,6.492311,920,0.29419076
-0.71510535,-0.9396194,0.93505776,0.7893498,0.46560276,36.09705400466919,8.199108,2.7520463e-07,,0.14999999,47,0.6665606,0.9790224,14.032293,-1.0,0.93505776,-0.8474777,1.0988889e-07,-0.8154151,,3.4867437,7.3622986e-15,940,0.29855943
-0.7361588,0.49070555,0.93505776,1.2711943,0.9301585,36.89927387237549,7.1344833,2.6385726e-07,,0.14999999,48,0.6720522,0.9790224,14.067253,0.6363636,0.93505776,-0.7153209,2.5706577e-05,-0.8184073,,3.4550123,5.822343e-24,960,0.2930678
-0.7567775,0.90472054,0.93505776,0.8247737,0.3786343,37.711254596710205,12.995872,2.531974e-07,,0.14999999,49,0.666064,0.9790224,14.653744,1.0,0.93505776,-0.9330952,8.404864e-12,-0.81636506,,3.415585,0.021221448,980,0.299056
-0.7769802,-0.99401045,0.93505776,1.0939142,0.109333985,38.579819679260254,4.821801,2.4317083e-07,,0.14999999,50,0.6549294,0.9790224,15.509529,-0.7373737,0.93505776,-1.0723037,0.000848129,-0.82597804,,3.397654,7.359955e-26,1000,0.31019062
-0.7967659,-0.28389376,0.93505776,0.8457149,0.9287959,39.031153440475464,5.722085,2.3372819e-07,,0.14999999,51,0.6602994,0.9790224,15.545853,-0.2929293,0.93505776,-0.86605096,2.7389266,-0.82541764,,3.3849585,0.00011411299,1020,0.3048206
-0.76387197,-0.8300772,0.93505776,0.89905846,0.92602414,39.4979133605957,7.596025,2.248251e-07,,0.14999999,52,0.6654095,0.9790224,15.584946,-1.0,0.93505776,-0.6852949,1.1538067e-07,-0.8260404,,3.3691397,5.9338054e-05,1040,0.2997105
-0.7829202,-0.25953946,0.93505776,1.0557829,0.93206,39.95081162452698,4.831206,2.1642118e-07,,0.14999999,53,0.6704407,0.9790224,15.618004,-0.4949495,0.93505776,-0.5758257,0.20562336,-0.82386476,,3.272811,0.3899318,1060,0.29467934
-0.79774016,-0.16241749,0.93505776,0.9573083,0.9247834,40.404523611068726,5.5946264,2.0847979e-07,,0.14999999,54,0.6751507,0.9790224,15.658344,-0.1919192,0.93505776,-0.7043078,5.0331807,-0.8210743,,3.3149939,4.859221,1080,0.28996933
