DenMISELogLast,ReturnAbsMax,ReturnMean,TimestepsSoFar,Delta,IWMax,LQGmu1_higher,Regret,ReturnMin,LQGmu1_actor,ReturnMax,IWMean,Bound,DenMISELogFirst,ReturnLastEpisode,LQGsigma_higher,IWMin,DenMISEMeanLog,IWLastEpisode,ReturnStepMax,IWFirstEpisode,Regret/t,Iteration,TimeElapsed
-0.65809786,0.92670065,0.6639023,840,3.4462983e-07,7.9806013,-1.0,12.651146,,-0.9080943,0.92670065,1.145541,3.6500497,-0.74388134,0.9253523,0.14999999,,-0.84950495,0.32762438,0.9710588,6.6567674e-07,0.30121773,42,27.58136487007141
-0.61989486,0.92670065,0.6698959,860,3.2878697e-07,5.210656,-0.65656567,12.694637,,-0.6915629,0.92670065,1.0273157,3.6022043,-0.7674118,0.9216277,0.14999999,,-0.84217745,1.2118531,0.9710588,0.02043039,0.29522413,43,28.291709899902344
-0.58784205,0.92670065,0.67572004,880,3.140119e-07,6.328343,-0.05050505,12.733601,,-0.025928253,0.92670065,0.807156,3.5262578,-0.78992635,0.9261592,0.14999999,,-0.8364608,0.00051759597,0.9710588,4.6409197,0.28939998,44,29.044283390045166
-0.79829013,0.92670065,0.6772814,900,3.0021093e-07,4.905982,-0.83838385,12.952738,,-0.8150931,0.92670065,1.0618286,3.4900377,-0.7121237,0.7459801,0.14999999,,-0.8404875,2.517951e-06,0.9710588,0.00015841267,0.28783864,45,29.797009706497192
-0.53850293,0.92670065,0.68264425,920,2.8730017e-07,7.212372,0.53535354,12.993885,,0.43224296,0.92670065,1.4702648,3.4313622,-0.73409903,0.9239728,0.14999999,,-0.83318716,1.14318975e-17,0.9710588,0.00014840238,0.28247577,46,30.54906153678894
-0.93362117,0.92670065,0.67658585,940,2.7520463e-07,7.108358,0.21212122,13.561108,,0.02212575,0.92670065,0.6315617,3.413209,-0.75560206,0.3978987,0.14999999,,-0.82682556,2.3049436,0.9710588,0.29292622,0.28853416,47,31.315946102142334
-0.852531,0.92670065,0.6741869,960,2.6385726e-07,5.6188855,-0.1919192,13.96479,,-0.17989875,0.92670065,0.98807746,3.4163744,-0.7704423,0.56143755,0.14999999,,-0.8353701,2.2537508,0.9710588,5.5559373,0.29093313,48,32.07485270500183
-0.6716754,0.92670065,0.6788935,980,2.531974e-07,5.037678,-0.6363636,14.025101,,-0.6758761,0.92670065,1.0474768,3.3968463,-0.68153596,0.9048101,0.14999999,,-0.83290285,0.05077403,0.9710588,0.029202808,0.2862265,49,32.834980487823486
-0.5601729,0.92670065,0.68382627,1000,2.4317083e-07,7.929493,1.0,14.064686,,1.1589829,0.92670065,0.46097112,3.3749068,-0.70114285,0.92553127,0.14999999,,-0.8270529,3.6534887e-27,0.9710588,7.951537e-13,0.28129375,50,33.596256732940674
-2.0348008,0.92670065,0.67058146,1020,2.3372819e-07,8.003913,-1.0,15.021469,,-0.97428393,0.92670065,1.0642315,3.3522403,-0.7209455,0.008341087,0.14999999,,-0.86155343,,0.9710588,6.505826e-07,0.29453856,51,34.35408020019531
