ReturnMean,Bound,DenMISELogFirst,IWMin,ReturnMax,Delta,LQGsigma_higher,LQGmu1_higher,IWMax,IWFirstEpisode,ReturnStepMax,TimeElapsed,ReturnLastEpisode,IWLastEpisode,TimestepsSoFar,Iteration,LQGmu1_actor,IWMean,ReturnMin,DenMISELogLast,Regret,Regret/t,DenMISEMeanLog,ReturnAbsMax
0.70187414,3.608959,-0.7410898,,0.94351584,3.140119e-07,0.14999999,-0.45454547,5.321499,0.5354317,0.98712844,35.42756414413452,0.943391,1.0870951,880,44,-0.5562657,0.97640073,,-0.61532706,11.582821,0.26324588,-0.87767124,0.94351584
0.7072567,3.5839882,-0.7514672,,0.9440862,3.0021093e-07,0.14999999,-0.6969697,4.9330163,0.0044291946,0.9876555,36.37438130378723,0.9440862,3.188549,900,45,-0.7764119,1.1151656,,-0.6213314,11.603851,0.25786334,-0.8730742,0.9440862
0.71237147,3.585438,-0.7733477,,0.9440862,2.8730017e-07,0.14999999,0.5959596,8.157603,4.7603226e-05,0.9876555,37.34680771827698,0.9425401,3.0069084e-18,920,46,0.6535474,0.77686733,,-0.5296081,11.6264305,0.25274855,-0.8638106,0.9440862
0.70374477,3.5316117,-0.79485285,,0.9440862,2.7520463e-07,0.14999999,0.15151516,6.732067,1.0148679,0.9876555,38.305957555770874,0.3069136,0.027178805,940,47,-0.21344963,1.1245185,,-1.0173109,12.284637,0.26137525,-0.8724951,0.9440862
0.70855737,3.601895,-0.79454315,,0.9440862,2.6385726e-07,0.14999999,-0.1919192,5.5558205,5.402684,0.9876555,39.271352767944336,0.93474907,5.5246477,960,48,-0.34212285,1.0746678,,-0.7413393,12.315006,0.25656265,-0.8680565,0.9440862
0.7132992,3.4709303,-0.7085025,,0.9440862,2.531974e-07,0.14999999,-0.35353535,4.9901905,1.7753811,0.9876555,40.237645387649536,0.94090635,4.975995,980,49,-0.3186707,1.1115032,,-0.6293382,12.339222,0.2518208,-0.8623828,0.9440862
0.7178895,3.4593797,-0.69311386,,0.9440862,2.4317083e-07,0.14999999,-0.8181818,4.9094806,0.00014195511,0.9876555,41.21170663833618,0.9428149,0.018094497,1000,50,-0.92069125,1.115993,,-0.55436844,12.3615265,0.24723053,-0.8546033,0.9440862
0.7222792,3.452901,-0.71291363,,0.9440862,2.3372819e-07,0.14999999,1.0,15.311451,2.6064977e-12,0.9876555,42.20757222175598,0.94176626,1.2264336e-35,1020,51,1.132038,1.0368953,,-0.61446184,12.384884,0.24284083,-0.8482238,0.9440862
0.7090468,3.3588376,-0.7323317,,0.9440862,2.248251e-07,0.14999999,-0.5555556,4.997481,0.09845129,0.9876555,43.226985454559326,0.034194153,5.6108726e-27,1040,52,-0.562046,0.96675783,,-1.865001,13.315807,0.25607324,-0.8689319,0.9440862
0.71345,3.358477,-0.7494884,,0.9440862,2.1642118e-07,0.14999999,0.37373737,7.2646723,0.020117924,0.9876555,44.20672583580017,0.942417,1.6431672e-08,1060,53,0.5548817,1.0997957,,-0.5575569,13.338509,0.25167,-0.86401194,0.9440862
0.70698094,3.3494356,-0.76780105,,0.9440862,2.0847979e-07,0.14999999,-0.09090909,6.035556,5.5423574,0.9876555,45.17651629447937,0.3641216,0.0007080357,1080,54,-0.078985676,0.86412054,,-1.0364891,13.93951,0.25813907,-0.8661222,0.9440862
0.71051234,3.326149,-0.6884463,,0.9440862,2.0096763e-07,0.14999999,0.7777778,8.244377,5.9539307e-08,0.9876555,46.1536386013031,0.9012069,4.5695606e-07,1100,55,0.45497346,0.74589694,,-0.73522216,14.003422,0.25460768,-0.8665677,0.9440862
0.7051735,3.3276565,-0.70646477,,0.9440862,1.9385428e-07,0.14999999,-1.0,8.674269,2.6482982e-07,0.9876555,47.127501487731934,0.41153833,2.6060745e-20,1120,56,-0.9361195,0.96556693,,-0.9712451,14.557007,0.25994653,-0.8734204,0.9440862
0.70931774,3.3055222,-0.72416437,,0.9440862,1.8711206e-07,0.14999999,-0.2929293,5.011051,3.0367346,0.9876555,48.115861892700195,0.9413936,0.000522617,1140,57,-0.29762253,1.1149242,,-0.6583499,14.58073,0.25580227,-0.87086815,0.9440862
0.71327186,3.292233,-0.6896507,,0.9440862,1.8071556e-07,0.14999999,-0.7979798,4.8802934,0.0002601033,0.9876555,49.41504120826721,0.9386585,0.017987385,1160,58,-1.014359,1.1179563,,-0.56723285,14.607193,0.25184816,-0.86413133,0.9440862
0.7171173,3.238932,-0.7067407,,0.9440862,1.7464151e-07,0.14999999,0.53535354,7.765812,0.00028989016,0.9876555,50.409794092178345,0.9401544,4.0030097e-23,1180,59,0.37041193,0.99847466,,-0.8184951,14.63216,0.24800271,-0.8618031,0.9440862
0.71260446,3.2145596,-0.72354287,,0.9440862,1.6886865e-07,0.14999999,-1.0,7.9829855,2.6939153e-07,0.9876555,51.39875292778015,0.44634542,5.0502635e-18,1200,60,-1.0359106,1.0205371,,-0.9287018,15.150932,0.25251555,-0.86351854,0.9440862
0.7163275,3.2128506,-0.7400722,,0.9440862,1.6337734e-07,0.14999999,0.05050505,6.611647,2.707529,0.9876555,52.37683868408203,0.9397118,2.4691067e-11,1220,61,0.1003388,0.8197204,,-0.8261098,15.176346,0.24879253,-0.86310416,0.9440862
0.713543,3.1986063,-0.7129038,,0.9440862,1.581496e-07,0.14999999,-0.47474748,5.1720076,0.3853742,0.9876555,53.35489249229431,0.54368615,0.004108779,1240,62,-0.40706813,0.9792396,,-0.87661725,15.5977745,0.25157702,-0.8664767,0.9440862
0.7171834,3.1761856,-0.7227077,,0.9440862,1.5316883e-07,0.14999999,-0.27272728,4.92302,3.479019,0.9876555,54.337928771972656,0.9428894,3.2130077,1260,63,-0.39426094,1.1170816,,-0.59008086,15.620007,0.2479366,-0.8626945,0.9440862
0.72068316,3.1749125,-0.68470436,,0.9440862,1.484197e-07,0.14999999,0.27272728,7.0021067,0.1441013,0.9876555,55.32674026489258,0.9411657,0.00023492347,1280,64,0.1491037,1.2107432,,-0.55164343,15.643959,0.24443686,-0.8563956,0.9440862
0.717589,3.1190329,-0.69795954,,0.9440862,1.4388809e-07,0.14999999,-0.6363636,4.9923763,0.017830148,0.9876555,56.31409955024719,0.51956797,7.070583e-06,1300,65,-0.50172126,0.96334475,,-0.872452,16.089512,0.247531,-0.8540464,0.9440862
0.72100365,3.1212091,-0.71295273,,0.9440862,1.3956085e-07,0.14999999,-0.41414142,4.6722813,0.8995245,0.9876555,57.326589822769165,0.942955,4.007375,1320,66,-0.33001202,1.1163421,,-0.5804045,16.11168,0.24411637,-0.85069925,0.9440862
0.7242654,3.1056721,-0.71445346,,0.9440862,1.3542595e-07,0.14999999,-1.0,7.8659544,2.66954e-07,0.9876555,58.25006437301636,0.9395332,0.00020822555,1340,67,-1.1051491,1.0210359,,-0.5201284,16.13726,0.24085462,-0.84434354,0.9440862
