LQGsigma_higher,IWMin,ReturnStepMax,ReturnLastEpisode,Regret,ReturnMax,LQGmu1_actor,IWMax,DenMISELogFirst,ReturnMin,IWMean,Regret/t,DenMISELogLast,ReturnMean,LQGmu1_higher,Iteration,DenMISEMeanLog,IWLastEpisode,TimestepsSoFar,TimeElapsed,ReturnAbsMax,Delta,Bound,IWFirstEpisode
0.14999999,,0.974322,0.92449194,9.274773,0.9301799,0.02315098,6.61082,-0.7380324,,1.112661,0.3091591,-0.7624464,0.6559609,0.23232323,30,-0.89873385,2.1943573e-14,600,22.64330005645752,0.9301799,6.754746e-07,4.0397635,1.7797804
0.14999999,,0.974322,0.5381391,9.701754,0.9301799,-0.3455872,5.2873607,-0.71318936,,1.0289221,0.3129598,-0.71359646,0.6521602,-0.4949495,31,-0.8910909,0.013935823,620,23.37333655357361,0.9301799,6.325984e-07,4.0384483,0.020607665
0.14999999,,0.974322,0.92130864,9.745565,0.9301799,0.600689,7.731262,-0.7442735,,0.777562,0.30454892,-0.6083815,0.6605711,0.57575756,32,-0.88278395,3.1371897e-08,640,24.090200424194336,0.9301799,5.936788e-07,4.0148435,0.004107002
0.14999999,,0.974322,0.31953192,10.391153,0.9301799,-1.0749291,5.630848,-0.7749168,,0.94854254,0.3148834,-0.91204494,0.6502366,-0.8181818,33,-0.8918814,2.4637618e-19,660,24.837362051010132,0.9301799,5.582434e-07,4.0163784,1.614265e-06
0.14999999,,0.974322,0.9212212,10.435049,0.9301799,0.93027234,14.745592,-0.80476975,,1.0668762,0.30691326,-1.096028,0.65820676,1.0,34,-0.90058696,,680,25.58057475090027,0.9301799,5.258885e-07,4.003086,1.7219876e-09
0.14999999,,0.974322,0.08316083,11.317011,0.9301799,-0.20834231,5.668553,-0.8337573,,1.100727,0.32334316,-1.0854225,0.64177686,-0.17171717,35,-0.90743744,1.5004938e-11,700,26.32297992706299,0.9301799,4.9626703e-07,3.8964534,3.0380793
0.14999999,,0.974322,0.913628,11.368502,0.9301799,-1.130145,8.624781,-0.7786885,,1.0665774,0.31579173,-0.64759415,0.6493283,-1.0,36,-0.89859706,4.5454753e-06,720,27.065011262893677,0.9301799,4.6907957e-07,3.8496127,9.969008e-10
0.14999999,,0.974322,0.91886383,11.414761,0.9301799,-0.011893049,6.0624094,-0.80608743,,1.2958056,0.30850703,-1.3002535,0.656613,0.030303031,37,-0.9094634,9.842576e-13,740,27.799635648727417,0.9301799,4.4406656e-07,3.7992103,5.8766522
0.14999999,,0.974322,0.693469,11.686409,0.9301799,-0.6714022,5.3376646,-0.6853462,,1.0482585,0.30753708,-0.6781489,0.65758294,-0.35353535,38,-0.8972332,0.3916307,760,28.4947407245636,0.9301799,4.2100217e-07,3.768423,0.299172
0.14999999,,0.974322,0.9298248,11.721703,0.9301799,0.93114674,8.157233,-0.7034795,,1.0047387,0.30055654,-0.7206032,0.6645635,0.8181818,39,-0.892334,2.1065693e-21,780,29.228498935699463,0.9301799,3.996891e-07,3.7391243,2.3009134e-06
0.14999999,,0.974322,0.08239837,12.604427,0.9301799,-0.65966666,5.6039,-0.7287973,,0.9335588,0.31511068,-1.063035,0.65000933,-0.67676765,40,-0.8978481,8.608537e-25,800,30.088216066360474,0.9301799,3.799544e-07,3.6951892,0.00017547514
