ReturnMin,IWMax,IWFirstEpisode,Regret/t,TimeElapsed,ReturnMax,TimestepsSoFar,Bound,ReturnMean,NumTrainableParams,MountainCar_std0_higher,Iteration,ReturnStepMax,Delta,Regret,MountainCar_std1_higher,DenMISEMeanLog,ReturnAbsMax,IWLastEpisode,DenMISELogLast,IWMean,BoundBonus,AvgEpLen,NumTrajectories,ActionIn1,ReturnLastEpisode,MountainCar_mu1_higher,MinEpLen,IWMin,MountainCar_mu0_higher,DenMISELogFirst,BoundMISE,GridSize
-9.966432,28.040152,3.1634497e-07,6.148785,19.360093116760254,9.443005,35772,60.76446,-1.1487852,,0.14999999,40,107.17791,4.4700523e-06,245.95142,3.0,-4.2185707,9.966432,0.00047480606,-3.7719965,1.4428018,60.06137,894.3,40,3.144238,-4.2642746,10.0,229,,0.33333334,-4.003573,0.7030912,16
-9.966432,12.136868,0.03254116,6.1371455,20.07729196548462,9.443005,36771,60.41603,-1.1371454,,0.14999999,41,107.17791,4.2546603e-06,251.62296,3.0,-4.230562,9.966432,2.7064884e-06,-4.832388,0.52732897,60.18162,896.8536585365854,41,12.2934475,-0.67154783,10.0,229,,-0.33333334,-4.0282655,0.23440772,16
-9.966432,14.000005,0.15358797,6.0371895,20.384361505508423,9.443005,37108,60.42798,-1.0371897,,0.14999999,42,107.17791,4.0544687e-06,253.56197,3.0,-4.24325,9.966432,1.1567041e-11,-4.2525487,0.42471918,60.50674,883.5238095238095,42,-11.301329,3.0609875,-10.0,229,,-0.33333334,-4.0515695,-0.07876026,16
-9.966432,9.1706505,1.5611444e-06,6.0230947,21.034647941589355,9.443005,38107,60.385864,-1.0230945,,0.14999999,43,107.17791,3.868082e-06,258.99307,3.0,-4.2599993,9.966432,4.377893e-05,-4.352364,0.4949876,60.623062,886.2093023255813,43,-7.835513,-0.431094,-10.0,229,,0.33333334,-4.07145,-0.23719719,16
-9.966432,34.35074,8.045553e-05,6.0199823,21.581138610839844,9.443005,39106,59.75329,-1.0199825,,0.14999999,44,107.17791,3.6942577e-06,264.8792,3.0,-4.285819,9.966432,0.0110921115,-4.862694,1.6764035,60.75564,888.7727272727273,44,-6.548068,-0.8861628,3.3333333,229,,0.33333334,-4.0944395,-1.0023502,16
-9.966432,30.209743,0.00013695649,6.0092797,22.07669472694397,9.443005,40105,59.078056,-1.0092798,,0.14999999,45,107.17791,3.5318933e-06,270.4176,3.0,-4.2805357,9.966432,12.465044,-4.4381757,2.1361067,60.655125,891.2222222222222,45,-3.4810874,-0.53836554,-3.3333333,229,,0.33333334,-4.1169105,-1.5770684,16
-9.966432,19.523636,8.441256,5.993022,22.55824613571167,9.443005,41104,58.47274,-0.9930219,,0.14999999,46,107.17791,3.3800018e-06,275.67902,3.0,-4.256676,9.966432,0.00020976225,-3.9522638,1.2317504,58.695103,893.5652173913044,46,8.243313,-0.26141408,3.3333333,229,,-0.33333334,-4.1388865,-0.22236314,16
-9.966432,13.621884,12.129543,5.9108224,22.800461053848267,9.443005,41451,53.24307,-0.91082245,,0.14999999,47,107.17791,3.2377015e-06,277.80865,3.0,-4.2452064,9.966432,0.004889439,-3.8073933,0.8531402,53.45146,881.936170212766,47,-2.7144816,2.8703516,-3.3333333,229,,-0.33333334,-3.9919116,-0.20839171,16
-9.966432,19.163263,0.025473079,5.9009695,23.30867028236389,9.443005,42450,45.469673,-0.9009695,,0.14999999,48,107.17791,3.1042032e-06,283.24652,3.0,-4.2425976,9.966432,0.003174257,-3.89414,0.926857,43.39511,884.375,48,9.939523,-0.43788064,10.0,229,,-0.33333334,-3.783382,2.0745637,16
-9.966432,19.689259,2.5897498e-07,5.8235855,23.523688793182373,9.443005,42790,43.95362,-0.82358533,,0.14999999,49,107.17791,2.9787932e-06,285.35568,3.0,-4.2354655,9.966432,0.00037122803,-3.7314768,0.8451601,43.465614,873.265306122449,49,12.0707445,2.8908541,10.0,229,,0.33333334,-3.8034708,0.48800543,16
-9.966432,14.505406,0.001630804,5.723578,23.720118522644043,9.443005,43102,43.81499,-0.72357804,,0.14999999,50,107.17791,2.8608335e-06,286.1789,3.0,-4.230523,9.966432,1.0591817e-12,-3.724067,0.8381237,45.124763,862.04,50,1.8325195,4.1767817,3.3333333,229,,-1.0,-3.8236735,-1.3097732,16
